OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
65594,Folsom St&24TH St SW-FS/BB,FOLS24ST,,7312,37.752444,-122.414128,,24TH ST,FOLSOM ST,,,,0,1720006111000,15521008,146,9,POINT (-122.414128 37.752444),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,2,20,53,53
66878,Irving St&5th Ave SW-NS,IRVG 5AV,,8031,37.764182,-122.46213900000001,1,05TH AVE,IRVING ST,,,,0,1720006111000,15525929,146,7,POINT (-122.462139 37.764182),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,11,14,109,109
66913,Holyoke St&Wayland St NW-NS,HLYKWYL0,HLYKWYLD,5029,37.72522,-122.40812,,WAYLAND ST,HOLYOKE ST,NS,NW,FL,0,1720006111000,15523013,146,9,POINT (-122.40812 37.72522),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,2,25,91,91
66167,Mission St&Sickles Ave W-FS/BZ,MISSSIC0,MISSSICK,5619,37.70866,-122.45331999999999,,SICKLES AVE,MISSION ST,FS,WE,BZ,0,1720006111000,15518610,146,11,POINT (-122.45332 37.70866),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,1,28,66,66
68754,Taraval St&19th Ave NE-NS/PS,TARA19A0,TARA19AV,6616,37.74311,-122.475444,1,19TH AVE,TARAVAL ST,NS,NE,,0,1720006111000,15521224,146,7,POINT (-122.475444 37.74311),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,41,44,44
65897,9th Ave&Lincoln Way SW-FS/BZ,.9AVLWA0,9AVLWAY,3221,37.765689,-122.466517,,LINCOLN WY,9TH AVE,FS,SW,BZ,1,1720006111000,15514900,146,7,POINT (-122.466517 37.765689),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,11,14,109,109
67821,Cortland Ave&Bayshore Blvd SW-NS/BZ,CORTBSH1,CORTBSHR,4148,37.739567,-122.407031,,CORTLAND AVE,BAY SHORE BLVD,NS,SW,BZ,1,1720006111000,15515884,146,10,POINT (-122.407031 37.739567),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,2,2,82,82
67058,24th St&Noe St NE-NS/BZ,24STNOE0,24STNOE,3478,37.751511,-122.43177299999999,,NOE ST,24TH ST,NS,NE,BZ,0,1720006111000,15514477,146,8,POINT (-122.431773 37.751511),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,5,22,84,84
67787,Bryant St&21ST St SE-NS/BZ,BRYT21S1,BRYT21ST,3740,37.757509999999996,-122.40950000000001,,21ST ST,BRYANT ST,NS,SE,BZ,0,1720006111000,15515285,146,9,POINT (-122.4095 37.75751),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,2,20,53,53
65843,30th Ave&Rivera St NW-NS/PS,30AVRVR0,30AVRVRA,3528,37.746359999999996,-122.48780000000001,,RIVERA ST,30TH AVE,NS,NW,FL,0,1720006111000,15522156,146,4,POINT (-122.4878 37.74636),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,7,35,40,40
67537,14th St&Castro St NW-FS/SB,14STCTR1,14STCTRO,3256,37.767379999999996,-122.43584,,CASTRO ST,14TH ST,FS,NW,,0,1720006111000,15515054,146,8,POINT (-122.43584 37.76738),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,5,5,112,112
68643,Mission St&Italy Ave E-FS/BZ,MISSITL0,MISSITLY,5599,37.71865,-122.43925899999999,,ITALY AVE,MISSION ST,FS,EA,BZ,0,1720006111000,15518696,146,11,POINT (-122.439259 37.71865),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,1,7,90,90
66896,Rhode Island St&Alameda St NW-NS/SB,R ISALA0,R ISALAM,6201,37.76878,-122.40307,,ALAMEDA ST,RHODE ISLAND ST,NS,NW,,0,1720006111000,15521406,146,6,POINT (-122.40307 37.76878),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,1,9,4,33,33
67978,Polk St&Sacramento St W-MB/BB,POLKSAC0,POLKSACO,6000,37.791928999999996,-122.42105699999999,,SACRAMENTO ST,POLK ST,MB,WE,BB,1,1720006111000,15523097,146,3,POINT (-122.421057 37.791929),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,3,21,105,105
66502,Chenery St&Roanoke St N-NS/SB,CHNYROA0,CHNYROAN,3976,37.73563,-122.4302,,ROANOKE ST,CHENERY ST,NS,NO,FL,0,1720006111000,15516086,146,8,POINT (-122.4302 37.73563),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,5,10,59,59
66557,Geary Blvd&Park Presidio Blvd NW-FS,GEARPKP0,GEARPKPR,4755,37.780668999999996,-122.472802,1,PARK PRESIDIO BLVD,GEARY BLVD,FS,NW,BZ,0,1720006111000,15517174,146,1,POINT (-122.472802 37.780669),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,4,29,5,5
65518,Laguna St&Chestnut St NW-NS/BB,LGNACHE0,LGNACHES,5257,37.801513,-122.43141800000001,,CHESTNUT ST,LAGUNA ST,NS,NW,BZ,1,1720006111000,15518373,146,2,POINT (-122.431418 37.801513),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,6,13,17,17
65996,Clipper St&Diamond Heights Blvd-NS,CLPRDHT0,CLPRDHTS,4071,37.74689,-122.44396,,DIAMOND HEIGHTS BLVD,CLIPPER ST,NS,NO,,1,1720006111000,15515931,146,8,POINT (-122.44396 37.74689),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,5,22,51,51
65587,24th St&South Van Ness Ave NE-NS,24STSOV0,24STSOVN,3483,37.752445,-122.416156,,SOUTH VAN NESS AVE,24TH ST,NS,NE,,0,1720006111000,15520982,146,9,POINT (-122.416156 37.752445),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,2,20,53,53
67939,Clayton St&Twin Peaks Blvd SW-FS/BZ,CLTNT P0,CLTNT P,4070,37.760863,-122.446485,,TWIN PEAKS BLVD,CLAYTON ST,FS,SW,BZ,0,1720006111000,15515930,146,8,POINT (-122.446485 37.760863),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,5,14,47,47
66513,Hayes St&Lyon St SW-NS/BZ,HAYSLYO1,HAYSLYON,5000,37.77429,-122.44286199999999,,LYON ST,HAYES ST,NS,SW,BZ,1,1720006111000,15520296,146,5,POINT (-122.442862 37.77429),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,11,18,24,24
67477,Bacon St&Somerset St SW-NS,BACNSOM1,BACNSOME,3021,37.72654,-122.40765999999999,,SOMERSET ST,BACON ST,NS,SW,FL,0,1720006111000,15522976,146,9,POINT (-122.40766 37.72654),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,2,25,91,91
66015,California St&Davis St SW-NS,CALIDAV1,CALIDAVS,3857,37.79342,-122.397749,,DAVIS ST,CALIFORNIA ST,NS,SW,,0,1720006111000,15515964,146,3,POINT (-122.397749 37.79342),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,8,108,108
65627,Taraval St&40th Ave SW-NS/SI,TARA40A1,TARA40AV,6633,37.74199,-122.498316,1,40TH AVE,TARAVAL ST,NS,SW,,0,1720006111000,15524665,146,4,POINT (-122.498316 37.74199),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,7,35,39,39
68243,Powell St&Bush St W-MI,POWLBUS1,POWLBUSH,6048,37.790141,-122.408871,,BUSH ST,POWELL ST,MI,WE,,0,1720006111000,15523249,146,3,POINT (-122.408871 37.790141),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,21,19,19
68228,Skyview Way&Gladeview Dr NW-NS/SB,SKVWGLDV,SKVWGLVW,6428,37.749942,-122.450335,,GLADEVIEW WAY,SKYVIEW WAY,NS,NW,,0,1720006111000,15521126,146,7,POINT (-122.450335 37.749942),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,8,38,48,48
65820,Stockton&Washington St SE-NS/BZ,STOKWAS2,,8116,37.79486,-122.40800899999999,1,WASHINGTON ST,STOCKTON ST,,,,0,1720006111000,15526338,146,3,POINT (-122.408009 37.79486),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,6,104,104
65684,Diamond St&27TH St SW-FS/PS,DIAM27S0,DIAM27ST,4377,37.746255999999995,-122.435922,,27TH ST,DIAMOND ST,FS,SW,,0,1720006111000,15516369,146,8,POINT (-122.435922 37.746256),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,5,22,84,84
67924,Portola Dr&Dorchester Way NE-NS,PORTDOC0,PORTDOCH,6014,37.740100000000005,-122.46343999999999,,DORCHESTER WAY,PORTOLA DR,NS,NE,,0,1720006111000,15525473,146,7,POINT (-122.46344 37.7401),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,41,49,49
66118,Castro St&16TH St NE-FS/BZ,CTRO16S1,CTRO16ST,4311,37.764164,-122.435254,,16TH ST,CASTRO ST,FS,NE,BZ,0,1720006111000,15523689,146,8,POINT (-122.435254 37.764164),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,5,5,28,28
68361,Buchanan St&Bay St NE-FS/SB,BUCHBAY1,BUCHBAY,3794,37.80343,-122.43334,,BAY ST,BUCHANAN ST,FS,NE,FL,0,1720006111000,15515401,146,2,POINT (-122.43334 37.80343),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,6,13,17,17
66947,19th Ave&Junipero Serra Blvd E-NS,19AVJ.S0,19AVJ.S.,3361,37.716888999999995,-122.472275,,JUNIPERO SERRA BLVD,19TH AVE,NS,EA,,0,1720006111000,15514377,146,11,POINT (-122.472275 37.716889),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,1,24,65,65
67960,274 Sagamore St NE-NS,SAGAH274,SAGAH274,6321,37.711439999999996,-122.46155999999999,,ORIZABA ST,SAGAMORE ST,NS,NE,FL,0,1720006111000,15521626,146,11,POINT (-122.46156 37.71144),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,1,24,81,81
67470,Carl St&Stanyan St NE-NS,CARLSTA0,CARLSTAN,3914,37.765495,-122.45259,1,STANYAN ST,CARL ST,NS,NE,,0,1720006111000,15522958,146,8,POINT (-122.45259 37.765495),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,11,3,29,29
65998,Clayton St&Carl St NE-FS/PS,CLTNCAR1,CLTNCARL,4073,37.766287999999996,-122.447779,,CARL ST,CLAYTON ST,FS,NE,,0,1720006111000,15515936,146,8,POINT (-122.447779 37.766288),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,11,3,114,114
66046,Evans Ave&Phelps St W-NS/SB,EVANPHL0,EVANPHLP,4560,37.742976999999996,-122.388595,,PHELPS ST,EVANS AVE,NS,WE,,0,1720006111000,15516606,146,10,POINT (-122.388595 37.742977),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,1,86,86
68444,Geary Blvd&45TH Ave SW-NS/PS,GEAR45A1,GEAR45AV,4286,37.779043,-122.506259,1,45TH AVE,GEARY BLVD,NS,SW,,0,1720006111000,15516738,146,1,POINT (-122.506259 37.779043),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,4,29,6,6
66032,Fulton St&40TH Ave SE-FS/BZ,FULT40A1,FULT40AV,4218,37.771789999999996,-122.49991,,40TH AVE,FULTON ST,FS,SE,FL,0,1720006111000,15516555,146,1,POINT (-122.49991 37.77179),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,4,12,9,9
67513,10th Ave&Pacheco St SE-NS/PS,10AVPAC1,10AVPACH,3231,37.750859999999996,-122.466376,,PACHECO ST,10TH AVE,NS,SE,,0,1720006111000,15514527,146,7,POINT (-122.466376 37.75086),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,41,45,45
66534,Fulton St&22ND Ave SE-FS/BZ,FULT22A1,FULT22AV,4747,37.772659999999995,-122.48061,,22ND AVE,FULTON ST,FS,SE,BZ,0,1720006111000,15516882,146,1,POINT (-122.48061 37.77266),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,4,12,9,9
66274,Folsom St&Crescent Ave NW-NS/PS,FOLSCRE1,FOLSCRES,4690,37.734829999999995,-122.41372,,CRESCENT AVE,FOLSOM ST,NS,NW,,0,1720006111000,15516838,146,9,POINT (-122.41372 37.73483),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,2,2,83,83
68319,9th Ave&Ortega St NW-NS/PS,.9AVORT0,9AVORTG,3226,37.752939,-122.465631,,ORTEGA ST,9TH AVE,NS,NW,,0,1720006111000,15514774,146,7,POINT (-122.465631 37.752939),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,14,44,44
67028,9th Ave&Moraga St NW-NS/BZ,.9AVMOR0,9AVMORA,3222,37.756676999999996,-122.465884,,MORAGA ST,9TH AVE,NS,NW,BZ,0,1720006111000,15525123,146,7,POINT (-122.465884 37.756677),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,14,44,44
67078,California St&28TH Ave NE-NS/PS,CALI28A0,CALI28AV,3841,37.783798,-122.488074,1,28TH AVE,CALIFORNIA ST,NS,NE,,0,1720006111000,15515478,146,1,POINT (-122.488074 37.783798),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,6,33,1,1
67165,Hayes St&Larkin St NW-FS/BZ,HAYSLAR0,HAYSLARK,4997,37.777709,-122.416852,,LARKIN ST,HAYES ST,FS,NW,BZ,1,1720006111000,15517737,146,6,POINT (-122.416852 37.777709),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,10,36,21,21
68654,Mission St&24th St SW-FS/BB,MISS24S0,MISS24ST,5566,37.751964,-122.418528,,24TH ST,MISSION ST,FS,SW,BZ,1,1720006111000,15518727,146,9,POINT (-122.418528 37.751964),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,2,20,53,53
66603,Mason St&Greenwich St E-MI,MASNGNW0,MASNGNWH,5360,37.801929,-122.412775,,GREENWICH ST,MASON ST,MI,EA,,0,1720006111000,15517679,146,3,POINT (-122.412775 37.801929),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,6,107,107
66594,Mansell St&John Shelley --1 Dr SE-FS/PS,MANSJSH0,MANSJSHW,5348,37.71862,-122.418255,,JOHN F SHELLEY DR,MANSELL ST,NS,SW,,0,1720006111000,15517648,146,10,POINT (-122.418255 37.71862),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,9,19,73,73
67983,Hyde St&Green St NW-NS,HYDEGRE1,HYDEGREN,5075,37.798342999999996,-122.418956,,GREEN ST,HYDE ST,NS,NW,,0,1720006111000,15518205,146,3,POINT (-122.418956 37.798343),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,32,107,107
68437,Eddy St&Van Ness Ave NE-NS/BZ,EDDYV.N0,EDDYV.N.,4494,37.782987999999996,-122.420613,,VAN NESS AVE,EDDY ST,NS,NE,BZ,1,1720006111000,15516715,146,5,POINT (-122.420613 37.782988),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,10,36,20,20
67242,Ashbury St&Frederick St NW-NS/BZ,ASHBFRE0,,7295,37.767305,-122.446473,,FREDERICK ST,ASHBURY ST,,,,0,1720006111000,15524013,146,5,POINT (-122.446473 37.767305),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,11,3,25,25
68064,Presidio Ave&Jackson St SE-NS/PS,PRESJAC1,PRESJACK,6095,37.79071,-122.4474,,JACKSON ST,PRESIDIO AVE,NS,SE,,1,1720006111000,15524428,146,2,POINT (-122.4474 37.79071),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,6,31,10,10
68660,King St&2nd St W-NS/SI,KING.2SW,KING.2ST,5237,37.779621,-122.389824,1,02ND ST,KING ST,NS,WE,SI,0,1720006111000,15518754,146,6,POINT (-122.389824 37.779621),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,1,10,4,31,31
67681,37th Ave&Lincoln Way SW-FS/PS,37AVLWA0,37AVLWAY,3562,37.764359999999996,-122.496621,,LINCOLN WY,37TH AVE,FS,SW,,0,1720006111000,15515272,146,4,POINT (-122.496621 37.76436),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,7,35,39,39
68212,Parkridge Dr&Burnett Ave SW-FS/BZ,PRDGBRNT,PRDGBRNT,6086,37.750409999999995,-122.44578,,PARKRIDGE DR,BURNETT AVE,FS,SW,BZ,0,1720006111000,15521667,146,8,POINT (-122.44578 37.75041),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,5,38,51,51
68241,Polk St&Francisco St NE-FS/BZ,POLKFNC1,POLKFNCO,5987,37.803653,-122.423231,,FRANCISCO ST,POLK ST,FS,NE,BZ,0,1720006111000,15524181,146,2,POINT (-122.423231 37.803653),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,6,32,107,107
68466,Evans Ave&Mendell St S-FS/BZ,EVANMEN0,EVANMEND,4553,37.740699,-122.384507,,MENDELL ST,EVANS AVE,FS,SO,,0,1720006111000,15517051,146,10,POINT (-122.384507 37.740699),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,1,86,86
65465,Fulton St&4TH Ave NW-FS/BZ,FULT 4A0,FULT 4AV,4730,37.773952,-122.461659,,FULTON ST,04TH AVE,FS,NW,BZ,0,1720006111000,15525273,146,1,POINT (-122.461659 37.773952),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,4,11,5,5
66811,Market St&Noe St S-NS/SI,MRKTNOE,MRKTNOE,5687,37.763957999999995,-122.433323,1,NOE ST,MARKET ST,NS,SO,SI,0,1720006111000,15519291,146,8,POINT (-122.433323 37.763958),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,5,5,38,38
68667,Stockton St&Greenwich St NW-NS/PS,STOKGNW1,STOKGNWH,6517,37.802347,-122.409656,,GREENWICH ST,STOCKTON ST,NS,NW,,0,1720006111000,15521810,146,3,POINT (-122.409656 37.802347),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,23,106,106
67606,Bosworth St&Milton St SW-NS/PS,BOSWMIL1,BOSWMILT,3702,37.733318,-122.42952,,MILTON ST,BOSWORTH ST,NS,SW,,0,1720006111000,15522075,146,8,POINT (-122.42952 37.733318),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,5,28,93,93
67046,Taraval St&44th Ave SW-NS/SI,TARA44A1,TARA44AV,6637,37.741803999999995,-122.502606,1,44TH AVE,TARAVAL ST,NS,SW,,0,1720006111000,15520541,146,4,POINT (-122.502606 37.741804),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,7,35,39,39
68683,Corbett Ave&Hattie St SW-NS/SB,CRBTHATI,CRBTHATI,4180,37.76161,-122.44112,,HATTIE ST,CORBETT AVE,NS,SW,,0,1720006111000,15516745,146,8,POINT (-122.44112 37.76161),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,5,5,115,115
67032,Visitacion Ave&Sawyer St SW-NS/PS,VISISAW1,VISISAWR,6853,37.71324,-122.41453,,SAWYER ST,VISITACION AVE,NS,WE,,0,1720006111000,15520486,146,10,POINT (-122.41453 37.71324),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,9,40,75,75
67462,Bacon St&Girard St NE-NS,BACNGIR0,BACNGIRD,3685,37.72744,-122.40451,,GIRARD ST,BACON ST,NS,NE,FS,0,1720006111000,15522933,146,9,POINT (-122.40451 37.72744),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,2,25,91,91
65789,Lake Merced & Lakeshore N-NS/SB,L M LKS1,,7852,37.729492,-122.49409,,SUNSET BLVD,LAKE MERCED BLVD,,,,0,1720006111000,15526247,146,4,POINT (-122.49409 37.729492),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,35,43,43
65641,Woodside Ave&Balceta Ave SW-NS/SB,WDSDBAL1,WDSDBALC,6933,37.746489,-122.456441,1,BALCETA AVE,WOODSIDE AVE,NS,SW,FL,0,1720006111000,15524728,146,7,POINT (-122.456441 37.746489),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,7,8,41,49,49
66324,Chenery St&Fairmount St SE-NS/PS,CHNYFMN1,CHNYFMNT,3968,37.7389,-122.42579,,FAIRMOUNT ST,CHENERY ST,NS,SE,FL,0,1720006111000,15524278,146,8,POINT (-122.42579 37.7389),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,5,10,59,59
68113,Font Blvd&Serrano Dr W-NS/SB,FONTSERR,,7789,37.719592,-122.479905,,SERRANO DR,FONT BLVD,,,,0,1720006111000,15525979,146,7,POINT (-122.479905 37.719592),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,16,42,42
66168,Mission St&Silver Ave S-NS/BZ,MISSSIL1,MISSSILV,5620,37.728722999999995,-122.43132,,SILVER AVE,MISSION ST,NS,SO,BZ,1,1720006111000,15518614,146,11,POINT (-122.43132 37.728723),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,1,28,94,94
67777,Lombard St&Lyon St SE-FS/SB,LOMBLYO0,LOMBLYON,5283,37.798418,-122.447137,,LYON ST,LOMBARD ST,FS,SE,,0,1720006111000,15518109,146,2,POINT (-122.447137 37.798418),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,6,13,14,14
67508,24th St&Castro St NW-FS/BZ,24STCTR0,24STCTRO,3462,37.75136,-122.434248,,CASTRO ST,24TH ST,FS,NW,BZ,0,1720006111000,15514512,146,8,POINT (-122.434248 37.75136),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,5,22,84,84
65975,Clay St&Grant Ave SE-FS/BZ,CLAYGRN1,CLAYGRNT,4018,37.794263,-122.405971,1,GRANT AVE,CLAY ST,FS,SE,BZ,0,1720006111000,15516264,146,3,POINT (-122.405971 37.794263),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,6,104,104
67297,California St&Kearny St SE-FS,CALIKRN1,CALIKRNY,3872,37.792593,-122.40424999999999,,KEARNY ST,CALIFORNIA ST,FS,SE,,1,1720006111000,15519915,146,3,POINT (-122.40425 37.792593),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,8,108,108
66133,Letterman Dr&Tide Bldg N-MB/SB,LTDRTID1,LTDRTIDE,5293,37.799382,-122.451849,,LINCOLN BLVD,LETTERMAN DR,MB,NO,,0,1720006111000,15523722,146,2,POINT (-122.451849 37.799382),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,,6,27,3,3
67073,Chestnut St&Fillmore St SW-NS/BZ,CHESFIL1,CHESFILL,3942,37.800737999999996,-122.436371,,FILLMORE ST,CHESTNUT ST,NS,SW,BZ,0,1720006111000,15515462,146,2,POINT (-122.436371 37.800738),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,6,13,17,17
65728,Mission St&4th St E-FS/BZ,MISS 4S1,MISS 4ST,5533,37.784639999999996,-122.40393,,04TH ST,MISSION ST,FS,EA,BZ,1,1720006111000,15518169,146,6,POINT (-122.40393 37.78464),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,1,10,8,32,32
68134,Portola Dr&Glenview Dr SE-FS/SB,PORTGLV1,PORTGLVW,6112,37.746359999999996,-122.44764,1,GLENVIEW DR,PORTOLA DR,FS,SE,FL,0,1720006111000,15523145,146,8,POINT (-122.44764 37.74636),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,5,10,57,57
68676,Diamond St&Diamond Heights Blvd  S-FS/PS,DIAMDHTS,DIAMDHTS,7251,37.738199,-122.437424,,DIAMOND HEIGHTS BLVD,DIAMOND ST,FS,SO,FL,0,1720006111000,15523307,146,8,POINT (-122.437424 37.738199),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,5,10,96,96
68367,46th Ave&Rivera St SE-NS/SB,46AVRVR1,46AVRVRA,3595,37.745422999999995,-122.504801,,RIVERA ST,46TH AVE,NS,SE,,0,1720006111000,15515411,146,4,POINT (-122.504801 37.745423),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,7,35,39,39
66799,Noriega St&44th Ave NW-FS/BZ,NORI44A0,NORI44AV,5759,37.75316,-122.50308799999999,,44TH AVE,NORIEGA ST,NS,NE,BZ,0,1720006111000,15521525,146,4,POINT (-122.503088 37.75316),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,7,35,39,39
68596,McAllister St&Hyde St S-MB/PS,MCALHYD1,MCALHYDE,5396,37.780609999999996,-122.41587,,HYDE ST,MCALLISTER ST,MB,SO,FL,0,1720006111000,15518294,146,5,POINT (-122.41587 37.78061),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,5,10,36,21,21
68070,Avenue H&9TH St SE-NS/PS,AVEH.9TH,,7557,37.825151999999996,-122.36980000000001,,09TH TI ST,AVENUE H,,,,0,1720006111000,15525841,146,6,POINT (-122.3698 37.825152),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,1,10,37,36,36
68574,The Embarcadero&Greenwich St SE,EMBRGNW1,EMBRGNWH,4515,37.803263,-122.401113,1,SANSOME ST,THE EMBARCADERO,NS,SE,SI,0,1720006111000,15516968,146,3,POINT (-122.401113 37.803263),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,8,77,77
65547,Monterey Blvd&Baden St NE-NS/BB,MTRYBAD0,MTRYBADN,5422,37.731668,-122.439635,,BADEN ST,MONTEREY BLVD,NS,NE,BB,0,1720006111000,15518471,146,7,POINT (-122.439635 37.731668),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,8,41,95,95
66812,Market St&Sansome St W-FS/BZ,MRKTSAN0,MRKTSANS,5689,37.790012999999995,-122.400491,1,02ND ST,MARKET ST,FS,WE,BZ,1,1720006111000,15519308,146,6,POINT (-122.400491 37.790013),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,10,8,108,108
66613,Judah St&40th Ave NE-NS/SI,JUDA40A0,JUDA40AV,5211,37.760743,-122.499359,1,40TH AVE,JUDAH ST,NS,NE,SI,0,1720006111000,15518342,146,4,POINT (-122.499359 37.760743),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,7,35,39,39
68274,Geary Blvd&St Joseph's Ave SE-FS/BZ,GEARSTJ1,GEARSTJO,4765,37.782795,-122.442541,1,SAINT JOSEPHS AVE,GEARY BLVD,FS,SE,BZ,0,1720006111000,15520208,146,2,POINT (-122.442541 37.782795),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,6,39,13,13
67265,Orizaba Ave&Broad St NW-NS/PS,ORIZBRO0,ORIZBROD,5825,37.713328,-122.462585,,BROAD ST,ORIZABA AVE,NS,NW,,0,1720006111000,15519333,146,11,POINT (-122.462585 37.713328),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,1,24,65,65
