OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
67019,Sloat Blvd&41st Ave S-FS/BZ,SLOA41A0,SLOA41AV,6447,37.73413,-122.498961,,41ST AVE,SLOAT BLVD,FS,SO,BZ,0,1720006111000,15525084,146,7,POINT (-122.498961 37.73413),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,16,43,43
66321,Divisadero St&McAllister St NE-FS,DIVIMCA1,DIVIMCAL,4428,37.77786,-122.43830000000001,,MCALLISTER ST,DIVISADERO ST,FS,NE,BZ,0,1720006111000,15524275,146,5,POINT (-122.4383 37.77786),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,11,39,97,97
68621,Balboa Park BART Station NE-MB/BZ,GNVABART,GNVABART,4803,37.720801,-122.446738,,SAN JOSE AVE,GENEVA AVE,MB,NE,BZ,0,1720006111000,15517068,146,11,POINT (-122.446738 37.720801),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,1,28,80,80
67457,Silver Ave&Palou Ave S-NS/PS,SILVPAL0,SILVPALU,6416,37.737100000000005,-122.39663,,PALOU AVE,SILVER AVE,NS,SO,,0,1720006111000,15522922,146,10,POINT (-122.39663 37.7371),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,1,87,87
67292,Portola Dr&San Lorenzo Ave SE-FS,PORTSNL1,PORTSNLR,6120,37.73993,-122.46368,,SAN LORENZO AVE,PORTOLA DR,FS,SE,,0,1720006111000,15519873,146,7,POINT (-122.46368 37.73993),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,41,116,116
68173,25th Ave&Geary Blvd NW-NS/BZ,25AVGEA1,25AVGEAR,3500,37.780255,-122.484837,,GEARY BLVD,25TH AVE,NS,NW,BZ,1,1720006111000,15515179,146,1,POINT (-122.484837 37.780255),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,4,29,8,8
67221,Schwerin St&Geneva Ave N-NS/PS,SHWNGNV0,SHWNGNVA,6384,37.70657,-122.41326,1,GENEVA AVE,SCHWERIN ST,NS,NO,,0,1720006111000,15522479,146,,POINT (-122.41326 37.70657),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,,,,,
66656,Bayshore Blvd&Arleta Ave W-FS/BZ,BSHRARL0,BSHRARLT,3772,37.712208,-122.402523,1,ARLETA AVE,BAYSHORE BLVD,FS,WE,,0,1720006111000,15516097,146,10,POINT (-122.402523 37.712208),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,9,40,75,75
68670,Ocean Ave&Aptos Ave E-NS/SI,OCENAPT1,OCENAPTO,5779,37.728285,-122.467561,2,APTOS AVE,OCEAN AVE,NS,EA,SI,0,1720006111000,15521822,146,7,POINT (-122.467561 37.728285),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,41,63,63
66570,Kearny St&Sutter St SE-NS/BZ,KRNYSUT1,KRNYSUTT,4826,37.789746,-122.403724,,SUTTER ST,KEARNY ST,NS,SE,BZ,1,1720006111000,15517570,146,3,POINT (-122.403724 37.789746),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,8,19,19
