Fiscal Year,Month,Service Day of the Week,Transportation Mode,Average Daily Boardings
FY 17-18,June 2018,SATURDAY,Cable Car,"19,510"
FY 17-18,June 2018,WEEKDAY,Cable Car,"17,920"
FY 18-19,July 2018,SUNDAY,Cable Car,"18,810"
FY 18-19,July 2018,SATURDAY,Cable Car,"19,620"
FY 18-19,July 2018,WEEKDAY,Cable Car,"21,020"
FY 18-19,August 2018,SUNDAY,Cable Car,"19,160"
FY 18-19,August 2018,SATURDAY,Cable Car,"19,980"
FY 18-19,August 2018,WEEKDAY,Cable Car,"21,410"
FY 18-19,September 2018,SUNDAY,Cable Car,"15,950"
FY 18-19,September 2018,SATURDAY,Cable Car,"16,630"
FY 18-19,September 2018,WEEKDAY,Cable Car,"17,820"
FY 18-19,October 2018,SUNDAY,Cable Car,"15,570"
FY 18-19,October 2018,SATURDAY,Cable Car,"16,240"
FY 18-19,October 2018,WEEKDAY,Cable Car,"17,380"
FY 18-19,November 2018,SUNDAY,Cable Car,"12,280"
FY 18-19,November 2018,SATURDAY,Cable Car,"12,820"
FY 18-19,November 2018,WEEKDAY,Cable Car,"13,720"
FY 18-19,December 2018,SUNDAY,Cable Car,"12,060"
FY 18-19,December 2018,SATURDAY,Cable Car,"12,570"
FY 18-19,December 2018,WEEKDAY,Cable Car,"13,470"
FY 18-19,January 2019,SUNDAY,Cable Car,"10,890"
FY 18-19,January 2019,SATURDAY,Cable Car,"11,350"
FY 18-19,January 2019,WEEKDAY,Cable Car,"12,170"
FY 18-19,February 2019,SUNDAY,Cable Car,"10,250"
FY 18-19,February 2019,SATURDAY,Cable Car,"10,690"
FY 18-19,February 2019,WEEKDAY,Cable Car,"11,440"
FY 18-19,March 2019,SUNDAY,Cable Car,"13,590"
FY 18-19,March 2019,SATURDAY,Cable Car,"14,170"
FY 18-19,March 2019,WEEKDAY,Cable Car,"15,180"
FY 18-19,April 2019,SUNDAY,Cable Car,"13,750"
FY 18-19,April 2019,SATURDAY,Cable Car,"14,330"
FY 18-19,April 2019,WEEKDAY,Cable Car,"15,360"
FY 18-19,May 2019,SUNDAY,Cable Car,"14,930"
FY 18-19,May 2019,SATURDAY,Cable Car,"15,570"
FY 18-19,May 2019,WEEKDAY,Cable Car,"16,680"
FY 18-19,June 2019,SUNDAY,Cable Car,"15,240"
FY 18-19,June 2019,SATURDAY,Cable Car,"15,890"
FY 18-19,June 2019,WEEKDAY,Cable Car,"17,020"
FY 19-20,July 2019,SUNDAY,Cable Car,"18,360"
FY 19-20,July 2019,SATURDAY,Cable Car,"17,890"
FY 19-20,July 2019,WEEKDAY,Cable Car,"19,580"
FY 19-20,August 2019,SUNDAY,Cable Car,"18,710"
FY 19-20,August 2019,SATURDAY,Cable Car,"18,220"
FY 19-20,August 2019,WEEKDAY,Cable Car,"19,950"
FY 19-20,September 2019,SUNDAY,Cable Car,"15,570"
FY 19-20,September 2019,SATURDAY,Cable Car,"15,170"
FY 19-20,September 2019,WEEKDAY,Cable Car,"16,600"
FY 19-20,October 2019,SUNDAY,Cable Car,"15,200"
FY 19-20,October 2019,SATURDAY,Cable Car,"14,800"
FY 19-20,October 2019,WEEKDAY,Cable Car,"16,190"
FY 19-20,November 2019,SUNDAY,Cable Car,"11,990"
FY 19-20,November 2019,SATURDAY,Cable Car,"11,690"
FY 19-20,November 2019,WEEKDAY,Cable Car,"12,780"
FY 19-20,December 2019,SUNDAY,Cable Car,"11,770"
FY 19-20,December 2019,SATURDAY,Cable Car,"11,470"
FY 19-20,December 2019,WEEKDAY,Cable Car,"12,540"
FY 19-20,January 2020,SUNDAY,Cable Car,"10,630"
FY 19-20,January 2020,SATURDAY,Cable Car,"10,360"
FY 19-20,January 2020,WEEKDAY,Cable Car,"11,320"
FY 19-20,February 2020,SUNDAY,Cable Car,"10,020"
FY 19-20,February 2020,SATURDAY,Cable Car,"9,750"
FY 19-20,February 2020,WEEKDAY,Cable Car,"10,670"
FY 19-20,March 2020,SUNDAY,Cable Car,"13,260"
FY 19-20,March 2020,SATURDAY,Cable Car,"12,920"
FY 19-20,March 2020,WEEKDAY,Cable Car,"14,140"
FY 15-16,January 2016,SUNDAY,Connector,"7,900"
FY 15-16,January 2016,SATURDAY,Connector,"9,700"
FY 15-16,January 2016,WEEKDAY,Connector,"15,260"
FY 15-16,February 2016,SUNDAY,Connector,"9,900"
FY 15-16,February 2016,SATURDAY,Connector,"11,290"
FY 15-16,February 2016,WEEKDAY,Connector,"16,450"
FY 15-16,March 2016,SUNDAY,Connector,"8,120"
FY 15-16,March 2016,SATURDAY,Connector,"10,820"
FY 15-16,March 2016,WEEKDAY,Connector,"16,300"
FY 15-16,April 2016,SUNDAY,Connector,"9,150"
FY 15-16,April 2016,SATURDAY,Connector,"10,630"
FY 15-16,April 2016,WEEKDAY,Connector,"16,940"
FY 15-16,May 2016,SUNDAY,Connector,"9,580"
FY 15-16,May 2016,SATURDAY,Connector,"10,560"
FY 15-16,May 2016,WEEKDAY,Connector,"16,940"
FY 15-16,June 2016,SUNDAY,Connector,"10,310"
FY 15-16,June 2016,SATURDAY,Connector,"11,180"
FY 15-16,June 2016,WEEKDAY,Connector,"16,460"
FY 16-17,July 2016,SUNDAY,Connector,"9,450"
FY 16-17,July 2016,SATURDAY,Connector,"10,750"
FY 16-17,July 2016,WEEKDAY,Connector,"16,440"
FY 16-17,August 2016,SUNDAY,Connector,"9,160"
FY 16-17,August 2016,SATURDAY,Connector,"11,290"
FY 16-17,August 2016,WEEKDAY,Connector,"18,160"
FY 16-17,September 2016,SUNDAY,Connector,"9,730"
FY 16-17,September 2016,SATURDAY,Connector,"10,980"
FY 16-17,September 2016,WEEKDAY,Connector,"17,710"
FY 16-17,October 2016,SUNDAY,Connector,"9,140"
FY 16-17,October 2016,SATURDAY,Connector,"11,890"
FY 16-17,October 2016,WEEKDAY,Connector,"17,390"
FY 16-17,November 2016,SUNDAY,Connector,"9,450"
FY 16-17,November 2016,SATURDAY,Connector,"11,600"
FY 16-17,November 2016,WEEKDAY,Connector,"17,530"
FY 16-17,December 2016,SUNDAY,Connector,"7,990"
FY 16-17,December 2016,SATURDAY,Connector,"12,220"
FY 16-17,December 2016,WEEKDAY,Connector,"16,190"
