Fiscal Year,Month,Service Day of the Week,Transportation Mode,Average Daily Boardings
FY 15-16,February 2016,SATURDAY,Frequent Local,"181,150"
FY 15-16,February 2016,WEEKDAY,Frequent Local,"218,490"
FY 15-16,March 2016,SUNDAY,Frequent Local,"141,170"
FY 15-16,March 2016,SATURDAY,Frequent Local,"165,210"
FY 15-16,March 2016,WEEKDAY,Frequent Local,"207,090"
FY 15-16,April 2016,SUNDAY,Frequent Local,"148,190"
FY 15-16,April 2016,SATURDAY,Frequent Local,"174,470"
FY 15-16,April 2016,WEEKDAY,Frequent Local,"212,260"
FY 15-16,May 2016,SUNDAY,Frequent Local,"153,250"
FY 15-16,May 2016,SATURDAY,Frequent Local,"175,660"
FY 15-16,May 2016,WEEKDAY,Frequent Local,"214,710"
FY 15-16,June 2016,SUNDAY,Frequent Local,"151,330"
FY 15-16,June 2016,SATURDAY,Frequent Local,"175,410"
FY 15-16,June 2016,WEEKDAY,Frequent Local,"207,250"
FY 16-17,July 2016,SUNDAY,Frequent Local,"150,460"
FY 16-17,July 2016,SATURDAY,Frequent Local,"171,060"
FY 16-17,July 2016,WEEKDAY,Frequent Local,"207,330"
FY 16-17,August 2016,SUNDAY,Frequent Local,"157,000"
FY 16-17,August 2016,SATURDAY,Frequent Local,"172,290"
FY 16-17,August 2016,WEEKDAY,Frequent Local,"217,680"
FY 16-17,September 2016,SUNDAY,Frequent Local,"150,490"
FY 16-17,September 2016,SATURDAY,Frequent Local,"174,200"
FY 16-17,September 2016,WEEKDAY,Frequent Local,"219,120"
FY 16-17,October 2016,SUNDAY,Frequent Local,"146,720"
FY 16-17,October 2016,SATURDAY,Frequent Local,"175,950"
FY 16-17,October 2016,WEEKDAY,Frequent Local,"217,250"
FY 16-17,November 2016,SUNDAY,Frequent Local,"140,980"
FY 16-17,November 2016,SATURDAY,Frequent Local,"167,180"
FY 16-17,November 2016,WEEKDAY,Frequent Local,"209,970"
FY 16-17,December 2016,SUNDAY,Frequent Local,"130,130"
FY 16-17,December 2016,SATURDAY,Frequent Local,"153,740"
FY 16-17,December 2016,WEEKDAY,Frequent Local,"199,360"
FY 16-17,January 2017,SUNDAY,Frequent Local,"125,400"
FY 16-17,January 2017,SATURDAY,Frequent Local,"159,760"
FY 16-17,January 2017,WEEKDAY,Frequent Local,"202,370"
FY 16-17,February 2017,SUNDAY,Frequent Local,"137,930"
FY 16-17,February 2017,SATURDAY,Frequent Local,"165,360"
FY 16-17,February 2017,WEEKDAY,Frequent Local,"210,740"
FY 16-17,March 2017,SUNDAY,Frequent Local,"140,530"
FY 16-17,March 2017,SATURDAY,Frequent Local,"161,470"
FY 16-17,March 2017,WEEKDAY,Frequent Local,"204,320"
FY 16-17,April 2017,SUNDAY,Frequent Local,"146,870"
FY 16-17,April 2017,SATURDAY,Frequent Local,"167,620"
FY 16-17,April 2017,WEEKDAY,Frequent Local,"209,760"
FY 16-17,May 2017,SUNDAY,Frequent Local,"151,000"
FY 16-17,May 2017,SATURDAY,Frequent Local,"177,560"
FY 16-17,May 2017,WEEKDAY,Frequent Local,"220,440"
FY 16-17,June 2017,SUNDAY,Frequent Local,"154,170"
FY 16-17,June 2017,SATURDAY,Frequent Local,"181,490"
FY 16-17,June 2017,WEEKDAY,Frequent Local,"212,280"
FY 17-18,July 2017,SUNDAY,Frequent Local,"155,670"
FY 17-18,July 2017,SATURDAY,Frequent Local,"185,210"
FY 17-18,July 2017,WEEKDAY,Frequent Local,"211,860"
FY 17-18,August 2017,SUNDAY,Frequent Local,"158,410"
FY 17-18,August 2017,SATURDAY,Frequent Local,"188,570"
FY 17-18,August 2017,WEEKDAY,Frequent Local,"220,130"
FY 17-18,September 2017,SUNDAY,Frequent Local,"157,050"
FY 17-18,September 2017,SATURDAY,Frequent Local,"190,110"
FY 17-18,September 2017,WEEKDAY,Frequent Local,"232,270"
FY 17-18,October 2017,SUNDAY,Frequent Local,"158,860"
FY 17-18,October 2017,SATURDAY,Frequent Local,"190,790"
FY 17-18,October 2017,WEEKDAY,Frequent Local,"226,180"
FY 17-18,November 2017,SUNDAY,Frequent Local,"137,620"
FY 17-18,November 2017,SATURDAY,Frequent Local,"173,370"
FY 17-18,November 2017,WEEKDAY,Frequent Local,"208,620"
FY 17-18,December 2017,SUNDAY,Frequent Local,"132,870"
FY 17-18,December 2017,SATURDAY,Frequent Local,"167,220"
FY 17-18,December 2017,WEEKDAY,Frequent Local,"211,330"
FY 17-18,January 2018,SUNDAY,Frequent Local,"141,040"
FY 17-18,January 2018,SATURDAY,Frequent Local,"166,730"
FY 17-18,January 2018,WEEKDAY,Frequent Local,"203,180"
FY 17-18,February 2018,SUNDAY,Frequent Local,"148,940"
FY 17-18,February 2018,SATURDAY,Frequent Local,"177,380"
FY 17-18,February 2018,WEEKDAY,Frequent Local,"220,290"
FY 17-18,March 2018,SUNDAY,Frequent Local,"144,090"
FY 17-18,March 2018,SATURDAY,Frequent Local,"168,000"
FY 17-18,March 2018,WEEKDAY,Frequent Local,"211,440"
FY 17-18,April 2018,SUNDAY,Frequent Local,"152,420"
FY 17-18,April 2018,SATURDAY,Frequent Local,"179,200"
FY 17-18,April 2018,WEEKDAY,Frequent Local,"220,050"
FY 17-18,May 2018,SUNDAY,Frequent Local,"151,880"
FY 17-18,May 2018,SATURDAY,Frequent Local,"179,170"
FY 17-18,May 2018,WEEKDAY,Frequent Local,"222,350"
FY 17-18,June 2018,SUNDAY,Frequent Local,"157,020"
FY 17-18,June 2018,SATURDAY,Frequent Local,"179,170"
FY 17-18,June 2018,WEEKDAY,Frequent Local,"216,690"
FY 18-19,July 2018,SUNDAY,Frequent Local,"155,960"
FY 18-19,July 2018,SATURDAY,Frequent Local,"175,910"
FY 18-19,July 2018,WEEKDAY,Frequent Local,"213,030"
FY 18-19,August 2018,SUNDAY,Frequent Local,"162,930"
FY 18-19,August 2018,SATURDAY,Frequent Local,"187,290"
FY 18-19,August 2018,WEEKDAY,Frequent Local,"222,420"
FY 18-19,September 2018,SUNDAY,Frequent Local,"154,230"
FY 18-19,September 2018,SATURDAY,Frequent Local,"184,770"
FY 18-19,September 2018,WEEKDAY,Frequent Local,"223,920"
FY 18-19,October 2018,SUNDAY,Frequent Local,"158,180"
FY 18-19,October 2018,SATURDAY,Frequent Local,"183,760"
FY 18-19,October 2018,WEEKDAY,Frequent Local,"223,000"
FY 18-19,November 2018,SUNDAY,Frequent Local,"133,560"
FY 18-19,November 2018,SATURDAY,Frequent Local,"166,630"
FY 18-19,November 2018,WEEKDAY,Frequent Local,"204,750"
FY 18-19,December 2018,SUNDAY,Frequent Local,"131,770"
FY 18-19,December 2018,SATURDAY,Frequent Local,"172,030"
FY 18-19,December 2018,WEEKDAY,Frequent Local,"206,600"
FY 18-19,January 2019,SUNDAY,Frequent Local,"121,970"
FY 18-19,January 2019,SATURDAY,Frequent Local,"169,440"
FY 18-19,January 2019,WEEKDAY,Frequent Local,"215,170"
FY 18-19,February 2019,SUNDAY,Frequent Local,"146,030"
FY 18-19,February 2019,SATURDAY,Frequent Local,"167,920"
FY 18-19,February 2019,WEEKDAY,Frequent Local,"217,410"
FY 18-19,March 2019,SUNDAY,Frequent Local,"148,120"
FY 18-19,March 2019,SATURDAY,Frequent Local,"177,490"
FY 18-19,March 2019,WEEKDAY,Frequent Local,"217,430"
FY 18-19,April 2019,SUNDAY,Frequent Local,"151,450"
FY 18-19,April 2019,SATURDAY,Frequent Local,"183,300"
FY 18-19,April 2019,WEEKDAY,Frequent Local,"219,250"
FY 18-19,May 2019,SUNDAY,Frequent Local,"148,570"
FY 18-19,May 2019,SATURDAY,Frequent Local,"173,170"
FY 18-19,May 2019,WEEKDAY,Frequent Local,"224,370"
FY 18-19,June 2019,SUNDAY,Frequent Local,"152,890"
FY 18-19,June 2019,SATURDAY,Frequent Local,"185,660"
FY 18-19,June 2019,WEEKDAY,Frequent Local,"217,960"
FY 19-20,July 2019,SUNDAY,Frequent Local,"149,480"
FY 19-20,July 2019,SATURDAY,Frequent Local,"177,000"
FY 19-20,July 2019,WEEKDAY,Frequent Local,"208,860"
FY 19-20,August 2019,SUNDAY,Frequent Local,"158,920"
FY 19-20,August 2019,SATURDAY,Frequent Local,"181,960"
FY 19-20,August 2019,WEEKDAY,Frequent Local,"211,160"
FY 19-20,September 2019,SUNDAY,Frequent Local,"159,250"
FY 19-20,September 2019,SATURDAY,Frequent Local,"187,290"
FY 19-20,September 2019,WEEKDAY,Frequent Local,"229,550"
FY 19-20,October 2019,SUNDAY,Frequent Local,"157,960"
FY 19-20,October 2019,SATURDAY,Frequent Local,"189,000"
FY 19-20,October 2019,WEEKDAY,Frequent Local,"228,030"
FY 19-20,November 2019,SUNDAY,Frequent Local,"145,900"
FY 19-20,November 2019,SATURDAY,Frequent Local,"170,390"
FY 19-20,November 2019,WEEKDAY,Frequent Local,"216,690"
FY 19-20,December 2019,SUNDAY,Frequent Local,"131,330"
FY 19-20,December 2019,SATURDAY,Frequent Local,"172,590"
FY 19-20,December 2019,WEEKDAY,Frequent Local,"207,990"
FY 19-20,January 2020,SUNDAY,Frequent Local,"146,000"
FY 19-20,January 2020,SATURDAY,Frequent Local,"172,490"
FY 19-20,January 2020,WEEKDAY,Frequent Local,"215,920"
FY 19-20,February 2020,SUNDAY,Frequent Local,"148,720"
FY 19-20,February 2020,SATURDAY,Frequent Local,"177,890"
FY 19-20,February 2020,WEEKDAY,Frequent Local,"225,540"
FY 19-20,March 2020,SUNDAY,Frequent Local,"85,880"
FY 19-20,March 2020,SATURDAY,Frequent Local,"90,220"
FY 19-20,March 2020,WEEKDAY,Frequent Local,"126,600"
FY 19-20,April 2020,SUNDAY,Frequent Local,"37,750"
FY 19-20,April 2020,SATURDAY,Frequent Local,"44,120"
FY 19-20,April 2020,WEEKDAY,Frequent Local,"52,550"
FY 19-20,May 2020,SUNDAY,Frequent Local,"45,420"
FY 19-20,May 2020,SATURDAY,Frequent Local,"53,470"
FY 19-20,May 2020,WEEKDAY,Frequent Local,"63,620"
FY 19-20,June 2020,SUNDAY,Frequent Local,"54,540"
FY 19-20,June 2020,SATURDAY,Frequent Local,"63,620"
FY 19-20,June 2020,WEEKDAY,Frequent Local,"72,940"
FY 20-21,July 2020,SUNDAY,Frequent Local,"57,670"
FY 20-21,July 2020,SATURDAY,Frequent Local,"68,820"
FY 20-21,July 2020,WEEKDAY,Frequent Local,"78,480"
FY 20-21,August 2020,SUNDAY,Frequent Local,"59,360"
FY 20-21,August 2020,SATURDAY,Frequent Local,"71,220"
FY 20-21,August 2020,WEEKDAY,Frequent Local,"80,570"
FY 20-21,September 2020,SUNDAY,Frequent Local,"63,880"
FY 20-21,September 2020,SATURDAY,Frequent Local,"77,830"
FY 20-21,September 2020,WEEKDAY,Frequent Local,"85,650"
FY 20-21,October 2020,SUNDAY,Frequent Local,"68,450"
FY 20-21,October 2020,SATURDAY,Frequent Local,"82,600"
FY 20-21,October 2020,WEEKDAY,Frequent Local,"91,130"
FY 20-21,November 2020,SUNDAY,Frequent Local,"65,190"
FY 20-21,November 2020,SATURDAY,Frequent Local,"80,730"
FY 20-21,November 2020,WEEKDAY,Frequent Local,"89,580"
FY 20-21,December 2020,SUNDAY,Frequent Local,"53,590"
FY 20-21,December 2020,SATURDAY,Frequent Local,"71,860"
FY 20-21,December 2020,WEEKDAY,Frequent Local,"84,340"
FY 20-21,January 2021,SUNDAY,Frequent Local,"58,600"
FY 20-21,January 2021,SATURDAY,Frequent Local,"73,150"
FY 20-21,January 2021,WEEKDAY,Frequent Local,"80,520"
FY 20-21,February 2021,SUNDAY,Frequent Local,"69,410"
FY 20-21,February 2021,SATURDAY,Frequent Local,"81,200"
FY 20-21,February 2021,WEEKDAY,Frequent Local,"87,650"
FY 20-21,March 2021,SUNDAY,Frequent Local,"72,290"
FY 20-21,March 2021,SATURDAY,Frequent Local,"88,910"
FY 20-21,March 2021,WEEKDAY,Frequent Local,"91,830"
FY 20-21,April 2021,SUNDAY,Frequent Local,"73,160"
FY 20-21,April 2021,SATURDAY,Frequent Local,"90,980"
FY 20-21,April 2021,WEEKDAY,Frequent Local,"96,780"
FY 20-21,May 2021,SUNDAY,Frequent Local,"82,910"
FY 20-21,May 2021,SATURDAY,Frequent Local,"95,200"
FY 20-21,May 2021,WEEKDAY,Frequent Local,"105,130"
FY 20-21,June 2021,SUNDAY,Frequent Local,"86,260"
FY 20-21,June 2021,SATURDAY,Frequent Local,"103,530"
FY 20-21,June 2021,WEEKDAY,Frequent Local,"116,100"
FY 21-22,July 2021,SUNDAY,Frequent Local,"91,530"
FY 21-22,July 2021,SATURDAY,Frequent Local,"108,810"
FY 21-22,July 2021,WEEKDAY,Frequent Local,"122,250"
FY 21-22,August 2021,SUNDAY,Frequent Local,"92,360"
FY 21-22,August 2021,SATURDAY,Frequent Local,"108,830"
FY 21-22,August 2021,WEEKDAY,Frequent Local,"130,260"
FY 21-22,September 2021,SUNDAY,Frequent Local,"97,910"
FY 21-22,September 2021,SATURDAY,Frequent Local,"114,690"
FY 21-22,September 2021,WEEKDAY,Frequent Local,"141,710"
FY 21-22,October 2021,SUNDAY,Frequent Local,"90,430"
FY 21-22,October 2021,SATURDAY,Frequent Local,"120,960"
FY 21-22,October 2021,WEEKDAY,Frequent Local,"136,660"
FY 21-22,November 2021,SUNDAY,Frequent Local,"91,760"
FY 21-22,November 2021,SATURDAY,Frequent Local,"114,010"
FY 21-22,November 2021,WEEKDAY,Frequent Local,"138,880"
FY 21-22,December 2021,SUNDAY,Frequent Local,"83,950"
FY 21-22,December 2021,SATURDAY,Frequent Local,"98,100"
FY 21-22,December 2021,WEEKDAY,Frequent Local,"129,340"
FY 21-22,January 2022,SUNDAY,Frequent Local,"87,480"
FY 21-22,January 2022,SATURDAY,Frequent Local,"97,410"
FY 21-22,January 2022,WEEKDAY,Frequent Local,"127,710"
FY 21-22,February 2022,SUNDAY,Frequent Local,"89,660"
FY 21-22,February 2022,SATURDAY,Frequent Local,"105,600"
FY 21-22,February 2022,WEEKDAY,Frequent Local,"136,260"
FY 21-22,March 2022,SUNDAY,Frequent Local,"97,290"
FY 21-22,March 2022,SATURDAY,Frequent Local,"113,270"
FY 21-22,March 2022,WEEKDAY,Frequent Local,"147,410"
FY 21-22,April 2022,SUNDAY,Frequent Local,"106,460"
FY 21-22,April 2022,SATURDAY,Frequent Local,"126,430"
FY 21-22,April 2022,WEEKDAY,Frequent Local,"154,200"
FY 21-22,May 2022,SUNDAY,Frequent Local,"109,750"
FY 21-22,May 2022,SATURDAY,Frequent Local,"129,710"
FY 21-22,May 2022,WEEKDAY,Frequent Local,"157,550"
FY 21-22,June 2022,SUNDAY,Frequent Local,"116,040"
FY 21-22,June 2022,SATURDAY,Frequent Local,"136,880"
FY 21-22,June 2022,WEEKDAY,Frequent Local,"154,990"
FY 22-23,July 2022,SUNDAY,Frequent Local,"116,420"
FY 22-23,July 2022,SATURDAY,Frequent Local,"135,710"
FY 22-23,July 2022,WEEKDAY,Frequent Local,"152,460"
FY 22-23,August 2022,SUNDAY,Frequent Local,"127,080"
FY 22-23,August 2022,SATURDAY,Frequent Local,"146,920"
FY 22-23,August 2022,WEEKDAY,Frequent Local,"162,750"
FY 22-23,September 2022,SUNDAY,Frequent Local,"122,580"
FY 22-23,September 2022,SATURDAY,Frequent Local,"149,760"
FY 22-23,September 2022,WEEKDAY,Frequent Local,"177,780"
FY 22-23,October 2022,SUNDAY,Frequent Local,"126,530"
FY 22-23,October 2022,SATURDAY,Frequent Local,"152,000"
FY 22-23,October 2022,WEEKDAY,Frequent Local,"175,360"
FY 22-23,November 2022,SUNDAY,Frequent Local,"117,170"
FY 22-23,November 2022,SATURDAY,Frequent Local,"141,270"
FY 22-23,November 2022,WEEKDAY,Frequent Local,"166,270"
FY 22-23,December 2022,SUNDAY,Frequent Local,"109,530"
FY 22-23,December 2022,SATURDAY,Frequent Local,"117,960"
FY 22-23,December 2022,WEEKDAY,Frequent Local,"156,570"
FY 22-23,January 2023,SUNDAY,Frequent Local,"115,430"
FY 22-23,January 2023,SATURDAY,Frequent Local,"130,010"
FY 22-23,January 2023,WEEKDAY,Frequent Local,"162,520"
FY 22-23,February 2023,SUNDAY,Frequent Local,"121,280"
FY 22-23,February 2023,SATURDAY,Frequent Local,"143,060"
FY 22-23,February 2023,WEEKDAY,Frequent Local,"172,550"
FY 22-23,March 2023,SUNDAY,Frequent Local,"120,270"
FY 22-23,March 2023,SATURDAY,Frequent Local,"147,670"
FY 22-23,March 2023,WEEKDAY,Frequent Local,"171,160"
FY 22-23,April 2023,SUNDAY,Frequent Local,"134,800"
FY 22-23,April 2023,SATURDAY,Frequent Local,"160,710"
FY 22-23,April 2023,WEEKDAY,Frequent Local,"182,950"
FY 22-23,May 2023,SUNDAY,Frequent Local,"131,350"
FY 22-23,May 2023,SATURDAY,Frequent Local,"153,790"
FY 22-23,May 2023,WEEKDAY,Frequent Local,"183,440"
FY 22-23,June 2023,SUNDAY,Frequent Local,"134,820"
FY 22-23,June 2023,SATURDAY,Frequent Local,"158,190"
FY 22-23,June 2023,WEEKDAY,Frequent Local,"175,680"
FY 23-24,July 2023,SUNDAY,Frequent Local,"139,330"
FY 23-24,July 2023,SATURDAY,Frequent Local,"163,840"
FY 23-24,July 2023,WEEKDAY,Frequent Local,"174,690"
FY 23-24,August 2023,SUNDAY,Frequent Local,"147,090"
FY 23-24,August 2023,SATURDAY,Frequent Local,"166,120"
FY 23-24,August 2023,WEEKDAY,Frequent Local,"184,180"
FY 23-24,September 2023,SUNDAY,Frequent Local,"144,880"
FY 23-24,September 2023,SATURDAY,Frequent Local,"163,020"
FY 23-24,September 2023,WEEKDAY,Frequent Local,"191,840"
FY 23-24,October 2023,SUNDAY,Frequent Local,"141,320"
FY 23-24,October 2023,SATURDAY,Frequent Local,"164,360"
FY 23-24,October 2023,WEEKDAY,Frequent Local,"190,190"
FY 23-24,November 2023,SUNDAY,Frequent Local,"126,270"
FY 23-24,November 2023,SATURDAY,Frequent Local,"158,090"
FY 23-24,November 2023,WEEKDAY,Frequent Local,"176,680"
FY 23-24,December 2023,SUNDAY,Frequent Local,"130,580"
FY 23-24,December 2023,SATURDAY,Frequent Local,"144,290"
FY 23-24,December 2023,WEEKDAY,Frequent Local,"171,850"
FY 23-24,January 2024,SUNDAY,Frequent Local,"130,540"
FY 23-24,January 2024,SATURDAY,Frequent Local,"144,040"
FY 23-24,January 2024,WEEKDAY,Frequent Local,"175,730"
FY 23-24,February 2024,SUNDAY,Frequent Local,"128,300"
FY 23-24,February 2024,SATURDAY,Frequent Local,"157,260"
FY 23-24,February 2024,WEEKDAY,Frequent Local,"186,190"
FY 23-24,March 2024,SUNDAY,Frequent Local,"140,620"
FY 23-24,March 2024,SATURDAY,Frequent Local,"165,550"
FY 23-24,March 2024,WEEKDAY,Frequent Local,"190,450"
FY 23-24,April 2024,SUNDAY,Frequent Local,"146,940"
FY 23-24,April 2024,SATURDAY,Frequent Local,"167,350"
FY 23-24,April 2024,WEEKDAY,Frequent Local,"187,700"
FY 23-24,May 2024,SUNDAY,Frequent Local,"145,090"
FY 23-24,May 2024,SATURDAY,Frequent Local,"157,070"
FY 23-24,May 2024,WEEKDAY,Frequent Local,"196,200"
FY 23-24,June 2024,SUNDAY,Frequent Local,"152,400"
FY 23-24,June 2024,SATURDAY,Frequent Local,"172,750"
FY 23-24,June 2024,WEEKDAY,Frequent Local,"185,770"
FY 15-16,January 2016,SUNDAY,Grid,"82,060"
FY 15-16,January 2016,SATURDAY,Grid,"104,400"
FY 15-16,January 2016,WEEKDAY,Grid,"153,690"
FY 15-16,February 2016,SUNDAY,Grid,"93,720"
FY 15-16,February 2016,SATURDAY,Grid,"115,150"
FY 15-16,February 2016,WEEKDAY,Grid,"164,470"
FY 15-16,March 2016,SUNDAY,Grid,"85,380"
FY 15-16,March 2016,SATURDAY,Grid,"100,330"
FY 15-16,March 2016,WEEKDAY,Grid,"152,590"
FY 15-16,April 2016,SUNDAY,Grid,"86,270"
FY 15-16,April 2016,SATURDAY,Grid,"103,720"
FY 15-16,April 2016,WEEKDAY,Grid,"154,960"
FY 15-16,May 2016,SUNDAY,Grid,"88,610"
FY 15-16,May 2016,SATURDAY,Grid,"102,800"
FY 15-16,May 2016,WEEKDAY,Grid,"154,830"
FY 15-16,June 2016,SUNDAY,Grid,"91,010"
FY 15-16,June 2016,SATURDAY,Grid,"102,920"
FY 15-16,June 2016,WEEKDAY,Grid,"145,990"
FY 16-17,July 2016,SUNDAY,Grid,"85,200"
FY 16-17,July 2016,SATURDAY,Grid,"99,950"
FY 16-17,July 2016,WEEKDAY,Grid,"143,570"
FY 16-17,August 2016,SUNDAY,Grid,"82,490"
FY 16-17,August 2016,SATURDAY,Grid,"100,300"
FY 16-17,August 2016,WEEKDAY,Grid,"154,590"
FY 16-17,September 2016,SUNDAY,Grid,"87,210"
FY 16-17,September 2016,SATURDAY,Grid,"104,100"
FY 16-17,September 2016,WEEKDAY,Grid,"157,840"
FY 16-17,October 2016,SUNDAY,Grid,"81,070"
FY 16-17,October 2016,SATURDAY,Grid,"104,040"
FY 16-17,October 2016,WEEKDAY,Grid,"154,470"
FY 16-17,November 2016,SUNDAY,Grid,"81,600"
FY 16-17,November 2016,SATURDAY,Grid,"102,820"
FY 16-17,November 2016,WEEKDAY,Grid,"151,280"
FY 16-17,December 2016,SUNDAY,Grid,"70,320"
FY 16-17,December 2016,SATURDAY,Grid,"93,390"
FY 16-17,December 2016,WEEKDAY,Grid,"137,980"
FY 16-17,January 2017,SUNDAY,Grid,"69,220"
FY 16-17,January 2017,SATURDAY,Grid,"84,070"
FY 16-17,January 2017,WEEKDAY,Grid,"132,260"
FY 16-17,February 2017,SUNDAY,Grid,"71,020"
FY 16-17,February 2017,SATURDAY,Grid,"91,010"
FY 16-17,February 2017,WEEKDAY,Grid,"144,060"
FY 16-17,March 2017,SUNDAY,Grid,"82,580"
FY 16-17,March 2017,SATURDAY,Grid,"101,030"
FY 16-17,March 2017,WEEKDAY,Grid,"145,840"
FY 16-17,April 2017,SUNDAY,Grid,"84,070"
FY 16-17,April 2017,SATURDAY,Grid,"99,800"
FY 16-17,April 2017,WEEKDAY,Grid,"152,740"
FY 16-17,May 2017,SUNDAY,Grid,"82,370"
FY 16-17,May 2017,SATURDAY,Grid,"97,960"
FY 16-17,May 2017,WEEKDAY,Grid,"151,630"
FY 16-17,June 2017,SUNDAY,Grid,"84,330"
FY 16-17,June 2017,SATURDAY,Grid,"97,780"
FY 16-17,June 2017,WEEKDAY,Grid,"144,840"
FY 17-18,July 2017,SUNDAY,Grid,"84,680"
FY 17-18,July 2017,SATURDAY,Grid,"100,490"
FY 17-18,July 2017,WEEKDAY,Grid,"141,080"
FY 17-18,August 2017,SUNDAY,Grid,"90,810"
FY 17-18,August 2017,SATURDAY,Grid,"103,660"
FY 17-18,August 2017,WEEKDAY,Grid,"153,610"
FY 17-18,September 2017,SUNDAY,Grid,"89,140"
FY 17-18,September 2017,SATURDAY,Grid,"105,000"
FY 17-18,September 2017,WEEKDAY,Grid,"165,490"
FY 17-18,October 2017,SUNDAY,Grid,"90,460"
FY 17-18,October 2017,SATURDAY,Grid,"106,280"
FY 17-18,October 2017,WEEKDAY,Grid,"160,140"
FY 17-18,November 2017,SUNDAY,Grid,"75,580"
FY 17-18,November 2017,SATURDAY,Grid,"95,220"
FY 17-18,November 2017,WEEKDAY,Grid,"148,260"
FY 17-18,December 2017,SUNDAY,Grid,"74,090"
FY 17-18,December 2017,SATURDAY,Grid,"92,450"
FY 17-18,December 2017,WEEKDAY,Grid,"146,680"
FY 17-18,January 2018,SUNDAY,Grid,"75,750"
FY 17-18,January 2018,SATURDAY,Grid,"92,210"
FY 17-18,January 2018,WEEKDAY,Grid,"140,070"
FY 17-18,February 2018,SUNDAY,Grid,"79,100"
FY 17-18,February 2018,SATURDAY,Grid,"98,410"
FY 17-18,February 2018,WEEKDAY,Grid,"154,770"
FY 17-18,March 2018,SUNDAY,Grid,"79,200"
FY 17-18,March 2018,SATURDAY,Grid,"93,280"
FY 17-18,March 2018,WEEKDAY,Grid,"146,430"
FY 17-18,April 2018,SUNDAY,Grid,"82,630"
FY 17-18,April 2018,SATURDAY,Grid,"99,990"
FY 17-18,April 2018,WEEKDAY,Grid,"154,980"
FY 17-18,May 2018,SUNDAY,Grid,"81,870"
FY 17-18,May 2018,SATURDAY,Grid,"97,540"
FY 17-18,May 2018,WEEKDAY,Grid,"153,790"
FY 17-18,June 2018,SUNDAY,Grid,"83,610"
FY 17-18,June 2018,SATURDAY,Grid,"96,890"
FY 17-18,June 2018,WEEKDAY,Grid,"147,360"
FY 18-19,July 2018,SUNDAY,Grid,"82,760"
FY 18-19,July 2018,SATURDAY,Grid,"95,680"
FY 18-19,July 2018,WEEKDAY,Grid,"138,380"
FY 18-19,August 2018,SUNDAY,Grid,"84,750"
FY 18-19,August 2018,SATURDAY,Grid,"99,930"
FY 18-19,August 2018,WEEKDAY,Grid,"147,170"
FY 18-19,September 2018,SUNDAY,Grid,"86,060"
FY 18-19,September 2018,SATURDAY,Grid,"103,990"
FY 18-19,September 2018,WEEKDAY,Grid,"160,240"
FY 18-19,October 2018,SUNDAY,Grid,"89,530"
FY 18-19,October 2018,SATURDAY,Grid,"103,730"
FY 18-19,October 2018,WEEKDAY,Grid,"160,090"
FY 18-19,November 2018,SUNDAY,Grid,"78,580"
FY 18-19,November 2018,SATURDAY,Grid,"95,740"
FY 18-19,November 2018,WEEKDAY,Grid,"146,460"
FY 18-19,December 2018,SUNDAY,Grid,"73,470"
FY 18-19,December 2018,SATURDAY,Grid,"94,310"
FY 18-19,December 2018,WEEKDAY,Grid,"146,020"
FY 18-19,January 2019,SUNDAY,Grid,"69,630"
FY 18-19,January 2019,SATURDAY,Grid,"91,360"
FY 18-19,January 2019,WEEKDAY,Grid,"149,370"
FY 18-19,February 2019,SUNDAY,Grid,"77,020"
FY 18-19,February 2019,SATURDAY,Grid,"93,360"
FY 18-19,February 2019,WEEKDAY,Grid,"156,490"
FY 18-19,March 2019,SUNDAY,Grid,"85,670"
FY 18-19,March 2019,SATURDAY,Grid,"97,100"
FY 18-19,March 2019,WEEKDAY,Grid,"149,590"
FY 18-19,April 2019,SUNDAY,Grid,"81,930"
FY 18-19,April 2019,SATURDAY,Grid,"99,450"
FY 18-19,April 2019,WEEKDAY,Grid,"153,520"
FY 18-19,May 2019,SUNDAY,Grid,"79,560"
FY 18-19,May 2019,SATURDAY,Grid,"93,910"
FY 18-19,May 2019,WEEKDAY,Grid,"154,800"
FY 18-19,June 2019,SUNDAY,Grid,"81,950"
FY 18-19,June 2019,SATURDAY,Grid,"98,210"
FY 18-19,June 2019,WEEKDAY,Grid,"149,880"
FY 19-20,July 2019,SUNDAY,Grid,"82,830"
FY 19-20,July 2019,SATURDAY,Grid,"98,560"
FY 19-20,July 2019,WEEKDAY,Grid,"140,980"
FY 19-20,August 2019,SUNDAY,Grid,"90,420"
FY 19-20,August 2019,SATURDAY,Grid,"105,300"
FY 19-20,August 2019,WEEKDAY,Grid,"142,540"
FY 19-20,September 2019,SUNDAY,Grid,"88,920"
FY 19-20,September 2019,SATURDAY,Grid,"104,610"
FY 19-20,September 2019,WEEKDAY,Grid,"163,710"
FY 19-20,October 2019,SUNDAY,Grid,"88,670"
FY 19-20,October 2019,SATURDAY,Grid,"104,100"
FY 19-20,October 2019,WEEKDAY,Grid,"161,200"
FY 19-20,November 2019,SUNDAY,Grid,"80,570"
FY 19-20,November 2019,SATURDAY,Grid,"97,840"
FY 19-20,November 2019,WEEKDAY,Grid,"150,610"
FY 19-20,December 2019,SUNDAY,Grid,"68,730"
FY 19-20,December 2019,SATURDAY,Grid,"96,540"
