Exit stations,Entry stations->,,WEEKDAY,,,Jun 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,13.272727,56.545455,51.136364,30.863636,202.681818,40.363636,63.818182,49.681818,58.863636,19.636364,49.363636,34.590909,19.681818,10.863636,17.727273,9.409091,7.636364,7.454545,8.954545,7.454545,11.909091,5.772727,5.545455,10.590909,16.590909,195,141.954545,235.954545,142.772727,99.590909,97.5,22.5,24.590909,18.954545,10.636364,2.181818,5.363636,2.590909,4.863636,9.181818,12.818182,38.318182,10,4.227273,8.227273,12.409091,4.227273,5.818182,6.590909,6.181818,1932.863636,,,,,,,,,,,,,
EN,67.5,19.954545,45,40,296.363636,57.181818,100.954545,110.136364,157.590909,33,62.772727,54.454545,22.818182,22.227273,23.590909,9.363636,13.045455,16.954545,14.545455,8.818182,13.5,5.590909,6.318182,13.681818,18.409091,406.045455,323.136364,408.272727,288.818182,126.045455,104.545455,33.318182,34.545455,29.681818,12.227273,3.590909,8.454545,4.954545,7.181818,11.045455,16.863636,60.772727,22,4.045455,22.454545,15.454545,9,10.681818,3.045455,9.090909,3209.045455,,,,,,,,,,,,,
EP,52.045455,47.681818,10.909091,26.818182,230.772727,33.636364,52.227273,64.090909,84.318182,21.727273,21.136364,16,17.045455,8.772727,7.590909,5.5,5.454545,6,11.318182,5.818182,9.5,4.454545,2.409091,14.636364,7.090909,211.363636,173.318182,138.090909,136,52.863636,34.363636,14,9.5,10.181818,2.909091,2.681818,5.681818,1.272727,4.227273,3.454545,3.181818,37.409091,8.818182,3.454545,14.272727,6.5,5.181818,5.681818,1.954545,2.045455,1655.363636,,,,,,,,,,,,,
NB,37.590909,33.772727,27.545455,11,51.136364,20.272727,36.863636,56.772727,62.590909,17.772727,34.727273,20.772727,16.363636,7.181818,8.227273,4.954545,5,7.636364,6.045455,5.727273,6.681818,2.363636,2.545455,5,7,207.772727,146.363636,117.045455,138.227273,54.318182,40.045455,12.136364,8.363636,8.772727,2.045455,1.727273,6.863636,2.681818,5.181818,2.636364,3.045455,53.136364,8.954545,0.818182,17.272727,5.5,5.954545,5.818182,0.909091,3.727273,1354.863636,,,,,,,,,,,,,
BK,224.272727,307.818182,242.590909,59.636364,38.045455,107.681818,126.590909,152.045455,180.181818,62.863636,115.227273,67.454545,82.863636,48.181818,47.318182,26.727273,59.227273,55.636364,36,31.954545,41.409091,22.5,13.590909,12.272727,35.590909,433.045455,271.5,299.954545,240.363636,129.727273,104.727273,54.090909,33.181818,32.136364,11.863636,15.954545,46.590909,10.227273,25,11.045455,17.227273,89.772727,48.454545,16.181818,42.954545,43.909091,45.818182,53.863636,8.454545,22.181818,4305.909091,,,,,,,,,,,,,
AS,45.5,52.181818,33.772727,19.636364,99.909091,10.909091,39.045455,68.5,62.5,24.409091,48.227273,26.772727,22.090909,14.727273,14.727273,8.5,9.863636,10.590909,6.681818,6.909091,9.272727,3.863636,2.045455,2.954545,16.136364,202.5,156.5,128.409091,154.181818,71.272727,39.636364,12.909091,12.545455,6.590909,1.681818,2.045455,8,1.454545,3.954545,2.909091,8.090909,30.272727,6.727273,2.318182,16.045455,9.409091,9.227273,8.590909,1.454545,5.590909,1562.045455,,,,,,,,,,,,,
MA,75.727273,96.636364,49.818182,36.363636,121.363636,42.681818,22.318182,57.363636,84.090909,23.772727,82.5,70.636364,52.363636,31,34.454545,19.727273,24.545455,27.954545,45.863636,44.181818,48.5,18.454545,17.454545,24.681818,28.045455,371.5,281.409091,290.045455,249.045455,149.818182,85.954545,28.818182,28.954545,21.363636,10.318182,5.272727,20.272727,9.681818,41.818182,7.818182,4.772727,60.363636,18.545455,6.954545,18.863636,16.772727,15.636364,19.590909,22.454545,52.227273,3018.772727,,,,,,,,,,,,,
19,50.5,106.136364,60.136364,61.181818,153.181818,65.818182,62.454545,26.681818,14.136364,10.363636,57.318182,60.454545,58.227273,43.818182,45.954545,29.090909,36.136364,40.363636,54.227273,56.363636,60.545455,30.727273,28.045455,46.636364,31.318182,435.409091,326.272727,295.272727,287.136364,156.454545,105.227273,39.090909,32.772727,27.681818,14.909091,9.818182,24.681818,13.227273,38.454545,14.318182,13.636364,54.818182,24,9.272727,20.409091,22.045455,21.409091,17.363636,10.681818,38.636364,3342.818182,,,,,,,,,,,,,
12,64.818182,155.136364,79.318182,61,167.227273,63.545455,83.136364,12.318182,26.545455,12.818182,55.227273,72.727273,102.181818,84.045455,76.227273,39.636364,57.590909,41.727273,73.818182,76.045455,80.045455,33.409091,28.909091,55.545455,32.954545,420,302.681818,356.590909,259.318182,124.454545,93.863636,48.954545,53.272727,60.636364,26.727273,14.045455,33.727273,22.681818,52.454545,20.318182,23.363636,68.409091,30,12.363636,21.727273,23.863636,22.590909,32.954545,23.318182,69.863636,3854.136364,,,,,,,,,,,,,
LM,20.545455,32.363636,19.954545,16.454545,61.772727,22.454545,24.363636,9.681818,12.318182,16.818182,62.363636,83.772727,126.590909,95.590909,56.5,53.318182,39.090909,40.454545,10.909091,7.590909,8.818182,2.863636,2.136364,6.363636,12.909091,343.863636,266.5,261.5,225.909091,104.181818,68,29,27.181818,20.636364,3,60.545455,84.318182,5.409091,7.136364,6.090909,5.409091,16.181818,3.090909,35.909091,18.090909,29.272727,18.863636,20.090909,2.772727,14.454545,2523.409091,,,,,,,,,,,,,
