Exit stations,Entry stations->,,WEEKDAY,,,Aug 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,13.043478,63.217391,57.434783,33.304348,219.956522,44.217391,77.304348,53.869565,62.173913,23.043478,45.913043,40.608696,19.043478,9.565217,20.130435,8.304348,6.086957,7.173913,8.73913,7.73913,11.565217,7.826087,4.217391,12.173913,17.826087,196.521739,137.130435,235.782609,141.391304,102.347826,109.26087,27.086957,26.434783,37.347826,11.130435,2.130435,5.173913,2.782609,5.304348,6.434783,12.652174,33.869565,11.26087,3.608696,10.869565,13.956522,3.173913,5.826087,6.652174,7.173913,2029.782609,,,,,,,,,,,,,
EN,73.913043,17.782609,59.73913,41.217391,343,58.565217,105.391304,112.826087,167.913043,36.086957,62.652174,63.782609,24.130435,18.521739,28.130435,9.73913,14.652174,16.565217,15.173913,9.565217,15.26087,5.826087,5.608696,14.826087,21.043478,388.043478,307,390.434783,290.043478,122.304348,97.652174,35.478261,40.26087,58.043478,10.347826,4.913043,8.26087,4.434783,6.478261,12.869565,20.565217,63.086957,23.695652,5,23.565217,17.478261,12.26087,14.913043,3.347826,7.391304,3309.782609,,,,,,,,,,,,,
EP,57.652174,54.304348,8.869565,26.913043,268.826087,35.565217,59.608696,69.913043,86.391304,23.956522,26.478261,22.26087,19.521739,7.217391,9.956522,6.043478,7.130435,7.695652,12.26087,7.695652,8.73913,4.391304,1.956522,15.434783,7.26087,214,174.347826,136.652174,132.043478,52.304348,32.913043,16.565217,13.652174,20.913043,2.478261,3.130435,3.304348,2.043478,4.043478,4.869565,5.130435,41.26087,8.608696,3.217391,16.608696,5.26087,4.608696,8.217391,1.391304,2.956522,1766.565217,,,,,,,,,,,,,
NB,38,36.608696,31.521739,9.434783,77.086957,22.695652,34.913043,65.434783,59.391304,20.391304,36.695652,25.478261,13.869565,9.347826,7.826087,4.826087,5.608696,9.173913,5.086957,5.73913,6.73913,2.434783,2.652174,5.73913,7.826087,215.782609,159.391304,116.782609,132.782609,57.173913,38.652174,13.26087,14.391304,12.73913,2.913043,2.652174,5.173913,3.521739,4.695652,2.565217,4.130435,57.173913,10.652174,1.26087,18.391304,6.608696,5.521739,8,0.782609,3.695652,1443.217391,,,,,,,,,,,,,
BK,248.565217,369.73913,286,84.869565,35.695652,135.26087,149.565217,177.956522,200.521739,81.347826,125.652174,83.434783,77.217391,55.782609,56.434783,40.565217,63.043478,50.347826,43.913043,42.73913,42.173913,25,17.086957,12.73913,38.73913,390.304348,271.173913,296.26087,236.73913,133.652174,111.869565,59,40.695652,45.086957,15.347826,18.391304,46.304348,8.130435,23.043478,13.26087,15.130435,104.043478,54.347826,16.826087,51.304348,32.869565,47.565217,60.347826,9.695652,21.608696,4667.391304,,,,,,,,,,,,,
AS,47.217391,55.73913,37.391304,23.913043,126.173913,9.086957,35,67.130435,61.434783,25.347826,52.434783,34.173913,23.73913,12.565217,15.130435,8.652174,10.73913,8.173913,5.521739,6.608696,6.173913,4.043478,1.478261,4.391304,19.086957,204.434783,153.043478,127.478261,149.347826,67.304348,37.652174,12.391304,15.434783,12.043478,3.869565,2.652174,7.695652,1.695652,4.043478,3.347826,7.652174,36.434783,10.478261,2.347826,13.434783,10.043478,10.130435,9.347826,1.73913,5.826087,1611.217391,,,,,,,,,,,,,
MA,87.391304,104,51.565217,36.478261,144.913043,39.73913,21.782609,58.695652,80.304348,29.173913,93.565217,72.565217,55.652174,30.652174,40.73913,25.521739,22.478261,26.434783,46.869565,43.782609,53.478261,17.565217,22.043478,29.086957,30.347826,386.086957,276.652174,273.652174,259.347826,159.652174,89.347826,29.608696,36.391304,27.826087,11.695652,4.130435,21.043478,10.217391,38.478261,8.304348,7.304348,62.304348,20.217391,6.521739,17.826087,15.173913,14.217391,23.913043,20.695652,53.086957,3138.521739,,,,,,,,,,,,,
19,55.521739,114.782609,68.086957,70.043478,170.956522,67.26087,61.956522,23.391304,14.826087,13.782609,53.782609,72.73913,63.478261,51.478261,50.347826,28.391304,35.782609,43,62,64.217391,71.956522,33.217391,32.434783,47.217391,29.217391,463.565217,351.652174,293.869565,303,158.782609,117.521739,43.130435,39.73913,40.130435,15.217391,11.347826,29.434783,18,42.608696,16.434783,14.695652,51.782609,30.826087,9.782609,20.478261,21.130435,27.304348,29.304348,14.043478,45.304348,3608.956522,,,,,,,,,,,,,
12,69.173913,164.608696,84,58.086957,184.782609,60.608696,82.782609,14.652174,24.521739,12.652174,62.347826,86.391304,103.565217,95.304348,79.782609,44.130435,68.478261,49.913043,77.173913,84.130435,93.565217,36.521739,33.695652,60.086957,35.086957,461.73913,316.956522,358.434783,292.565217,141.391304,102.130435,54.652174,58.826087,68.913043,26.347826,14.217391,38.869565,21.782609,56.478261,28.565217,22.043478,71.478261,33.434783,13.26087,22.73913,28.695652,22.086957,33.434783,27.304348,72.869565,4155.26087,,,,,,,,,,,,,
LM,22.782609,34.217391,21.782609,17.826087,77.913043,26.869565,29.652174,12.043478,12.652174,11.608696,76.956522,101.913043,139.217391,99.26087,62.695652,55.434783,40.043478,39.173913,9.521739,9.608696,9.73913,3.217391,2.869565,8.086957,15.434783,325.695652,256.826087,244.695652,225,100.391304,65.26087,29.043478,31.826087,31.565217,3.434783,58.043478,88.652174,4.565217,6.782609,6.347826,6.304348,14.695652,3.913043,39.391304,17.173913,32.565217,20.130435,23.217391,2.217391,13.826087,2592.086957,,,,,,,,,,,,,
FV,44.391304,58.521739,26.26087,34.826087,128.826087,47.217391,87.217391,56.478261,60.391304,73.869565,24,130.391304,133.565217,125.434783,119.26087,54.478261,52.304348,57.304348,17.26087,12.130435,18.043478,7.73913,12.173913,21.130435,60.521739,359.869565,260.652174,352.304348,319.086957,132.608696,124.695652,28.434783,44.086957,55.73913,6.608696,31.565217,66.956522,3.869565,9.391304,6,12.26087,33.217391,7.695652,34.73913,9.304348,44.521739,20.347826,27.217391,6.304348,14.043478,3475.26087,,,,,,,,,,,,,
CL,40.434783,59.869565,22.086957,27.521739,84.26087,37.130435,87.043478,77.304348,97.695652,90.347826,132,19.043478,85.217391,92.956522,97.478261,47.043478,42,44.173913,22.956522,21.304348,20.73913,11.478261,8.608696,19.043478,60.73913,214.217391,144.043478,209.391304,165.043478,68.217391,70.217391,28.391304,37,43.826087,5.73913,30.434783,94.826087,5,17.304348,6.521739,12.565217,19.478261,13,34.869565,17.434783,47.782609,28.086957,39.695652,9.130435,22.695652,2733.391304,,,,,,,,,,,,,
SL,19.304348,24.391304,17.173913,16.913043,75.73913,25.652174,58.391304,69.434783,112.782609,141.565217,150.391304,91.73913,14.73913,70.478261,97.130435,56.869565,46.608696,44.173913,14.130435,9.347826,11.73913,1.565217,2.608696,9.434783,29.130435,297.130435,260.652174,264.73913,205.521739,70.608696,54.695652,20.695652,32.217391,36.130435,5.73913,26.304348,61.521739,2.956522,7.73913,5.304348,5,24.391304,5,25.608696,9.304348,38.391304,16.826087,21,2.869565,9.434783,2721.217391,,,,,,,,,,,,,
BF,8.173913,16.434783,7,9.347826,55.086957,11.608696,37.217391,57.782609,91.391304,103.913043,115.73913,91.478261,76.956522,14.217391,59.869565,42.782609,41.608696,50.869565,12.347826,4.695652,6.434783,1.347826,3.478261,7.043478,20.73913,244.217391,219.826087,254.391304,183.043478,56.173913,30.217391,15.826087,23.130435,23.956522,4.826087,22.521739,61.608696,0.652174,5.434783,6.652174,5.913043,17.217391,4.913043,35.478261,6.913043,41.913043,22.26087,21.826087,3.434783,3.565217,2263.478261,,,,,,,,,,,,,
HY,20.913043,30.478261,10.304348,9.434783,53.956522,17.956522,43.782609,49.913043,79.26087,59.565217,117.565217,89.782609,99,60.652174,14.173913,47.521739,102.782609,102.826087,12,7.695652,8.130435,2.043478,1.782609,8.434783,23.521739,165.521739,117.043478,124.391304,106.956522,39.869565,24.130435,9.130435,16,18.608696,2.434783,8.652174,34.695652,1.608696,12.608696,4.173913,8.347826,9.956522,4.956522,18.217391,7.086957,71.565217,47.304348,39.217391,4.913043,16.565217,1987.434783,,,,,,,,,,,,,
