Exit stations,Entry stations->,,WEEKDAY,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL,25.238095,32.761905,9.714286,11.857143,37.904762,20.809524,59.333333,39.190476,62.047619,49.428571,97.047619,11,51.238095,55.52381,50.904762,26.761905,17.619048,19.190476,15,7.666667,4.571429,3.142857,2.095238,10.666667,36.47619,123.761905,81.428571,136.285714,99.095238,49.52381,44.142857,16.904762,24.666667,15.047619,3.666667,12.857143,37.142857,2.238095,6.142857,3.285714,4.904762,10.761905,4.428571,12.666667,10.047619,18.619048,7.714286,9.380952,4.619048,15.380952,1511.904762,,,,,,,,,,,,,
SL,17.571429,20.380952,12.52381,14,53.428571,15.666667,45.428571,37.52381,70.142857,108.571429,116.571429,52.952381,11.190476,52.095238,61.047619,43.142857,37.857143,30.285714,9.333333,5.428571,7.190476,2.285714,1.333333,8.666667,23,159.238095,166.047619,209,146.380952,53.857143,49.47619,14.47619,24.095238,16.142857,3.47619,23.238095,43.285714,1.380952,5.095238,3.52381,4.47619,16.285714,2,21.190476,4.47619,24.52381,9.666667,13.095238,3.571429,11.238095,1886.857143,,,,,,,,,,,,,
BF,8.666667,14,4.619048,7.761905,28.428571,11.619048,29.714286,40.380952,61,76.857143,106,60.142857,58.428571,8.285714,41.380952,33.857143,31.52381,41.809524,9.666667,4.857143,5,1.285714,1.952381,6.666667,17.047619,142.047619,131.952381,179.047619,121.238095,46.285714,26.904762,11.52381,15.857143,10.47619,6.238095,17.571429,42.952381,1.619048,4.095238,4.333333,5.666667,10.285714,3.809524,25.952381,2.761905,32.238095,10.142857,10.904762,2.190476,3,1580.047619,,,,,,,,,,,,,
HY,12.428571,21.333333,7.142857,6.238095,27.809524,11.571429,24.47619,36.952381,52.714286,38.238095,86.666667,48.52381,66.714286,41.761905,7.619048,38.714286,69.952381,65.047619,7.380952,6.47619,4.904762,1.52381,2.142857,4.904762,15.952381,84.809524,62.666667,81.52381,61.333333,26.047619,21.809524,10.380952,9.333333,11.619048,2.095238,9.047619,26.619048,0.619048,4.619048,2.714286,7.190476,8.095238,3,11.380952,2.952381,38.904762,19.571429,17.666667,2.47619,6.619048,1240.285714,,,,,,,,,,,,,
SH,8.809524,7.190476,4.761905,2.238095,16.47619,6.714286,14.380952,19.47619,26.428571,31.952381,47.47619,20.904762,42.809524,31.952381,33.761905,4.47619,28.428571,32.904762,4.047619,2.904762,3.857143,1.047619,0.52381,1.666667,7.52381,61.857143,53.904762,61.952381,54.809524,14.857143,19.142857,7,6.809524,5.095238,2.52381,7.714286,8.809524,0.761905,3.333333,2.809524,1.333333,6.809524,3.857143,8.952381,2.380952,38.952381,10.952381,10.666667,0.47619,4.428571,802.904762,,,,,,,,,,,,,
UC,6,14.952381,5.52381,3.571429,24.761905,7.047619,20,19.285714,34.952381,31.714286,44.666667,21.380952,39.857143,39.047619,68.285714,22.47619,7.761905,36.52381,5.666667,2.619048,5.666667,0.619048,0.190476,3.714286,10.52381,67.952381,57.952381,57.952381,50.52381,21.190476,10.857143,3.285714,5.761905,3.714286,2.666667,6.571429,17.380952,0.47619,2.095238,0.952381,1.333333,7.095238,0.238095,7.761905,4.333333,32.952381,21.761905,18.333333,2.238095,2.761905,884.952381,,,,,,,,,,,,,
FM,5.380952,14.619048,6.333333,5.714286,20.333333,8.285714,22,18.52381,31.285714,25.904762,42.47619,20.857143,32.619048,39.238095,59.666667,35.47619,34.809524,7.47619,5.142857,2.666667,1.52381,0.428571,2.285714,2.714286,4,57.619048,54.285714,57.761905,49.619048,16.380952,10.714286,4.47619,5.571429,7.333333,2.142857,7.333333,13.52381,1.333333,4.285714,0.809524,1.095238,7.571429,1.047619,4.904762,6.47619,31.285714,31.52381,27.238095,1.380952,3.619048,859.095238,,,,,,,,,,,,,
CN,8.714286,11.142857,8.095238,4.761905,23.095238,5.190476,33.666667,35.761905,46.761905,9.571429,12.095238,13.52381,9.095238,8.47619,10.666667,3.47619,5.47619,5.904762,15.428571,28.666667,94.285714,35.047619,12.238095,28.619048,7.857143,126.285714,114.714286,143.095238,123.571429,41.666667,31.428571,17.428571,13.571429,10.857143,6.285714,1.142857,4.333333,17.952381,68.380952,4.619048,9.761905,42.904762,6.380952,2.238095,9.714286,3.142857,3.666667,3.52381,40.380952,42.619048,1367.285714,,,,,,,,,,,,,
PH,5,4.333333,1.761905,5.714286,22,6.428571,32.714286,38.380952,47.619048,4.619048,6.666667,8.047619,5.47619,4.047619,4.190476,2.761905,2.333333,2.666667,27.095238,7.714286,38.428571,15.666667,10.238095,23.190476,4.619048,149.047619,145.904762,119.904762,98,32.142857,22.047619,16.380952,9.761905,9.142857,2.238095,0.809524,2.52381,10.619048,29.047619,4.666667,5,42.238095,6.285714,0.761905,11.238095,2.238095,1.857143,1.904762,13.714286,19.238095,1088.428571,,,,,,,,,,,,,
WC,9.904762,11.809524,6.52381,5.047619,25.190476,7.619048,36.238095,48.571429,45.619048,10.428571,15.666667,4.52381,7.809524,5.904762,6.047619,3.428571,4.761905,1.571429,101.52381,40.52381,7.714286,20.190476,13.952381,31.714286,6.904762,135.666667,107.238095,94.857143,92.857143,27.666667,19.285714,11.761905,7.952381,11.52381,5.142857,1.666667,1.952381,20.809524,46.571429,5.809524,6.761905,44.333333,4.52381,0.380952,8.904762,2.761905,2.238095,3.714286,20.380952,32.47619,1196.428571,,,,,,,,,,,,,
LF,4.52381,3.047619,2.142857,1.47619,11.857143,2.142857,12.904762,19.714286,18.47619,1.809524,7.285714,1.761905,2.285714,0.904762,1.380952,1,0.857143,0.571429,44.047619,20.333333,25.047619,4.285714,5.761905,16.761905,0.666667,73.666667,72.761905,47.619048,40,17.333333,11.952381,2.619048,3.142857,2.809524,1.52381,0.666667,0.952381,3,13.904762,0.571429,2.285714,23.666667,0.714286,0.238095,5.238095,0.333333,1.142857,1.142857,7.333333,6,551.666667,,,,,,,,,,,,,
