Exit stations,Entry stations->,,WEEKDAY,,,Dec 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
CL,61.277778,116.444444,40.666667,40.888889,130.388889,65.277778,132.333333,168.611111,247.055556,179.777778,200.777778,21.222222,113.666667,141,120.666667,70.722222,78,86.722222,49,35.111111,35.888889,20.222222,18.111111,30.666667,92.277778,583.944444,560.444444,552.611111,406.277778,156.222222,127.277778,67.944444,69.944444,115.944444,14.833333,35.722222,117.5,11.333333,38.722222,18.333333,22.777778,30.888889,25.277778,55,21.388889,121.055556,0,0,23.166667,37.055556,5510.444444,,,,,,,,,,,,,,
SL,35,56.777778,25.555556,26.111111,142.777778,45.166667,106.5,215.555556,340.111111,280.555556,214.222222,119.444444,15.722222,128.166667,132.5,67.888889,80.666667,98.444444,34.222222,29.833333,23.277778,6.222222,9.333333,26,38.277778,739.777778,785.944444,662.388889,487.5,149.777778,91.444444,44.611111,75.666667,97.555556,8.166667,38.722222,106.555556,9.055556,16.055556,13.222222,11.833333,49.833333,10.944444,53.111111,8.5,77.722222,0,0,8.222222,12,5856.944444,,,,,,,,,,,,,,
BF,25.388889,37,14.5,20.222222,106.166667,27.333333,90.5,205.277778,297.555556,219.388889,193.666667,145.444444,110.5,14.777778,99.388889,64.333333,92.722222,123.055556,22.5,10.111111,10.055556,4.111111,2.555556,12.666667,35.888889,663.888889,655.055556,575,440.277778,139,85.333333,32.388889,49.444444,72.5,12.722222,50.666667,129,4.777778,9,11.777778,17.111111,28.055556,10.611111,70.555556,4.333333,83.5,0,0,5.222222,5.833333,5141.166667,,,,,,,,,,,,,,
HY,30.777778,60.777778,25.055556,27.555556,96.611111,32.055556,84.388889,195,273.611111,128.611111,175.333333,133.055556,130.277778,96.055556,17.444444,86.722222,187.388889,205.111111,26.888889,15.388889,17.388889,5.944444,3.388889,17.5,28.277778,441.888889,473.833333,361,266.388889,91.944444,54.888889,32.333333,32.777778,46.111111,5.222222,19.277778,68.055556,6.555556,22.944444,4.111111,9.055556,20.055556,6.722222,33.277778,10.055556,111.777778,0,0,7.666667,22.222222,4248.777778,,,,,,,,,,,,,,
SH,18.333333,23.111111,8.222222,6.666667,55.611111,15.388889,47.5,133.5,153.944444,62.555556,78.611111,71.055556,64.222222,66.666667,76.5,11.888889,84.555556,92.888889,8.111111,6.833333,9.444444,2.222222,1.611111,5.888889,13.944444,385.5,369.166667,241.055556,233.888889,76.888889,41.388889,14.111111,20.555556,47.5,6.777778,12.611111,33.5,1.777778,8.5,4,6.5,14.388889,4.722222,23.944444,5.611111,81.5,0,0,3.611111,5.5,2762.277778,,,,,,,,,,,,,,
UC,17.444444,36.611111,16.944444,18.166667,111.888889,33.611111,60.722222,187.611111,227.277778,108.888889,77.444444,85.277778,84,77.555556,168.055556,66.5,21.833333,131.777778,11.055556,15.166667,15.666667,4.944444,2.388889,10.055556,15.277778,823.333333,699.944444,401.888889,308,91.277778,36.5,12.666667,21.055556,55.333333,6.611111,12.777778,59.333333,3.111111,11.833333,3.222222,4.611111,21.111111,2.277778,27.222222,14.888889,95.722222,0,0,4.944444,9.944444,4333.777778,,,,,,,,,,,,,,
FM,22.166667,45.055556,25.5,20.944444,119.666667,25.166667,82.166667,235.833333,248.222222,105.277778,90,95.777778,99,129.222222,219.888889,121.777778,120.222222,36.833333,16.666667,19,13.666667,5,5.777778,13.944444,11.277778,1183.888889,975.611111,441.666667,318.111111,97.277778,33.333333,23.666667,26.111111,52.277778,6.611111,24.555556,58.666667,3.777778,11.333333,4.166667,10,35.722222,4.333333,24.555556,16.722222,114.277778,0,0,3.944444,10.777778,5409.444444,,,,,,,,,,,,,,
CN,19.222222,27.166667,19.666667,15.722222,88.333333,24.944444,138.777778,268.833333,293.611111,31.222222,44,48.388889,33.222222,22.055556,27.5,7,12.388889,16.722222,27.388889,103.111111,230.888889,84.833333,39.444444,73.055556,17,793.055556,805.222222,549.222222,419.333333,135.777778,83,47.888889,54.888889,96,22.444444,4.777778,9.666667,37.722222,139.777778,23.666667,22.722222,133.166667,31.388889,3.555556,35.333333,20.5,0,0,84.888889,104.5,5373,,,,,,,,,,,,,,
PH,15.444444,17.666667,17.166667,20.277778,124.333333,22.944444,166.111111,354.777778,400.222222,18.055556,22.5,37.722222,25.722222,12.5,16.888889,5.333333,15.166667,20.611111,90.888889,26.944444,115.5,46.444444,31.5,113.333333,12.833333,1508.722222,1535,690.444444,554.5,176,76.833333,80.722222,49.666667,74.277778,14.166667,2.833333,3.944444,35.611111,80.5,24.5,29.111111,172.5,22.666667,2.777778,45.555556,18.555556,0,0,31.888889,40.666667,7022.333333,,,,,,,,,,,,,,
WC,25.888889,31.333333,25.611111,19.777778,106.611111,23.166667,136.944444,302.944444,317.333333,22.444444,32.888889,42.333333,25.611111,10.611111,20.666667,9.666667,15.666667,14.555556,260.722222,126.888889,27.722222,61.722222,36.277778,139.777778,17.722222,1296.055556,1261.277778,586.777778,436.222222,119.833333,67.888889,46.388889,42.111111,66.722222,15.388889,4.666667,4.944444,48.944444,129.666667,20.111111,21.888889,169.666667,27.388889,2.555556,41.5,12.222222,0,0,50.611111,93.388889,6421.111111,,,,,,,,,,,,,,
LF,7,8.333333,8.555556,6.388889,51.833333,7.666667,51.611111,153,136.277778,6.5,14.388889,22.222222,6.166667,2.833333,5.611111,3.055556,4.722222,5.611111,100.111111,54.166667,61.777778,15.777778,12.722222,69.666667,4.611111,842.277778,746.722222,345.333333,248.055556,62.222222,38.444444,18.166667,10.833333,25.388889,5.388889,0.555556,1.111111,11.388889,21.055556,5.722222,7.277778,101.5,15.666667,0.722222,26.111111,3.277778,0,0,13.111111,15,3385.944444,,,,,,,,,,,,,,
OR,7.777778,9.777778,5.555556,7,39.111111,6,38.111111,101.388889,124.611111,7.388889,18.722222,18.944444,9.555556,2.888889,4,1.333333,2.277778,5.944444,34.055556,28.666667,39.888889,18.666667,14.111111,50,3.611111,746.166667,655.111111,291.833333,214.166667,57.5,34.055556,23.388889,14.666667,20.166667,3,1.5,2.111111,4.944444,9,6.555556,7.833333,75.555556,12.222222,0.444444,12.5,5.333333,0,0,6.666667,9.444444,2813.555556,,,,,,,,,,,,,,
RR,25.055556,31.777778,25.722222,20,33.888889,10.944444,57.722222,187,163.277778,23.666667,41.277778,30.833333,22.388889,7.666667,16.722222,7.055556,9.666667,14.111111,74.222222,105.666667,125.388889,59.888889,52.388889,19.166667,17.5,1021.777778,1040.888889,633.222222,554.888889,193.444444,98.444444,46.444444,47.888889,37.333333,3.944444,5,9.055556,17.888889,32.333333,10.166667,13.5,121.888889,21.333333,4.611111,17.611111,11.611111,0,0,17.5,32.222222,5176,,,,,,,,,,,,,,
OW,24.444444,33.555556,12.555556,12.277778,56.722222,20.277778,41.111111,54.388889,90,24.055556,86,93.222222,38.833333,35.333333,28.055556,12.777778,13.833333,11.5,18.444444,10.833333,16.722222,4.444444,3.277778,18.166667,24.5,1678.222222,1418.5,1113.055556,801,329.944444,200.055556,53.444444,66.333333,56.888889,13.833333,10.277778,25.333333,5.833333,13.277778,13.888889,23.666667,98.222222,31.5,8.333333,8.333333,12.388889,0,0,9.444444,20.277778,6797.388889,,,,,,,,,,,,,,
EM,513.277778,1020.555556,731.777778,724.833333,934.388889,829.833333,1206.055556,1698.277778,1551.388889,1150.333333,1165.722222,665.944444,976,842.222222,574.5,491.888889,980.5,1380.111111,1009.333333,1956.277778,1587.722222,1017.555556,906.055556,1199.944444,2144.666667,176.555556,132.722222,597,571.388889,1048.833333,1706.777778,1200,1554.222222,1311.666667,819.555556,628.333333,2290.388889,413.166667,634.611111,617.555556,604.222222,353.777778,1043.388889,884.5,156.777778,763.555556,0,0,140.166667,464.388889,45372.722222,,,,,,,,,,,,,,
