Exit stations,Entry stations->,,WEEKDAY,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL,28.565217,26.26087,9.130435,13.173913,36.521739,20.608696,42.130435,31.565217,54.434783,45.608696,81.304348,11.130435,47.26087,52.913043,45.695652,22.478261,16.652174,16.652174,12.130435,8.608696,7.826087,2.434783,1.913043,6.391304,25.478261,77.304348,73.26087,120.173913,95.695652,46.521739,44.608696,17.347826,18.869565,20,3,10.347826,28,1.565217,8.434783,3.478261,6.565217,7.565217,3.652174,11.956522,7.608696,11.652174,5.173913,7.565217,4.869565,12.304348,1314.391304,,,,,,,,,,,,,
SL,13.173913,16.391304,7.608696,5.478261,22.565217,16.347826,30.347826,24.521739,49.304348,71.695652,96.869565,54.73913,7,37,48.043478,32.913043,21.347826,18.608696,4.782609,5.782609,5.043478,2.391304,1.869565,7.695652,17.217391,98.913043,117.826087,130.043478,91,42.434783,33.173913,12.26087,11.869565,12.304348,2.956522,15.956522,33.347826,0.695652,4.869565,3.608696,3.347826,8.304348,2.521739,18.043478,3.086957,15.826087,5.217391,6.608696,4.913043,5.391304,1303.26087,,,,,,,,,,,,,
BF,8.608696,11.217391,5.695652,4.956522,20.565217,6.26087,22.956522,27.043478,44.391304,58.782609,90,54.434783,39.391304,5.956522,32.478261,24.347826,20.521739,32.73913,5.217391,2.869565,3.391304,0.478261,2.565217,3.521739,16.826087,88.26087,94.608696,118.173913,89.173913,37.565217,27,7.043478,14.173913,10.26087,4,10.130435,40.826087,2.086957,1.826087,4.043478,5.043478,5.565217,2.391304,20.826087,1.173913,18.652174,6.608696,6.391304,1.956522,2.086957,1165.086957,,,,,,,,,,,,,
HY,8.173913,13.565217,3.608696,5,14.695652,6.869565,15.652174,23.73913,33.086957,29.826087,63.565217,39.521739,51.130435,33.913043,7.956522,30.434783,40.26087,42.043478,4.869565,1.652174,3.26087,2.434783,1.26087,3.869565,10.913043,56.304348,46.347826,68.304348,57.217391,21.434783,16.565217,9.695652,10.26087,9.73913,1.521739,4.565217,20.434783,1.652174,3,3.565217,4.434783,3.086957,3.434783,9.565217,1.73913,22.608696,14.826087,12.608696,2.434783,3.695652,900.347826,,,,,,,,,,,,,
SH,7.73913,5.608696,3.869565,2.26087,9.434783,4.26087,10.869565,10.086957,16.652174,18.869565,36.434783,19.565217,32.913043,26.086957,29.869565,3.652174,14.913043,23.086957,2.782609,1.695652,3.347826,0.521739,0.478261,2.652174,7,42.913043,43.521739,51.521739,42.434783,16.826087,15.565217,5.695652,3.347826,4.304348,1.695652,6.304348,7.521739,1.217391,3.608696,1.956522,2.608696,3.304348,1.608696,9.608696,1.869565,17.173913,10.608696,9.608696,1.869565,4.956522,606.304348,,,,,,,,,,,,,
UC,4.043478,7.565217,4.347826,1.782609,11.695652,4.73913,13.565217,14.652174,21.173913,16.869565,31.391304,21.956522,23,22.652174,35.434783,15.434783,3.434783,27.478261,3.26087,0.826087,2.086957,0.434783,0.434783,2.782609,4.173913,35.521739,36.695652,33,41.652174,13.652174,9.391304,2.73913,3.565217,3.217391,1.652174,4.434783,10.130435,0.434783,3.130435,1.782609,0.652174,3.521739,0.565217,6.478261,2.043478,22.391304,11.695652,7.391304,2.391304,2.304348,555.652174,,,,,,,,,,,,,
FM,5.217391,10,2.956522,1.956522,11.130435,2.608696,12.173913,8.347826,18.782609,19.782609,37.173913,17.956522,23.478261,29.478261,45.782609,24.217391,30.608696,6.173913,3.130435,3.695652,0.869565,0.26087,1.26087,1.173913,4.391304,28.347826,32.608696,31.695652,26.782609,13,8.869565,3.173913,3.913043,5.652174,1.304348,6.304348,10.391304,0.347826,3,1.173913,1.869565,3.391304,0.913043,1.73913,3.130435,15.956522,17.913043,15.434783,0.782609,2.695652,563,,,,,,,,,,,,,
CN,8.391304,7.130435,3.73913,2.695652,9.086957,4.782609,22.782609,23.521739,33.130435,4.521739,8.608696,11.086957,6.347826,5.608696,5.130435,2.347826,2.565217,3,7.608696,24.826087,53.869565,35.086957,11.782609,17.217391,6.26087,70.869565,73.695652,118.73913,100.782609,34.565217,29.26087,14.391304,12.826087,7.391304,3.217391,0.521739,2.826087,12.652174,45.347826,5.173913,7.913043,24.869565,6.478261,0.73913,6.130435,2.521739,2.347826,1.043478,32.434783,35.608696,973.478261,,,,,,,,,,,,,
PH,1.695652,5,2.130435,2.347826,7.73913,5.173913,25.043478,22.391304,29.086957,5.695652,6,7.695652,5.043478,1.652174,2,0.608696,0.478261,3.565217,30.217391,5.565217,21.608696,11,6.086957,15.565217,3.782609,85.304348,80.26087,90.434783,71.130435,27.652174,14.782609,10.478261,3.086957,4.043478,2.043478,0.173913,2.73913,4.913043,20.608696,2.652174,6.869565,15.913043,1.956522,0.869565,4.782609,1.391304,0.565217,1.217391,16.347826,12.782609,710.173913,,,,,,,,,,,,,
WC,8.086957,7.956522,3.608696,2.652174,9.478261,3.826087,28.086957,21.565217,27.652174,5.695652,10.565217,7.304348,4.695652,4.217391,3.391304,2.347826,2.173913,1,56.782609,23.652174,3.391304,13.086957,10.826087,21.956522,4.913043,56.565217,62.086957,64.782609,48.782609,22.130435,15.043478,4.608696,5.217391,8.695652,3.565217,0.217391,1.043478,8.130435,39.478261,2.956522,3.347826,16.391304,2.26087,0.434783,5.086957,0.521739,0.73913,0.869565,14.652174,23.347826,699.869565,,,,,,,,,,,,,
LF,2.304348,2.565217,1.304348,0.478261,2.347826,0.913043,8.173913,6.521739,8.173913,1.086957,7.086957,2.565217,2.130435,0.565217,3.347826,0.26087,0.695652,0.304348,41.782609,13.565217,15.869565,2.608696,2.73913,8.565217,1.130435,23.695652,37.956522,24.217391,21.956522,7.521739,9.521739,2.652174,1.217391,1.347826,0.956522,0.173913,0.304348,1.782609,7.304348,1.043478,1.347826,6.478261,0.913043,0.086957,2.869565,0.043478,0.173913,0.217391,5.26087,5.782609,301.913043,,,,,,,,,,,,,
OR,2,2.391304,0.304348,1.173913,1.695652,0.608696,5.869565,6.173913,9.26087,1.043478,10.869565,1.130435,1.913043,2.608696,1.043478,0.304348,0.565217,1.521739,9.565217,5.652174,12.521739,2.913043,2.130435,6.478261,0.521739,23.130435,28.782609,17.956522,13.086957,6.782609,3.73913,1.173913,1.391304,2.043478,0.478261,0.217391,0.086957,0.347826,3.695652,0.347826,0.869565,5.652174,1.26087,0.043478,2.043478,0.304348,0.173913,0.652174,2.26087,1.73913,208.521739,,,,,,,,,,,,,
RR,5.521739,7.043478,4.826087,1.913043,1.391304,0.913043,7.869565,11.913043,19.130435,2.913043,16.086957,7.478261,6.782609,4.130435,3.782609,2,3.26087,0.869565,15.434783,17.695652,18.434783,8.652174,8.608696,3.478261,5.26087,44.608696,44.478261,41.913043,40.043478,19.826087,12.217391,6.347826,4.73913,2.913043,0.347826,0.130435,1.652174,3,13.347826,1.913043,1.304348,8.869565,0.782609,0.347826,0.956522,0.347826,0.695652,1,4.217391,8.956522,450.347826,,,,,,,,,,,,,
OW,11.347826,8.304348,1.869565,2.652174,11.652174,8.347826,13.217391,10.652174,17.956522,6.130435,41,28.782609,16.782609,19.521739,8.913043,6.130435,2.521739,2.73913,7.521739,3.478261,4.521739,0.652174,0.652174,5.652174,7.347826,196.956522,166.956522,220.782609,155.043478,77.304348,55.043478,14.565217,18.826087,12.956522,6.478261,2.869565,8.478261,1.304348,4.73913,5.869565,5.869565,12.086957,5.217391,2.130435,1.652174,1.565217,0.782609,2.26087,3.565217,6.782609,1238.434783,,,,,,,,,,,,,
EM,92.391304,149.782609,54.086957,36.608696,63.869565,44.956522,83.391304,103.608696,101.565217,101.347826,137.956522,92.347826,125.478261,92.695652,63.347826,52.956522,38.652174,31.391304,85.173913,99.347826,63.130435,29.043478,28.304348,46.391304,211.782609,15.608696,10.695652,40.913043,43.478261,80.956522,120.26087,69.565217,174.956522,124.434783,47.043478,40.608696,95.347826,26.26087,80.521739,32.391304,28.478261,25.826087,18.782609,32,10.173913,10.695652,7.608696,14,25.217391,82.521739,3287.956522,,,,,,,,,,,,,
MT,115.217391,153,57.434783,36.217391,61.130435,46.043478,88.956522,108.434783,112.043478,92,153.608696,88.73913,134.217391,117.73913,56.173913,54.347826,41.869565,37.26087,96.217391,83,67.173913,41.130435,27.652174,47.434783,199.304348,9.608696,12.304348,15.956522,38.304348,103.086957,179.782609,133.391304,310.869565,167.347826,72.73913,43.173913,67.652174,24.478261,104.391304,45.130435,53.826087,32.782609,36.086957,23.521739,5.826087,15.26087,11.217391,12.782609,22.565217,73.913043,3732.347826,,,,,,,,,,,,,
PL,107.521739,154.826087,58.608696,28.391304,63.956522,49.826087,100.956522,93.73913,125.956522,95.608696,179.695652,103.043478,112.173913,98.608696,59,40.782609,30.565217,27.086957,88.043478,75.130435,56.086957,22.869565,17.652174,37.26087,201.304348,46.869565,17.73913,20.347826,32.043478,173.956522,244.086957,169.608696,353.73913,233.26087,96.869565,36.869565,78.347826,24.173913,96.652174,69.565217,63.478261,51.347826,35.391304,24.521739,7.826087,9.304348,7.826087,13.391304,28.826087,68.652174,4033.391304,,,,,,,,,,,,,
CC,77.478261,124.217391,46.608696,30.347826,58.565217,42,98.434783,98.391304,92.73913,79.043478,177.869565,96.913043,81.26087,81.086957,47.73913,37,35.043478,24.652174,88.869565,65.956522,46.565217,19.043478,12.695652,33.695652,161.478261,42.826087,30.304348,29.173913,14.347826,80.130435,122.391304,84.695652,217.782609,165.608696,77.217391,27.956522,57.782609,25.217391,73.782609,51.130435,45.521739,38.434783,46.217391,17.130435,4.608696,6.565217,10.304348,14.73913,17.217391,62.304348,3121.086957,,,,,,,,,,,,,
16,60.869565,64.565217,18.956522,16.434783,32,24.869565,50.086957,53.521739,50.391304,44.217391,76.478261,45.434783,39.913043,33.434783,22.782609,18.695652,10.73913,12.304348,30.304348,28,22.217391,8,6.782609,19.869565,78.434783,80.478261,100.695652,196.478261,94.130435,9.26087,30.173913,56.565217,118.043478,94.826087,45.782609,6.913043,19.347826,8.347826,43.565217,28.565217,35.434783,25.695652,25.347826,8.086957,2.782609,3.304348,2.782609,4.347826,15.26087,32.478261,1958,,,,,,,,,,,,,
24,64.826087,74.956522,14.565217,15.73913,24.913043,16.173913,36.695652,36.73913,37.956522,33.521739,76.086957,45.304348,32.304348,27.826087,13.869565,15.521739,9.652174,7.652174,27.086957,13.73913,14.565217,10.26087,3.913043,11.652174,55.869565,104.217391,148.608696,286.347826,152.913043,31.478261,12.173913,48.391304,94.652174,82.73913,43.913043,5.130435,10.478261,6.565217,35.217391,37.695652,38.130435,20.869565,28.043478,8.130435,2.956522,2.73913,2.695652,3.913043,12.434783,22.521739,1964.347826,,,,,,,,,,,,,
GP,16.478261,17.652174,5.521739,2.695652,10.652174,3.478261,12.130435,13.130435,19.391304,13.478261,16.173913,13.913043,11.217391,8.521739,7.086957,5.217391,2,1.130435,12.043478,6.434783,4.130435,2.478261,1.391304,6.73913,12.869565,66.478261,113.608696,171.782609,82.73913,53.521739,48.086957,5.478261,16.391304,16.782609,14.913043,2.956522,4.391304,1.434783,9.130435,7.956522,21.130435,12.73913,10.043478,4,1.782609,1.217391,0.826087,0.782609,2.956522,12.130435,909.217391,,,,,,,,,,,,,
BP,20.652174,22.913043,5.434783,2.782609,12.130435,5.304348,12.130435,17.130435,26.391304,16.521739,19.869565,20.086957,12.130435,10.391304,8.869565,6.304348,3.956522,4.695652,11.347826,2.565217,6.086957,1.173913,2.304348,4.173913,21.913043,137.26087,180.478261,435.608696,209.478261,100.217391,87.173913,16.956522,5.391304,15.913043,20.956522,3.391304,5.826087,0.782609,10,16.478261,30.173913,23.391304,26.217391,4.347826,2.521739,2.173913,1.173913,1.347826,2.434783,6.608696,1623.565217,,,,,,,,,,,,,
DC,11.26087,18.869565,3.826087,4.913043,9.73913,4.26087,12.391304,12.391304,23.217391,11.347826,19.565217,19.347826,10.043478,10.73913,8.869565,3.347826,4.652174,6.347826,6.391304,5.652174,8.782609,1.26087,2.608696,3,15,123.391304,146.217391,287.913043,176.478261,102.695652,81.608696,17.26087,19.869565,8.173913,9.086957,1.913043,11.565217,1.521739,10.434783,16.086957,33.217391,40.391304,26.826087,4.565217,1.521739,2.782609,2.043478,1,4.217391,13.086957,1381.695652,,,,,,,,,,,,,
CM,4.608696,9,0.826087,1.521739,2.086957,1.434783,5.826087,7.652174,12.434783,2.347826,5.130435,2.695652,2.869565,3,1.304348,2.608696,2.086957,1.26087,2.913043,1.956522,3.695652,1.304348,0.608696,1.26087,6.26087,46.608696,53.956522,108.782609,68.956522,40.391304,42.217391,15.391304,21.565217,10.782609,3.565217,0.478261,2.826087,0.826087,7.434783,5.391304,14.043478,39.956522,16.913043,0.086957,0.26087,0.217391,0.434783,0.391304,2.347826,9.086957,599.608696,,,,,,,,,,,,,
CV,1.521739,1.434783,1.695652,0.478261,3.26087,1.434783,3.478261,2.826087,4.782609,21.652174,20.695652,11.173913,16.652174,16.826087,3.565217,4.173913,4.956522,6.521739,0.478261,0.173913,0.478261,0.086957,0.478261,0.304348,3.304348,30.434783,41.173913,42.086957,30.521739,10.347826,5.826087,3.173913,2.521739,3.304348,0.217391,2.173913,31.565217,0.086957,0.130435,2.478261,2.565217,1.73913,0.913043,14.73913,1.217391,1.086957,0.434783,0.782609,0.086957,0.391304,362.434783,,,,,,,,,,,,,
ED,2.347826,6.869565,1.347826,1.695652,7.608696,3.652174,11.086957,8.73913,8.956522,28.26087,54.217391,29.782609,29.130435,39.956522,17.26087,9.782609,10.304348,11.521739,2.826087,1.869565,1.26087,0.434783,0.086957,0.869565,6.956522,76.652174,63.695652,91.73913,62.434783,19.217391,13.26087,5.217391,6.608696,12.695652,2.478261,27.869565,7.304348,0.26087,2.173913,2.086957,1.130435,13.217391,2.043478,9.869565,9.130435,4.73913,4.478261,4.695652,0.086957,1.956522,741.869565,,,,,,,,,,,,,
NC,0.913043,1.73913,0.869565,0.782609,2.565217,0.130435,3.695652,8.086957,7.73913,1.652174,1.391304,1.869565,1.26087,2,1,0.826087,0.347826,0.304348,8.565217,5.73913,5.652174,1.608696,0.956522,3.478261,0.826087,18.173913,22.26087,25.391304,26.217391,6.695652,6.478261,1.173913,1.782609,1.478261,1.043478,0.043478,0.478261,1.478261,10.478261,4.173913,1.434783,8.043478,0.521739,0.086957,1.521739,0.130435,0.782609,0.391304,7.695652,6.608696,218.565217,,,,,,,,,,,,,
