Exit stations,Entry stations->,,WEEKDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL,29.190476,28.714286,10.047619,9.761905,28,14.380952,38.714286,28.380952,51.380952,42.238095,73.238095,11.095238,46.380952,53.333333,44.52381,23.095238,15.761905,18.904762,12.047619,5.047619,5.238095,3.714286,1.52381,5.047619,29.952381,83.666667,80.380952,115.047619,98.47619,45.571429,46.714286,17.857143,16.666667,18.904762,3.809524,12,26.380952,1.619048,9.47619,2.047619,5.333333,7.142857,3.333333,10.619048,5.428571,12.666667,4.190476,8.190476,5.238095,12.238095,1282.714286,,,,,,,,,,,,,
SL,16.428571,18.904762,9.190476,7.571429,23.52381,15.190476,28.047619,28.285714,52.904762,71.142857,104.333333,51.571429,7.52381,41.190476,47.952381,38.190476,21.380952,19.52381,4.761905,4.571429,3.904762,3.333333,1.619048,6.857143,17.571429,104.47619,114.761905,142.190476,97.190476,44.714286,33.333333,12.857143,11.904762,13.857143,3.47619,14.047619,32.761905,1.428571,5.095238,4.571429,2.761905,8.952381,3.333333,14.619048,3.809524,14.333333,6.380952,6.952381,5.47619,4.238095,1353,,,,,,,,,,,,,
BF,8.190476,12.428571,3.333333,7.095238,20.571429,6.809524,21.857143,36.285714,44,63.333333,84.47619,57.285714,40.666667,7.095238,30.285714,22.619048,19.238095,31.761905,6.809524,2.857143,4.714286,1.714286,2.666667,2.952381,18.190476,88.714286,94.857143,119.809524,102.428571,45.809524,27.380952,7.714286,16.190476,10.238095,4.238095,12.333333,39.666667,2.238095,3.285714,2.904762,4.761905,7.904762,3.666667,22.619048,1.095238,16.142857,6.428571,7.380952,0.904762,2.47619,1208.428571,,,,,,,,,,,,,
HY,9.904762,15.666667,3.47619,5.428571,14.285714,7,18.047619,28.428571,39.857143,33.904762,66.333333,43.714286,50.619048,31.714286,5.380952,28.857143,47.666667,54.952381,6.47619,3.333333,4.571429,3.380952,1.047619,5.904762,12.142857,59.714286,43.095238,78.666667,50,22.380952,18.190476,10.571429,9.238095,7.428571,3.190476,3.47619,20,1.333333,4.428571,2.47619,4.47619,5.238095,4.238095,6.52381,2.47619,23.761905,14.952381,12.47619,2.714286,5.428571,958.571429,,,,,,,,,,,,,
SH,8.095238,9.714286,5,2.904762,9.952381,2.904762,13.095238,13.333333,20.190476,21.857143,36.952381,21.952381,31.761905,27,27.380952,3.952381,15.809524,29.571429,3.904762,1.095238,2.380952,1.142857,0.619048,1.619048,9.190476,41.857143,48.761905,52.333333,45.47619,19.190476,16.285714,6.047619,5.428571,2.619048,1.857143,5.666667,10.761905,0.666667,3.095238,3.333333,1.571429,3.285714,2.238095,8.238095,1.619048,21.380952,7.238095,6.333333,1.142857,3.571429,641.380952,,,,,,,,,,,,,
UC,5.52381,9.190476,4.47619,0.666667,12.619048,6.285714,13.809524,17.285714,24.571429,20.619048,29.904762,20.619048,20.571429,18.761905,36.761905,18.47619,5.333333,27.714286,3,0.809524,1.190476,1.190476,0.47619,2.571429,3.571429,34.809524,36.904762,37.619048,44.238095,13.428571,12.380952,2.52381,3.52381,4.142857,1.47619,4.285714,13.666667,0.047619,2.809524,2.52381,0.809524,2.857143,0.571429,8.333333,1.238095,22.285714,10.809524,10.714286,1.571429,2.285714,581.857143,,,,,,,,,,,,,
FM,6.809524,12.190476,3.857143,2.809524,7.952381,2.619048,14.190476,10.809524,19.571429,18.714286,37.666667,23.619048,22.428571,33.238095,50.761905,30.47619,40.714286,5.142857,3,3.714286,1.333333,0.238095,0.904762,0.809524,4.285714,32.47619,31.904762,37.714286,30.904762,16.666667,9,2.809524,4.333333,4.142857,2,6.809524,10.238095,0.095238,2.142857,1.761905,3.952381,3.380952,1.571429,1.714286,2.619048,12.333333,17.952381,17.333333,1.47619,2.285714,615.47619,,,,,,,,,,,,,
CN,7.952381,9.47619,3.809524,3.095238,8.333333,4,25.190476,25.428571,33.380952,5.47619,13.809524,11.571429,6.238095,6.52381,6.52381,3.047619,3.333333,3.142857,7.095238,20.571429,56.380952,30.333333,12.428571,16.761905,6.428571,79.285714,74.428571,114.571429,103.238095,33.285714,28.190476,14.285714,12,8.095238,5.142857,0.904762,2.47619,11.714286,43.761905,5.380952,8.761905,23.380952,6.571429,1.190476,5.285714,1.285714,1.904762,2.666667,37.047619,38.095238,993.285714,,,,,,,,,,,,,
PH,2.142857,4.428571,2.285714,3.619048,6.380952,3.52381,24.904762,25.380952,29.047619,5.095238,4.571429,5.428571,4.52381,3.666667,2.095238,0.809524,0.619048,3.52381,26.333333,3.952381,19.52381,13.238095,6.428571,15.571429,4.52381,77.238095,80.809524,88.809524,69.333333,28.47619,17.619048,9.52381,3.047619,5.904762,2.952381,0.190476,1.714286,5.52381,24.142857,1.904762,5.809524,17.47619,1.809524,0.52381,5.857143,1.619048,0.428571,1.714286,15.857143,11.904762,701.809524,,,,,,,,,,,,,
WC,8.52381,6.47619,3.571429,3.571429,9.952381,2.809524,24.857143,20.666667,27.904762,5.047619,11.095238,5.142857,3.761905,4.809524,4.190476,2.47619,1.571429,0.809524,64.380952,21.952381,4.142857,15.333333,9.333333,22,5.619048,53.714286,65.285714,60.47619,48.190476,19.047619,14.52381,3.619048,4.428571,8.571429,3.47619,1,1,11.571429,41.52381,3.571429,3.047619,17.52381,2.190476,0.666667,4.52381,0.761905,0.571429,1,21.904762,22.142857,704.333333,,,,,,,,,,,,,
LF,2.666667,1.619048,2.47619,0.52381,4,0.952381,8.47619,8.666667,10.095238,2,6.809524,4.380952,3.52381,1.285714,2.285714,0.666667,2.238095,0,36.095238,15.52381,15.761905,1.714286,2.714286,8.142857,1.380952,24.190476,39.952381,21.190476,26.571429,6.095238,7.857143,0.809524,2.190476,1.857143,0.952381,0.190476,0.285714,2.095238,9.142857,0.142857,0.571429,5.857143,0.761905,0.095238,1.619048,0.047619,0.666667,0.333333,3,4.285714,304.761905,,,,,,,,,,,,,
OR,3.761905,1.761905,1.142857,0.619048,1.904762,0.952381,6.238095,5.809524,10.714286,1.095238,8.857143,0.952381,2.095238,1.952381,0.666667,0.571429,0.428571,1,10.142857,5.714286,11.571429,2.714286,1.428571,6,0.571429,25.333333,29.904762,15.47619,15.761905,7.52381,4.428571,1,2,1.333333,0.380952,0.285714,0.142857,1.047619,2.904762,0.571429,1.095238,4.428571,0.857143,0,1.714286,0.047619,0.047619,0.47619,2.809524,1.619048,209.857143,,,,,,,,,,,,,
RR,8.095238,4.904762,4.571429,1.761905,1.333333,1.238095,8.47619,11.428571,12.571429,3.380952,14.666667,4.047619,6.238095,3.047619,6.190476,1.857143,2.952381,1.190476,14.857143,19.857143,19.666667,7.904762,7.666667,3.52381,3.952381,37.619048,39.952381,38.285714,35.190476,16.809524,9.47619,4.142857,3.809524,2.47619,1,0.333333,2.571429,4.52381,12.571429,0.952381,1.47619,9,1.142857,0.142857,0.904762,0.619048,0.142857,0.761905,4.333333,8.190476,411.809524,,,,,,,,,,,,,
OW,10.190476,12,2.47619,1.714286,10.571429,7.285714,14.47619,8.857143,19.47619,6.428571,36.571429,31.904762,16.904762,17.904762,10.619048,8,4.904762,3.571429,7.190476,3.714286,4.52381,1.238095,0.47619,4.52381,6.380952,209.952381,175.952381,210.571429,165.666667,68.52381,55.285714,11.095238,20,14.952381,4.904762,3.47619,10.238095,0.666667,5.809524,6.904762,7.952381,16.285714,5.095238,1.333333,1.571429,2.809524,0.666667,1.47619,2.333333,5.666667,1261.095238,,,,,,,,,,,,,
EM,103.095238,155.047619,50.095238,37.238095,63.142857,42.428571,95.809524,98.428571,104.095238,95.904762,164.619048,101.190476,127.952381,103.47619,74.142857,52.428571,40.857143,37.809524,94.142857,89.809524,60.52381,31,29.571429,41.428571,236.857143,14.095238,10.666667,37.904762,47.47619,82.809524,122.904762,79.809524,164.571429,136.857143,51.857143,43.047619,100.142857,26.095238,101.285714,38.095238,27,29.904762,17.571429,31.619048,6.904762,9.428571,5.52381,13.714286,25,85.952381,3441.333333,,,,,,,,,,,,,
MT,125.428571,165.904762,56.904762,34.714286,48.428571,42.142857,83.095238,102.809524,111.142857,92.952381,164.52381,101.47619,144.285714,114.619048,55.809524,55.952381,47,38.52381,92.142857,84.285714,69.190476,40.238095,34.571429,44.142857,211.380952,10.761905,13,16.095238,42.619048,110.095238,170.857143,132.809524,318.333333,179.142857,80.47619,41.52381,78.238095,27.761905,105.047619,49.380952,57.714286,31.428571,31.380952,18.761905,5.714286,15.285714,12.285714,16.857143,24.809524,75.857143,3827.904762,,,,,,,,,,,,,
PL,128.095238,169.619048,51.714286,23.142857,48.52381,42.190476,94.52381,87.047619,122.761905,101.52381,179.142857,94.285714,122.47619,102.714286,61.142857,39.761905,32.714286,30.809524,95,73.666667,50,20.095238,12.095238,28.285714,199.666667,44.142857,17.142857,24.285714,35.666667,158.142857,240.904762,158.571429,364.666667,247.714286,90.571429,35.714286,67.238095,29.047619,98.47619,67.809524,60.47619,68.238095,38.428571,19.428571,8.047619,9.095238,7.285714,12.571429,32,71.428571,4018.095238,,,,,,,,,,,,,
CC,95.571429,145.619048,47.904762,28.666667,49.714286,49.285714,97,97.095238,88.333333,90.333333,193.380952,104.809524,85.809524,86.571429,45.952381,43.571429,38.666667,30.095238,90.380952,62.047619,48.47619,19.714286,15.857143,31.333333,169.380952,42.238095,36.904762,28.095238,15.238095,85.952381,137.190476,95.857143,233.761905,178.952381,91.666667,32.52381,71.52381,25.380952,75.952381,53.714286,47.952381,37.142857,43.666667,20.952381,4.619048,8.285714,9.238095,15.904762,24.809524,68.857143,3341.952381,,,,,,,,,,,,,
16,65.619048,69.142857,18.857143,15.285714,30.238095,25.952381,60.52381,45.666667,50.190476,43.952381,79.428571,41.52381,42.619048,43.285714,23.285714,21.47619,13.714286,14.095238,28.47619,29.47619,19.047619,6.047619,6.666667,14.285714,73.047619,80.666667,98.952381,186.52381,97.52381,10.190476,28.52381,54.190476,125.047619,105.666667,49.380952,8.52381,20.952381,7.47619,48.285714,26.238095,34.238095,30.619048,24.714286,7.238095,2.571429,4.761905,2.428571,3.714286,13.380952,33.047619,1986.761905,,,,,,,,,,,,,
24,68.952381,77.761905,14.142857,12.809524,27.666667,15.809524,39.761905,31.619048,34.238095,29.52381,75.47619,45.904762,33.809524,27.47619,17.380952,15.333333,11.761905,9.238095,26.142857,18.142857,11.904762,6.714286,4.809524,11.52381,56.952381,106.095238,144.619048,269.190476,165.142857,28.666667,9.238095,49.952381,99.809524,74.095238,41.761905,6.47619,10.952381,6.285714,33.47619,36.571429,34.095238,21.952381,25.428571,5.52381,3.571429,2.571429,2.47619,2.47619,11.380952,21.142857,1937.809524,,,,,,,,,,,,,
