Exit stations,Entry stations->,,WEEKDAY,,,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,26.9,100.3,89.3,65.65,379.45,95.4,129.4,160.6,172.35,41.3,81.75,61.95,42.05,21.65,24.9,18.3,18.85,23.95,17.7,14.5,25,7.25,10.4,23.8,30.3,440.45,436.25,507.1,370.7,196.25,193.15,49.9,61.35,43.45,17.25,6.15,14.2,4.65,17.45,12.7,22.3,65.1,27.55,6.35,14.25,14.55,0,0,8.9,12.65,4225.65,,,,,,,,,,,,,,
EN,109.7,24.5,75.1,82.95,703.85,127.5,238.6,453.4,556.1,85.2,98.2,122.4,60.6,35.25,49.3,23.2,36.15,36,29.9,19.95,29.5,7.45,10.4,29.25,35.65,931.1,931.3,878.55,799.75,287.45,204.75,82.45,101.25,71.1,29.4,6.95,26.5,5.15,10.15,27.4,37.25,143.95,66.05,14.2,38.9,45.6,0,0,8.85,8.95,7837.1,,,,,,,,,,,,,,
EP,85.45,76.3,13.75,48.55,602.85,82.15,131.55,288.6,325.85,51.7,47.05,48.85,31.1,15.75,20.8,10.15,15.2,23.05,17.75,16.35,25.05,7.5,9.2,25.85,14.8,591.95,636.05,429.65,453.3,141.7,67.8,30.75,31.5,28,5.35,8.9,10.85,3.95,8.85,7.25,11.25,78.05,31.6,5.8,31.2,24.2,0,0,2.8,3.7,4679.65,,,,,,,,,,,,,,
NB,69.25,78.85,44.4,17,166.7,55.75,84.85,242.3,254.9,43.4,64.9,39.4,25.45,18.5,28.15,7.65,17.8,24.55,24.5,19.1,24.45,6.15,10.25,14.5,14.1,673.05,683,381.95,498,173.95,98.9,32.95,32,24.05,7.1,6.55,15.7,5.3,7.35,8.55,8.8,99.85,33.8,5.85,33,24.55,0,0,5.25,4.4,4260.75,,,,,,,,,,,,,,
BK,409.95,744.35,603.85,177.7,51.55,304.6,344.5,549.4,532.05,187.55,271.55,166.15,174.85,110.1,116.5,83.85,154.25,168.3,102,140.45,127.55,69.75,52.55,44.75,70.2,1185.3,1089.9,760.05,739.3,332.45,236.35,139.05,105.7,89.45,32.5,46.6,137.75,29.65,69.85,34.85,39.55,154.9,151.05,58.25,52.6,173.45,0,0,34.25,46.65,11497.75,,,,,,,,,,,,,,
AS,104.1,122.55,82.3,66.7,285.35,18.85,88.55,250.55,253,55.75,100.35,74,46,32.8,34.8,18.7,32.15,25.1,25.25,21.6,19.15,9,6.95,8.5,25.1,768.2,772.8,454.05,517.45,240.9,118.4,35.9,34.3,22.7,10.55,8.25,22.8,6.55,10.55,10.25,13.15,60.7,33.8,14.75,22.3,34.35,0,0,6.4,8.9,5035.15,,,,,,,,,,,,,,
MA,149.2,235.4,118.4,79.5,327.65,91.25,43.95,209.4,215.3,60.25,145.55,135.5,112.3,81.95,84.65,45.55,72.85,79.1,139.9,179.7,149.45,58.35,38.35,58.35,46.35,1196.5,1268,816,896.2,427.1,210.15,90,69.3,59.3,24.8,24.15,69,46.9,134.95,23.6,28.45,121.25,60.95,20.9,29.1,65.6,0,0,46.85,114.1,8801.35,,,,,,,,,,,,,,
19,173,470.9,285.3,252.65,513.15,248.6,209.15,46.35,50.55,32.7,172.7,170.25,229.3,211.1,214.9,140.05,201.4,243,287.4,358.6,302.4,162.95,114.85,165.65,68.5,1514,1626.9,961.45,1091.2,489.95,317.65,167.9,142.05,132.6,73.55,77.65,225.15,123.15,179.55,64.85,73.7,98.95,140.85,113.05,33.5,220.35,0,0,57.55,123.85,13374.8,,,,,,,,,,,,,,
12,197.45,579.8,317.95,264.05,463.4,252.6,206.1,46.05,50.15,33.7,207.6,248.9,350.45,312.2,290.1,184.95,245.6,284.25,318.55,460.1,311.85,165.3,122.55,188,85.55,1380.6,1343.35,954.15,1016.85,366,316.7,201.45,191.55,208.2,123.2,125.75,277.55,130.8,244.65,97.85,85.3,150.1,150.8,133.45,51.7,199.9,0,0,64.4,178.15,14179.65,,,,,,,,,,,,,,
LM,34.65,77.55,44.2,42.3,175.5,56.45,58.55,33.7,35.6,28,146.15,247.65,291.7,242,135.65,76.95,117.55,114.2,37.15,21.5,27.4,6.05,7.7,27.15,26.9,987.8,1049.45,710.15,680.2,282.5,153.65,60.1,79.7,59.55,6.4,122.8,212.15,6.8,22.45,13.1,16.2,41.55,15.5,92.8,24.3,108.65,0,0,8.3,22.5,6888.8,,,,,,,,,,,,,,
FV,85.85,96.75,46.2,69,262,99.65,140.65,193.7,216.95,130.1,27,238.35,208.1,189.9,171.1,74,72.3,91.75,36.75,22.35,42.1,15,23,50.45,81.65,962.45,994.7,864.95,820.15,342.95,217.95,70.25,84.5,62,9.8,53.1,129.9,7.3,25.2,16.35,23.15,71.7,29.6,65.6,13.7,78.45,0,0,11.9,19.5,7659.8,,,,,,,,,,,,,,
CL,70.35,134.8,52.05,46.35,157.85,80.85,145.1,195.9,289.65,212.45,239.25,36.45,158.15,154.2,140.7,89.35,112.6,116.55,57,51,52.25,31,25.85,44.3,86.2,662,626.75,539.4,452.05,177.4,141.8,69.4,68.4,89.15,14.75,64.05,196.15,14.4,40.65,31.3,24.6,46.45,29.3,101.5,35.95,160.35,0,0,22.85,41.15,6430,,,,,,,,,,,,,,
SL,43.15,58.4,30.4,28.4,178.85,48.65,111.2,240.45,362.55,284.45,215.5,168.85,19.15,108.95,132.65,65.6,81.95,100.6,30.2,26.1,22.3,7.95,7.85,23.2,41.3,783.55,851.5,612.15,554.3,189.2,104.4,47.75,70.5,54.55,8.65,38.4,114.65,8.75,15.2,13.5,12.5,55.7,13.45,59.05,8.4,76.7,0,0,8.75,17.25,6157.5,,,,,,,,,,,,,,
