Exit stations,Entry stations->,,WEEKDAY,,,Dec 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,25.526316,124,90.105263,64.263158,361.473684,86.789474,137.263158,151.578947,174.210526,37.368421,74.105263,53.157895,36.157895,22.263158,26.684211,15.894737,16.473684,23.789474,21.894737,13.842105,19.105263,5.157895,8.315789,21.105263,23.684211,402.473684,402.421053,508.473684,325.894737,197.105263,196.842105,48.684211,62.315789,95,14.631579,5.157895,11.842105,3.578947,16.947368,13.842105,27.736842,58.842105,25,5.736842,11.315789,15.631579,0,0,10.789474,9.789474,4104.263158,,,,,,,,,,,,,,
EN,134.263158,22.631579,88.578947,74.631579,659.473684,119.157895,230.421053,396,507.631579,78.894737,85.315789,73.421053,47.421053,37.157895,54.684211,24.578947,29.315789,35.315789,27.684211,16.526316,27,8.947368,10,30.315789,34.526316,860.368421,867.368421,886.052632,688.210526,272.526316,209.684211,82.052632,96,136.157895,29.789474,8.105263,22.789474,5.052632,10,27.526316,43.578947,129.368421,56.421053,10,35.052632,40.526316,0,0,7.210526,9.947368,7387.684211,,,,,,,,,,,,,,
EP,91.578947,84.526316,12.684211,56.368421,605.631579,71.684211,126.631579,258.263158,294.684211,59.263158,44.263158,26.736842,27.842105,16.263158,22.631579,7.052632,14.473684,25.421053,18.105263,18.052632,18.105263,6.473684,5.789474,28.842105,12.263158,543.631579,558.684211,459.947368,399,130.894737,64.578947,28,33.789474,51,3.631579,4.473684,10.631579,3.684211,7.105263,9.894737,14.315789,80.894737,28.473684,4.315789,28.526316,20.631579,0,0,4.894737,5.526316,4450.157895,,,,,,,,,,,,,,
NB,64.842105,72.157895,50.315789,13,173.052632,48.368421,86.315789,221.526316,223.210526,38.894737,51.105263,23.315789,24.736842,16.473684,24.578947,6.894737,15.684211,20.894737,17.473684,20.473684,17.684211,7.052632,5.894737,13.842105,11.842105,570.473684,552.526316,394.473684,428.210526,148.789474,86.578947,27.368421,35.631579,33.894737,5.052632,5.894737,11.210526,3.210526,5.736842,5.052632,7.631579,92.421053,30.263158,3.473684,32.157895,22.842105,0,0,2.894737,4.473684,3779.894737,,,,,,,,,,,,,,
BK,412.947368,707.210526,608.473684,187.210526,41.842105,297.578947,312.947368,462.421053,451.526316,168.684211,231.473684,130.421053,158.578947,105,121.368421,66,115.421053,113.473684,89.421053,119.105263,97.421053,49.947368,38.736842,36.105263,60.210526,756.052632,744.789474,665.105263,561.526316,251.684211,192.368421,108.894737,89.421053,93.157895,31.105263,50.736842,100,27.368421,59.789474,31.052632,31.210526,153.052632,113.052632,39.473684,64.894737,130.315789,0,0,26.789474,46.315789,9551.684211,,,,,,,,,,,,,,
AS,90.105263,113.210526,70.368421,55.315789,269.789474,15.210526,90.789474,225.473684,227.210526,50.368421,88.684211,49.157895,43.105263,29.631579,28.368421,19.842105,28.684211,23.789474,22.421053,23.631579,19.842105,7.052632,6,11.684211,20.421053,597.421053,638.684211,428.894737,440.789474,217.789474,98.105263,28.315789,37.894737,39.631579,7.947368,7.315789,17.842105,4.421053,10.315789,9.789474,14.105263,58.157895,32.263158,9.315789,25.052632,32.684211,0,0,2.947368,12.421053,4402.263158,,,,,,,,,,,,,,
MA,160.210526,225.157895,117.315789,80,299.842105,90.210526,48.578947,199.315789,244.263158,56,137.263158,112.368421,106.263158,75.947368,85.105263,39.684211,72.473684,69.473684,129.421053,147.473684,135.421053,55.473684,32.263158,64.052632,36.210526,1001.368421,1103.473684,793.157895,810,375.473684,195.315789,76.736842,74.105263,82.736842,29.052632,27.894737,55.894737,33.473684,127,21.263158,27.473684,117.263158,62.052632,19.526316,32.421053,63.473684,0,0,51.315789,103.894737,8104.157895,,,,,,,,,,,,,,
19,168.526316,420,266.157895,237.157895,415.210526,233.157895,190.736842,36.789474,63.210526,40.947368,202.368421,146.526316,212.105263,195.421053,182.473684,140.157895,185.947368,222.210526,273.947368,333,281.894737,147.894737,109.368421,171.736842,59,1325.105263,1418.894737,967.473684,914.263158,407.684211,286.684211,143.684211,135.421053,133.736842,75.105263,77.473684,205.684211,116.789474,159.421053,60.684211,60.842105,109.157895,107.157895,98.421053,33.315789,198.526316,0,0,53.947368,127.421053,12152.842105,,,,,,,,,,,,,,
12,190.526316,518.421053,291.368421,229.315789,376.578947,217.315789,219.684211,54.789474,44.315789,26.210526,198.842105,214.105263,317,297.368421,263.736842,167.842105,211.210526,241.421053,279.789474,426.157895,307.894737,136.684211,105.578947,161.210526,80.789474,1167.789474,1176.894737,902.526316,865.894737,309.842105,269.473684,161.736842,172.736842,202.894737,115.842105,106.157895,271.421053,124.368421,224.473684,93.526316,83.631579,123.315789,145.263158,145.842105,47.473684,181.789474,0,0,60.210526,180.473684,12711.736842,,,,,,,,,,,,,,
LM,33.631579,75.842105,54.052632,40.842105,163.842105,54.684211,54.578947,41.421053,33.315789,18.789474,119.789474,176.894737,264.842105,225.052632,137.368421,77.526316,96,92.736842,30.684211,22.315789,22.578947,6.578947,6.842105,25.473684,30.263158,858.578947,939.421053,693.315789,566.789474,238.947368,125.894737,55.263158,80.052632,90.526316,5.210526,102.210526,162.473684,6.052632,21.684211,11,12.578947,33.947368,12,88.789474,22.263158,82.421053,0,0,10.052632,20.842105,6146.263158,,,,,,,,,,,,,,
FV,77.210526,85.578947,45.894737,62.052632,236.578947,91.894737,145.894737,205.684211,230.842105,124.578947,25.842105,192.315789,208.789474,184.263158,176.421053,74.263158,71.210526,84.526316,36.789474,22.157895,33.105263,13.736842,21.263158,53.894737,85.842105,840.421053,882.105263,860.315789,735.736842,324.578947,208,54.789474,93.421053,116.684211,8.947368,48.105263,119.684211,4.947368,22.315789,12.052632,22,63.684211,20.789474,58.578947,13.578947,78.421053,0,0,14.684211,19.789474,7214.263158,,,,,,,,,,,,,,
CL,55.736842,87.789474,25.526316,22.473684,117.578947,48.157895,115.894737,147.789474,230.052632,144.210526,183.263158,20.789474,89.526316,113.263158,101.947368,54.631579,49.736842,49.368421,37.210526,21.736842,20.947368,7.947368,7.210526,19.894737,72.421053,455.578947,423.736842,400.842105,330.894737,149.157895,99.526316,37.631579,57.578947,92,10.894737,26.947368,87.473684,5.473684,31.105263,14.842105,16.315789,35.263158,11.842105,35.421053,22.368421,58.526316,0,0,18.578947,33.157895,4300.263158,,,,,,,,,,,,,,
