Exit stations,Entry stations->,,WEEKDAY,,,May 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL,39.863636,54.545455,27.636364,42.181818,81.272727,42.454545,97.909091,79.954545,106.772727,99.545455,151.409091,22.727273,92.818182,93.454545,84.272727,39.954545,46.545455,45.363636,23.181818,23.181818,22.136364,13.818182,9.954545,27.727273,55.954545,218.909091,135.181818,208.5,163.409091,63.727273,72.590909,35,29.409091,37.818182,5.454545,33.772727,101.909091,6.181818,15.772727,7.045455,10.227273,17.727273,8.681818,34.681818,27.318182,43.136364,28.818182,41.363636,7.545455,23.727273,2802.545455,,,,,,,,,,,,,
SL,19.863636,24.590909,15.409091,17.5,71.318182,23.272727,54.727273,59.818182,108.045455,129.590909,132.772727,92.909091,13.590909,66.954545,82.772727,51.090909,38.772727,41.590909,14.227273,8.5,9.636364,1.681818,2.909091,9.727273,26.863636,276.727273,251.181818,250.090909,195.454545,68.681818,59.227273,20.318182,33,32.772727,6.545455,29.136364,58.590909,2.454545,8.454545,4.545455,4.727273,21,3,24.318182,7.181818,32.181818,15.863636,20.136364,3.318182,13.272727,2560.318182,,,,,,,,,,,,,
BF,10.5,18.954545,7.409091,7.045455,43.545455,13.136364,35.727273,51.863636,87.318182,97.954545,119.727273,94.681818,68.181818,11.681818,51.954545,39.590909,43.045455,42.5,11.272727,6.590909,7.818182,1.318182,3.454545,7.409091,17.5,220.727273,195.909091,229.727273,173.272727,64.954545,32.681818,13.727273,23.454545,25.454545,4.363636,20.5,53.954545,0.818182,7.045455,4.954545,6.409091,14.636364,3.5,36.818182,7.136364,34.545455,17.318182,18.409091,2.954545,3.772727,2117.227273,,,,,,,,,,,,,
HY,16,23.136364,7.909091,9.545455,43.409091,15.409091,42.636364,46.818182,75.045455,54.363636,96.409091,86.5,86.181818,52,10,49.454545,83.318182,92.272727,12.045455,5.5,7.681818,1.454545,2.409091,5.681818,18.590909,150.045455,101.090909,112.636364,88.318182,36.454545,27.363636,9.818182,15.227273,17.272727,3.045455,10.545455,30.136364,1.272727,8.590909,3.409091,7.181818,8.090909,4.090909,13.909091,5.545455,57.272727,27.863636,33.590909,3.227273,11.045455,1730.818182,,,,,,,,,,,,,
SH,9.545455,10.5,5.272727,3.681818,24.318182,7.454545,20.454545,30.5,40.818182,43.181818,53.772727,39.227273,46.454545,40.727273,44.772727,6.409091,39.363636,47.318182,5.681818,1.772727,4.136364,0.727273,1.090909,1.727273,12,123.727273,84.181818,85.045455,79.681818,23.727273,26.181818,8.181818,7.363636,11.272727,2.454545,9.318182,12.409091,1.272727,4.363636,3,1.545455,9.636364,3.045455,10.590909,6.727273,46.545455,19.818182,24.636364,1.136364,3.181818,1149.954545,,,,,,,,,,,,,
UC,5.954545,12.636364,6.545455,6.318182,43.681818,12.090909,23.272727,33.818182,60.181818,40.409091,46.5,47.727273,42.909091,42.636364,87.272727,31.681818,12.227273,51.409091,8.954545,2.681818,7.136364,1.454545,0.363636,5.181818,9.727273,158.454545,117.272727,81.363636,79.636364,29.363636,13.954545,6.636364,6.590909,14.863636,4.545455,10.227273,23.090909,0.409091,3.454545,1.636364,1.045455,10.681818,1.363636,11.318182,9.954545,49.954545,35.681818,44.409091,3.772727,6.954545,1369.409091,,,,,,,,,,,,,
FM,7.045455,17.090909,8.090909,9.818182,43.318182,12.772727,25.227273,37.954545,46.863636,35.363636,58.136364,43.5,46.272727,45.727273,92.772727,49.772727,50.863636,14.090909,5.863636,2.818182,3.181818,2.045455,2.227273,4.272727,6.545455,186.727273,128.227273,84.227273,76.227273,28.818182,13.681818,7.272727,7.090909,13.090909,2.363636,9,18.590909,0.5,3.863636,1.181818,1.227273,13.363636,0.863636,7.227273,12.818182,51.454545,53.454545,60.272727,0.954545,6.545455,1460.681818,,,,,,,,,,,,,
CN,12.636364,12.954545,12.227273,6.136364,36.454545,5.090909,50,56.272727,69.818182,10.954545,14.681818,23.636364,15.590909,11.045455,11.909091,5.772727,8.136364,6.181818,20.727273,44.681818,126.590909,44.136364,16.909091,39,12.318182,249.681818,204.681818,201.863636,165.136364,58.045455,43.454545,22.818182,21.272727,24.227273,5.045455,2.090909,4.363636,22.318182,81.090909,6.636364,9.545455,62.181818,6.318182,2.181818,15.863636,4.136364,4.954545,6.454545,60.090909,54.318182,2012.636364,,,,,,,,,,,,,
PH,10.181818,6.909091,5.545455,6.681818,30.318182,7.5,45.590909,60.727273,72.363636,6.590909,10.954545,22.227273,7.136364,7.090909,5,2.136364,3,2.954545,43.954545,13.318182,50.772727,23.454545,15.545455,39.681818,7.409091,345,300.909091,168,146.318182,48.681818,25.818182,19.136364,14.409091,22.818182,4,0.5,2.909091,13.136364,35,5.409091,8.318182,74.954545,6.545455,0.818182,27.181818,4.363636,2.590909,3.681818,17.954545,29.181818,1834.681818,,,,,,,,,,,,,
WC,12.272727,14.727273,10.772727,7.272727,34.590909,9.772727,48.590909,71.590909,77.181818,11.363636,16.681818,20.227273,10.318182,8.363636,5,3.863636,7.409091,3.454545,128.181818,53.863636,12.590909,28.227273,19.136364,50.181818,10.409091,337.090909,251.772727,144.681818,134.681818,40.363636,24.590909,14.590909,11.818182,18.590909,7.954545,2.5,1.909091,20.954545,52.409091,7.454545,7,85,5.681818,0.590909,22.272727,3.272727,3.272727,4.318182,30.681818,45.090909,1954.590909,,,,,,,,,,,,,
LF,5.818182,4.454545,2.272727,2.181818,18.454545,2.272727,17.863636,35.590909,35.318182,3.454545,12.818182,13.863636,1.409091,0.818182,1.409091,0.454545,1.863636,1.045455,53.454545,27.590909,27.318182,7.727273,9.409091,29.954545,3.681818,250.863636,181,64.545455,72.363636,26.090909,17.363636,6.090909,2.727273,6.727273,2.318182,0.409091,2.045455,3.545455,15.363636,1.545455,3.181818,52.090909,3.136364,0.909091,13.318182,0.363636,1.318182,1.636364,8.954545,11.090909,1069.5,,,,,,,,,,,,,
OR,4,3.909091,1.318182,2.909091,12.727273,2.590909,17.272727,25.409091,28.181818,2,11.090909,10.863636,2.590909,3.318182,2.5,1.090909,0.318182,2.090909,15.954545,13.954545,20.454545,9.454545,6.363636,22.909091,1.5,216.636364,148.727273,57.590909,58,17.272727,9.545455,6.727273,4.227273,4.954545,1.363636,2.909091,0.863636,1.454545,4.772727,1.772727,1.454545,35.909091,2.136364,0.227273,8.454545,0.454545,2.545455,1.681818,5.590909,7.545455,827.590909,,,,,,,,,,,,,
RR,10.090909,15.5,14.227273,7,14.5,5.454545,33.136364,62.954545,55.227273,7,27.772727,24.454545,9.590909,6.363636,6.272727,1.5,4.5,4.818182,40.227273,43.318182,49.409091,25.454545,26.454545,9.590909,11.409091,310.409091,232.863636,159.454545,174.727273,83.545455,42.136364,22.181818,28.363636,13.227273,2.727273,3.909091,3.272727,8,20.181818,4.909091,6.772727,69.045455,5.090909,1.318182,9.045455,1.590909,2.954545,3.409091,9.636364,19.090909,1754.090909,,,,,,,,,,,,,
OW,18,15.272727,5.045455,5.818182,33.090909,18.363636,23.863636,23.227273,37,12.181818,62.272727,51.681818,22.909091,18.363636,17.5,13,6.909091,6.409091,11.772727,8.454545,9.5,2.090909,1.090909,11.136364,14.090909,606.909091,377.5,390.136364,316.318182,147.863636,94.727273,26.318182,33.590909,21.863636,6.772727,6.863636,11.863636,1.272727,8,9.636364,12.045455,49.318182,12.318182,4.363636,6.863636,6.818182,3.454545,4.136364,6.5,11.954545,2626.454545,,,,,,,,,,,,,
