Exit stations,Entry stations->,,WEEKDAY,,,Jul 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
CL,73.227273,124.681818,46.090909,48.409091,166.909091,78.772727,131.772727,199.772727,264.636364,206.5,216.409091,30.136364,129.590909,140.363636,131.363636,74.772727,79.181818,86.954545,56.045455,46.045455,46.772727,26.454545,16.863636,43.681818,80.545455,553.863636,527.818182,479.863636,392.772727,152.590909,123.727273,54.363636,55.909091,64.090909,12.818182,56.772727,174.909091,15.5,35.136364,18.363636,16.954545,43.272727,18.818182,83.545455,24.136364,104.545455,0,0,21.727273,41.136364,5618.590909,,,,,,,,,,,,,,
SL,40.818182,55.727273,28.409091,25.863636,190.181818,50.090909,120.090909,230,356.136364,296.045455,208.318182,131.818182,16.636364,113.590909,128.227273,64.454545,84.090909,100.863636,30.863636,27.045455,21.590909,8.045455,9.136364,24.181818,39,765.863636,828.090909,590.909091,528.272727,174.227273,96.363636,46.181818,66.5,53.727273,8.818182,38.545455,108.136364,8.590909,15.181818,13.227273,11.363636,53.545455,13.272727,61.272727,9.772727,81.863636,0,0,9.363636,18,6002.318182,,,,,,,,,,,,,,
BF,21.454545,32.227273,13.5,16.5,122.181818,31.954545,79.545455,212.681818,297.772727,220.545455,181.409091,130.681818,109.909091,17.090909,80.045455,60.363636,81.272727,116.590909,18,7.818182,12.5,2.045455,2.681818,12.227273,32.636364,675.227273,686.181818,544.272727,438,157.181818,84.818182,31.090909,42.545455,37.181818,11,39.136364,134.5,4,8.136364,9.545455,15.181818,33.954545,10.045455,66.454545,6.227273,71.409091,0,0,4.136364,6.090909,5029.954545,,,,,,,,,,,,,,
HY,21.863636,49.227273,20.090909,22.636364,112.681818,37.590909,80,207.954545,272.409091,125.045455,167.681818,131.090909,122.772727,81.909091,17.909091,85.454545,156.090909,196.681818,22.681818,13.5,15.772727,6.590909,5.5,13.545455,25.318182,477,521,358.045455,293.136364,96.363636,66.181818,33.090909,29.863636,30.409091,5.318182,16.727273,71.727273,6.090909,17.181818,6.545455,13.545455,29.909091,5.454545,30.863636,8.954545,107.545455,0,0,8.727273,15.863636,4261.545455,,,,,,,,,,,,,,
SH,18.045455,23.363636,6.863636,7.681818,75.272727,20.363636,41.181818,132.318182,164.772727,71.363636,70.681818,78.454545,64,58.409091,71.5,12.227273,64.272727,91.090909,8.5,7.863636,9.5,1.090909,2,5.045455,13,423.681818,393.5,247.272727,251.772727,80.454545,46.136364,17.727273,17.454545,20.909091,5.681818,10.545455,36.090909,1.954545,7.5,4.636364,6.909091,21.318182,4.727273,20.136364,6.363636,87.727273,0,0,2,4.681818,2838.045455,,,,,,,,,,,,,,
UC,18.181818,32.772727,14.863636,19.772727,180.545455,36.772727,65.409091,191.772727,227.045455,110.045455,81.818182,80.909091,85.863636,83.863636,153.454545,63.227273,22.954545,244.363636,13.590909,11.863636,16.045455,3.863636,2.818182,8.772727,13.090909,897.681818,788.590909,388.5,364.909091,105.045455,38.818182,17.5,20.681818,27.318182,7.681818,14.363636,67.5,1.909091,8.5,6.636364,3.818182,27.409091,4.363636,32.681818,15.909091,85.454545,0,0,5.136364,10.090909,4724.181818,,,,,,,,,,,,,,
FM,27.318182,36.090909,23.5,23.545455,196.545455,28.909091,79.409091,245.318182,253.772727,102.409091,102.590909,87.545455,96.818182,114.045455,194.909091,96.727273,295.545455,37.318182,17.409091,15.227273,13.136364,5.363636,8.909091,11.954545,17.318182,1330.545455,1115.772727,408.181818,381.045455,119.272727,33.954545,18,18.454545,23.954545,4.909091,22.181818,53.772727,3.590909,8.954545,4.272727,7.545455,37.318182,4.454545,24.545455,18.545455,89.409091,0,0,4.363636,8.090909,5872.772727,,,,,,,,,,,,,,
CN,23.181818,26.772727,16.318182,20.136364,100.727273,25.590909,134.727273,278.181818,309.636364,29.909091,39.318182,53.454545,26.545455,19.090909,22.227273,8.409091,16,17.409091,27.272727,92.227273,209.909091,75.227273,38.090909,81.136364,16.454545,854.090909,810.681818,483.454545,453.818182,156.545455,84.727273,49.181818,47.318182,51.727273,21.045455,4.272727,11.136364,45.954545,138.727273,22.681818,23,148.227273,31.727273,3.818182,34.045455,13.454545,0,0,99.181818,99.5,5396.272727,,,,,,,,,,,,,,
PH,19.181818,17.818182,21.636364,19.772727,136.181818,20.227273,162.590909,363.272727,430.5,22.363636,18.136364,43.954545,26.681818,7.318182,14.5,6.272727,12.227273,16.818182,87.409091,26.681818,95.181818,48.545455,32.318182,114.272727,14.818182,1659.409091,1650.136364,630.181818,623.136364,192,82.090909,90.727273,46.727273,47.681818,12.045455,3.681818,4.636364,38.636364,75.954545,24.272727,30.136364,203.181818,22.227273,3.318182,41.727273,15.954545,0,0,28.727273,55.590909,7360.863636,,,,,,,,,,,,,,
WC,22.772727,27.545455,23.272727,23.454545,125.681818,22.727273,157.227273,307.227273,319.863636,25.590909,37,46.181818,22.909091,14.409091,17.181818,10.636364,15.954545,12.954545,227.454545,108.318182,25.181818,55.636364,36.636364,156.863636,19.409091,1373.409091,1321.681818,493.181818,464.409091,146.136364,65.681818,46.545455,40.863636,40.863636,16.318182,3.227273,4.863636,52.318182,129.409091,20.045455,19.545455,187.318182,26.454545,3.136364,39.818182,16.5,0,0,47.545455,88.909091,6510.272727,,,,,,,,,,,,,,
LF,7.636364,8.090909,7.136364,7.590909,75.454545,10,57.090909,160,162.954545,7.318182,12.272727,23.636364,6.727273,1.909091,6.409091,1.409091,2.772727,5.090909,92.272727,47.954545,58.454545,15.454545,11.954545,68.272727,6.090909,887.681818,814.136364,246.636364,260.909091,66.272727,34.045455,18.909091,11.863636,13,3.727273,1,1.909091,9.090909,30.363636,7.181818,9.227273,116.454545,15.772727,1.181818,21.818182,4.590909,0,0,13.272727,13,3466,,,,,,,,,,,,,,
OR,9.272727,12.590909,6.136364,11.272727,63.363636,9.363636,38.954545,111.818182,123.818182,9.727273,17.909091,16.681818,7.636364,3.181818,4.772727,2.363636,2.863636,8.136364,34.272727,25.772727,39.545455,19.590909,19.045455,54.909091,3.318182,792.045455,685.636364,217.727273,232.454545,56.181818,32.454545,28.272727,10.545455,13.818182,1.727273,2.272727,2.909091,2.363636,8.090909,6.5,5.545455,86.772727,12.772727,1.545455,12.681818,6,0,0,9.5,9.454545,2893.590909,,,,,,,,,,,,,,
RR,21.136364,29.909091,28.863636,15.5,53.318182,11.590909,55.727273,183.772727,204.909091,32.318182,49.681818,44.318182,26.136364,9.636364,10.909091,6.636364,8.5,12.136364,76.181818,110.954545,150.727273,63.181818,49.909091,20.590909,18.409091,1134.727273,1106.090909,534.454545,576.863636,218.5,97.636364,57.181818,28.318182,22.772727,3.863636,5.409091,11.818182,17.454545,32.318182,12.954545,11.636364,150.272727,25.909091,4.954545,17.818182,13.090909,0,0,15.136364,35.681818,5429.818182,,,,,,,,,,,,,,
OW,27.227273,31.727273,12.863636,13.409091,66.909091,25.545455,57.727273,66,86.5,21.727273,76.454545,81.363636,37.045455,32.227273,24.363636,10.636364,13.181818,9.681818,13.818182,12.954545,15.136364,7.318182,3.454545,19.318182,25.681818,1805.590909,1528.409091,968,870.363636,374.590909,200.681818,67.545455,52.318182,38.954545,12.5,9.045455,27.772727,6.045455,15.772727,19.5,23.136364,117.727273,43.681818,11.636364,9.318182,11.045455,0,0,8.409091,16.590909,7030.909091,,,,,,,,,,,,,,
EM,542.318182,1027.681818,689.454545,764.409091,1401.818182,960.863636,1423.545455,1896.727273,1677.409091,1200.090909,1174.681818,654.363636,1014.681818,860.090909,613.227273,525,1066.727273,1537.181818,1051.045455,2063.681818,1640.227273,1049.954545,937.954545,1305.318182,2223.363636,227.863636,127.363636,503.318182,688.363636,1219.590909,1926.318182,1286,1651.863636,1407.318182,885.818182,657.954545,2492.363636,386.181818,643.863636,663,613.272727,460.590909,1147.090909,991.136364,147.409091,930.545455,0,0,148.909091,474.136364,48982.090909,,,,,,,,,,,,,,
MT,536.454545,931.045455,636.909091,643.409091,1037.409091,801.545455,1202.863636,1548.181818,1170.772727,1117.545455,1031.454545,575.227273,867.227273,764.954545,594.772727,447.681818,830.227273,1147.772727,863.136364,1657.545455,1230.5,736.5,626.454545,1051.727273,1675.772727,159.318182,197.409091,165.045455,629.409091,1441.136364,2346.363636,1678.090909,2604.454545,1975.636364,1113.363636,566.772727,1835.136364,363.272727,570.045455,820.136364,799.681818,471.272727,1568.363636,672.545455,98.863636,825.409091,0,0,142.045455,355.636364,45126.5,,,,,,,,,,,,,,
PL,420.227273,644.545455,312,287.272727,621.090909,358.318182,610.227273,764.181818,743.772727,557.363636,668.5,420.181818,468.409091,424.090909,284.681818,213.772727,296.045455,312.681818,370.5,488.590909,365.818182,191.181818,158.136364,404.136364,870.045455,720.409091,288.681818,148.045455,310.409091,1163.318182,1489.454545,981.409091,1772.590909,1159.636364,531.772727,208.681818,653.590909,165.545455,316.409091,386.5,380.681818,1206,622.954545,231.681818,102.318182,259.409091,0,0,109.090909,235.454545,24699.818182,,,,,,,,,,,,,,
CC,345.227273,616.681818,366.909091,376.409091,588.727273,464.045455,776.227273,859.272727,754.818182,606.227273,729.909091,356.181818,448.5,399.045455,281.590909,234.727273,334.409091,336.318182,392.863636,534.727273,395.772727,234.136364,198.272727,506.863636,859.545455,654.954545,577,279.909091,98.227273,556.772727,879.772727,734.681818,1203.681818,858.863636,501.181818,241.454545,655.818182,182.318182,310.545455,377.727273,364.772727,472.136364,634.727273,252.727273,51.454545,265.636364,0,0,87.454545,232.727273,22471.954545,,,,,,,,,,,,,,
16,178.409091,219.272727,114.227273,148.818182,313.818182,203.727273,352.045455,403.227273,316.227273,218.227273,308.181818,137.363636,152.272727,141.5,92.954545,76.954545,90.454545,95.272727,126.454545,154.681818,110.772727,56.409091,51.045455,184.5,360.863636,1242.863636,1546.363636,1381.772727,625.954545,43,183.5,313.863636,533.772727,328.818182,162.181818,69.045455,200.772727,59.454545,128.045455,147.5,138.772727,203.590909,275.363636,75.909091,20.954545,95.318182,0,0,33.227273,87.454545,12505.181818,,,,,,,,,,,,,,
