Exit stations,Entry stations->,,WEEKDAY,,,Aug 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,26.590909,115.954545,84.590909,68.863636,419.727273,93.954545,142.636364,158.727273,179.318182,47.5,92.409091,67.136364,43.818182,21.136364,30.590909,19.954545,16.227273,23.636364,23.909091,14.545455,19.318182,5.272727,8.5,23.136364,26.681818,440.090909,424.454545,511.454545,383.863636,213.5,210.363636,47.363636,75.318182,68.636364,19.181818,5.772727,11.954545,3.727273,17.727273,17.318182,23.727273,66.318182,27.409091,7.681818,15.863636,17.863636,0,0,10.590909,10.318182,4404.636364,,,,,,,,,,,,,,
EN,121.727273,23.409091,82.272727,75.954545,733.318182,131.545455,246,419.363636,548.909091,97.363636,98.863636,109.181818,56.818182,37.409091,66.090909,24.863636,33.772727,37.136364,31.545455,20.272727,26.454545,8.545455,10,28.090909,35.454545,939.136364,924.090909,877.227273,752.909091,283.954545,201.727273,82.636364,112.545455,96.272727,30.818182,10.090909,24.727273,4.045455,13.363636,30.954545,37.636364,144.727273,66.590909,12.454545,35.909091,45.090909,0,0,10.863636,9.636364,7851.772727,,,,,,,,,,,,,,
EP,87.227273,83.363636,13.590909,49.318182,655.454545,77.227273,137.818182,277.045455,319.5,57.181818,49.454545,50.5,33.363636,16.227273,26.818182,6.909091,16.909091,24.363636,18.909091,16.727273,22.090909,6.5,5.681818,28.5,11.863636,578.909091,630.636364,415.181818,425.545455,142.272727,65.863636,31.090909,39.181818,38.954545,4.045455,4.590909,10.136364,3.772727,7.863636,8.909091,11.681818,85.409091,34.590909,5.272727,29.954545,24.409091,0,0,3.863636,4.727273,4699.409091,,,,,,,,,,,,,,
NB,70.181818,70.318182,51.818182,18.772727,167.863636,54.318182,87.181818,238.727273,243.863636,49.772727,62.136364,45.090909,27,18.181818,28.045455,8.681818,17.272727,25.090909,22.863636,21.954545,21.136364,6.454545,9.090909,14.5,14.727273,658.227273,646.363636,369.363636,462.090909,173.954545,94.909091,32.363636,33.363636,30.545455,6.590909,7.090909,14,4.181818,7.863636,6.727273,9.454545,108.681818,32.090909,6.590909,37.227273,25.5,0,0,3.454545,5.5,4171.181818,,,,,,,,,,,,,,
BK,453.590909,796,649.590909,182.227273,58.136364,321.863636,349.409091,522.136364,525,222.681818,278.5,168.772727,182.045455,109.545455,130.727273,75.272727,152.227273,163.681818,106.545455,136.636364,118.409091,64.272727,53.863636,38.136364,79.045455,1074,1013.136364,791.863636,727.772727,327.318182,241.636364,144.772727,108.318182,105.863636,37.227273,56.136364,135.136364,30.954545,69,33.590909,38.727273,187.818182,158.590909,55.136364,72.090909,187.409091,0,0,32.363636,49.818182,11617,,,,,,,,,,,,,,
AS,99.681818,120.909091,80.454545,58.045455,286.863636,19.545455,85.636364,240.5,237.5,59.045455,98.863636,74.227273,48.363636,33.045455,35.727273,19.136364,35.136364,27.772727,23.136364,21.909091,21.272727,7.636364,7.090909,11.681818,25.181818,735.545455,745.5,430.318182,496.318182,234.227273,108.318182,39.227273,42.045455,30.090909,10.090909,8.045455,17.318182,5.727273,11.636364,9,14.136364,65,33.727273,12.545455,26.136364,35.409091,0,0,7.545455,9.636364,4905.909091,,,,,,,,,,,,,,
MA,153.136364,244.136364,124.590909,83,324.545455,93.5,45.136364,208,235.318182,65.727273,148.590909,145.045455,120.409091,86.954545,86.090909,43.136364,75.363636,77.454545,151.772727,169.772727,145.318182,63.045455,35.363636,60.136364,49.272727,1193.227273,1268.272727,819.909091,881.090909,408.590909,214.681818,84.272727,83.5,70.590909,27.818182,30.818182,66.772727,44.954545,140.454545,27.090909,31.772727,133.818182,65.181818,20.636364,29.818182,61.045455,0,0,52.136364,119.181818,8910.454545,,,,,,,,,,,,,,
19,174.681818,455.818182,277.227273,252.954545,495.045455,243.590909,201.681818,42.772727,48.772727,36.045455,162.272727,172.454545,219.818182,211.181818,210.772727,132.681818,195.681818,240.681818,274.136364,367.727273,303.136364,167.545455,112,164.545455,64.045455,1509.318182,1617.954545,946.318182,1026.272727,459,318.727273,164.863636,145.863636,131.545455,74.454545,79.090909,221.681818,120.818182,168.227273,66,65.454545,106.409091,131.818182,111.590909,35.136364,218.772727,0,0,56.318182,125.545455,13128.454545,,,,,,,,,,,,,,
12,200.454545,570.681818,311.590909,250.090909,455.090909,234.681818,226.681818,43.590909,43.636364,32.136364,221.5,246.636364,354.590909,320.272727,286.227273,178.818182,229.772727,265.772727,308.636364,445.636364,309.772727,162.636364,116.454545,174.772727,82.818182,1351.136364,1328.727273,926.181818,968.727273,364.409091,305.454545,188.181818,197.545455,211.772727,118.045455,117.636364,282.636364,123.090909,231.954545,96.454545,89.727273,151.090909,152.090909,131.136364,43.363636,194.863636,0,0,62.454545,180.681818,13890.318182,,,,,,,,,,,,,,
LM,43.863636,94.227273,52.363636,48.363636,205.090909,62.318182,65.045455,36.181818,34.318182,20.454545,144.681818,238.181818,287.863636,230.136364,148.909091,81.636364,106.545455,105.863636,29.681818,22.545455,23.318182,8.136364,8.863636,28.318182,32.409091,975.909091,1045,707.045455,669.045455,266.681818,147.136364,64.772727,86.681818,74.409091,6.318182,119.590909,197.681818,5.818182,23.181818,10,14,41.363636,14.5,94.818182,20.909091,90.545455,0,0,9.5,22.681818,6866.909091,,,,,,,,,,,,,,
FV,92.681818,97.954545,50.454545,67.363636,266.272727,101.909091,160.727273,176.227273,233.909091,144.045455,25.545455,229.636364,223.545455,189.272727,187.363636,78.181818,82.090909,93.954545,45.772727,21.954545,34.590909,13.272727,19.181818,51.909091,90.136364,936.454545,957.045455,825.772727,781.545455,341.090909,226.863636,61.863636,96.181818,89.454545,11.363636,51,126.090909,6,25.045455,14.454545,25.863636,70,23.363636,60.136364,15.272727,79.318182,0,0,15.363636,18.272727,7635.772727,,,,,,,,,,,,,,
CL,70,124.909091,52,49.227273,155,76.318182,148.136364,190.681818,269.818182,208,217.181818,31.136364,130.818182,143.909091,145.227273,73.590909,73.181818,87.727273,55.818182,45.454545,49,24.5,17.545455,42.409091,81.818182,572.318182,539.5,480.272727,407.454545,165.181818,130.909091,57.954545,63.363636,77.863636,13.318182,55.454545,193.454545,14.818182,35.772727,17.318182,20.772727,44.590909,20.181818,79.545455,24.363636,109.090909,0,0,22.681818,42.136364,5751.727273,,,,,,,,,,,,,,
SL,43.727273,55.818182,30.590909,30.363636,186.181818,49.863636,124.272727,232.272727,370.590909,291.227273,221.545455,134.863636,16.272727,113.772727,145.181818,68.727273,85.545455,97.227273,28.227273,26.818182,21.681818,8.590909,10.454545,20.818182,40.181818,787,843.227273,607.181818,539.454545,171.090909,107.909091,49.5,70.772727,77,8.818182,40.227273,108.909091,8.5,16.045455,14.272727,12.954545,51.227273,13.818182,62.681818,8.045455,84.818182,0,0,9.454545,16,6163.727273,,,,,,,,,,,,,,
BF,21.045455,37.5,15,16.863636,112.818182,33.454545,88.909091,217.409091,313,224.272727,182.818182,133.227273,108.681818,19.590909,98.136364,61.227273,77.772727,112.681818,17.5,10.272727,9.681818,1.5,2.136364,12.5,32.136364,684.545455,705.181818,564.818182,469.909091,155.454545,82.545455,34.909091,50.136364,54.954545,10.227273,40.409091,142.136364,5.545455,6.909091,10.045455,15.409091,33.590909,11.090909,64.181818,7.272727,77.954545,0,0,4.272727,7,5198.636364,,,,,,,,,,,,,,
HY,34,68.545455,24.272727,27.681818,121,37.818182,95.090909,220.863636,273.409091,141.090909,194.818182,148.090909,142.272727,91.318182,20.227273,88.590909,178.227273,217.136364,27.318182,18.272727,18.181818,6.818182,5.636364,14.090909,29.090909,510.090909,530.909091,355,302.181818,105,64.681818,36.454545,36.545455,42.681818,5.954545,19,76,9.090909,22.909091,7.545455,12.409091,27.272727,6.909091,35.181818,11.681818,133.136364,0,0,10.272727,22.772727,4627.545455,,,,,,,,,,,,,,
SH,18.909091,26.045455,7.227273,10.545455,67.772727,19.863636,40.863636,130.090909,167.590909,79.318182,73.863636,75.5,65.5,56,77.318182,12.318182,67.636364,93.318182,8.409091,8.863636,11.454545,1,2.136364,6.318182,12.5,431,400.363636,255.727273,254.090909,87.863636,49.318182,17.363636,20.5,34.863636,5.772727,13.045455,39.136364,2.090909,7.772727,6.863636,5.818182,19.272727,4.136364,19.363636,6.136364,101.681818,0,0,2.227273,4.5,2929.272727,,,,,,,,,,,,,,
UC,17.318182,32,16.863636,17.772727,152.409091,38.318182,71.590909,197.136364,218.136364,107.590909,81.318182,78.954545,85,82.318182,169.681818,60.318182,24.545455,171.863636,15.227273,14.409091,18.181818,4.545455,2.545455,9.090909,12.5,908.272727,790.272727,385.590909,377.045455,108.818182,36.5,14.227273,25.5,41.045455,7.045455,13.090909,66.227273,1.454545,8.045455,5.681818,3.409091,28.545455,5.181818,32,15.090909,104.863636,0,0,4.818182,10.772727,4693.136364,,,,,,,,,,,,,,
FM,24.954545,39.727273,24.636364,27.681818,160.545455,27.090909,78.545455,251.409091,252.636364,106.954545,101.363636,89.272727,101.454545,125.5,218.954545,110.090909,158.181818,33.227273,17.363636,16.227273,10.090909,6.863636,6.772727,12,13.727273,1316.272727,1107.954545,417.181818,361.727273,126,36.636364,20.227273,20.454545,34.5,4.454545,24.681818,53.454545,4.363636,10.363636,3.5,8.136364,35.272727,4.681818,27.5,18.181818,99.954545,0,0,4.545455,8.090909,5763.409091,,,,,,,,,,,,,,
CN,25.227273,29.090909,19.590909,24.409091,103.954545,24.227273,144.863636,274.227273,317.818182,31.136364,44.272727,53.636364,26.681818,19.045455,30.227273,8.409091,16.636364,17.363636,29.681818,92.5,206.090909,73.363636,34.272727,90.045455,16.045455,884.272727,848.045455,507.818182,486.727273,160.409091,85.818182,51.363636,53.681818,65.5,22.136364,4.772727,9.772727,49.181818,147.409091,26.954545,24.772727,149.954545,28.863636,4.136364,33.318182,19.136364,0,0,96.136364,105.954545,5618.954545,,,,,,,,,,,,,,
PH,18.090909,20.863636,17.636364,22.409091,134.136364,22.727273,165.772727,371.272727,431.136364,22.045455,20.454545,43.5,24,8.863636,18,9.090909,13.318182,15.909091,88.772727,29.272727,101.272727,44.545455,32.409091,116.772727,12.545455,1697.909091,1668.727273,649.181818,637.272727,198.181818,77.818182,99.5,51.818182,60.590909,11,3.409091,4.272727,40.181818,81.090909,22.454545,29.863636,199.454545,23,3.727273,44.136364,16.818182,0,0,33.681818,61.272727,7520.181818,,,,,,,,,,,,,,
WC,21.181818,28.909091,23.818182,23.363636,118.090909,21.909091,159.227273,311.409091,329.5,22.272727,36.090909,48.681818,24.590909,10.454545,19.772727,11.5,16.727273,12.136364,222.454545,112,28.636364,56.954545,37.590909,159.409091,17.227273,1407.136364,1357.090909,503,493.454545,149,65.409091,51.272727,43.954545,53,15.181818,4.227273,4.727273,49.772727,133.818182,24.045455,20.863636,191.590909,26.772727,2.454545,41.909091,16.772727,0,0,48.590909,95.545455,6673.5,,,,,,,,,,,,,,
LF,7.363636,8.863636,6.772727,6.954545,66.772727,7.681818,63,163.954545,165.363636,8.363636,13.545455,24.772727,7.863636,1.590909,6.409091,1.409091,3.5,5.772727,91.590909,48.045455,53.5,16.045455,12.409091,71.454545,4.863636,921.681818,860.363636,266.272727,278.181818,77.454545,38.409091,19.818182,13,16.863636,3.409091,0.772727,1.045455,8.818182,32.227273,7.818182,8.954545,104.590909,14.636364,0.818182,24.5,4.954545,0,0,13.5,14.409091,3600.363636,,,,,,,,,,,,,,
OR,7.772727,10.590909,5.363636,9.227273,51.181818,9,37.954545,110.545455,127.818182,10.045455,16.5,16.363636,8.454545,2.772727,6.090909,2,2.772727,6.5,34.954545,27.954545,36.272727,16.681818,20.863636,52,2.954545,836.318182,706.5,223.681818,243.727273,59.681818,33.454545,26.5,11.136364,17.227273,2,2.909091,2.409091,4.545455,9.636364,7.590909,6.863636,83.909091,13.045455,1.545455,14.772727,6.590909,0,0,7.045455,9.727273,2963.454545,,,,,,,,,,,,,,
RR,22,30.136364,29.909091,18.727273,44.454545,11.318182,60.636364,187.136364,205.090909,28.090909,49.681818,39.409091,25.545455,9.772727,13.818182,7,8.772727,12.136364,84.045455,111.409091,148.363636,69.636364,51,20.272727,21.636364,1163.863636,1111.681818,557.909091,605.090909,237.5,103.863636,59.5,40.181818,31.636364,3.363636,3.909091,11.136364,22.318182,34.090909,12.318182,13.045455,159.045455,26.227273,5.681818,20.136364,14.318182,0,0,21.136364,35.681818,5603.636364,,,,,,,,,,,,,,
OW,25.409091,34.545455,12.272727,12.590909,74.272727,27.818182,45.181818,63.772727,88,27.681818,88.590909,83.363636,37,33.227273,29.454545,11.5,14.045455,14.045455,15.772727,12.818182,16.454545,4.863636,3.454545,22.136364,24.454545,1815,1519.772727,979.954545,871.545455,377.045455,216.5,64.409091,61.454545,45.136364,13.227273,10.727273,31.590909,4.363636,17.454545,17,25.181818,119.5,41.954545,12.727273,10.772727,11.681818,0,0,9.454545,18.409091,7117.590909,,,,,,,,,,,,,,
EM,552.545455,1053.863636,683.636364,765.818182,1202.090909,923.772727,1454,1968.545455,1725.772727,1230.181818,1159.409091,676.090909,1028.045455,866.681818,649.772727,536.772727,1071.227273,1515.909091,1093,2127.409091,1675.954545,1105.727273,974.636364,1324.409091,2256.636364,234.136364,115.863636,489.727273,680.727273,1231.318182,1949.636364,1309.5,1664.136364,1443.727273,924.181818,679.090909,2570,413.863636,650,674.545455,625.545455,459.636364,1155.227273,1038.636364,149.5,939.545455,0,0,162.772727,498.227273,49681.454545,,,,,,,,,,,,,,
MT,524.5,932.681818,651.772727,621.181818,935.545455,784,1227.5,1563.772727,1205.727273,1127.045455,1016.181818,573.590909,870.454545,781.318182,597.909091,444.363636,832.909091,1137.227273,890.590909,1672.772727,1275.590909,783.772727,651.772727,1047.590909,1668.090909,129.818182,182.818182,170.681818,628.909091,1472.045455,2410.318182,1703.772727,2613.909091,2008.454545,1135.136364,586,1899.636364,369.909091,571.727273,814.363636,814,500.727273,1575.863636,696.136364,101.818182,831.818182,0,0,145.909091,368.181818,45549.818182,,,,,,,,,,,,,,
PL,431.136364,672.954545,315.727273,300.272727,605.636364,363.727273,652.818182,774.909091,782.136364,579.454545,662.090909,426.954545,477.318182,443.090909,286.227273,225.409091,294.181818,326.5,400.863636,506.954545,367.318182,208.090909,162.272727,416.227273,888.681818,704.727273,282.636364,141.272727,316.045455,1182.5,1498.409091,1015.136364,1866.272727,1178.090909,554,212.045455,658.545455,170.272727,333.136364,402.181818,383.727273,1231.090909,622.136364,240.636364,95.318182,269.636364,0,0,113.272727,237.727273,25279.772727,,,,,,,,,,,,,,
CC,349.909091,610.181818,368.818182,387.5,560.863636,465.090909,797.863636,876,772.363636,626.590909,706.863636,375.045455,473.863636,418.136364,294.363636,237.727273,337.636364,330.909091,412.272727,541.954545,420.5,243.681818,213.454545,526.863636,861.5,658.045455,605.954545,293.954545,97.727273,558.318182,902.636364,739.590909,1284.181818,869.181818,516.681818,251.545455,687.409091,184.090909,313.454545,380.409091,387.772727,528.090909,630.090909,255,53.045455,274.681818,0,0,92.863636,234.681818,23009.363636,,,,,,,,,,,,,,
16,193.227273,220.636364,115.090909,152.636364,310.545455,206.863636,368.409091,423,334.909091,232.181818,304.954545,150.636364,147.590909,139.5,95.272727,81.818182,97.681818,103.681818,127.318182,162.909091,117.409091,63.045455,50.590909,207.454545,365.409091,1242.909091,1576.909091,1420.181818,627.227273,43.136364,187.363636,312.272727,579.090909,348.090909,174.909091,68.772727,210.727273,57.181818,124.363636,147.772727,134.545455,215.318182,276.272727,80.181818,21.409091,97.272727,0,0,38.454545,83.909091,12841.045455,,,,,,,,,,,,,,
24,174.727273,170.409091,61,91.863636,212.363636,102.409091,200.090909,296.590909,267.045455,135.454545,207.954545,126.454545,101.045455,72.5,65.681818,43.454545,33.363636,33.318182,72.727273,70.272727,61.318182,35.727273,33.454545,93.727273,207.909091,1671.318182,2041.590909,1784.727273,955.727273,186.5,50.272727,247.045455,462.863636,257.954545,126.090909,29.590909,72.454545,30.5,97.909091,101.5,128.363636,173.681818,217.636364,38.136364,19.045455,25.772727,0,0,27.181818,53.727273,11770.454545,,,,,,,,,,,,,,
GP,41.090909,71.363636,29,31.772727,123.318182,36.545455,80.954545,153.636364,164.818182,54.363636,59.409091,61.909091,41.909091,28,30.772727,15.227273,14.318182,14.272727,41.454545,50.909091,37.227273,17.409091,18.454545,52.590909,67.863636,1141.454545,1395.454545,1163.909091,668.681818,309.636364,255.227273,24.090909,118.409091,61.681818,50.454545,13,63.227273,16,39.045455,34.5,68.045455,119.454545,137.727273,26.318182,12.272727,12.409091,0,0,9.681818,34.454545,7113.727273,,,,,,,,,,,,,,
BP,68.863636,81.727273,30.181818,28.772727,96.318182,35.136364,65.272727,124.181818,160.272727,70.409091,77.227273,60.5,60.318182,43.181818,30.181818,17.227273,21.318182,17.181818,46.045455,42.909091,35.318182,8.818182,8.818182,32.636364,67.363636,1374.681818,1776.590909,2228.363636,1098.5,520.454545,446.909091,114,38.045455,84.636364,77.363636,20.954545,52.363636,11.045455,41.590909,63.136364,102.318182,145.090909,134.5,23.409091,8.227273,16.136364,0,0,14.636364,37,9760.136364,,,,,,,,,,,,,,
DC,76.136364,109.772727,41.363636,35.727273,101.363636,30.454545,78.636364,133.772727,197.909091,77.181818,101.090909,84.545455,76.863636,53.636364,48.363636,38.409091,42.545455,36.272727,66.681818,58.727273,51.136364,17.409091,18.863636,31.5,57.818182,1350,1726.181818,1384.772727,834.363636,362.545455,283.954545,59.5,104,33.909091,39.636364,32.636364,97.181818,29.272727,55.863636,71.181818,126.590909,241.818182,235.636364,36.545455,13.863636,35.090909,0,0,19.5,53.636364,8893.863636,,,,,,,,,,,,,,
CM,18.045455,27.090909,5,6.772727,36.136364,9.590909,22.5,67.727273,113.227273,9.272727,10.318182,11.090909,6.454545,6.590909,4.818182,6.045455,6.090909,3.5,22.272727,10.318182,14.090909,4.681818,1.454545,4.5,14.090909,886,1004.272727,631.363636,488.863636,162.772727,125.772727,43.181818,80.954545,37.590909,13.636364,2.181818,17.681818,3.409091,16.590909,21.818182,47.818182,153.272727,85.454545,3.363636,2.818182,2.772727,0,0,7.090909,17.409091,4297.772727,,,,,,,,,,,,,,
CV,5,10.227273,5.636364,7.409091,52.136364,10.681818,27.909091,80.090909,112.681818,117.363636,47,60.909091,37.272727,42.590909,16.909091,11.636364,18,26.318182,5.5,3.090909,4.454545,1.136364,2.227273,4.772727,10.454545,537.863636,579.090909,277.5,276.136364,76.909091,36.090909,16.5,23.272727,32.772727,3.818182,12.545455,100,0.954545,0.954545,4.227273,7.045455,22.227273,7.136364,60.909091,8.727273,17.227273,0,0,0.227273,1.318182,2824.863636,,,,,,,,,,,,,,
ED,12.772727,25,11.636364,14.409091,142.954545,22.863636,63.863636,218.272727,276.590909,187.545455,128.318182,188.363636,104.590909,139.772727,66.545455,38.454545,67.227273,54.136364,8.681818,4.590909,5.454545,1.545455,2.545455,10.318182,32.409091,2140.318182,1861.772727,753.090909,754.363636,255.772727,85.636364,72.954545,65.318182,100,17.590909,99.818182,39.363636,1.272727,5.5,22.727273,12.818182,136.681818,16.590909,43.727273,69.590909,46.181818,0,0,2.636364,4.772727,8437.363636,,,,,,,,,,,,,,
NC,3.454545,4.727273,3.136364,3.5,29.318182,5.363636,43.909091,110.545455,115.363636,6.818182,7.136364,13.045455,8.545455,5.818182,6.5,1.454545,1.818182,3.863636,43.818182,35.363636,43.909091,9.181818,3.727273,21.909091,4.409091,321.363636,327.772727,196.818182,198,64.681818,34.045455,16.954545,14.454545,27.409091,4,0.909091,0.954545,9.181818,22.409091,8.772727,11.136364,51.090909,5.5,0.636364,12.318182,5.545455,0,0,13.954545,15.818182,1900.363636,,,,,,,,,,,,,,
WP,20.636364,14.545455,7.227273,6.136364,70.090909,12.545455,144.909091,168.5,225.954545,20.090909,24.136364,33.545455,14.772727,7.136364,22,6.090909,6.818182,9.181818,147.227273,72.818182,131.363636,30.090909,13.772727,38.227273,17.636364,546.454545,487.363636,439.818182,403.954545,139.909091,116.227273,48.181818,53.590909,63,15.727273,0.863636,5.318182,21,21,17.136364,27.181818,120.363636,19.681818,1.909091,16.636364,15.409091,0,0,18.181818,26.954545,3891.318182,,,,,,,,,,,,,,
