Exit stations,Entry stations->,,WEEKDAY,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
CL,61.842105,104.157895,39.789474,33.210526,152.473684,63.684211,121.947368,161.263158,267.842105,200.578947,183.368421,22.684211,107.315789,132.894737,125.526316,73.210526,74.947368,84.578947,48.157895,41.210526,35.421053,15.789474,12.947368,23.736842,80.052632,549.894737,559.315789,507.105263,422.473684,149.315789,121,63,70.736842,120.578947,14.105263,37.789474,116.789474,11.842105,39,15.789474,23.105263,32,21.157895,49.315789,21.894737,103.368421,0,0,22.421053,33.263158,5373.894737,,,,,,,,,,,,,,
SL,39,57.368421,25.473684,27.947368,202,46.210526,107.894737,231.526316,358.368421,295.947368,202.421053,109.894737,15.684211,98.894737,139.842105,58.315789,88.368421,101.947368,29.473684,26.210526,22.052632,6.631579,7.052632,22.947368,39.947368,744.789474,855.526316,616.684211,542.684211,171,101.578947,47.263158,79.789474,126.947368,6.526316,38.578947,105.157895,9.052632,12.368421,13.526316,13.105263,45.684211,9.789474,50,7.842105,75.736842,0,0,6.421053,12.842105,6054.315789,,,,,,,,,,,,,,
BF,22.578947,33.684211,13.210526,20.526316,142.315789,31.894737,94.157895,211.263158,310.421053,216.473684,170.315789,130.263158,92.789474,17.315789,91.947368,53.473684,79.473684,139.157895,21.684211,10.473684,8.631579,2.789474,2.052632,10.473684,28.210526,676.526316,716.631579,534,473.842105,160.263158,84.315789,32.842105,56.789474,94.842105,10.631579,40.526316,124.894737,3.263158,6.842105,10.263158,15.052632,22.315789,9.578947,59.315789,5.684211,84.421053,0,0,4.263158,5.052632,5187.736842,,,,,,,,,,,,,,
HY,34.210526,80.473684,26.789474,30.631579,125.421053,38.315789,91.210526,218.947368,289.263158,152.157895,198.105263,136.263158,137.368421,86.736842,17.947368,84.684211,196.789474,222.631579,34.105263,20.947368,19.315789,7.789474,4.578947,16.315789,34.052632,472.473684,530.894737,345.315789,312.631579,104.736842,56.736842,33.368421,38.105263,63.631579,4.315789,16.210526,70.157895,14.789474,28.578947,6.052632,9.421053,20.842105,6.210526,34.263158,8.526316,134.421053,0,0,11.947368,29,4657.684211,,,,,,,,,,,,,,
SH,20.526316,21.315789,7.473684,8.105263,76.105263,18.947368,47.473684,148.157895,166.526316,70.894737,69.789474,68.368421,55.842105,54.105263,71.736842,11.789474,71.684211,87.210526,9.105263,5.789474,12.263158,1.736842,1.684211,5.210526,14.157895,408.894737,414.947368,227.631579,257.736842,85,47.789474,18.105263,25.526316,56.736842,5.052632,10.894737,33.263158,1.421053,7.842105,4.631579,8.684211,14.157895,3.947368,21.789474,5.684211,93.789474,0,0,2.578947,5.263158,2887.368421,,,,,,,,,,,,,,
UC,18.263158,30.684211,17.947368,19.578947,154.263158,34.421053,58.263158,211.263158,241.947368,115.105263,74.210526,72.052632,94.315789,77.210526,190.684211,69.473684,21.473684,185.368421,14.789474,14.842105,17.578947,4.052632,3.736842,9.315789,13.578947,902.736842,809.631579,354.789474,338.263158,102.736842,37.368421,13.157895,20.684211,71.263158,6.947368,15.105263,55.684211,3.315789,9.894737,4.105263,5.578947,19.684211,2.578947,23.315789,13.263158,104.105263,0,0,4.157895,9.894737,4692.684211,,,,,,,,,,,,,,
FM,25.052632,42.947368,26.842105,22.315789,161.736842,27.894737,79.947368,261.052632,277.631579,102.157895,91.210526,88.473684,102.789474,136.421053,232.052632,104.368421,244.105263,36.157895,14.894737,19.842105,11.631579,6.210526,6.842105,15.315789,10.368421,1319.947368,1132.894737,420.842105,362.789474,116.526316,36.789474,20.157895,27.263158,61.157895,6,23.631579,50.421053,2.631579,10.473684,4.526316,9.842105,27.789474,3.789474,20.263158,16.842105,112.157895,0,0,4.842105,9.842105,5949.684211,,,,,,,,,,,,,,
CN,19.105263,24.947368,21.789474,17.052632,107.894737,24.842105,142.631579,284.894737,324.894737,35.684211,41.684211,46.842105,29.631579,21.526316,37.052632,9.947368,14.842105,15.947368,26.789474,95.526316,230.947368,86.578947,42.684211,82.684211,18,836.315789,864.052632,517.368421,472.631579,148.368421,85.473684,48.894737,58.368421,121.736842,23.368421,4.526316,9.210526,39.578947,146.210526,22,25.631579,116.368421,31.526316,3.526316,27.842105,20.052632,0,0,81.684211,106.578947,5615.736842,,,,,,,,,,,,,,
PH,15.947368,19.736842,15.578947,20.157895,153.842105,26.263158,168.105263,384.842105,437.263158,16.947368,19.315789,36.315789,24.315789,13.684211,19.736842,4.315789,14.526316,20.263158,90.526316,25.947368,109.736842,44.684211,36.263158,120.684211,9.947368,1638.157895,1755.052632,670.578947,645.736842,183.578947,89.578947,93.263158,52.368421,85.157895,13.105263,2.263158,3.842105,47.736842,86.894737,27.263158,32.526316,147.473684,24,3.473684,38.684211,20.263158,0,0,31.789474,49.421053,7591.157895,,,,,,,,,,,,,,
WC,25.526316,28.631579,24.894737,24.315789,138.052632,21.263158,155.473684,330.368421,338.526316,22.684211,31.263158,37.894737,24.473684,9.263158,21,13.210526,15.105263,14.157895,258,117,27.421053,53.368421,32.947368,136.684211,19.526316,1338.947368,1357.210526,523.315789,467.894737,128.421053,66.631579,48.684211,45.894737,61.631579,14,5.631579,4.105263,46.526316,113.315789,24.421053,22.368421,139.842105,24.947368,2.052632,34.473684,12.105263,0,0,46.736842,86.210526,6536.421053,,,,,,,,,,,,,,
