Exit stations,Entry stations->,,WEEKDAY,,,Sep 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
BF,22.5,39.95,13.4,19.55,142.8,37.2,93.85,220.7,321.05,249.75,178.15,178.45,117.95,19.55,99.15,63.4,78.85,129.4,18.75,9.6,8.95,2.95,3.25,14.95,32.2,703.6,729.9,557.65,485.4,163.45,82.4,36.3,58.65,109.1,9.75,42.85,131.3,5.85,6.35,8.1,15.85,31.4,11.55,60,6.55,90.4,0,0,3.5,7.9,5474.1,,,,,,,,,,,,,,
HY,40.45,92.5,27.3,30.85,154,39.9,105.95,229.95,294,181.15,229.05,205.3,171.7,95.25,23.05,108.3,207.35,248.75,37.15,22.35,20.45,9.55,6.3,16.75,35.3,546.8,571.75,371.8,329.3,121.95,59.35,35.75,46.6,82,6.35,18.75,83,13,30.6,9.9,13.9,27.4,6.2,34.55,13.15,164.85,0,0,13.95,27.6,5261.15,,,,,,,,,,,,,,
SH,17.6,24.85,6.85,10.75,83.8,19.9,44.1,136.45,173.75,81.6,78.45,87.8,67.95,63.35,92.25,13.9,71.5,101.2,10.6,7.35,11.05,2.1,2.45,5.65,14.45,435.55,409.8,248.45,264.3,84.3,49.1,17.8,21.3,62.4,4.55,14.55,35.85,2.25,6.6,6.3,6.9,20.55,4,17.7,7.45,117.65,0,0,2.7,5.95,3075.7,,,,,,,,,,,,,,
UC,18.75,32.1,17.55,17.7,165.75,36.95,71.65,206.95,219.8,113.65,84.45,97.95,86.25,85.45,203.45,70.55,24.85,180.85,16.2,16.2,17.85,4.75,2.8,10.65,12.45,910.3,792.3,369.6,361.75,113.2,40.25,14.15,29.45,79.25,5.8,14.9,64.05,1.35,8.65,5.05,4.2,28.9,4.35,24.3,16.55,130.3,0,0,3.85,10.65,4848.7,,,,,,,,,,,,,,
FM,28.3,40.5,26,27.7,168.25,31.15,82.55,265.65,269.4,110.65,107.3,131.55,100.75,138.4,266.7,119.7,321.9,35.1,15.95,18.7,11.05,5.7,5.75,13.4,16.45,1340.95,1140,418,370.5,133.45,36,17.4,25.35,67.6,5.1,25.55,52.9,3.75,8.75,3.95,7.65,35.8,3.45,27.4,18.8,125.2,0,0,4.95,8.4,6239.45,,,,,,,,,,,,,,
CN,24.45,33.65,23.4,23.05,121.2,24.4,149,288.55,325.85,33.2,46.4,68.55,31,21.35,42.15,11.4,17.5,14.8,32.5,99.9,217.3,81.35,41.45,92.25,16.5,889.65,876.2,530.85,485.75,162.55,83.8,58.35,65.45,116.6,24.15,4.45,9.9,50.35,168.5,23.2,29.3,140.05,24.45,4.25,34.9,20.8,0,0,110.1,133.95,5928.7,,,,,,,,,,,,,,
PH,15,19.85,18.75,22.6,147.65,21.2,181,381.1,439.4,24.9,18.8,60.65,22.85,8.75,20.85,7.9,15.05,16.9,97.25,27.3,106.1,48.45,34.55,128.65,13.35,1696.8,1705.95,671.55,646.95,206.7,82.3,92.7,60.25,92.8,10.7,2.75,4,39.25,90.55,21.15,28.45,183.1,26.95,3.8,45.6,17.5,0,0,42.75,71.6,7743,,,,,,,,,,,,,,
WC,22,26.4,25.5,22.9,126.1,20.7,161.65,323.6,328.1,22.45,37.8,59.1,22.9,10.9,20.35,10.1,17.7,11.8,238.2,111.95,25.85,61.3,40.05,161.95,17.7,1401.45,1343.3,506.05,480.25,152.8,63.45,52.35,45,73.45,15.45,4.6,5.55,51.7,135.65,23.7,20.45,179.65,26.05,2.2,44.3,16.25,0,0,55.05,95.05,6720.8,,,,,,,,,,,,,,
LF,6.35,9.1,6.15,7.65,73.6,7.2,58.75,174.75,162.15,7.5,14.55,30.7,8.8,2.95,8.25,2.25,3.9,4.9,97.1,54.7,54,16.55,13.65,77.1,3.9,921.6,868.5,274.25,287.75,79.7,32.05,19.85,14.7,29.8,3.6,1.15,1.1,7.95,35.9,7.75,8.5,100.6,16.7,0.45,24.5,3.85,0,0,13.05,16.65,3676.45,,,,,,,,,,,,,,
OR,10.55,15.95,5.85,10.7,52.9,10.15,41,119.9,126.45,9.75,21.65,27.75,10.2,3.25,6.45,2.85,3.85,5.6,41.65,28,38.85,17.15,20.9,59.35,3.55,839.45,715.3,230.95,247.8,67.4,33.25,28.55,12.6,23.65,2.4,3.1,5.05,5.75,10.65,6.5,7.95,72.05,12.6,1.5,15.7,5.85,0,0,11.3,13.35,3066.95,,,,,,,,,,,,,,
RR,22.35,31.9,32.5,20.25,46.85,13.65,66.9,207.7,205,33.5,48.65,50.05,25.1,9.65,12.65,7,10.9,14.95,86.2,122.5,162.2,73.25,67.15,26.2,19.95,1135.6,1085.35,534.45,645,218.3,105.35,56.95,58.8,50.7,3.4,5.25,9.6,24.3,38.35,10.75,13.6,135,26.8,4.8,19.15,15,0,0,25.25,39.25,5678,,,,,,,,,,,,,,
OW,23.65,32.6,12.55,13.7,76.3,27.15,44.9,62.15,92.7,35.2,93.35,96.15,37.75,31.75,35.35,15.1,13.45,14.9,14.55,14.15,16.4,5.4,3.6,24.6,34.7,1897.8,1582.8,1026.1,906.5,387.6,209.7,56.15,77.4,75.8,15.65,10.2,25.2,5.35,14.25,16.8,23.75,108.5,38.75,12.5,12.6,11.85,0,0,8.45,18.6,7414.4,,,,,,,,,,,,,,
EM,567.05,1095.25,718.6,760.8,1140.1,945.25,1497.55,2104.1,1784.5,1306.35,1232.25,734.55,1049.5,891.05,673.1,553.6,1080.6,1569.9,1121.75,2161.7,1691.5,1106.95,993.2,1294.35,2411.65,331.65,122.7,443.65,659.65,1218.1,1990.35,1295.9,1696,1432.2,925.1,690.7,2608.45,427.55,651.8,690.8,629.55,429.3,1160.4,1039.65,206.85,963.7,0,0,178.95,508.45,50786.65,,,,,,,,,,,,,,
MT,538.1,939.1,656.7,590.25,839.9,807.25,1266.55,1584.7,1234.5,1167.1,1051.4,598.55,885.7,784.75,603.5,465.3,843.05,1183.2,906.7,1724,1271.2,803.6,671.75,1003.8,1737.55,159.35,282.5,155.6,623.55,1446.45,2449.25,1701.25,2638.65,2053.65,1171.1,580.1,1937.85,379.1,587.1,820.7,845.8,442.05,1563.45,717.85,139.7,859.7,0,0,150.4,399.5,46262.85,,,,,,,,,,,,,,
PL,433.15,660.35,314.05,279.35,497.8,360.8,651.35,812.45,763.05,591.95,686.55,448.75,486.45,445.1,291.7,221.65,300.2,347.2,419.5,518.8,378.75,218.1,171.1,409.55,931.75,649.85,277.1,194.7,273.05,1152,1477.85,995.05,1915.3,1215.25,555.2,227.05,701.2,173.35,345.35,415.9,379.05,1053.55,620.7,248.3,119.8,281.95,0,0,124.8,251.75,25287.55,,,,,,,,,,,,,,
CC,345.9,619.95,406.95,424.75,619.4,504.25,849.8,941,777.95,637.8,760.4,415,492.95,432.95,306.5,250.65,330.45,338.75,410.2,555.45,408.95,261.05,209.25,578.1,906.6,649.65,608.9,276.9,170.95,564.9,947.75,797.35,1416.15,914.35,534,257.45,695.8,186.25,313.6,398.3,393.7,521.45,684.8,263.45,74.6,277.8,0,0,97.95,247.5,24078.55,,,,,,,,,,,,,,
16,199.15,226.95,118.35,141.05,305.05,216.65,358.5,442.75,330.2,236,314.8,167.1,152.75,148.8,106.35,80.75,100.55,113.1,127.2,173.8,120.25,64.55,57,179.65,369.5,1195.4,1536.35,1346.65,647.1,66,192.05,329.4,652,369.4,176.5,76.45,238.8,60.1,127.2,148.5,145.5,211.8,278.55,77.1,26.95,93.9,0,0,42.7,88.35,12977.55,,,,,,,,,,,,,,
24,183.4,176.1,63.7,92.2,248.1,108.55,198.3,312.45,282.35,139.05,222.3,143.85,99.15,74.7,58.1,43.95,37.35,30.2,75.8,72.95,56.25,32.3,31.15,93,214.3,1658.5,2012.95,1713.35,991.95,196.55,57.15,266.5,595.1,279.1,132.05,32.6,73.55,31.3,97.7,103.95,121.45,173.2,211.55,33.9,26.6,28.95,0,0,26.2,55.1,12008.8,,,,,,,,,,,,,,
GP,43.05,71.25,26.75,32.35,131.5,32.95,79.65,159.95,165.7,56.65,60.15,69.1,41.75,30.25,31.4,17.1,13.9,12.45,47.45,45.4,35.1,17.1,17.4,47.55,63.05,1134.65,1389.3,1118.15,713.55,331.05,267.45,30.4,134.45,75.4,50.5,14.8,56.85,21.45,36.3,33.2,68.85,119.3,141,26.65,18.7,12,0,0,10.5,37.9,7191.35,,,,,,,,,,,,,,
BP,78.75,98.75,38.25,41,107.95,41.6,84.1,140.25,160.5,83.85,100.6,72.7,76.3,46.6,38.9,18.55,23.35,21.05,53.45,46.15,37.85,9.3,10.15,52.6,94.3,1372.4,1776.8,2243.6,1250.55,590.35,551.15,135.5,51.7,111.4,88.55,24.2,56.45,15.05,47.8,82.95,105.6,149.45,154.1,23.9,10.3,16.25,0,0,18.6,40.05,10493.55,,,,,,,,,,,,,,
DC,155.7,211.35,77.4,55.25,139.8,54,111.15,159.7,225.95,135.15,198.5,175.85,147.3,106.75,93.95,65.55,82.1,73.8,122.95,97.1,71.35,30.15,25.9,46.45,95.95,1344.4,1758.75,1381.85,875.3,372.45,310.65,67.35,133.35,36.9,50.7,48.45,135.25,61.1,101.5,101.5,148.05,237.25,317.2,58.35,17.15,61.75,0,0,38.2,105.25,10521.8,,,,,,,,,,,,,,
CM,18.55,23.6,6,7.5,39.7,9.4,25.9,70.7,112.9,9.3,11.4,9.65,6.45,6.7,4,5.55,5.15,3.35,23.85,10.7,14.15,4.6,1.35,4.75,15.3,879.8,1036.95,612.75,495.75,164.55,130.7,47.25,87.75,43.4,12.45,3.05,16.1,4.35,17.4,23.25,48.25,150.55,85.3,3.65,3.25,1.55,0,0,6.45,15.45,4340.45,,,,,,,,,,,,,,
CV,4.3,9.75,6.8,8,67.8,9.85,28.2,80,114,126.55,45.55,81.95,39.2,47.05,18.9,11.35,16.5,25.25,5,2.5,4.15,1.35,2.8,5.8,10.45,554.15,576.2,282.3,279.2,87,37.65,16.8,27,50,4.05,11.9,119.7,1,1.05,5.15,6.35,20.65,6.1,60.2,9.2,20.85,0,0,0.6,1.8,2951.95,,,,,,,,,,,,,,
ED,11.4,22.95,11.1,15.05,139.4,21.2,61.3,229.55,278.8,189.75,119.95,239.45,106.6,136.65,79.3,39.3,65.6,51.3,9.85,3.85,5.05,1.15,4.8,9.6,28.1,2145.05,1916.75,781.6,761.05,275,89.65,67.05,67.05,137.55,16.9,115.65,41.5,1,4.7,22.4,14.3,118.7,15.4,42.9,71.1,48.65,0,0,3.6,4.25,8642.85,,,,,,,,,,,,,,
NC,3.35,5.45,3.55,3.8,31.6,6.3,44.7,117.9,126.85,7.8,6.8,22.4,7.6,5.6,9.65,1.1,0.95,3.35,46.2,34.15,41.2,7.5,4.7,24.85,5,337.1,338.35,204.25,204.6,69.65,35.6,18.9,20.05,52.45,4.65,0.95,1.2,9.65,41.65,8.05,11.15,51,4.75,1,12.2,6.4,0,0,16.35,18,2040.3,,,,,,,,,,,,,,
WP,19.25,14.35,9,6.5,85,16,147.95,178.8,230.65,21.95,25.5,42.75,15.8,7.8,32.6,6.95,8.25,7.75,172.05,82.3,131.4,29.9,15,40.9,16.65,548.35,509.6,462.2,411.3,150,114.4,50.75,65.55,104.9,17.75,1.35,6.75,21.25,24.7,18.05,24.7,107.85,16.3,1.55,16.5,15.45,0,0,19.2,28.15,4101.65,,,,,,,,,,,,,,
SS,17.35,31.65,7.25,8.1,38.2,10.75,26,66.15,91,13.65,18.5,20.05,15.05,8.45,9.45,4.45,3.05,5,22.15,19.7,22.2,7.55,5.2,8.5,24.6,649.3,734.95,446.25,385.95,148.4,107,32.7,91.05,95.3,21.45,7.3,23.65,6.6,15.55,18.25,32.45,62.65,64.85,5.25,3.9,2.95,0,0,9.9,21.3,3490.95,,,,,,,,,,,,,,
