Exit stations,Entry stations->,,WEEKDAY,,,Mar 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RM,16.047619,112.904762,86.809524,69.761905,403.714286,87.047619,134.095238,160.809524,174.904762,45.666667,79.619048,63.428571,38.714286,23.285714,28.52381,16.904762,19.095238,25.666667,17,15.47619,23.571429,6.333333,7.428571,23.571429,26.380952,396,423.285714,470.238095,356.380952,181.380952,195.809524,45.428571,74.333333,92.142857,16.428571,4.571429,13.809524,2.380952,16.285714,12.142857,19.761905,48.47619,25.904762,5.333333,13.380952,17,0,0,9.761905,9.52381,4156.52381,,,,,,,,,,,,,,
EN,113.238095,22.190476,76.571429,85.238095,782.952381,130.52381,243.666667,439.238095,560,106.238095,100.428571,107.52381,55.714286,36.428571,74.285714,19.714286,30.190476,38.428571,28.095238,19.904762,26.952381,8.428571,12.904762,27.904762,32.666667,870.52381,952,865.428571,751.571429,284.52381,199.52381,85.47619,112.142857,143.952381,29.428571,8.761905,24,6.428571,10.952381,28,34.333333,114.333333,68.47619,10.238095,32.666667,38.571429,0,0,8.190476,8.809524,7867.761905,,,,,,,,,,,,,,
EP,84.809524,78.380952,13.380952,56.666667,698.047619,73.952381,123.666667,305.238095,351.095238,70.714286,39.761905,44.714286,31.047619,14.238095,28.857143,9.666667,17.142857,28.904762,18.952381,15.285714,24.619048,9.666667,5.285714,30.238095,12,602.904762,660.47619,434.047619,468.142857,155.952381,73.190476,31.190476,40.571429,59.952381,6.238095,4.047619,11.238095,3.761905,6.047619,5.952381,12.285714,62.142857,31.571429,7.333333,28.095238,24.285714,0,0,2.428571,4,4922.190476,,,,,,,,,,,,,,
NB,71.333333,84.047619,49.333333,15.238095,211.142857,56,82.333333,252.809524,253.285714,55.047619,63.190476,37.857143,24.52381,20.47619,30,6.714286,20.428571,19.47619,18.857143,19.857143,21.190476,4.857143,7.952381,14.857143,13.142857,642.619048,720.428571,396.285714,482.761905,165.761905,91.666667,31.857143,38.52381,37.428571,6.47619,5.619048,13.285714,5.095238,9.809524,6.904762,9,73.285714,38.285714,6.904762,33.380952,26.809524,0,0,3.666667,4.761905,4304.571429,,,,,,,,,,,,,,
BK,427,845.428571,702.238095,223.571429,47.809524,340.809524,353.333333,537.428571,522.714286,253.285714,285.428571,167.238095,179,130.619048,122.047619,75.857143,147.142857,147.666667,102,144.47619,129.571429,56.333333,47.095238,42.047619,73.285714,959.904762,954.904762,720.047619,735.380952,322.142857,242.095238,130.047619,112,129.190476,37.952381,49.857143,105.714286,29.619048,66.095238,38.190476,43.619048,153.714286,141.190476,44.238095,63.380952,142.52381,0,0,31.190476,44.428571,11400.857143,,,,,,,,,,,,,,
AS,84.857143,123.952381,78.142857,63.333333,318.047619,17.380952,83.809524,260.952381,254.809524,66.761905,91.142857,67.571429,41.571429,30.666667,30,20.666667,34.142857,24.666667,25.857143,22.571429,21.666667,8.761905,6.380952,10.47619,23.714286,727.285714,784.095238,441.285714,503.190476,245.047619,110.857143,32.52381,40.666667,41.952381,9.809524,8.380952,14,6.285714,10.761905,7.809524,14.285714,52.857143,32.380952,12.190476,21.285714,33.142857,0,0,4.190476,8.666667,4974.857143,,,,,,,,,,,,,,
MA,143.47619,242.285714,110.904762,79,327.571429,87.666667,39,215.952381,217.047619,61.571429,150.47619,133,110.714286,92.809524,96.333333,54.095238,62.571429,82.47619,143.380952,167.666667,143.47619,57.047619,38.761905,53.619048,48.714286,1120.952381,1264.952381,804.619048,872.095238,383.761905,207.428571,77.47619,84.619048,82.761905,24.380952,25.142857,71.428571,44.238095,135.285714,24.714286,30.190476,97.52381,59.761905,22.190476,22.952381,64.857143,0,0,50.666667,115.952381,8647.571429,,,,,,,,,,,,,,
19,174.619048,461.904762,298.238095,264.619048,480.47619,254.809524,203.52381,42,56.238095,47,170.47619,172.428571,228.238095,205.428571,213.714286,146.095238,202.571429,263.619048,295.809524,389.714286,321.285714,168.333333,114.380952,160.285714,64.190476,1493.666667,1628.047619,944.619048,1083.952381,473.904762,341.52381,163.761905,148.619048,149.095238,77.904762,71.666667,223.428571,127.857143,175.095238,69.190476,71.761905,87.095238,135.333333,109.380952,32.285714,206.809524,0,0,56.904762,129.142857,13401.047619,,,,,,,,,,,,,,
12,200.952381,580.380952,343.47619,266.142857,440.142857,240.952381,216.047619,53.714286,43.904762,39.047619,203.952381,247.571429,356.714286,322.380952,296.333333,180.238095,248.47619,280.52381,326.333333,455.428571,317.333333,148.619048,120,166.428571,87.142857,1377.142857,1370.619048,960.571429,1000.095238,362.380952,316.666667,190.952381,200.761905,235.571429,131.619048,126.571429,266.904762,148.52381,226.619048,93.52381,87.142857,120.52381,154.619048,172.857143,52.809524,191.142857,0,0,59.714286,185.809524,14215.380952,,,,,,,,,,,,,,
LM,42.333333,97.714286,68.619048,56.190476,248.333333,62.52381,61.285714,48.142857,38.52381,20.666667,151.714286,252.571429,302.047619,243.952381,157.666667,83,110.333333,104.047619,42.904762,19.571429,28.904762,7.666667,8.857143,34.571429,36.333333,927.619048,1074.380952,701.428571,670.857143,264.333333,150.52381,63.428571,81,105.571429,6.857143,112.857143,177.238095,8.142857,23.904762,12.333333,18,33.428571,18.238095,91.666667,20.857143,97,0,0,10.047619,23.52381,7021.714286,,,,,,,,,,,,,,
FV,87.428571,102.619048,42.095238,68.142857,290.047619,92.47619,160.238095,182.666667,221.142857,154.809524,26.761905,224.619048,207.190476,189.190476,195.714286,78.904762,66,89.380952,40.52381,25.142857,37.095238,15.619048,19.52381,51.333333,85.619048,935.47619,1012.619048,881.142857,820.952381,354.190476,217.047619,75,95.904762,130.52381,8.190476,51.666667,117.285714,6.190476,26,13.619048,25.095238,60.952381,27.238095,56.428571,12.047619,76.52381,0,0,10.428571,19.571429,7788.380952,,,,,,,,,,,,,,
CL,64.095238,114.142857,42.666667,38.619048,152.571429,69,140.809524,182.619048,276.333333,211.52381,211.428571,23.952381,123.333333,143.142857,144.619048,76.380952,84.333333,94.333333,55.095238,46.857143,40.904762,22.190476,17.619048,38.095238,80.904762,583.904762,573.714286,521.666667,420.809524,157.095238,126.095238,64.285714,71.047619,108.857143,12.952381,54.619048,145.285714,13.333333,38.904762,18.190476,22.47619,38.095238,22.666667,73.809524,23.666667,110.428571,0,0,22.619048,40.52381,5760.619048,,,,,,,,,,,,,,
