Exit stations,Entry stations->,,WEEKDAY,,,May 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,8,39.05,29.85,23.15,91.35,30.35,46,32.8,41.55,12.8,31.7,28.85,14.85,8.95,9.15,8.15,4.15,6.55,7.65,2.25,7.7,2.05,3.9,6.6,12.75,99.8,104.1,152.95,104.2,79.05,89.95,23.55,22.85,13.5,6.25,1,2.85,1.7,4.15,5.1,9.7,13.3,8.6,1.85,4.75,4.8,2.95,3.1,5.5,3.65,1279.35,,,,,,,,,,,,,
EN,43.8,10.95,25,25.1,136.15,33.8,71.75,59.95,84.25,21.2,40.95,41.7,19.2,15,17.3,6.35,10.35,11.2,11.6,6.85,10.05,4.45,4.25,7.15,12.25,185.6,153.25,229.25,177.35,83,89.05,24.2,33.75,19.5,7.9,1.4,8,1.4,5.55,7.8,10.9,26.6,13.8,3.65,12.75,6.9,4.9,6.55,3.45,3.65,1850.75,,,,,,,,,,,,,
EP,35.75,23.8,3.45,17.1,100.35,23.95,32.25,31.2,40.45,11.2,19.35,14.35,9.1,6.1,3.85,3.8,5.5,4.2,5.25,2.3,3.8,3.2,0.95,5.2,3.05,65,69,69.5,66.3,29.1,22.6,7.45,8.5,4.5,1.5,1.15,1.55,1.3,3.85,2.2,1.6,10.3,6.05,1.55,5.85,1.85,1.15,2.85,1.25,1.95,797.4,,,,,,,,,,,,,
NB,25.65,21.8,17.4,4.85,17.55,9.6,19.3,25.7,24.8,7.8,22.75,19.65,8.55,5.05,6.85,2.8,3.5,3.25,1.9,3.55,5.25,1.8,1.9,2.1,4.95,50.25,52.65,49.2,57.8,28.3,23.6,6.65,7.05,4.9,2.4,1.75,1.9,1.25,4.7,1.15,1.1,14.3,3.5,0.35,6.1,2.7,1.95,1.65,0.15,1.25,594.9,,,,,,,,,,,,,
BK,108.8,147.7,105.2,21.5,11.25,54.55,54.3,66.7,70.05,18.55,57.65,42.25,27.65,21,21.4,10.3,16.85,15.1,10.35,11.3,11.05,4,2.5,3.3,18,96.15,68.65,105.8,86.65,52.6,41.85,12.3,19.15,11.75,3.95,5.15,11.4,2,12.65,6.5,5.35,20.35,15.6,2.45,14.3,7,9.7,11.7,2.05,9.65,1566,,,,,,,,,,,,,
AS,34.95,39.55,23.4,9,34.9,4.75,19.55,32.1,35.5,9.4,37.85,29.05,13.25,10.45,9.05,4.5,6.1,4.8,5.7,3.8,4.5,1.1,0.45,1.6,10.4,54.15,53.65,73.5,67,36.05,21.9,8.1,8.8,2.8,4.2,0.7,3.95,0.3,3,2.55,5.3,7.65,4.6,1,5.45,4.1,2.4,4.7,0.55,3.55,765.65,,,,,,,,,,,,,
MA,58.45,64.75,34.1,21.55,48.35,19.05,9.85,20.4,37.75,7.5,59.3,48.75,32.05,20.6,17.5,8.95,13.9,13.8,24.4,28.1,30.75,7.2,8,11.1,15.25,117.9,105.1,138.75,130.95,77,48.95,17.9,23.45,12.45,11,3.95,11.15,3.25,29.65,5.85,5.75,23.05,7.6,3.65,7.15,3.85,5.95,9,16.15,34.85,1515.7,,,,,,,,,,,,,
19,34.1,55.85,24,24,54,28.7,23.95,9,6.1,3.95,32.1,43,30.3,30.85,23.55,15.2,15.75,11.35,28.3,28.75,21.55,11.75,8.35,16.25,13.6,122.2,117.3,138.75,122.95,79.15,45.95,17.75,20.55,18.7,6.05,3.9,8.8,9.4,28.5,7.05,7,15.85,6.6,4.4,7.4,6.8,7.15,6.75,8.8,26.95,1439,,,,,,,,,,,,,
12,43.45,89.85,44.45,25.95,58.65,36.55,38.85,6.25,10.5,5.8,29.4,48.2,46.55,38.9,36.3,19.05,22.4,20.55,35.4,38.75,33.85,11.45,13.2,20.35,19.05,116.45,110.4,173,126.2,60.4,55.55,19.5,35.65,28.2,13.3,3.25,9.25,9.85,33.5,13.35,10.15,20.75,12.6,1.8,6.95,8.2,5.15,8.3,10.1,38.95,1724.5,,,,,,,,,,,,,
LM,10.15,21,8.95,8.05,17.2,8.3,10.8,4.35,6.4,6.65,47.9,84.6,78.55,65.95,38.15,28.95,27.9,22.9,8.9,2.7,5.85,2,0.65,3.2,7.5,120.9,112.4,141.3,110.35,60.65,43.1,19.7,21.8,13.15,2.15,28.3,46,2.25,3.3,1.65,2.25,6.5,1.05,19.8,9.4,14.1,7.9,10.25,1.6,7,1334.4,,,,,,,,,,,,,
FV,32.6,40.25,18.55,21.9,59.55,36.8,51.3,28.75,41,39.65,18.7,108.6,99.6,92.95,70.2,44.3,33.2,37.2,11.65,6.3,15.7,7.05,13.9,15.45,43.3,149.65,142.35,256.75,207.65,100.85,97.15,22.55,28.6,21.8,3.65,25.2,54.05,1.25,9,4.95,8.5,12.8,4.8,27.1,5.8,22.75,10.7,10.75,4,14,2235.1,,,,,,,,,,,,,
CL,30.45,42.7,15,21.05,38.45,31.4,49.8,45.35,59.55,63.15,102.3,20.75,70.9,64.6,54.65,25.4,25.3,30.6,15.45,13.4,13.6,7.9,6.65,13.3,36,100.5,87.8,129.35,99.1,47.7,54.4,21.35,21.3,20.65,4,24.55,69.65,4.2,12.95,4.8,8.2,8.55,5.8,24.4,10.15,18.4,9.75,20.6,5.4,18.05,1729.3,,,,,,,,,,,,,
SL,14.6,19.1,8.9,7.25,27.6,19.05,34.7,31.9,52,79.05,96.9,73.75,6.3,40.5,56.75,34.05,25.1,21.45,7.5,6.4,5.95,3.2,2.8,8.85,15.2,118.95,130.6,148.2,104.75,46.45,41.4,12.85,13.45,14.3,2.95,17.15,34.5,1.15,4.65,4.65,4.9,11.3,3.1,19.75,4.25,13.65,4.7,9,3.8,7.9,1477.2,,,,,,,,,,,,,
BF,7.85,12.95,5.95,6.6,19.35,8.3,25.65,28.95,47.1,65.95,97.3,67.7,43.05,7.8,31.65,28.65,21.1,36.8,5.9,3.3,3.7,1.3,3.35,4.7,18.1,94.95,114.7,131.95,94.25,44.2,29.5,9.55,13.6,9.6,4.1,13.15,47.3,2.3,2.15,4.65,4.2,7.55,2.85,22.95,3.5,22.45,7.15,8.1,2.4,2.75,1302.9,,,,,,,,,,,,,
