Exit stations,Entry stations->,,WEEKDAY,,,Jul 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,11.363636,37.681818,28.818182,28.454545,101.681818,30.136364,50.636364,30.954545,43.5,12.318182,38.409091,31,14.545455,8.909091,10.318182,7.681818,6.136364,5.681818,7.090909,4.318182,9.363636,3.772727,4.636364,6.772727,15.545455,117.545455,106.5,181.045455,117.318182,81.681818,84.5,22.863636,21.727273,15.454545,8.863636,1.772727,3.863636,2.181818,5.727273,5.136364,9.045455,18.454545,9.818182,1.772727,6.318182,5.227273,2.863636,2.909091,4.454545,4.409091,1391.181818,,,,,,,,,,,,,
EN,35.636364,10.863636,26.454545,22.045455,150.545455,36.818182,68,62.636364,99.090909,20.318182,46.363636,38.272727,20.454545,13.363636,16.863636,6.727273,9.545455,12.272727,9.454545,5.545455,10.136364,3.136364,4,9.227273,14.363636,231.727273,191.636364,264.590909,197.136364,81.318182,83.636364,20.681818,27.954545,22.954545,9.772727,1.227273,7.318182,2.954545,6.954545,8.636364,10.863636,39.227273,14.772727,1.318182,17.409091,5.818182,4.727273,7.681818,3.454545,3.363636,2019.272727,,,,,,,,,,,,,
EP,33.5,26.272727,6.181818,20.590909,127.681818,24,38.5,40.681818,62.545455,14.227273,22.636364,11.5,13.181818,7.727273,6.5,5.045455,4.136364,5.636364,4.5,4.090909,5.954545,4.636364,1.5,10.681818,5.227273,110.090909,99.090909,90.863636,88.5,35.818182,27.409091,8.090909,7.136364,5.954545,1.136364,1.681818,2.590909,1.090909,4.772727,2.227273,1.909091,24.227273,7.318182,1.590909,10.954545,2.136364,2.181818,3.727273,1.045455,1.318182,1050,,,,,,,,,,,,,
NB,24.5,22.5,19.636364,6.318182,24.909091,11.272727,23.454545,31.5,34.318182,14.909091,29.545455,18,7.909091,5.045455,7.409091,2.590909,3.590909,4.090909,4.363636,4.409091,4.954545,1.090909,1.545455,3.363636,7,105.727273,86.045455,65.772727,81.136364,41.818182,29.454545,8.363636,7.590909,7.318182,1.272727,1.863636,2.545455,1,4.818182,3.863636,1.545455,29.909091,5.136364,1.272727,11,3.818182,2.181818,3.954545,0.318182,1.181818,827.136364,,,,,,,,,,,,,
BK,124.181818,173.318182,133.818182,26.545455,15.590909,62.590909,69.454545,88.727273,99.272727,26.863636,74.409091,43.409091,39.136364,25.5,22.545455,16.5,22,18.272727,16,18.590909,17.363636,12.954545,9.272727,4.863636,21.954545,153.136364,123.454545,134.318182,125.409091,71.363636,52.772727,18.636364,21.727273,14.909091,4.318182,4.363636,17.772727,4.045455,12.954545,7.181818,7.363636,32.409091,24.772727,6.272727,19.363636,8.181818,12.954545,20.090909,3.590909,8.5,2093,,,,,,,,,,,,,
AS,35.090909,40.272727,21.5,10.909091,50.363636,8.590909,25.363636,36.363636,43.772727,13.227273,37.909091,22.954545,15.545455,9.681818,9.272727,5.227273,9.272727,8,5.090909,3.590909,4.954545,3.181818,0.772727,1.181818,10.318182,91.181818,87.954545,84.409091,89.954545,48.136364,25.045455,8.363636,10.318182,5.045455,1.863636,0.727273,4.227273,0.181818,2.545455,2.181818,4.681818,20.045455,5.772727,1.818182,9.318182,5.363636,4.954545,6.090909,0.545455,3.136364,956.272727,,,,,,,,,,,,,
MA,56.863636,72.954545,36.409091,25.681818,60.545455,27.090909,14.818182,30.045455,47.318182,12.863636,60,48.818182,36.818182,24.181818,19.181818,11.590909,15.863636,17.318182,28.636364,33.318182,32.863636,12.363636,11.636364,14.363636,19.5,201.863636,157.590909,182.818182,170.727273,101.818182,63.045455,20.636364,22.363636,14.181818,8.727273,5.318182,12.863636,4.727273,32.954545,11.590909,6.227273,42.863636,11.136364,4.272727,12.409091,5.454545,7.681818,11.636364,17.227273,37.772727,1938.954545,,,,,,,,,,,,,
19,35,65.5,38.545455,30.954545,74.409091,34.181818,31.681818,11.181818,8.318182,5.590909,33.590909,40,34.227273,35.818182,26.590909,18.590909,20.636364,16.681818,34.409091,33.181818,35.045455,17.909091,12.5,23.818182,14.409091,193.636364,185.954545,180.5,159.409091,91.272727,61.772727,25.954545,22.772727,19.681818,4.909091,4.136364,10.727273,9,29.363636,6.909091,5.227273,26.818182,12.727273,5.363636,11.272727,7.909091,8.5,10.636364,9.954545,29.590909,1866.772727,,,,,,,,,,,,,
12,44.772727,109.636364,60.136364,37.045455,82.590909,40.227273,44.954545,8.681818,15.181818,6.045455,37.545455,52.318182,57.681818,51.5,42.090909,19.227273,32.181818,22,43.590909,49.590909,47.545455,22.318182,17.590909,28.545455,22.454545,184.045455,162.909091,216.5,161,81.227273,67.818182,31.5,40.136364,37,18.136364,6.272727,13.727273,13.136364,42.363636,13,11.772727,36.909091,17.090909,3.409091,11.909091,11.863636,10.5,14.045455,12.5,47.545455,2261.772727,,,,,,,,,,,,,
LM,10.045455,19.772727,13.272727,13.954545,24.272727,11.045455,13.181818,5.818182,6.090909,9.863636,51.863636,75.318182,97.409091,64.318182,40.954545,32.818182,32.681818,29.272727,7.909091,4.045455,6.954545,2.863636,1.045455,4.272727,8.818182,166.863636,146.772727,164.136364,131.318182,70.818182,45.954545,22.363636,20.681818,17.454545,2.272727,38.090909,60.727273,2.909091,4.136364,2.590909,2.090909,9.272727,1.590909,24.363636,15.090909,22.136364,10.454545,13.590909,1.590909,8.5,1593.636364,,,,,,,,,,,,,
