Exit stations,Entry stations->,,WEEKDAY,,,Nov 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,11.545455,58.363636,41.681818,31.318182,173.090909,39.227273,63.045455,41.136364,55.863636,12.318182,46.181818,29.909091,17.318182,11.636364,17.863636,6.636364,6.090909,6.954545,8,3.772727,11,5.181818,4.5,12.227273,17.227273,143.545455,117.363636,204.090909,125.181818,101.454545,97.227273,23.636364,29.727273,28.636364,9.181818,1.5,6.545455,3.636364,6.590909,7.590909,9.954545,22.681818,8.863636,1.272727,8.590909,6.5,4.136364,5.590909,5.227273,7.818182,1718.636364,,,,,,,,,,,,,
EN,61.363636,14.590909,46.090909,36.727273,285.818182,43.545455,92.227273,97.590909,119.5,30.909091,55.136364,39.227273,23.363636,20.090909,22.727273,9.5,13.409091,11.681818,12.727273,6.318182,17.954545,4.136364,5.681818,13.090909,18.636364,289.363636,247.227273,331.454545,255.045455,100.863636,94.818182,32.090909,34.863636,47.045455,12.863636,2.272727,10.181818,3.863636,6.318182,10.636364,13.954545,52.409091,18.954545,3.045455,20.909091,11.636364,7.181818,11.590909,5.227273,5.954545,2731.818182,,,,,,,,,,,,,
EP,47.045455,40.636364,8.5,25.954545,227.954545,29.409091,46.590909,54.681818,67.181818,16.863636,27.272727,10.727273,15.5,7.5,10.363636,4.090909,7.545455,6.5,7.136364,4.727273,8.090909,4.727273,1.818182,13.409091,4.454545,124.727273,120.818182,120.636364,120.5,39.681818,32.136364,12.727273,10.272727,15.818182,1.636364,1.818182,4.181818,1.272727,5.590909,4.136364,3,30.772727,7.409091,1.818182,13.909091,4.045455,2.863636,7.227273,1.636364,3.863636,1391.181818,,,,,,,,,,,,,
NB,31.954545,29.181818,23.272727,6,66.5,17.409091,28.909091,45.181818,36.590909,13,31.454545,11.454545,9.227273,3.863636,6.954545,2.772727,4.045455,5.181818,5.5,6.863636,5.590909,2.681818,2.681818,5.318182,7.318182,113.727273,96.045455,78.681818,109.045455,41.454545,27.818182,11.181818,11.818182,12.409091,1.727273,2.136364,3.909091,1.090909,4.318182,3.454545,2.045455,31.181818,5.136364,0.681818,14.272727,3.954545,2.818182,4.818182,0.590909,1.909091,995.136364,,,,,,,,,,,,,
BK,188.5,304.909091,248.545455,75.363636,31.545455,107.227273,119,150.909091,151.227273,53.454545,108.909091,55.545455,64.636364,38.909091,42.363636,28.545455,50.954545,43.181818,29.818182,33.181818,36.363636,19.045455,12.363636,9.181818,35,230.772727,169.181818,245.772727,210.863636,108.772727,89.590909,40.409091,37.318182,38.636364,10.363636,12.818182,31.136364,7.727273,21.045455,9.272727,12.363636,88.818182,36.454545,11.454545,69.090909,23.772727,36.5,51.727273,8.909091,21.409091,3662.863636,,,,,,,,,,,,,
AS,40.090909,43.954545,26,19.409091,92.227273,7,29.181818,55.681818,50.636364,16.227273,36.363636,20.227273,14.5,13.636364,9.090909,7.5,8.681818,11.227273,7.636364,6.227273,7.545455,4.227273,1.318182,3.909091,8.318182,121.272727,105.636364,108.454545,121.545455,57.909091,35.727273,9.318182,14.590909,11.727273,3.090909,1.409091,5.863636,1.545455,3.409091,3.727273,5.181818,25.863636,7.727273,1.818182,12.818182,7.954545,7.272727,8.636364,1.454545,3.318182,1228.090909,,,,,,,,,,,,,
MA,65.863636,88.363636,47.045455,31.5,114.363636,36.272727,14.863636,49.863636,61.681818,19.409091,80.863636,47.818182,49.272727,29,27.136364,18.5,21.818182,20.818182,35.045455,37.136364,39.318182,12.409091,11.818182,22.454545,21.363636,247.590909,205.5,222.409091,226.681818,126.818182,86.136364,25.954545,32.772727,21.681818,8.545455,4.681818,14.590909,11.5,35.318182,7,5.227273,52,13.181818,3.727273,15.727273,6.636364,7.727273,15.681818,22.454545,52,2475.545455,,,,,,,,,,,,,
19,42.136364,97.409091,51.772727,53.136364,147.363636,54.090909,47.590909,18,11.090909,7.909091,54.954545,50.818182,44.136364,43.318182,36.181818,25.681818,27.545455,20.318182,46.636364,45.954545,47.090909,25.727273,18.681818,40.181818,20.818182,283.863636,237.772727,245.954545,237.045455,135.727273,92.545455,32.363636,33.545455,30.954545,8.727273,9,16.363636,11.318182,26.363636,10.727273,9.954545,47.954545,16.409091,7.545455,15.5,13.045455,12.409091,16.636364,11.818182,36.318182,2678.409091,,,,,,,,,,,,,
12,58.090909,111.363636,65.727273,40.772727,133.090909,46.272727,61.818182,11.681818,16.5,7.318182,55.454545,59.681818,73.363636,52.727273,52.863636,30.227273,39.090909,33.454545,55.5,54.909091,52.227273,23.727273,20.590909,37.045455,29.181818,249.409091,195.090909,275.181818,217.181818,90.272727,80.409091,35.590909,42.454545,54,16.227273,9,22.227273,13.409091,40.681818,15.090909,15.954545,52.409091,23.409091,9.545455,13.181818,14.727273,13.590909,18.181818,15.454545,50.318182,2805.681818,,,,,,,,,,,,,
LM,13.545455,26.545455,16.136364,13.181818,82.045455,16.409091,20.363636,8.363636,7.090909,8.727273,61.363636,61.590909,106.363636,85.909091,48.818182,40.181818,38.5,31.181818,13.318182,6.636364,8.227273,1.909091,1.863636,4.909091,13.727273,205.5,176.727273,212.818182,179.454545,83.045455,53.681818,23.409091,29.090909,19.772727,2.772727,46.181818,60.136364,2.636364,6.318182,3.227273,2.863636,13,3.227273,23.227273,15.181818,17.772727,14.409091,14.727273,4.590909,12.363636,1963.045455,,,,,,,,,,,,,
FV,43.181818,52.363636,27.318182,32.863636,106.454545,35.136364,77.272727,56.545455,59.045455,55.590909,17.954545,113.272727,119.227273,110.227273,96.090909,57.636364,39.272727,47.318182,16.363636,6.136364,16.909091,10.409091,11.181818,20.545455,53.681818,243.090909,203.545455,335.5,277.681818,110.863636,109.227273,25.545455,36.545455,42.727273,5.863636,26.454545,59.681818,4.681818,9.545455,5.545455,13.681818,24.909091,6.363636,29.772727,9.181818,29.954545,17.181818,21.772727,8.363636,19.590909,2959.272727,,,,,,,,,,,,,
