Exit stations,Entry stations->,,WEEKDAY,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL,38.136364,51.545455,24.590909,22.818182,57.5,30.136364,76.227273,65.727273,82.090909,84.136364,131.681818,18.5,87.409091,83.363636,71.090909,39.045455,38.181818,43,24.272727,24.454545,16.454545,14.227273,10.454545,22.045455,49.863636,146.863636,122.727273,162.727273,125.636364,60.5,63.409091,20.454545,27.727273,27.090909,4.227273,31.636364,114.318182,7.545455,16.863636,5.045455,7.772727,15.545455,7.636364,38.363636,19.318182,29.909091,17.818182,36.136364,8.181818,22.454545,2346.863636,,,,,,,,,,,,,
SL,19.045455,22.681818,11.5,8.272727,49.409091,19.227273,45.272727,41.863636,74.863636,103.681818,117.181818,93.227273,11.863636,58.909091,65.818182,50.590909,29.590909,34.045455,11.045455,6.954545,9.045455,3.272727,2.772727,8.636364,23.590909,179.681818,177.681818,196.272727,155.363636,56.681818,51.272727,15,24.681818,24.454545,3.818182,24.272727,42.909091,1.590909,7.272727,4.909091,5.681818,15.818182,2.681818,24.545455,5.409091,20.318182,9.863636,15.181818,4.818182,13.590909,2006.136364,,,,,,,,,,,,,
BF,11.409091,15.545455,8.045455,4.818182,31.727273,13.363636,33.818182,40.136364,61.954545,71.272727,117.363636,88.909091,61.545455,9.818182,43.818182,36.772727,32.772727,42.772727,8.227273,4.090909,4.772727,1.727273,3.272727,5.090909,17.227273,144.590909,141.681818,176.818182,120.863636,50.727273,27.545455,14.545455,17.090909,16.272727,4.181818,16.863636,48,2.227273,4.227273,4.636364,5.318182,11.227273,2.590909,23.136364,3.681818,24.136364,11.590909,11.772727,2.5,2.363636,1658.863636,,,,,,,,,,,,,
HY,14.045455,23.909091,8.454545,7.363636,35.409091,10.136364,28.363636,33.545455,55.772727,46.818182,86.272727,69.136364,74.454545,42.227273,6.590909,36.363636,78.954545,71.5,10.863636,5.363636,6.454545,1.227273,2.090909,5.090909,17.272727,85.272727,69.772727,90.5,83.909091,31.363636,23.772727,10.090909,11.954545,16.227273,2.636364,8.272727,27.727273,1.909091,5.727273,2.045455,6.636364,7.090909,3.136364,13.409091,4.681818,34.454545,21.590909,25.5,2.772727,7,1375.136364,,,,,,,,,,,,,
SH,7.681818,8.363636,6.090909,2.045455,20.181818,5.681818,16.590909,21.409091,29.136364,32.090909,50.363636,38.590909,43.136364,31.136364,34.545455,5.318182,19.772727,29.045455,4.090909,1.636364,3.045455,0.772727,0.681818,2.272727,11.090909,72.136364,67.636364,69.818182,56.772727,19.727273,19.590909,6.636364,5.318182,10.227273,2.5,7.090909,9.863636,0.454545,4.636364,2.272727,2.727273,6.545455,1.454545,8.363636,4.545455,32.590909,13.772727,14.227273,0.681818,3.227273,867.590909,,,,,,,,,,,,,
UC,6.681818,12.318182,6.863636,2.636364,37.090909,8.590909,18.5,24.863636,32.954545,33.681818,37.818182,35.636364,36.727273,30.545455,76.5,18.454545,8.090909,33,4.636364,2,4.045455,0.954545,0.318182,3.772727,7.5,78.5,65.954545,62.772727,61.318182,24.363636,10.727273,4,6.727273,8.454545,3.090909,5.409091,17.636364,0.181818,2.181818,1.090909,1,9.636364,0.909091,8,8.090909,34,23.045455,25.409091,2.090909,5.181818,953.954545,,,,,,,,,,,,,
FM,6.409091,13.954545,6.727273,4.681818,34.272727,9.681818,20.272727,20.772727,26.681818,28.818182,43.545455,41.272727,36.727273,41.409091,69.590909,31.818182,36.909091,8.090909,5.318182,3.909091,3.136364,0.5,1.454545,3,5.363636,70.590909,65.545455,56.136364,52.727273,21.5,14.681818,5.363636,5.863636,9.772727,2.409091,7.136364,12.454545,0.409091,4.454545,0.636364,1.545455,9.772727,1.727273,5.954545,10.090909,24.863636,30.227273,32.181818,2.045455,4,956.409091,,,,,,,,,,,,,
CN,7.181818,9.818182,6.863636,5.227273,26,6.545455,33.636364,41,46.909091,11.454545,14.772727,26.454545,10.636364,9.090909,11.136364,3.590909,4.318182,4.636364,15.272727,29.545455,83.181818,42.227273,10.545455,28.227273,8.772727,141.318182,133.181818,162.409091,137.5,46.272727,40.272727,17.363636,13.909091,17.545455,8.090909,1.454545,4.5,17.318182,68,4.954545,8.818182,53.045455,7.136364,1.5,13.954545,2.5,5.090909,2.681818,46.545455,53.363636,1505.772727,,,,,,,,,,,,,
PH,4.045455,5.863636,2.454545,3.545455,31,5.136364,37,38.5,44.181818,6.181818,6.090909,20.272727,6.727273,3.090909,4.5,1.772727,1.863636,3.681818,33.772727,7.863636,35.181818,16.136364,10.954545,29.045455,5.090909,194.227273,173.954545,141.227273,115.045455,31.409091,25.454545,16.772727,8.454545,14.227273,2,1,3.181818,10.090909,28.227273,3.863636,7.772727,50.636364,3.863636,0.227273,18,1.318182,1.181818,2.181818,15.590909,19.954545,1253.818182,,,,,,,,,,,,,
WC,10.409091,11.590909,5.363636,5.727273,29.136364,5.454545,38.090909,46.318182,52.272727,8.454545,17.545455,16.136364,9,5.5,7.409091,2.954545,4.863636,3.5,92.681818,40.363636,9,22.727273,15.636364,41.909091,9.272727,175.409091,152.636364,107.727273,112.045455,40.818182,24.545455,7.954545,9.272727,14.272727,5,1.772727,1.818182,18.409091,48.727273,8.818182,6.727273,57.409091,5,0.545455,17.954545,0.681818,1.545455,2.636364,19.545455,32.545455,1385.136364,,,,,,,,,,,,,
