Exit stations,Entry stations->,,WEEKDAY,,,Mar 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,,
SL,36.681818,64.818182,30.909091,31.545455,184.363636,51.954545,133.454545,244.5,348.409091,311.545455,218.136364,175.5,21.772727,123.363636,141.545455,69.681818,84.181818,137.636364,22.818182,22.409091,23.772727,5.636364,9.136364,22.5,43.636364,732.590909,819.454545,596.454545,540,163.545455,98.181818,45.863636,72.181818,104.818182,11.863636,34.272727,95.863636,9.545455,32.272727,14.363636,17.5,40.318182,8.636364,46.636364,9.818182,50.318182,6104.409091,,,,,,,,,,,,,,
BF,19.681818,38.181818,17.181818,19.681818,150,34.863636,98.454545,219.772727,302,247.181818,208.636364,180.818182,115.909091,17.363636,103.863636,65.5,93.272727,174.363636,18.454545,12.5,12.954545,2.863636,2.590909,11.272727,35.909091,677.363636,692.090909,563.5,463,146.727273,86.909091,36.272727,51.227273,78.954545,11,48.545455,143.590909,5.045455,20.181818,9.590909,15.772727,27.045455,10.045455,69.090909,5.363636,53.227273,5417.818182,,,,,,,,,,,,,,
HY,36.545455,68.863636,24.136364,26.863636,131.772727,36.5,102.181818,208.318182,273.090909,145.5,193,179.863636,157.727273,108.318182,16.045455,92.772727,190.909091,262.454545,24.772727,18.681818,18.954545,4.636364,4.590909,18.545455,29.318182,493.636364,545,347.272727,308.363636,98.090909,56.272727,31.045455,34.954545,52.636364,6.272727,19.636364,68.409091,9.454545,50.181818,5.681818,12.909091,22.363636,7.272727,29.409091,9.863636,77.818182,4660.909091,,,,,,,,,,,,,,
SH,18.636364,28.545455,7.954545,9.090909,69.409091,18.363636,57.954545,145.863636,158.090909,78.409091,84.909091,96.272727,63.363636,68.272727,76.636364,12.954545,89.727273,138.954545,7.045455,9,12.454545,2.227273,1.636364,6.090909,17.227273,430.363636,396.863636,250.318182,253.727273,80.454545,43.772727,17.772727,24.954545,46.5,6.136364,11.363636,38.227273,4.681818,16.227273,3.227273,7,13.681818,7.772727,17,5.181818,51.545455,3005.863636,,,,,,,,,,,,,,
UC,18.227273,33.590909,17.636364,17.818182,151.181818,38.090909,78,225.136364,213.954545,113.681818,79.363636,118.818182,87.545455,93.909091,196.318182,90.5,23.363636,156.590909,16.863636,19.045455,16.227273,4.636364,3.181818,11.954545,11.045455,910.136364,820.636364,358.909091,335.5,87.045455,38.818182,13.954545,20.318182,53.909091,6.136364,16.5,58.090909,4.363636,20,7.045455,5.909091,24.772727,4.272727,20.363636,15.318182,38.090909,4696.772727,,,,,,,,,,,,,,
FM,31.545455,66.727273,36.727273,35.409091,229.636364,39.045455,110.181818,326.272727,274.272727,119.090909,136.727273,159.954545,138.818182,195.727273,265.090909,151.090909,165.363636,43.590909,24.909091,24.181818,26.136364,8.863636,11.909091,21.681818,14.909091,1422.045455,1192.909091,437.818182,375.454545,110.363636,35.727273,29.954545,34.227273,56.909091,8.909091,37.772727,76.909091,6.136364,36.454545,4.181818,8.136364,36.090909,4.636364,26.909091,23.454545,41.045455,6663.909091,,,,,,,,,,,,,,
CN,21.5,29.590909,20.227273,20.818182,128.454545,26.545455,159.772727,316.272727,344.5,33.863636,44.5,71.363636,24.181818,17.181818,27.272727,7.636364,14.909091,25.636364,30.272727,105.863636,246.727273,77.954545,39.318182,93.636364,19.818182,888.954545,920.090909,554.227273,485.363636,145.5,90.136364,51.727273,56.727273,97.681818,26.863636,7.272727,8.363636,56.818182,292.454545,25.954545,25.454545,127.045455,32.636364,2.818182,31.636364,10.863636,5886.409091,,,,,,,,,,,,,,
PH,16.545455,18.818182,19.454545,25.045455,162.090909,27.318182,176.454545,387.545455,408.363636,22.681818,24.909091,59.227273,21.954545,13.863636,21.045455,7.772727,17.454545,24.545455,94.545455,28.090909,104.5,50.954545,28.454545,125.318182,11.545455,1659.5,1796.409091,654.363636,617.045455,173.454545,80.818182,100,45.636364,70.681818,14.227273,5.727273,4.863636,34.909091,134.818182,26.181818,31.181818,159.272727,25,3.227273,45.863636,10.363636,7592.045455,,,,,,,,,,,,,,
WC,23.545455,32.045455,25.454545,30.136364,122.909091,21.045455,151.090909,328.727273,309.818182,26.545455,35.681818,57.954545,23.409091,14.454545,20.681818,13.272727,15.545455,26.818182,274.818182,114.954545,25.545455,55.090909,44.409091,149.545455,17.590909,1376.318182,1385.181818,536.5,471.727273,129.727273,68.227273,58.727273,50.272727,69.909091,17.181818,3.181818,6.545455,52.863636,227.227273,23.363636,25.681818,166.772727,25.363636,2,42.909091,7.227273,6708,,,,,,,,,,,,,,
LF,6.363636,9.454545,6.318182,7.681818,66.136364,10.363636,44.363636,158.909091,140,12.636364,15,31.545455,6.454545,1.863636,4.454545,2.181818,4.590909,7.772727,95.045455,58.181818,53.5,12.409091,16.727273,72.545455,5.318182,862.863636,814.272727,266.272727,261.5,54.090909,35.318182,24.136364,10.590909,20.409091,3.727273,1.863636,1.227273,12.363636,48.772727,6.318182,7.363636,88.818182,12.909091,0.409091,25.590909,2.409091,3411.045455,,,,,,,,,,,,,,
