Exit stations,Entry stations->,,WEEKDAY,,,Oct 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,10.571429,78,61.714286,39.333333,256.190476,47.285714,78.714286,61.380952,63.095238,21.285714,50.095238,36.571429,19.095238,8.952381,22.666667,10.095238,5.047619,8.047619,12.285714,8.619048,13.571429,7.428571,5.714286,12.571429,21.142857,196,151.142857,247.428571,145.809524,103.047619,103.571429,29.571429,29.428571,55.571429,11.571429,3.952381,5.666667,3.952381,7.190476,8.571429,11.285714,36.714286,11.238095,3.52381,11.142857,15.47619,4.809524,7.238095,6.714286,6.714286,2176.809524,,,,,,,,,,,,,
EN,91.666667,19,64.714286,44.52381,395.142857,66.238095,113.761905,130.571429,175.571429,40.857143,70.809524,54.333333,23.619048,19.142857,34.666667,8.761905,16.047619,20.428571,17.380952,11.857143,15.857143,5.238095,6.809524,15.666667,23.047619,393.904762,328.714286,420.380952,306.190476,121.714286,107,37.380952,53.095238,83.952381,9.666667,4.47619,9.809524,4.047619,9.809524,13.809524,19.571429,61.285714,24.47619,8.285714,28.47619,21,12.333333,17.47619,5.285714,7.666667,3595.52381,,,,,,,,,,,,,
EP,65.047619,64.666667,8.857143,28.952381,303.666667,35.904762,57.47619,80.428571,90,26.190476,26.809524,16.190476,21.333333,7.428571,12.380952,5.428571,6.857143,7.809524,11.52381,9.238095,10.380952,4.666667,3.619048,11.714286,6.52381,223.761905,185.714286,152.761905,155.333333,51.952381,32.761905,16.238095,16.619048,30.333333,2.666667,2.238095,4.571429,1.761905,4.142857,6.285714,5.095238,39.714286,7.571429,4.619048,16.333333,8.666667,4.238095,9.380952,1.714286,4.904762,1912.47619,,,,,,,,,,,,,
NB,42.857143,38.761905,34.190476,9.761905,84.619048,27.952381,42.428571,73.809524,68.47619,25.952381,40.047619,22.428571,14.904762,6,9.571429,6.190476,8.095238,9.714286,5.857143,9.285714,7.952381,3,2.904762,6.714286,6.571429,227.428571,180.571429,128.714286,169.428571,61.047619,40.47619,12.761905,17.619048,17.571429,4.047619,3.571429,4.714286,3.380952,2.857143,3.142857,4.190476,52.285714,10.047619,1.761905,21.190476,6.809524,6.142857,8.952381,2.142857,3.809524,1602.714286,,,,,,,,,,,,,
BK,293.428571,416.047619,325.428571,101.047619,38.761905,151.857143,172.904762,206.238095,221.571429,89.333333,137.142857,78.285714,86.761905,60.333333,63.952381,50.428571,69.190476,51.428571,41.666667,38.190476,40.571429,27.904762,20.333333,13.761905,43.285714,359,258.52381,276.47619,266,147,130.619048,62.952381,46.714286,56.047619,15.952381,21.47619,46.619048,8.619048,27.095238,18.095238,16.761905,87.666667,52.952381,12.761905,57.952381,26.952381,48.857143,59.666667,14.619048,26.285714,4985.52381,,,,,,,,,,,,,
AS,50.52381,67.190476,35.190476,27.571429,146.47619,13.428571,41.238095,74.571429,63.142857,30.904762,58.333333,26.47619,26,14.761905,12.952381,7.333333,9.714286,11.095238,6.333333,6.52381,6.333333,3.666667,2.047619,4.333333,14.952381,217.571429,170.619048,140.952381,172.47619,80.380952,42.619048,14.142857,20.904762,15.571429,3.952381,3.619048,7.380952,2.857143,6.571429,2.285714,6.047619,36.095238,8.047619,3.142857,18.47619,10.904762,9.47619,11.571429,2.142857,5.380952,1774.285714,,,,,,,,,,,,,
MA,92.333333,107.428571,54.52381,38.095238,166.380952,41.904762,21.047619,71.333333,96,29.761905,96.190476,78.761905,62.047619,30.857143,48.761905,26.857143,26.142857,27.285714,56.428571,52.47619,59.380952,21.047619,23.571429,29.333333,31.190476,413.238095,297.952381,284.619048,315.571429,165.047619,94.857143,31.952381,42.47619,31.857143,10.904762,7.095238,24,10.333333,38.809524,8.285714,9.095238,61.238095,19.428571,5.714286,21.190476,15.857143,15.714286,24.52381,21.047619,56.809524,3416.761905,,,,,,,,,,,,,
19,61.190476,127.047619,80.285714,83.285714,201.52381,71.952381,72,30.095238,18.380952,13.571429,80.809524,70.333333,69.47619,58,51.619048,35.761905,41.333333,48.857143,72.333333,74.952381,81.714286,49.428571,35.714286,64.714286,28.190476,498.428571,383,333.380952,342.809524,180.142857,126.904762,54.380952,47.095238,51.047619,15.714286,17.047619,40.285714,19.666667,47.809524,17.809524,18.238095,61.238095,32.333333,18.857143,21.666667,24,27.52381,36.952381,13.52381,48.904762,4101.333333,,,,,,,,,,,,,
12,70.285714,165.952381,88.285714,71.47619,195.666667,63.857143,93.238095,17.904762,23.428571,15.714286,63.047619,73.142857,103.380952,95.857143,93.809524,47.761905,70.952381,56.142857,82.619048,94.47619,103.47619,38.142857,36,61.714286,37.761905,471.52381,335.52381,357.47619,317.761905,145.619048,110.571429,59.904762,57.333333,75.666667,30.571429,18.190476,51.571429,22.809524,59.714286,29.380952,22.095238,86.428571,39,18.142857,26,28.761905,27.666667,39.095238,28.142857,81.190476,4404.238095,,,,,,,,,,,,,
LM,22.333333,34.47619,23.571429,27.47619,90.142857,32.190476,32.952381,12,17.857143,11.047619,94.238095,97.238095,170.952381,117.809524,75.904762,57.619048,42.904762,42,10.809524,10.428571,11.142857,3.380952,2.666667,8.285714,13.714286,336.857143,272.428571,265.857143,243.142857,101.142857,75.761905,29.190476,37.285714,41.380952,4.52381,54.619048,85.809524,6.761905,10.095238,5.571429,6.142857,18.714286,3.47619,40.619048,20.714286,32.380952,17.238095,24.47619,4,14.714286,2816.047619,,,,,,,,,,,,,
FV,47.809524,63.857143,28.428571,34.809524,136.095238,52.571429,104.47619,81.095238,66.761905,92,28.47619,127.666667,144.047619,127.047619,137.238095,69.142857,54.428571,55.380952,17.904762,12.857143,19.142857,9.952381,13.571429,22.238095,68.428571,381.809524,282.333333,362.714286,363.666667,140.285714,118.095238,31.714286,53.095238,88.666667,8.47619,33.47619,74.238095,3.904762,10.666667,6,10.761905,32.952381,8.809524,34.809524,10,47.333333,25.047619,27.571429,7.619048,16.095238,3795.571429,,,,,,,,,,,,,
