Exit stations,Entry stations->,,WEEKDAY,,,Apr 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL,31.227273,38.454545,13.318182,16.454545,44.227273,23.454545,47.545455,42.409091,64.636364,58.227273,101.772727,19.136364,67.181818,68.545455,51.409091,30.045455,31,27.409091,15.818182,12.136364,11.045455,9.181818,5.318182,10.681818,36.727273,94.136364,84.681818,124.636364,103.727273,51.045455,51.5,20.136364,20.636364,21.5,3.136364,21.5,72.727273,3.227273,11.954545,3.363636,8.772727,7.863636,4.681818,20.772727,10.818182,19.545455,11.272727,20.5,4.727273,17.954545,1692.181818,,,,,,,,,,,,,
SL,12,18.318182,7.363636,5.5,26.136364,18.090909,31.590909,29.272727,51.181818,77.909091,100.545455,72.136364,7.363636,39.409091,56.409091,33,23.681818,19.136364,6.954545,6.181818,5.227273,2.090909,1.818182,7.318182,16.272727,114.318182,116.090909,144.954545,95.454545,44.954545,37.818182,13.136364,13.090909,13,2.954545,15.045455,36.545455,0.681818,4.545455,3.636364,4.681818,9.954545,2.272727,18.909091,4.045455,16.090909,6.727273,8.272727,4.318182,6.863636,1413.272727,,,,,,,,,,,,,
BF,7.727273,14,5.454545,6.227273,22.181818,9,24.545455,30,46.363636,62.409091,97.863636,73.045455,44.636364,7.045455,33.636364,25.227273,23.636364,35.136364,7,3.045455,2.409091,0.909091,2.772727,4.863636,14.090909,89.909091,103.545455,126.772727,91.5,41.727273,31.090909,7.909091,14.227273,10.727273,3.136364,13.454545,47.090909,2.090909,2.227273,4.5,5.363636,6.863636,2.090909,23.227273,2.545455,18.909091,5.136364,6.181818,1.954545,2.636364,1268.045455,,,,,,,,,,,,,
HY,8.954545,16.681818,3.5,5.181818,17.363636,7.681818,17.681818,23.818182,38.5,32.090909,69.636364,52.863636,56.545455,35.409091,8.409091,32.318182,41.5,47.545455,5.545455,2.818182,3.409091,2.272727,1.727273,5.5,14.454545,56.818182,49.590909,71.772727,57.681818,25.454545,18.590909,10.227273,8.636364,10.318182,1.636364,5.272727,21.5,1.090909,3.818182,3.363636,5.636364,4.636364,2.363636,10.090909,2.681818,23.954545,15.454545,13.318182,2.545455,5,982.863636,,,,,,,,,,,,,
SH,8.045455,6.727273,3.454545,2.5,11.954545,4.136364,11.636364,12.545455,19.090909,20.681818,36.045455,28.727273,32.454545,24.636364,30.772727,3.318182,15.772727,24.227273,4.545455,1.590909,2.272727,0.545455,0.5,2.363636,8.045455,45.636364,43,54.409091,42.772727,18.772727,16.181818,5.5,3.454545,3.363636,2.181818,6.227273,8.681818,1.272727,3.727273,2.181818,1.772727,3.863636,1.636364,8.681818,1.636364,22.045455,10.954545,10.045455,1.590909,4.954545,641.136364,,,,,,,,,,,,,
UC,4.272727,8.636364,5.5,2.272727,15.409091,5.136364,13.681818,17.681818,21.818182,24.818182,32.5,32.409091,25.909091,23.954545,39.409091,15.363636,3.863636,30.045455,3.454545,1.136364,2.636364,0.590909,0.227273,3.409091,4.590909,39.681818,39.090909,37.727273,43.772727,16.863636,10.909091,2.818182,3.727273,3.363636,2.5,4.090909,10.090909,0.318182,2.363636,1.772727,0.636364,3.409091,0.727273,5.136364,2.681818,24.090909,16.863636,11.227273,2.227273,2.590909,627.409091,,,,,,,,,,,,,
FM,6.772727,12.681818,3.272727,1.681818,12.590909,3.590909,12.545455,9.909091,22.136364,23.227273,38.454545,27.590909,23.090909,34.090909,47.954545,26.772727,26.909091,6.681818,4.681818,3.636364,1.409091,0.045455,1.181818,1.181818,4.909091,29.409091,37.545455,35.090909,28.363636,15,10.363636,2.772727,3.772727,5.272727,2.318182,6.227273,8.727273,1.181818,3.636364,1.272727,1.727273,3.272727,0.909091,2.909091,4.772727,15.727273,23,17.590909,0.636364,2.863636,621.363636,,,,,,,,,,,,,
CN,8.818182,9.181818,4.772727,2.863636,9.045455,4.636364,27.909091,26.363636,30.954545,6.363636,12.409091,13.681818,9,7.318182,6.909091,2.863636,3.045455,4,10.363636,26.363636,61.954545,36.318182,10.681818,19.363636,6.818182,76.5,85.727273,124.772727,105.136364,38.772727,33.136364,15.909091,13.136364,9.772727,4,0.636364,2.5,14.181818,55.636364,5.181818,6.863636,32.272727,6.318182,0.727273,8.090909,2.545455,3,2.318182,36.863636,42.727273,1088.727273,,,,,,,,,,,,,
PH,3.818182,5,3.090909,2.590909,9.363636,4.136364,25,24.454545,31.181818,6.545455,5.590909,10.227273,5,1.909091,2.363636,1.363636,1.181818,4,33,6.363636,25.045455,9.954545,5.772727,19.227273,4.045455,92.681818,83.181818,87.818182,77.318182,28.863636,17.772727,11.818182,4.363636,5.681818,1.954545,1.045455,3.136364,5.818182,23.590909,4.090909,7.045455,21.454545,2.772727,0.318182,7.136364,1.318182,1.136364,1.272727,15.5,12.636364,769.954545,,,,,,,,,,,,,
WC,9.318182,8.818182,2.272727,3.818182,11.454545,4.5,32.5,22.227273,31.818182,5.454545,14.318182,9.909091,5.181818,3.727273,3.909091,2.636364,2.454545,1.272727,70.727273,28.409091,5.318182,15.363636,9.954545,26.090909,5.545455,72.909091,73.136364,71.363636,58.772727,29.5,17.818182,5.5,6.5,10.454545,3.863636,0.727273,1.227273,8.863636,42.590909,2.454545,4.272727,24.409091,2.545455,0.454545,8.590909,0.727273,0.681818,1.181818,17.318182,26.318182,829.181818,,,,,,,,,,,,,
LF,2.181818,3.954545,1.590909,1.181818,3.136364,1,10.363636,8.818182,9.5,1.636364,6.681818,6.681818,2.045455,0.909091,2.818182,0.227273,0.681818,0.136364,45.681818,14.363636,17.727273,3,3.863636,10,1.5,35.045455,43.181818,27.136364,29.181818,11.636364,9.863636,2.954545,1.409091,2.181818,1.090909,0.272727,0.090909,1.181818,7.636364,1,0.909091,10.090909,1.227273,0,5,0.181818,0.454545,0.272727,5.727273,6,363.409091,,,,,,,,,,,,,
OR,3.227273,2.727273,0.409091,1.590909,2,0.818182,8.318182,8.090909,12.5,0.863636,12.954545,4.409091,1.681818,2.5,1.045455,0.545455,0.090909,1.409091,10.454545,6.136364,12.5,3.590909,2.181818,9.590909,1.227273,29.181818,31.045455,19.318182,18.090909,10.136364,5.227273,2.5,2.318182,1.954545,0.545455,0.227273,0.136364,0.5,3.409091,0.772727,1,8.5,0.545455,0.136364,2.909091,0.318182,0.727273,0.636364,2.318182,1.727273,255.045455,,,,,,,,,,,,,
RR,7.227273,8.727273,5.590909,2.909091,2.318182,1.227273,9.227273,14.136364,19.545455,3.090909,20.818182,9.409091,8.772727,4.863636,5.590909,2.636364,3.272727,1.227273,15.045455,23.954545,24.681818,10.909091,12.136364,5.363636,7.363636,57.318182,52.272727,48.727273,49.772727,28.409091,16.818182,6.954545,6.727273,4,0.818182,1.409091,1.909091,3,11.954545,2.272727,1.727273,13.863636,1.272727,0.227273,2.454545,0.454545,0.5,1,4.136364,12.5,560.545455,,,,,,,,,,,,,
OW,10.772727,12.272727,1.636364,2.363636,13.181818,9.5,17.590909,11,20.363636,6.5,44.363636,35.727273,16.545455,18.681818,12.272727,7.681818,2.545455,3.227273,8.954545,3.954545,5.318182,0.772727,1.318182,7,7.590909,221.954545,177.363636,232,157.409091,86.090909,57.636364,14.954545,20.772727,12.045455,5.954545,2.681818,8.545455,0.636364,4.454545,6.636364,5.636364,16.818182,6.272727,2.454545,2,2.272727,1.5,1.954545,4.454545,7.681818,1341.318182,,,,,,,,,,,,,
EM,104.772727,166.545455,63.727273,48.636364,78.772727,54.136364,100.454545,117.136364,118.772727,113.181818,158.318182,110.772727,138.181818,100.727273,66.863636,56.045455,46.681818,37.5,97.363636,106.045455,83.909091,40.318182,37.227273,65.045455,237.863636,22.363636,11.636364,51.5,58.954545,100.136364,138.681818,86.363636,192.590909,138.636364,51.227273,45.181818,112,28.681818,97.318182,35.454545,32.227273,43.090909,24.954545,36.590909,15.090909,12.227273,14.590909,16.318182,25.681818,98.863636,3839.363636,,,,,,,,,,,,,
