Exit stations,Entry stations->,,WEEKDAY,,,Apr 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,,
CL,79.380952,142.190476,53.666667,62.47619,181.047619,89.380952,163.142857,198,289.666667,225.428571,255.047619,25.47619,165.047619,192.52381,178.047619,87.095238,111.333333,138.857143,75.333333,56.333333,57.904762,30.952381,26.666667,46.047619,91.238095,581.47619,575.809524,497.952381,439.904762,155.52381,127.952381,59.047619,78.571429,136.47619,15.904762,72.904762,200.047619,24.285714,107.666667,21.666667,23.380952,35.095238,28.380952,93.619048,29.428571,102.952381,6430.333333,,,,,,,,,,,,,,
SL,33.333333,63.619048,33.619048,31.714286,198.095238,52.666667,136.47619,243.857143,352.761905,306.047619,230.190476,179.761905,16.809524,124.285714,153,70.952381,87.952381,132.142857,22.619048,25.428571,21,6.952381,8.619048,20.761905,47.333333,744.333333,818.333333,616,548.333333,163,96.238095,42.333333,78.333333,118.142857,10.809524,36.047619,103.47619,10.904762,31.380952,15.285714,15.47619,48.333333,11.380952,51.666667,9.952381,52.809524,6222.571429,,,,,,,,,,,,,,
BF,19.714286,43.380952,16.857143,19.714286,142.619048,38,94.190476,223.380952,306.571429,241.666667,200.285714,189.285714,124.857143,14.666667,113.095238,69.380952,91.428571,177.285714,19.857143,13.142857,14.142857,2.714286,2.571429,12.619048,34,689.571429,701.380952,582,475.142857,151.285714,85.285714,37.952381,55.904762,96.904762,11.142857,49.952381,144.47619,5.761905,20.47619,10.047619,17.238095,29.714286,11.666667,70.666667,6.047619,47.666667,5525.714286,,,,,,,,,,,,,,
HY,40.952381,78.761905,27.952381,27.47619,129.904762,34.761905,106.52381,209.619048,279.714286,153.809524,213.857143,192.190476,179.52381,115.428571,16.952381,88.571429,199.666667,277.333333,29.238095,17.761905,19.761905,5.714286,5.380952,18.666667,33.238095,495,545.190476,338.666667,312.571429,100.714286,61.857143,31.571429,38.285714,58.47619,6.47619,18.142857,71.238095,13.095238,55.809524,7.047619,12.095238,22.952381,7.571429,29.571429,11.142857,82.52381,4822.761905,,,,,,,,,,,,,,
SH,17.285714,29.238095,9,9.190476,75.619048,18.047619,53.904762,146.47619,160.333333,81.333333,94.619048,92.285714,64.190476,68.857143,78.428571,11.571429,86.52381,142.952381,8.904762,8.238095,12.619048,2.142857,1.714286,7.571429,13.666667,416.666667,393.47619,252.619048,254.47619,82.571429,41.761905,17.428571,26.380952,53.047619,7.142857,10.666667,36.761905,2.857143,15.142857,4.571429,7.714286,15.52381,8.666667,18.904762,6.714286,50.190476,3018,,,,,,,,,,,,,,
UC,17.190476,32.333333,16.238095,16.47619,150.380952,40.904762,82.333333,223.571429,199.047619,115.52381,79.333333,104.47619,95.571429,96.952381,204.714286,84.047619,19.47619,202.47619,18,19.904762,16.666667,4.714286,3.333333,10.761905,11.666667,932.761905,821.047619,361.380952,328.095238,87.714286,38.380952,15,20.904762,64.47619,5.857143,19.047619,57.380952,4.428571,21.571429,7.285714,6.238095,23.761905,3.571429,24.238095,17.714286,42.333333,4769.285714,,,,,,,,,,,,,,
FM,34.380952,70.285714,33.857143,34.238095,227.190476,36.857143,112.809524,322.666667,283,125.571429,139.238095,143.428571,140.190476,189.095238,278.47619,161.285714,233.809524,43.142857,23.333333,25.857143,27.238095,8.904762,11.666667,18.095238,13.857143,1443.190476,1215.380952,458.285714,374,113.52381,39.666667,27.666667,32.619048,60.52381,7.904762,33.52381,75,6.571429,38.047619,5.380952,9.47619,37.142857,5.428571,26.285714,24.380952,37.52381,6810,,,,,,,,,,,,,,
CN,22.142857,32.666667,20.428571,21.333333,130.809524,28.571429,163.285714,314.380952,346.047619,32.285714,40.238095,77.761905,23.190476,19.047619,30,8.47619,15.380952,25.142857,27.285714,108.333333,241.571429,83.619048,39.428571,95.047619,18.428571,912.380952,926.428571,553.857143,497.428571,146.619048,91.619048,51.571429,63.380952,121.857143,27.904762,7.095238,8.47619,48.428571,303.380952,25.095238,24.952381,137.761905,33.285714,1.952381,33.904762,9.190476,5991.47619,,,,,,,,,,,,,,
PH,14.666667,18.666667,19.285714,23.190476,160.952381,29.952381,178.333333,379.714286,405.285714,24.047619,22.714286,54.619048,24.238095,13.571429,21.714286,8.238095,18.619048,25.52381,97.333333,24.380952,98.428571,48.571429,29.952381,123.47619,10.333333,1680.52381,1809.428571,651.857143,620.380952,174.619048,82.047619,94.571429,51.857143,80.047619,14.047619,5.285714,4.238095,36.190476,131.761905,24.52381,29.952381,171.380952,24.333333,3.333333,46.47619,10.952381,7623.619048,,,,,,,,,,,,,,
WC,23.428571,32.714286,25.666667,26.238095,122.52381,19.619048,153.571429,330.380952,303.952381,26.904762,36.238095,56.761905,22.47619,14.904762,18.619048,13.333333,14.380952,25.952381,272.714286,107.904762,24.095238,54.47619,40.095238,148,18.571429,1377.095238,1390.333333,546.571429,469.380952,127.285714,66.380952,56.904762,48.666667,73.47619,18,3.952381,6,56.047619,228.333333,23.142857,25.285714,179.666667,26.47619,1.952381,45.380952,9.285714,6713.142857,,,,,,,,,,,,,,
LF,6.952381,10.666667,6.714286,7.952381,75.619048,7.333333,45.52381,156.619048,135,10.190476,16.190476,28.47619,7.428571,1.761905,4.619048,2.714286,5.952381,8.238095,95.190476,58.380952,55.714286,12.714286,15,69.904762,4.428571,869.428571,797.619048,264.857143,256.47619,53.47619,38.238095,19.761905,12.904762,23.47619,4.761905,1.714286,1.190476,13.666667,52.761905,4.952381,7.428571,99.428571,10.333333,1,25,1.380952,3409.142857,,,,,,,,,,,,,,
OR,7.52381,12,7.142857,7.809524,50.238095,6.714286,42.714286,112.285714,116.904762,9.904762,16.666667,24.619048,7.857143,2.666667,5.571429,1.714286,3.285714,12.333333,41.190476,25.904762,38.285714,18.095238,10.952381,51.619048,2.52381,760.714286,718.238095,241.809524,225.857143,59.380952,30.571429,25,15.714286,20.428571,2.428571,3.619048,2.190476,6.666667,23.904762,10.190476,7.142857,78.761905,9.238095,0.904762,15.333333,2.904762,2897.52381,,,,,,,,,,,,,,
RR,24.571429,34.047619,25.952381,17.333333,47.619048,12.190476,54.952381,202.333333,184.714286,28.047619,44.761905,45.380952,20.428571,9.428571,15.238095,11.142857,10.47619,21.285714,90.904762,117.047619,139.380952,70.714286,58.857143,20.428571,17.333333,1097.571429,1178.714286,555.666667,667.095238,219.47619,111.142857,53,48.904762,43.333333,5.666667,4,10.619048,25.190476,64.333333,10.285714,10.761905,144.761905,25.095238,5.666667,21.952381,8.666667,5636.47619,,,,,,,,,,,,,,
OW,23.714286,34.809524,10.857143,10.952381,66.809524,25.285714,51,61.333333,99.52381,27.380952,93.47619,94.380952,45.47619,35,32.428571,14.285714,12.857143,13.095238,17.190476,8.952381,16.571429,4.285714,2.904762,19.190476,21.904762,1751.952381,1549.238095,1054.380952,882.857143,376.380952,221.714286,58.714286,78.047619,68.761905,11.47619,10,24.904762,6.714286,41,14.285714,25.666667,107.380952,34.428571,9.857143,9.095238,12.333333,7192.857143,,,,,,,,,,,,,,
EM,525.809524,1138.285714,725.238095,722,1164.238095,954.285714,1321.47619,1825.047619,1660.952381,1207.285714,1176.761905,668.142857,974.666667,897.333333,629.428571,533.190476,1062.809524,1666.095238,1154.142857,2179.333333,1657.619048,1017,889.285714,1234.571429,2219.619048,179.333333,127.095238,492.380952,604.047619,1123.380952,1766.571429,1263.095238,1540.238095,1357.571429,875.904762,668.428571,2504.52381,630.47619,1067.47619,635.952381,641.47619,450.095238,1069.857143,981.666667,176.333333,781.666667,48142.190476,,,,,,,,,,,,,,
MT,464,1022.666667,666.047619,663.190476,895.761905,832.238095,1193.952381,1497.047619,1201.857143,1106.47619,1064.380952,579.809524,840.809524,735.380952,601.52381,443.47619,853.047619,1218.809524,979.238095,1829.047619,1320,720.571429,675.571429,1056.761905,1718.952381,150.761905,164.190476,179.952381,546.52381,1433.952381,2400,1650.428571,2555.190476,1976.52381,1174.095238,574.571429,1881.619048,540.52381,917.142857,867.952381,792.761905,473.857143,1477.333333,757.857143,120.904762,735.666667,45552.428571,,,,,,,,,,,,,,
PL,378.761905,666.285714,325.047619,338.428571,618.52381,386.952381,679.571429,802.761905,793.952381,603.809524,723,435.571429,491.428571,461.47619,275.952381,217.190476,290.285714,381.809524,440.142857,489.809524,423,201.285714,181.857143,407.619048,966.047619,758.190476,312.666667,115.619048,331.142857,1235.809524,1615.952381,1061.809524,1974.904762,1218,564.190476,242.238095,667.666667,250.428571,605.857143,430.47619,398.904762,1170.285714,684.857143,260.380952,135.619048,266.809524,26282.380952,,,,,,,,,,,,,,
CC,325.619048,639.380952,372.428571,408.285714,607.571429,498.380952,777.428571,887.190476,757.904762,591,743.809524,369.428571,458.52381,408.333333,297.095238,221.904762,301.571429,345.904762,415.285714,526.809524,389.666667,208.904762,190,540.095238,870.52381,614.285714,571.142857,295.333333,71.285714,582.52381,971.47619,763.333333,1279.142857,807.52381,505.904762,236.190476,620.666667,262.285714,557.52381,419.47619,363.47619,467.285714,602.380952,244.333333,67.190476,221.47619,22677.285714,,,,,,,,,,,,,,
16,154.47619,223.666667,113.904762,155.190476,330.809524,224.428571,347.857143,421.47619,284.904762,234.47619,278.571429,148.571429,136.52381,134.904762,86.571429,80.142857,69.238095,92.428571,107.857143,139.714286,98.666667,42.857143,46.714286,179.714286,372,1147.904762,1502.809524,1437.333333,635.619048,34.285714,214.428571,302.809524,609.428571,310.428571,150.714286,62.619048,176.666667,72.904762,183.190476,124.428571,136,200.857143,244.761905,68.47619,23.857143,44.809524,12190,,,,,,,,,,,,,,
24,159.666667,174.190476,60.047619,89,261.952381,118.952381,216.952381,305.857143,277.190476,148.190476,202.809524,125,83.47619,75.619048,60.761905,41.714286,35.380952,34.285714,77.714286,72.095238,56.904762,34.47619,32.619048,98.52381,225.285714,1572.238095,2057.571429,1879.47619,1008,222.952381,40.904762,254.190476,572.904762,256.047619,127.857143,23.619048,74.428571,38.095238,146.761905,93.809524,122.095238,165.47619,208.333333,33.52381,24.619048,23.095238,12014.666667,,,,,,,,,,,,,,
GP,42.761905,69.666667,26.714286,27.761905,132.952381,34.571429,72.952381,154.666667,161.809524,55.904762,71.142857,57.380952,38.333333,29.285714,24.047619,12.190476,13.333333,24.190476,38.47619,46.047619,43.904762,16.47619,18.095238,40.952381,69.047619,1126.238095,1366.571429,1173.142857,691.190476,308.333333,247.047619,26.761905,127.809524,69.190476,54.285714,18.952381,67.809524,18.47619,71,38.666667,54.142857,110.285714,130.333333,23.952381,12.380952,12,7071.238095,,,,,,,,,,,,,,
BP,63.666667,88.47619,35,32.952381,108.285714,42.809524,82,119.190476,165.904762,81.095238,82.857143,67.142857,65.52381,45.619048,32.190476,25.857143,19.238095,27.333333,51.809524,40.47619,38.285714,10.285714,13.285714,42.380952,86.666667,1328.809524,1750.047619,2281.619048,1175.952381,548.857143,538.333333,115.238095,37,97,78.952381,24.047619,65.857143,21.238095,82.714286,72.047619,91.52381,104.095238,149,21.47619,7.428571,10.952381,10070.52381,,,,,,,,,,,,,,
DC,101.571429,190.857143,59.761905,50.333333,135.47619,60.238095,94.52381,149.571429,207.952381,135,157.952381,147.047619,126.52381,93.095238,61.571429,54.52381,61.714286,71,119.857143,85.761905,73.52381,26.047619,20.952381,41,86,1284.047619,1754.761905,1389.428571,783.857143,318.714286,285.809524,66.809524,112.142857,27.047619,45.857143,37.761905,126.428571,68.904762,163.333333,81.238095,116.52381,194,286.619048,56.619048,15.571429,34.904762,9662.238095,,,,,,,,,,,,,,
CM,12,26.52381,4.666667,5.238095,39.52381,9.238095,23.714286,68.714286,117.380952,9.714286,9.238095,13.809524,8.952381,8.952381,4.761905,5.142857,5.095238,4.904762,28.095238,11.666667,17.142857,6.571429,3.333333,5.142857,12.809524,860.238095,1030.714286,653.428571,472.047619,141.809524,121.714286,46.904762,80.714286,37.857143,12.857143,3.857143,16.142857,6.571429,33,19.666667,45.904762,130.952381,84,4.333333,1.761905,0.904762,4267.714286,,,,,,,,,,,,,,
CV,4.380952,7.285714,4.428571,8.333333,53.142857,8.952381,17.238095,70.714286,105.142857,113,51.52381,73.380952,39.47619,52.285714,28.428571,12.904762,20.190476,39.666667,7.190476,4.333333,5.238095,2.380952,2.952381,4.285714,10.619048,531.904762,569.619048,292.238095,254.095238,77.904762,29.380952,22.904762,21.857143,40.142857,3.619048,10.809524,100.142857,1.380952,3.666667,3.190476,6.666667,23.047619,6.095238,66.904762,8.47619,14.428571,2835.952381,,,,,,,,,,,,,,
ED,17.761905,26.190476,13.714286,14.380952,123.952381,24.952381,62.952381,229.095238,234.428571,182.904762,133.380952,193.571429,95.47619,139.666667,61.761905,33.380952,54.857143,69.666667,6.619048,4.571429,8,1.47619,2.047619,9.380952,24.52381,2046.904762,1832.285714,762.952381,671.047619,229.857143,86.047619,71.095238,76,127.428571,15.857143,110.571429,44.047619,1.761905,10.428571,22.904762,13.619048,132.52381,18.52381,41.333333,75.714286,19.428571,8179.047619,,,,,,,,,,,,,,
NC,2.666667,8.666667,4.47619,5.238095,49.761905,6.857143,61.380952,163.809524,166,9.095238,9.380952,22.714286,9.904762,5.571429,10.619048,2.761905,4.571429,6.904762,43.571429,32.571429,56.285714,13.47619,4.714286,28.52381,7.047619,487.47619,494.380952,290.095238,288.52381,78,45.619048,24.142857,27,59.809524,6.333333,1.428571,1.714286,11,49.333333,10.761905,16.857143,61.761905,11.428571,0.52381,12.952381,2.52381,2718.238095,,,,,,,,,,,,,,
WP,38.904762,29.857143,13.428571,16.619048,102.380952,29.52381,262.380952,271.380952,348.428571,51.190476,52.666667,101.904762,30.857143,22.571429,58.52381,17.619048,19.333333,36.809524,307.190476,136.142857,231.238095,49.047619,25,71.619048,42.857143,822.714286,776.47619,722.47619,670.190476,228.571429,173.857143,91.52381,98.142857,160,36.380952,3,9.380952,54.857143,38.095238,43.857143,48.238095,198.428571,39.47619,4.904762,37.571429,21,6646.619048,,,,,,,,,,,,,,
SS,10.952381,31.571429,7.095238,10.333333,36.619048,9.904762,29.238095,68.47619,85.666667,10.047619,15.809524,22.714286,15.857143,10.809524,7.571429,4.952381,7.380952,5,25.714286,24.904762,21.904762,4,10.714286,11.571429,15.619048,614.380952,775.904762,465.47619,408.190476,123.190476,102.190476,35.47619,76.809524,85.666667,15.857143,2.380952,23.333333,11.714286,42.904762,13.142857,22.619048,53.095238,67.238095,8.761905,1.952381,1.952381,3456.666667,,,,,,,,,,,,,,
SB,18.571429,44.333333,11.857143,9.333333,42.142857,14.428571,25.809524,67.047619,84.714286,20,24.333333,26.619048,16.238095,17.095238,13.571429,5.761905,3.761905,9.47619,23.571429,28.904762,23.666667,6.428571,7.904762,10.47619,26.285714,632.095238,729.952381,456.380952,354.333333,143.047619,122.904762,61.714286,114.809524,133.666667,42.047619,6.571429,14.619048,15.047619,46,26.952381,14.571429,62,47.47619,4.809524,4.857143,1.761905,3617.952381,,,,,,,,,,,,,,
SO,54.047619,116,73.904762,95.428571,139.428571,63.761905,120.047619,101.904762,124.190476,42.619048,69.333333,35.52381,44.904762,26.190476,20.952381,18.190476,20.809524,28.714286,141.47619,181.142857,187.095238,99.047619,90.142857,139.142857,124.52381,413.095238,446.333333,784.095238,379.095238,171.761905,137,94.428571,107.619048,179.904762,132.714286,22.238095,125.238095,65.809524,199,49.428571,52.666667,55.857143,247.380952,37.047619,16.904762,14.761905,5890.904762,,,,,,,,,,,,,,
MB,30.428571,67.47619,29.47619,40.238095,150.857143,34.904762,65.52381,130.190476,136,19.47619,31.190476,22.47619,11,11.714286,8.380952,6.047619,3.904762,4.52381,29.714286,23.666667,23.238095,10.142857,10.52381,21.333333,34.428571,1011.809524,1282.571429,677.619048,526.809524,218.238095,182.380952,121.619048,158.809524,280,80.809524,3.857143,18.714286,11.047619,39.619048,66.904762,36.666667,267.714286,38.761905,5.047619,6.333333,0.809524,5993,,,,,,,,,,,,,,
WD,5.238095,16.666667,10.761905,8.952381,50.952381,12.52381,28.714286,111.190476,126.333333,95.47619,67.714286,92.142857,49.809524,75.285714,34.333333,19.095238,24.952381,28.142857,2.666667,3.571429,2.428571,1.190476,1.095238,5.095238,11,864.857143,811.714286,328.333333,296.52381,87,39.761905,25.904762,27.714286,60.904762,5.047619,77.571429,35.285714,0.428571,4.761905,8.904762,4.857143,50.047619,5.761905,15.190476,36.52381,6.809524,3679.238095,,,,,,,,,,,,,,
OA,11.666667,33.333333,31.904762,38.52381,64.666667,24.52381,31.619048,41.095238,49.238095,20.857143,11.095238,34.619048,7.714286,4.571429,11.571429,7.095238,17.047619,25.571429,34.238095,50.142857,38.142857,21.619048,13.666667,17.571429,7.571429,179.904762,138.571429,112.095238,76.47619,28.095238,24,14.333333,10.571429,13.571429,2.285714,6.761905,70.095238,12.761905,32.952381,2.857143,3.761905,23,5.619048,35.095238,8.428571,10.666667,1461.571429,,,,,,,,,,,,,,
WS,12.714286,28.857143,12.666667,13.714286,104.190476,21.52381,31.666667,103.857143,93.47619,87.904762,64.809524,102.809524,47.52381,49.190476,71.952381,41.285714,39.428571,29.666667,8.761905,10,7.238095,1.809524,3.142857,8.761905,14.47619,671.190476,711.666667,297.095238,238.190476,51.52381,20.095238,14.714286,16.047619,36.714286,0.952381,10.190476,16.666667,3.142857,20.809524,2.190476,1.619048,18,1.142857,7.52381,12.285714,27,3190.190476,,,,,,,,,,,,,,
Entries,4268.571429,8156.285714,4798.571429,4268.904762,11368.428571,5371.809524,8726.809524,13264.238095,13337.095238,7200,7987.142857,6370.52381,6166.952381,5595.380952,4855.047619,3172,4818.285714,6815.761905,6030.809524,7849.190476,6565.761905,3319.52381,2892.142857,5247.761905,7807.047619,41088.142857,43533.428571,29813.761905,24718.190476,12559.142857,12531.619048,7674.238095,11342.047619,9710.952381,4426.857143,2876.761905,8488.619048,2870.857143,6666.904762,3542.047619,3579.285714,6584.047619,6444.857143,3526.666667,1515.714286,3282.714286,413030.904762,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
