Exit stations,Entry stations->,,WEEKDAY,,,Jul 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL,31.681818,30.272727,7.909091,8.818182,27.227273,15.5,37.090909,31.045455,45.090909,41.090909,76.772727,6.954545,40.090909,49.5,35.545455,26.681818,16.727273,19.636364,7.863636,7.136364,5,2.545455,2.5,8.090909,29.090909,75.363636,72.727273,92.818182,82.727273,47.772727,40.545455,15.272727,14.863636,11.045455,2.954545,11.454545,23.409091,1.5,9.954545,2.636364,5.818182,5.181818,3.454545,7.818182,6.045455,14.272727,3.909091,6.954545,4.181818,14.409091,1186.954545,,,,,,,,,,,,,
SL,12.318182,17.409091,6.772727,6.590909,21.272727,12.863636,23.227273,29,52.636364,66.772727,89.954545,44,4.318182,38.045455,37.818182,41,25.318182,19.772727,6.136364,2.863636,3.227273,2.818182,3.454545,7.272727,20.318182,92.590909,91.681818,103.909091,81,38.272727,27.454545,8,10.272727,12.409091,4.954545,13.636364,23.954545,0.954545,3.272727,3,2.181818,8.772727,3.318182,12.772727,2.772727,10.590909,2.636364,5.727273,3.5,5.454545,1168.272727,,,,,,,,,,,,,
BF,6.772727,10,3.227273,5.272727,17.409091,9.5,21.772727,28.045455,44.545455,51.727273,77.909091,48.090909,41.409091,5.954545,28.545455,25.545455,22.136364,33.863636,6.772727,2.545455,3.727273,0.409091,1.909091,4.272727,17.227273,78.590909,80.090909,90.136364,93.090909,39.954545,24.454545,9.136364,12.045455,8.227273,3.227273,12,40,1.818182,3,2.909091,3.863636,6.454545,2.318182,16.818182,2.590909,10.681818,5.136364,4.090909,1.5,2.045455,1072.772727,,,,,,,,,,,,,
HY,9.181818,12.909091,2.863636,7.181818,13.5,7.227273,20.5,27,33.363636,27.954545,67.772727,36.090909,41.590909,29.590909,4.045455,27.772727,41.045455,46.545455,5.454545,2.863636,4.409091,1.727273,0.545455,5.090909,10.772727,42.454545,38.636364,59.5,49.954545,19.454545,15.909091,8.863636,7.818182,6.363636,2.363636,4.772727,18.727273,0.318182,3.272727,1.090909,2.454545,3,3.136364,4.863636,1.090909,23.545455,7.409091,9.090909,2.272727,2.681818,826.045455,,,,,,,,,,,,,
SH,8.136364,8.5,3.272727,0.909091,9.227273,2.590909,13.090909,11.727273,17.272727,23,35.454545,24.136364,31.090909,26.5,23.409091,4.636364,16,30.772727,5.636364,0.909091,2.681818,0.818182,0.727273,0.636364,9.363636,35.045455,43,43.136364,44.818182,14.409091,13.409091,3.909091,5.454545,2.636364,3.863636,6.363636,9.318182,0.454545,3.727273,2.318182,2.818182,2.045455,2.136364,7.636364,1.954545,17.727273,7,6.5,0.863636,2.772727,593.818182,,,,,,,,,,,,,
UC,3.954545,9.772727,4.636364,1.727273,12.318182,4.636364,11.545455,12.318182,20.409091,17.181818,24.772727,19.318182,24.363636,22,32.5,15.681818,2.818182,27.590909,3.090909,1.818182,3.045455,0.772727,0.272727,1.227273,2.636364,24.636364,31.136364,27.772727,41.227273,10.590909,10.5,4.181818,2.909091,4.227273,1.772727,3.772727,12.272727,0.363636,1.863636,2.545455,1.909091,1.681818,0.590909,6.590909,1.318182,20.181818,6.909091,10.045455,1.181818,2.454545,513.045455,,,,,,,,,,,,,
FM,6.954545,11.090909,3,2.954545,7.409091,2.636364,12.727273,12.136364,16.136364,16.272727,33,21.818182,24.363636,29.227273,45.818182,32.409091,70.681818,4.318182,2.409091,2.545455,0.954545,1.136364,1.272727,0.954545,4.272727,22.636364,27.318182,27.272727,31.545455,13.136364,7.545455,3.045455,3.727273,4.136364,1.818182,5.590909,9.636364,0.727273,2.272727,1.090909,2.636364,2.045455,0.954545,2.545455,2.136364,13.363636,14,15.409091,1.454545,2.363636,584.909091,,,,,,,,,,,,,
CN,8.590909,7.818182,3.681818,2.045455,5.409091,4.045455,28.318182,21.909091,29.409091,6.227273,11.363636,9.954545,5.954545,5.590909,5.772727,3.772727,2.590909,2.181818,7.090909,20.590909,48.545455,29.590909,8.954545,13.136364,5.227273,71.636364,72,91.136364,82.636364,29.909091,21.5,12.318182,10.227273,9.090909,2.727273,0.409091,2.136364,11,44.318182,4.772727,7.318182,16.181818,5.090909,0.409091,3.136364,0.5,0.818182,3.227273,33.5,27.954545,861.727273,,,,,,,,,,,,,
PH,3,4.5,3.318182,2.227273,7.045455,1.590909,23,22.318182,25.909091,4.272727,6.318182,7,2.136364,2.954545,1.545455,1.136364,2.090909,2.090909,24.090909,4.681818,15.681818,11.136364,8.818182,14.954545,3.181818,73.954545,63.5,72.363636,61.681818,22,11.863636,8.636364,2.636364,6.045455,1.681818,0.227273,1.318182,7.5,20.454545,3,5.818182,12.590909,1.409091,0.136364,4.136364,1.454545,0.318182,1.5,13.545455,7.909091,610.681818,,,,,,,,,,,,,
WC,5.545455,6.454545,3.181818,3.045455,7.818182,2.090909,22.545455,14.545455,21.863636,3.681818,10,5.909091,2.818182,3.454545,5.818182,2.227273,1.863636,1.227273,57.136364,17.818182,3.818182,13.363636,8.590909,21.727273,4.681818,45.863636,42.227273,48.863636,35.045455,14.318182,10.045455,3.409091,4.727273,9.818182,1.181818,1.227273,2.227273,9.227273,31.909091,2.454545,2.772727,11.545455,1.090909,0.181818,3.272727,0.272727,0.409091,0.863636,18.727273,19.136364,572.045455,,,,,,,,,,,,,
