Exit stations,Entry stations->,,WEEKDAY,,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
CL,76.285714,132.904762,54.666667,47.666667,168.904762,81.238095,141.52381,227.857143,331.047619,208.142857,228.142857,26.666667,169.761905,187.380952,158.904762,80.857143,102.714286,130.047619,71.761905,54.52381,55.857143,26,23.52381,36.47619,88.142857,568.761905,518.714286,471.047619,411.428571,154.857143,114.333333,56.333333,71.47619,86.952381,18.380952,58.666667,182.47619,16.333333,57,23.52381,26.857143,37.809524,26.571429,90.095238,34.333333,101.238095,0,0,21.47619,46,6105.666667,,,,,,,,,,,,,,
SL,33.904762,64.142857,29.714286,32.047619,186.190476,56.047619,126.142857,279.142857,403.428571,327.333333,231.666667,194.666667,19.333333,139.047619,152.857143,72.285714,92.857143,132.714286,28.238095,29.047619,24.333333,7.761905,7,21.142857,41,788.142857,820.809524,605.333333,537.904762,170.666667,95.666667,48.047619,64.333333,55.714286,10.714286,40.857143,109.428571,11.52381,19.571429,14.142857,16.095238,50.666667,12.47619,55.333333,9.428571,54.047619,0,0,8.666667,15.666667,6347.285714,,,,,,,,,,,,,,
BF,25.238095,41.571429,17.619048,17.761905,130.857143,33.952381,97.285714,250.619048,350.47619,251,210.809524,179.142857,127.238095,20,114.666667,67.190476,95.714286,169.142857,21.904762,10.666667,13.238095,3.380952,3.190476,12.380952,37.333333,707.619048,685.142857,555.190476,454.333333,152.47619,86.809524,35.238095,43.809524,42.47619,11.428571,63.904762,147.761905,6.380952,10.857143,9.095238,19.238095,31.761905,14.666667,78.809524,6.904762,54.142857,0,0,7.571429,8.142857,5536.142857,,,,,,,,,,,,,,
HY,27.666667,57.142857,23.666667,25.714286,118.380952,38.666667,90.952381,233.904762,314.047619,154.238095,191.190476,149.142857,145.380952,112.428571,18.333333,91.619048,182.857143,237.047619,25.142857,13.095238,20,4.714286,5.714286,18.095238,30.285714,486.619048,546.809524,331.285714,304.142857,97.952381,57.857143,34.904762,32.380952,29.333333,6.619048,21.52381,70.047619,6.428571,26.238095,5.142857,15.142857,23.190476,9.619048,35.428571,11.666667,78.714286,0,0,6,18.142857,4584.619048,,,,,,,,,,,,,,
SH,19.047619,25.52381,8.904762,10.714286,73.52381,21.047619,55.285714,154.857143,179.238095,93,85.333333,81.285714,67.190476,64.904762,79.52381,12.714286,79.47619,128.380952,9.952381,8.714286,12.333333,3,1.52381,6.809524,15.52381,430.333333,408.428571,231.47619,239.666667,75.095238,41.238095,14.47619,17.285714,24.857143,6.619048,13.285714,40.619048,1.857143,9.619048,4.333333,6.428571,16.333333,4.666667,20.380952,6.809524,49.857143,0,0,3.285714,6.714286,2971.47619,,,,,,,,,,,,,,
UC,18.857143,38.190476,18.761905,21.380952,158.380952,37.952381,82,245.380952,271.904762,139.47619,79.095238,98.666667,96.761905,98.285714,184.857143,87.714286,22.857143,209.142857,19.857143,22.095238,15.428571,5.047619,4,10.52381,14.571429,947.095238,820.142857,367.190476,334.571429,91.333333,39.047619,12.619048,21.52381,28.047619,5.238095,21.52381,67.285714,3,12,6.952381,4.904762,26.809524,4.666667,24.428571,17.285714,48.571429,0,0,5.095238,8.952381,4919.47619,,,,,,,,,,,,,,
FM,33.285714,66.952381,32.904762,29.857143,247.142857,42.333333,116.333333,367.619048,385.666667,158.857143,145.238095,131.571429,135.238095,181.095238,248.142857,138.666667,235.047619,55.761905,26.047619,28.047619,24.619048,8.904762,12.047619,17.285714,17.857143,1469.666667,1187.047619,475.333333,377.333333,117.52381,41.428571,25.52381,31,33.952381,8.666667,29.190476,75.047619,5.142857,19.952381,6.666667,9,44.190476,5.190476,25.142857,28.571429,45.238095,0,0,4.190476,13,6964.52381,,,,,,,,,,,,,,
CN,22.904762,26.52381,17.190476,20.809524,112.761905,26.666667,162.142857,337.47619,369.619048,36.857143,43.714286,66,28.714286,19.809524,23.380952,9.666667,18.333333,29.190476,30.285714,104.428571,242.428571,73.52381,38.285714,90.761905,20.142857,902.095238,886.52381,530.666667,469.571429,142.52381,87.333333,53.095238,53.047619,56.714286,26.238095,5.666667,10.047619,47.095238,167.52381,25.47619,27.238095,151.857143,35.952381,2.714286,36,10.47619,0,0,75.809524,90.571429,5865.857143,,,,,,,,,,,,,,
PH,16.333333,18.809524,18.619048,24.904762,154.809524,31.095238,189.142857,411,440.52381,23.190476,22.380952,49.571429,28.571429,11.380952,16.095238,7.666667,22.238095,29.380952,91.285714,31.047619,107.857143,51.190476,33,119.714286,13.190476,1687.47619,1731,640.52381,598.142857,186.047619,82.095238,93.380952,41.952381,45.904762,14.571429,3.571429,5.428571,36.714286,78.761905,23.714286,33.666667,197.142857,26.285714,3.095238,49.238095,11.761905,0,0,27.571429,38.571429,7619.619048,,,,,,,,,,,,,,
WC,22.238095,34,25.571429,24.095238,134.571429,26.857143,162.952381,360.047619,348.47619,32.095238,36.952381,53.142857,26.761905,14.952381,21.809524,12.666667,12.809524,25.142857,277.285714,109.952381,31.952381,65.857143,41.904762,163.047619,22.761905,1452.47619,1397.809524,526.142857,485.142857,128.47619,71.761905,60.190476,43,56.619048,16.857143,3.952381,6.714286,53.761905,146.047619,22.142857,27.52381,189.666667,30.857143,3.047619,51.47619,6.666667,0,0,40,90.095238,6998.333333,,,,,,,,,,,,,,
