Exit stations,Entry stations->,,WEEKDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL,26.666667,25.277778,9.611111,10.444444,27.944444,15.722222,36,30.111111,48.666667,36.888889,70.111111,11.166667,46.444444,51.222222,42.888889,20.833333,16.611111,18.166667,10.333333,4.833333,7.722222,2.666667,1.388889,5.166667,28.111111,82.388889,80.388889,114.944444,94.333333,45.277778,40.5,14,18.444444,18.666667,3.666667,11.888889,25.388889,1.777778,9.722222,2.555556,6,8.277778,3.055556,11.166667,6.611111,12.666667,3.944444,8,5.277778,12.944444,1246.888889,,,,,,,,,,,,,
SL,16.111111,17.444444,7.888889,5.388889,21.777778,14.222222,24.722222,24.777778,51.666667,73.166667,97.722222,50.055556,7.5,41,47.166667,38.333333,21.611111,19.888889,5,5.333333,3.611111,2.5,2.222222,6.277778,18.611111,105.666667,110.388889,139.277778,92.055556,46.055556,35.944444,13.777778,12.833333,12.388889,3.611111,15.111111,35.277778,1.277778,3.833333,4.777778,2.388889,7.722222,2.333333,16,3,16.222222,6.055556,6.222222,4.444444,4.944444,1325.611111,,,,,,,,,,,,,
BF,9.888889,11.444444,3.666667,6.611111,17.333333,7.5,21.944444,33.666667,43.166667,60.5,81.833333,59.777778,39.833333,6.611111,30.777778,26.166667,19.111111,28.5,6.611111,4.5,4.444444,1.833333,2.055556,3.5,19.5,83.388889,90.5,110.055556,101.388889,42.277778,27.833333,10.5,16.444444,10.055556,3.166667,10.777778,44.833333,1.722222,4.388889,3.222222,4.888889,7.222222,3.777778,20.388889,1.611111,19.111111,5.666667,7.444444,1.055556,2.388889,1184.888889,,,,,,,,,,,,,
HY,11,12.611111,2.611111,7.888889,15.444444,6,17.277778,26.611111,36,34.222222,65.722222,46.611111,52.444444,30,5.333333,27.444444,47.277778,53.055556,6.944444,3.5,4.111111,2.944444,1.333333,4.444444,12.5,54.666667,43.055556,73.277778,50.111111,23.888889,18.555556,9.944444,8.444444,9.555556,1.777778,5.055556,19.388889,1.5,3.333333,3.111111,5.333333,4.611111,3.444444,7.333333,1.333333,28,12.722222,11.166667,2.611111,4.722222,940.277778,,,,,,,,,,,,,
SH,7.888889,5.833333,3.944444,2.555556,10.166667,2.666667,12.388889,13,16.888889,17.555556,32.666667,20.5,31.722222,28.055556,27.333333,4.833333,16.888889,27.888889,3.611111,0.944444,1.555556,0.833333,0.666667,1.166667,9.111111,45.722222,47.5,47.611111,40.944444,17.444444,16.333333,5.888889,3.666667,3.055556,1.833333,4.888889,10.722222,0.555556,2.722222,3.222222,1.555556,3.333333,2.111111,9.333333,2.111111,20.666667,8,8.611111,1.333333,3.777778,613.611111,,,,,,,,,,,,,
UC,6.666667,9,4.888889,0.944444,12.666667,6.277778,13.777778,15.944444,22.5,19.166667,31.833333,20.111111,24.777778,17.333333,38.722222,19.222222,5.333333,25.611111,3.722222,0.833333,1.333333,1.277778,0,2.555556,4,36.888889,35.166667,34.5,43.722222,13.277778,11.055556,1.944444,2.833333,3.944444,1.5,4.222222,12.5,0.166667,2.944444,1.166667,0.888889,3.888889,1.055556,7.555556,1.833333,26.333333,12.888889,8.888889,1.333333,2,581,,,,,,,,,,,,,
FM,6.388889,10.777778,4.611111,1.777778,8.388889,1.888889,14.111111,9.833333,19.5,19.555556,35.833333,23.777778,23.722222,29.5,55.222222,27.222222,55.111111,5.111111,3.944444,3.166667,1,0.222222,1.055556,0.611111,3.833333,30.222222,31.611111,32.777778,29.611111,15.666667,8.944444,1.888889,3.944444,4.944444,1.666667,5.555556,10.722222,0.444444,2.611111,0.888889,3.111111,3.555556,0.555556,2.333333,2.666667,11.944444,18.5,15.666667,1,2.166667,609.166667,,,,,,,,,,,,,
CN,8.722222,8.666667,3.944444,2.833333,8.555556,4.333333,23.944444,23.777778,28.833333,5.111111,13.222222,10.944444,5.722222,5.777778,7.166667,1.888889,3.277778,2.722222,8.277778,21.833333,56.111111,30.111111,10.333333,16.388889,6.444444,78.277778,75.555556,119,105.277778,32.388889,32.5,13.055556,11.388889,7.888889,5.5,0.5,2.222222,11.611111,42.055556,5.333333,9.166667,23.944444,5.166667,1.5,6.888889,1.166667,2.111111,2.166667,36.277778,36.444444,986.333333,,,,,,,,,,,,,
PH,2.888889,4.888889,2,2.388889,7.166667,4.444444,24,23.555556,29.611111,6.333333,5,4.722222,5.222222,4.333333,2.444444,0.944444,0.722222,2.944444,24.666667,4.166667,18.277778,12,6.388889,13.5,4.111111,77.333333,77.166667,85.5,68.944444,27.888889,15.5,9.166667,3.611111,4.777778,2.5,0,1.166667,5.944444,22.666667,2,5.444444,18.555556,2.111111,0.388889,5.111111,1.666667,1,1.777778,15.944444,11.611111,684.5,,,,,,,,,,,,,
WC,8.277778,7.055556,3.722222,4.611111,8.722222,2.666667,24.055556,21.222222,24.666667,4.611111,10.166667,6.611111,3,5.5,4.833333,1.888889,1.333333,1.222222,62,19.722222,4.555556,13.611111,9.555556,18.333333,5.111111,47.555556,61.277778,59,49.388889,20,13.333333,2.722222,4.333333,8.611111,2.388889,1.055556,1.166667,9.333333,39.055556,2.444444,3.277778,18.222222,2.555556,0.277778,4.777778,1.166667,0.555556,1.888889,19.388889,25.055556,675.888889,,,,,,,,,,,,,
