Exit stations,Entry stations->,,WEEKDAY,,,Sep 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL,36.090909,45.545455,20.454545,22.818182,70.954545,30.272727,81.909091,64,77.863636,82.409091,131.772727,21.454545,76.909091,81.636364,73.045455,39.181818,33.863636,35.636364,20.863636,18.272727,13,9.454545,9.772727,18.5,52.318182,145.090909,117.772727,151.545455,130.454545,65.636364,68.181818,16.909091,27.090909,30.590909,5.409091,23.045455,70.454545,5.090909,12.227273,5.909091,8.136364,16.318182,6.318182,23.181818,20.636364,28.272727,16.318182,27.045455,7.681818,24.409091,2221.727273,,,,,,,,,,,,,
SL,17.954545,27.136364,13.5,12.090909,66.590909,18.818182,50.636364,46.136364,85.818182,113.681818,124.090909,81.136364,15.5,68.227273,74.909091,51.909091,33.545455,38.272727,12.590909,8.272727,8.636364,2.818182,3.136364,8.954545,23.090909,203.181818,187.681818,210.727273,162.636364,60.045455,53.681818,17.363636,28.818182,31.772727,3.545455,24,46.454545,1.954545,7.818182,5.590909,6.045455,18.590909,3.272727,26.727273,7.045455,28.227273,10.318182,18.5,5.227273,14.5,2191.181818,,,,,,,,,,,,,
BF,12.318182,18.318182,8.136364,5.863636,46,12.363636,34.409091,40.363636,61.363636,81.045455,132.363636,83.636364,63.409091,13.318182,51.409091,37.727273,35.772727,46.227273,11.5,4.454545,5.318182,2.045455,3.909091,7.409091,20.272727,161,147.5,188.636364,121,53.181818,30.636364,13.818182,19.318182,24.545455,3.409091,20.227273,49.818182,2.636364,4.181818,6.318182,6.363636,13.181818,3.045455,23.363636,4.409091,25.590909,12.454545,16.090909,3,4.363636,1797.045455,,,,,,,,,,,,,
HY,16.545455,30.318182,11.272727,10.545455,45.363636,13,31.318182,38.409091,60.863636,53.545455,105.090909,72.909091,84.772727,48.045455,10.681818,46.818182,101.272727,84.181818,12.590909,6.5,7.545455,1.590909,2.272727,5.909091,21.227273,98.863636,81,95.545455,79.727273,30.636364,25.818182,10.772727,14.409091,19.863636,2.590909,9.863636,31.136364,2,8.181818,3.227273,5.727273,6.863636,3.909091,12.272727,5.545455,41.681818,27.590909,33.5,3,12.318182,1588.636364,,,,,,,,,,,,,
SH,9.136364,8.045455,5.5,2.727273,33.909091,6.363636,19.5,21.909091,33.818182,31.863636,55.045455,32.090909,57.5,34.272727,46.227273,5.545455,25.136364,34.454545,3.863636,1.636364,3.863636,0.590909,0.636364,1.954545,11.818182,80.545455,73.363636,71.636364,57.727273,20.772727,23.818182,5.590909,7.545455,13.863636,2.409091,7.454545,13.136364,1.136364,3.272727,3.181818,2.090909,6.5,2.045455,9.545455,3.818182,30.954545,17.636364,18.909091,0.636364,4.727273,969.727273,,,,,,,,,,,,,
UC,8.909091,10.636364,6.181818,4.454545,60.909091,9.590909,20.909091,24.863636,38.454545,35.727273,40.545455,35.727273,39.5,34.818182,94.545455,25.090909,7.954545,41.409091,4.954545,2.227273,5.090909,1,0.818182,5.681818,7.545455,85.454545,69.363636,66.090909,62.772727,27.136364,12.636364,4.590909,8.090909,14.772727,3.772727,4.863636,20.909091,0.454545,2.590909,1.227273,1.409091,9.181818,0.681818,9.909091,8.590909,36.590909,27.909091,40.363636,2.863636,6.363636,1096.136364,,,,,,,,,,,,,
FM,8.318182,15.772727,8.318182,7.590909,53.545455,10,22.318182,20.363636,30.954545,32.272727,52.954545,34.454545,42.181818,47.954545,80.590909,42.863636,39.954545,12.136364,5.636364,3.454545,2.772727,0.590909,1.590909,4.272727,3.954545,82.363636,66.409091,64.318182,63.181818,22.272727,14.454545,6.818182,8.090909,14.272727,3.272727,9.045455,14.318182,1,3.636364,1.136364,1.090909,10.5,0.772727,5.454545,11.681818,28.863636,38.5,46.136364,1.636364,3.954545,1108,,,,,,,,,,,,,
CN,11.181818,12.5,7.545455,5.318182,34.727273,7.272727,41.863636,42.272727,53.954545,12.090909,18.363636,20.318182,13.5,11.818182,13.727273,4.181818,4.909091,6.090909,23.181818,35.363636,92.545455,44.772727,11.681818,35.363636,10.409091,154.727273,147.590909,169.318182,140.363636,49.545455,40.863636,20.590909,15.409091,24.772727,8.045455,1.954545,5,16.818182,72.863636,5.409091,10.045455,54.681818,7.5,2.590909,14.409091,1.909091,6.136364,3.909091,48.136364,63.818182,1661.363636,,,,,,,,,,,,,
PH,4,6,3.045455,5.090909,44.818182,6.272727,37.454545,41.636364,51.772727,8.409091,8.272727,16,7.363636,5.954545,6.545455,1.454545,2.363636,4.318182,35.590909,10.090909,40.227273,16.772727,13.318182,37.045455,5.636364,208.181818,186.454545,139.454545,115.590909,34.545455,24.681818,16.590909,10.863636,18.636364,2.863636,0.681818,2.409091,11.5,33,3.863636,9.545455,57,4.5,0.227273,22.136364,2.954545,1.681818,2.409091,17.590909,26.272727,1373.090909,,,,,,,,,,,,,
WC,11.681818,11.090909,6.590909,9.272727,37.590909,5.363636,39.681818,50.636364,58.954545,8.363636,19.5,11.545455,8,6.5,6.181818,4.045455,5.363636,2.409091,101.136364,42,9.090909,24.545455,16.5,46.909091,10.272727,187.090909,156.681818,103.727273,119.545455,41.363636,23.681818,11.272727,9.909091,19.272727,5.5,2.954545,2.590909,17.454545,51.409091,7.590909,5.954545,60.909091,5.090909,0.409091,17.909091,0.818182,1.727273,4.363636,22,41.545455,1474,,,,,,,,,,,,,
LF,5.318182,3.318182,3.5,3.045455,17.136364,2.090909,16.045455,29.090909,21,2.227273,8.863636,8.272727,2.636364,2,1.636364,0.409091,0.636364,0.272727,57.090909,20.409091,26.681818,6.863636,9.272727,25.681818,1.863636,137.772727,105.363636,50.772727,51,20.818182,15.318182,5.136364,2.818182,5.681818,1.954545,0.454545,1.681818,2.454545,13.045455,1.090909,2.909091,37.045455,2.045455,0.136364,9.454545,0.5,0.909091,1.090909,8.454545,9.227273,762.5,,,,,,,,,,,,,
OR,4.454545,4.590909,1.681818,5.636364,14.636364,0.636364,11.227273,14.909091,21,3.363636,10.5,8.181818,2.772727,3.409091,2.227273,0.5,0.863636,1.363636,14.272727,10.909091,15.409091,7.409091,5.318182,21.272727,2.681818,111.636364,91.636364,43.181818,44.181818,14.409091,7.772727,5.318182,3.909091,7.045455,1.818182,1.5,0.454545,1.136364,5.545455,0.727273,0.727273,26.863636,1.5,0.090909,5.863636,0.363636,0.636364,1.636364,4.863636,5.045455,577.090909,,,,,,,,,,,,,
RR,8.954545,13.727273,14.181818,7.818182,9.045455,2.954545,24.227273,52.136364,34.909091,7.681818,24.818182,13.863636,10.954545,7.363636,7.636364,1.727273,4.863636,5.045455,34.227273,42.636364,42.318182,26.090909,27.863636,10.272727,12.545455,172.818182,151.590909,111.909091,132.272727,66.5,38.454545,20.272727,30.681818,13.045455,1.727273,2.045455,2.681818,7.727273,18.5,2.954545,4.681818,51.727273,4.454545,0.727273,7.409091,1.909091,3.045455,2.272727,8.363636,22.136364,1327.772727,,,,,,,,,,,,,
OW,11.772727,15.636364,4.909091,5.5,36.318182,9.727273,26.045455,18.636364,33.454545,12.181818,60.318182,51.227273,21.772727,19.318182,18.863636,10.954545,7.409091,4.090909,10,5.954545,8.909091,2.545455,1.454545,12.954545,13.954545,403.227273,284.454545,303.772727,244.409091,124.318182,89.909091,21.318182,35.909091,22,6.954545,5.090909,12.136364,1.681818,8.727273,10.590909,9.818182,42.772727,12.090909,3.681818,5.681818,4.227273,1.545455,4.363636,4.227273,12.727273,2099.545455,,,,,,,,,,,,,
EM,152.227273,305.954545,139.409091,134.818182,252.454545,141.409091,258.5,288.636364,271.272727,219.954545,273.772727,161.227273,233,186.181818,120.545455,101.454545,96.136364,95.727273,191,253.545455,216.818182,161.272727,128.136364,204.090909,454.681818,69.954545,15.181818,77.863636,103.227273,201.409091,310.5,191.454545,299.818182,255.409091,100.545455,92.545455,274.090909,56.272727,148.5,71.409091,59.136364,139.590909,69.272727,98.909091,46.272727,29.727273,33.909091,54.136364,37.136364,177.318182,8055.818182,,,,,,,,,,,,,
MT,147.909091,263.772727,112.318182,107.545455,199.590909,110.227273,232.5,256.727273,224.590909,189.272727,239.863636,130.5,212.181818,178.590909,97.863636,81.227273,79.454545,81.954545,166.772727,194.272727,170.409091,107.227273,93.636364,163.545455,329.590909,17.090909,58.363636,23.818182,86.863636,247.772727,396.772727,267.181818,528.590909,330,131.954545,102.181818,184.409091,51.409091,149.636364,99.5,93.090909,152.227273,113.590909,61.772727,32.090909,31,28.363636,40.045455,35.181818,126.227273,7560.681818,,,,,,,,,,,,,
