Exit stations,Entry stations->,,WEEKDAY,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
CL,23.318182,21.5,6.772727,4.363636,16.636364,12.363636,30.227273,28.5,40.818182,28.090909,52.318182,5.863636,35.727273,37.727273,32.045455,23.045455,13.454545,11.454545,4.318182,3.409091,3.090909,0.954545,0.818182,3.636364,27.863636,41.272727,48.681818,43.772727,66.409091,29.545455,21.454545,8.363636,9.363636,7.590909,2,9.954545,18.136364,2.818182,5.136364,4.772727,3.272727,3.681818,3.090909,5.681818,1.772727,8,0,0,3.363636,6.818182,823.272727,,,,,,,,,,,,,,
SL,8.409091,11.636364,5.318182,4.5,10.590909,12,19.590909,23.318182,37,27.409091,67.318182,40.272727,2.090909,23.727273,29.136364,27.909091,14.545455,13.409091,2.363636,1.181818,1.454545,0.681818,1.363636,3,13.090909,42.090909,52.545455,49.863636,59.045455,20.727273,11.090909,4.727273,6.090909,6.181818,0.363636,11.681818,20.136364,0.045455,1.818182,2.454545,1.5,7.090909,1.181818,6.045455,0.318182,8.454545,0,0,3.363636,5.272727,723.409091,,,,,,,,,,,,,,
BF,3.818182,8.727273,1.818182,3.590909,7.454545,6.090909,18.181818,18.863636,33.863636,26.727273,42.727273,36,25.136364,3.5,18.409091,19.090909,15.272727,19.318182,4.136364,0.863636,2.045455,1.090909,1.409091,2.954545,10.454545,31.590909,37.045455,45.090909,63.181818,18.863636,12.363636,6.181818,7.181818,5.772727,1.818182,10.454545,25.409091,0.954545,1,1.5,0.727273,4.090909,1,6.136364,0.772727,7.590909,0,0,0.909091,2.545455,623.727273,,,,,,,,,,,,,,
HY,4.727273,6.409091,1.818182,2.681818,7.136364,4.636364,13.636364,13.409091,20,17.363636,41.318182,30.090909,34.772727,21.045455,3,19.772727,27.045455,29.090909,2.954545,0.590909,2.454545,0.818182,0.772727,2.181818,7.136364,23.454545,14.772727,20.909091,34.227273,9.318182,8.181818,5.727273,3.272727,3.545455,0.909091,3.181818,15.681818,0.545455,1.318182,0.590909,2.5,2.863636,2.363636,3.545455,0.272727,12.409091,0,0,2.363636,2.545455,489.363636,,,,,,,,,,,,,,
SH,5.272727,7.090909,2.318182,1.181818,4.818182,1.590909,9.636364,8.363636,7.272727,14.590909,21.909091,21.636364,20.363636,18.181818,12.136364,2.636364,11.909091,17.5,2.045455,0.863636,2.272727,0.136364,0.363636,0.5,5.954545,17.363636,20.272727,19.090909,27.5,6.681818,7.181818,2.090909,1.954545,1.727273,2.090909,5.772727,4,0.090909,1.772727,1.636364,2.409091,2.181818,1.045455,4.772727,0.636364,11.772727,0,0,0.818182,1.409091,344.818182,,,,,,,,,,,,,,
UC,3.363636,4.772727,2.954545,0.545455,2.590909,4.136364,8.363636,6.045455,15.136364,8.818182,20.636364,13.954545,15,18.772727,24.045455,10.363636,1.681818,18.409091,2.5,1.454545,0.727273,0.227273,0.136364,0.5,1.863636,10.454545,14.727273,10.863636,22.090909,6.5,7.772727,0.5,0.681818,2.090909,1.772727,2.136364,8.727273,0.181818,1.454545,1.318182,0.318182,1.090909,0.272727,3.681818,0.863636,11.863636,0,0,1.363636,0.590909,298.318182,,,,,,,,,,,,,,
FM,6.090909,7.363636,1.136364,1.681818,1.318182,1.227273,7.090909,5.818182,9.727273,9.545455,19.909091,11.5,15.090909,16.636364,29.227273,16.772727,61,2.409091,1.772727,1,0.954545,0.045455,0.954545,0.5,2,8.136364,11.636364,13.681818,15.727273,5.545455,3.954545,3.136364,1.181818,2,0.818182,3.090909,6.636364,0.454545,0.909091,0.090909,0.045455,0.954545,1.227273,0.818182,0.545455,15,0,0,0.863636,1.227273,328.454545,,,,,,,,,,,,,,
CN,6.772727,4.090909,2.409091,1.636364,4.318182,3.090909,15.727273,13.454545,17.272727,3.090909,7.772727,5.409091,2.818182,4.136364,2.772727,1.863636,2.363636,1.363636,3.863636,16.272727,28.136364,16.136364,5.772727,5.727273,6.772727,31.409091,35.5,35.727273,49.909091,12.772727,12.818182,7.318182,5.863636,5.045455,1.5,0.181818,0.590909,13.363636,31.727273,2.409091,4.090909,9.772727,3.409091,0.545455,0.909091,1.590909,0,0,17.909091,16.681818,484.090909,,,,,,,,,,,,,,
PH,1.5,3.5,2.045455,2.272727,2.272727,1.454545,12.772727,13.363636,18.409091,2.954545,4.045455,2.909091,0.727273,0.909091,0.727273,0.363636,1.772727,1.045455,16.363636,2.772727,9,5.090909,5.590909,6.818182,2.954545,24.227273,24.954545,21.318182,37.409091,10.363636,4.954545,3.227273,2.590909,3.636364,0.545455,0.090909,1.090909,6.181818,12.818182,1.545455,2.772727,4.136364,0.454545,0,1.409091,0.909091,0,0,5.681818,5.5,297.454545,,,,,,,,,,,,,,
WC,2.5,5,1.454545,1.272727,1.954545,1.045455,13.681818,8.909091,10.954545,2.454545,4.454545,2.727273,1.772727,2.363636,2.227273,1.954545,0.454545,0.954545,32.454545,11.909091,1.772727,8.227273,2.727273,6.136364,1.954545,12.954545,18.954545,12.590909,18.5,4.545455,4.409091,1,0.772727,2.954545,1.318182,0.772727,0.272727,8.090909,19.227273,0.909091,1.363636,4.045455,0.227273,0.227273,0.727273,0.227273,0,0,10.363636,11.409091,267.181818,,,,,,,,,,,,,,
