Exit stations,Entry stations->,,WEEKDAY,,,Jun 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL,29.909091,39.909091,14.5,17.818182,38.409091,24.545455,56.590909,47.454545,61.818182,60.818182,95.909091,16.409091,66,61.954545,51.045455,27.363636,22.545455,28.181818,15.409091,14.136364,10.863636,6.636364,5.772727,16.136364,36.545455,111.772727,93.681818,127.590909,105.090909,49.954545,51.681818,16.318182,17.227273,18.136364,2.727273,21.636364,57.090909,4.272727,10.909091,4.090909,8.727273,11.136364,4.954545,22.863636,15.090909,16.954545,9.545455,18.590909,6.454545,17.681818,1690.863636,,,,,,,,,,,,,
SL,15.045455,22.545455,9.954545,7.5,32.590909,19.5,34.863636,36.909091,56.545455,87.727273,105.909091,69.363636,7.045455,45.863636,57.318182,40.045455,28.272727,25.454545,8.818182,8.681818,6.545455,2.5,3.545455,8.772727,16.318182,148.818182,152,166.681818,121.5,54.227273,40.227273,13.181818,15.818182,16.227273,2.909091,21.5,34.454545,1.409091,5.636364,4.818182,4.318182,15.5,3.090909,20.772727,4.545455,18.590909,6.590909,8.454545,6.090909,8.727273,1653.727273,,,,,,,,,,,,,
BF,10.181818,14.954545,7.318182,6.681818,22.045455,8.954545,27.590909,32.863636,50.863636,66.5,103.909091,65.136364,46.363636,7.272727,37.454545,28.772727,23.681818,40.181818,8.090909,2.954545,4.772727,0.727273,3,5.636364,16.272727,125.181818,128.909091,145.045455,111.545455,47.454545,28.181818,11.227273,14.136364,10.5,3.045455,12.863636,49,2.363636,3.954545,6.318182,5.954545,9,2.727273,22.636364,4.636364,22.409091,7.772727,8.681818,2.954545,3.318182,1432,,,,,,,,,,,,,
HY,9.636364,18.045455,4.636364,7,20.909091,10.318182,26.181818,26.318182,43.863636,37.727273,73.909091,54.227273,56.045455,36.727273,9.363636,33.454545,50.545455,58.409091,7.863636,4.772727,3.954545,1.045455,1.181818,5.681818,16.909091,74.681818,55.727273,86.272727,67.045455,30.136364,17.409091,9.818182,9.136364,12.409091,1.818182,7.136364,25.772727,1.863636,4.045455,2.681818,6.272727,6.545455,3.090909,12.136364,3.772727,31,13.954545,16.227273,1.227273,6.045455,1124.954545,,,,,,,,,,,,,
SH,8.227273,6.772727,4.409091,2.545455,12.136364,4.363636,12.772727,16.590909,23.181818,25.181818,41.727273,27.727273,36.590909,25.772727,30.272727,5.863636,15.227273,27.909091,3,2.181818,3,1,1.090909,2.272727,11.409091,59.318182,53.772727,57.954545,51.136364,19.181818,17.363636,4.045455,3.590909,4.772727,2.636364,5.181818,10.090909,0.5,3.772727,2.045455,1.636364,4.954545,1.090909,8,3.136364,26.772727,11.818182,13.363636,1.5,5.272727,724.136364,,,,,,,,,,,,,
UC,5.863636,10.045455,6.045455,3.136364,18.5,8.5,16.454545,18,30.636364,26.136364,34.863636,24.363636,31.363636,26.227273,43.681818,15.136364,6.590909,31.681818,3.954545,2.045455,2.863636,0.590909,0.136364,3.909091,5.272727,64.818182,53.181818,49.409091,51.545455,24.590909,11,3.5,4.272727,5.136364,1.954545,5.045455,12.409091,0.318182,2.545455,2,0.909091,6.363636,0.909091,6.045455,5.454545,30.681818,15.863636,11.227273,2.681818,3.454545,751.318182,,,,,,,,,,,,,
FM,8.454545,16.136364,4.727273,3.090909,18.5,6.5,15.5,15.409091,23.454545,24.272727,42.909091,26.909091,34.681818,42.772727,59.409091,31.272727,30,9.045455,4.090909,3.090909,2.454545,0.545455,1.5,2.454545,5.227273,57.409091,56.227273,47.590909,38.227273,21.363636,12.272727,4.272727,4.772727,6.045455,1.545455,6.272727,12.772727,0.272727,3.227273,1.545455,1.590909,5.590909,1.318182,4,7.863636,15.863636,23.454545,23.818182,1.227273,4,794.954545,,,,,,,,,,,,,
CN,7.5,7.409091,6.909091,4.545455,13.454545,5.136364,29.590909,28.909091,40.5,9.272727,13.136364,15.5,9.636364,9.136364,7.681818,2.590909,3.090909,3.954545,12,26.045455,70.409091,34.272727,11.318182,24.954545,8.545455,111.409091,119.863636,136.727273,125.954545,48.590909,41.545455,16.318182,11.318182,11.909091,5.045455,1.954545,3.181818,12.227273,61.545455,6.045455,7.954545,38.772727,6.045455,1.136364,11.636364,3.045455,2.818182,3.954545,36.409091,44.681818,1275.590909,,,,,,,,,,,,,
PH,3.363636,4.954545,2.363636,3.590909,14.045455,5.409091,32.636364,29.363636,43.272727,6.909091,6,12.545455,8.636364,2.181818,4.136364,1.818182,1.681818,3.363636,29.954545,7.5,28.727273,13,9.681818,26.045455,4.136364,169,141.909091,116,99.272727,36.227273,21.318182,12.954545,5.545455,7.727273,2.863636,1.136364,2.409091,6.681818,24.409091,5.590909,9.727273,43.181818,3.681818,0.727273,16.454545,1.681818,0.818182,1.5,13.863636,16.636364,1066.636364,,,,,,,,,,,,,
WC,8.636364,10.454545,5.454545,6.681818,16.954545,6.818182,31.5,29.818182,39.409091,7.318182,15.181818,8.318182,5.954545,5.772727,3.863636,2.5,3.136364,2.681818,83.454545,30.909091,6.954545,19.272727,13.454545,37.045455,10,133.863636,129.045455,91.045455,84.409091,36.818182,21.363636,6.818182,8.045455,11.045455,5,0.909091,1.772727,14.136364,48.045455,5.227273,5.318182,47.818182,3.909091,0.954545,13.909091,0.545455,1.545455,2.409091,17.909091,29.909091,1133.318182,,,,,,,,,,,,,
LF,3.227273,3.727273,2.090909,1.272727,5,3.318182,11.727273,13.227273,17.363636,2.409091,7.590909,6.409091,1.227273,1.409091,2.136364,0.363636,0.545455,0.363636,43.909091,16,21.090909,5.136364,4.727273,16.454545,1,85.590909,84.318182,42.909091,43.636364,15.636364,13.227273,4.545455,1.227273,4.136364,1.318182,0.545455,0.590909,1.272727,9.545455,0.454545,2.5,26.909091,1.454545,0.045455,7.909091,0.363636,0.863636,0.545455,7.545455,4.136364,552.954545,,,,,,,,,,,,,
OR,4.636364,3.409091,1.409091,2.272727,4.363636,1,8.318182,11.863636,17.318182,1.363636,12,4.318182,2.727273,3,1.454545,1.090909,0.272727,1.363636,12.590909,9.590909,15,5.318182,4,16.409091,1,81.909091,69.454545,30.181818,31.318182,14.363636,7.045455,4.818182,4.454545,3.363636,0.590909,0.272727,0.272727,0.681818,4.363636,0.818182,1.636364,18.045455,1.227273,0.045455,5.272727,0.727273,0.318182,0.318182,3.227273,3.227273,434.045455,,,,,,,,,,,,,
RR,5.090909,13.409091,10.681818,4.090909,3.636364,2.318182,13.863636,23.409091,23.681818,4.545455,20.681818,14.045455,9.045455,5.681818,8.181818,2.363636,4.409091,2.727273,22.863636,29.272727,36,16.636364,17,8.5,7.545455,122.590909,111.772727,80.636364,79.590909,47.545455,25.181818,12.954545,5.863636,6.363636,1.227273,0.772727,1.227273,4.636364,14.590909,2.363636,4.090909,34.454545,2.590909,0.5,5.090909,1.136364,0.818182,1.272727,4.090909,14.136364,895.181818,,,,,,,,,,,,,
OW,8.954545,12.590909,2.409091,4.681818,16.772727,11.090909,16.272727,12.090909,22.636364,8,47.545455,32.772727,18.227273,18.454545,14.681818,10.272727,3.590909,4.045455,8.227273,3.772727,9.272727,0.818182,0.772727,7.409091,11.681818,316.045455,229.454545,254.727273,202.818182,106.409091,83.181818,19.863636,19.954545,13.5,5.909091,3.590909,10.545455,0.590909,6.863636,9.590909,7.181818,31.181818,10.590909,4,4.636364,3.272727,1.5,2.863636,3.909091,7.181818,1666.409091,,,,,,,,,,,,,
EM,129.863636,225.181818,113.045455,108.136364,153.363636,99.909091,184.181818,216.954545,182.772727,162.727273,208.545455,132.681818,189.590909,143.227273,86.954545,74.045455,75.318182,67.818182,142.454545,201.409091,167.318182,109.454545,100.227273,146.954545,358.136364,46.136364,13.545455,54.681818,67.045455,141.636364,227.681818,141.818182,231.863636,192.590909,67.318182,66.136364,204.909091,48.409091,116.181818,58.681818,44.5,91.636364,54.545455,71.818182,34.318182,23.772727,23.590909,25.409091,33.909091,131.454545,5993.863636,,,,,,,,,,,,,
MT,140.363636,208.681818,94.045455,82.818182,108.136364,91.090909,180.181818,203.136364,178,149.454545,198.090909,113.681818,178.409091,152.545455,73.090909,68.090909,63.318182,63.545455,144,160,138.863636,86.409091,75.318182,133.818182,281.045455,15.818182,34.045455,22.181818,54.272727,179.363636,309.181818,217.409091,430.227273,247.772727,113.818182,70.681818,138.863636,39.545455,145.863636,71.409091,64.772727,99.318182,76.272727,44.454545,24,23.590909,20.181818,29,25.318182,96,5959.5,,,,,,,,,,,,,
PL,143,202.454545,78.545455,50.227273,95.045455,69.045455,138.045455,138.181818,172.863636,125.181818,221.727273,111.5,136.772727,111.090909,70.545455,45.5,47.909091,43.363636,107.045455,95.318182,77.272727,37.636364,26.863636,71.363636,248,68.363636,21.590909,37.772727,42.727273,260.045455,363.363636,222.136364,417.954545,286.863636,115.727273,42.818182,107.545455,33.545455,122.363636,87.818182,77.181818,218.590909,69.181818,37.772727,33.818182,14.181818,13.318182,20.954545,38.363636,95.272727,5513.772727,,,,,,,,,,,,,
CC,111.363636,167.636364,76.136364,66.090909,84.727273,73.818182,156.909091,139.727273,129,109.545455,222.409091,104.590909,113.590909,100.272727,60.181818,44.227273,47.181818,38,111.090909,84.363636,71.545455,42.181818,29.454545,72.5,210.136364,62.409091,47.227273,34.818182,31.5,107.227273,175.772727,131.5,258.590909,193.636364,98.454545,40.090909,87.636364,38.227273,96.318182,74.409091,66,93.909091,68.772727,32.227273,14.590909,14.363636,13.727273,20.909091,21.5,90.318182,4380.818182,,,,,,,,,,,,,
16,73.272727,77.681818,36.5,36.681818,56.045455,49.318182,94.727273,91.590909,73.818182,67.863636,99.090909,50.136364,50.454545,44.409091,29.227273,24.090909,19.136364,20.454545,45.590909,37.363636,38.181818,16.181818,13.5,45.818182,117.681818,140.636364,169.272727,301.136364,129.636364,14.772727,38.590909,97.227273,150.5,130.318182,64.136364,13.727273,31.454545,13.409091,56.545455,40.090909,45.727273,75.181818,54.363636,15.727273,9.090909,7.5,8.227273,7.772727,16.909091,37.545455,2978.318182,,,,,,,,,,,,,
24,80.409091,83.136364,29.272727,26.590909,43.5,29.318182,67.681818,60.818182,61.5,41.272727,93.181818,48.772727,42.181818,26.590909,14.818182,15.318182,11.227273,11.863636,37.454545,20.5,16.954545,15.454545,9.045455,26.909091,86.409091,189.863636,261.727273,415.818182,209.772727,39.136364,20,77.363636,123.681818,97.772727,56.409091,5.545455,20.545455,11.772727,43.818182,48,50.318182,52.590909,46.818182,10.318182,7.090909,3.818182,6,4.818182,12.454545,27.727273,2843.363636,,,,,,,,,,,,,
GP,23.363636,25.818182,7.954545,8.363636,15.227273,5.363636,19.272727,23.136364,28.181818,20.681818,21.954545,14.363636,11.818182,11.772727,8.909091,5.181818,3.045455,2.636364,14.454545,10.136364,6.045455,3.090909,4.681818,13.909091,19.681818,129.590909,177.863636,243.863636,122.227273,88.545455,74.227273,8.272727,20.5,25.272727,17.863636,2.954545,8.272727,2.818182,14.045455,12.136364,21.636364,31.681818,21.454545,4.272727,6.454545,1.636364,1.590909,1.454545,4.727273,13.090909,1385.5,,,,,,,,,,,,,
BP,22.363636,27.772727,7.136364,4.363636,18.181818,7.681818,18.727273,21.136364,34.5,21.681818,25.090909,17.863636,13.545455,13.409091,8.909091,5.454545,4.818182,4.318182,11.090909,5.590909,8.818182,1.227273,4.363636,6.045455,22.409091,177.863636,255.409091,520.318182,235.727273,129.363636,107.636364,22.5,8.045455,20.727273,32.318182,3,10.954545,1.5,11.863636,22.590909,37.772727,36.909091,31.818182,6.545455,2.818182,2.681818,2.136364,2.545455,3.363636,9.227273,2032.136364,,,,,,,,,,,,,
DC,14.272727,22.409091,6,6.909091,11.045455,3.863636,16,19.318182,32.545455,14.045455,24.818182,19.136364,13.363636,9.727273,11.590909,5.818182,6.090909,5.409091,10.272727,9.090909,11,3.818182,3.681818,6.681818,13.545455,182.636364,211,345.090909,210,130.954545,100.545455,22.818182,24.818182,12,14.136364,4.227273,19,1.363636,11.318182,23.363636,41,64.727273,38.318182,4.545455,5.272727,3.681818,2.681818,2.227273,4.136364,17.590909,1797.909091,,,,,,,,,,,,,
CM,3.863636,9,1.363636,2.545455,3.636364,2.863636,7.045455,7.909091,13.363636,2,5.227273,3.5,2.318182,2.272727,1.727273,3.409091,1.590909,1.818182,5.227273,2.318182,4.727273,1.727273,0.363636,1.454545,6.318182,66.636364,84.909091,137.863636,95.181818,51.681818,53.227273,19.318182,34.090909,12.227273,6.272727,0.818182,2,1.227273,8.863636,6.636364,18,56.181818,22.181818,0.227273,0.318182,0.545455,0.363636,0.272727,3.727273,9.227273,789.590909,,,,,,,,,,,,,
CV,1.045455,2.409091,2.5,1.772727,4.863636,2.863636,5.090909,4.363636,7.5,31.545455,22.181818,22.636364,24.909091,16.636364,8.636364,4.545455,4.863636,4.454545,1,0.909091,1.045455,0.318182,0.818182,1.772727,4.181818,53.5,62.318182,53.363636,40.227273,12.954545,5.5,4.181818,4.045455,5.5,0.818182,3.545455,30.409091,1.272727,0.545455,2.181818,3.045455,6.272727,0.363636,21.5,2.590909,1.5,1,0.954545,0.181818,0.409091,501.045455,,,,,,,,,,,,,
ED,3.863636,8.954545,3.727273,2,15,5.636364,12.545455,12.272727,12.954545,47.909091,62.909091,59.909091,33.363636,43.636364,19,11,11.681818,12.227273,3.272727,1.909091,1.909091,0.409091,0.318182,1.136364,9.636364,165.863636,121.318182,124.090909,91.045455,30.727273,22.090909,8.318182,13.318182,17.636364,2.181818,29.909091,12.772727,0.727273,2.954545,2.545455,1.181818,30.727273,2.636364,10.272727,24.772727,5.045455,5.227273,5.136364,1.272727,1.363636,1130.318182,,,,,,,,,,,,,
NC,2.272727,1.318182,1.090909,1.090909,3.909091,0.681818,6.136364,7.681818,11.363636,1.818182,1.636364,3.5,3.045455,2.772727,0.818182,0.636364,0.818182,0.181818,9.090909,5.590909,7.590909,1.772727,1.045455,4.727273,0.590909,32.590909,36.954545,35.818182,40.272727,11.727273,10.863636,3,1.863636,2.818182,0.681818,0.772727,0.863636,2.772727,11.181818,4.136364,0.863636,14.772727,0.590909,0.272727,3.863636,0.090909,0.363636,0.318182,8.5,6.045455,313.181818,,,,,,,,,,,,,
WP,5.045455,6.045455,3.5,3.636364,13.227273,2.409091,35.136364,27.181818,36.181818,3.909091,6.045455,9.090909,5.363636,4.318182,4.454545,3.5,2.136364,3.090909,65.818182,29.772727,45.045455,8.818182,6.272727,11.909091,8,91.363636,103.363636,161.409091,123.045455,62.409091,45.727273,15.954545,13.727273,10.045455,9,0.545455,1.681818,10,8.454545,7.545455,9.272727,35.227273,2.545455,0.227273,10.772727,2.136364,0.727273,1.318182,6.363636,12.5,1095.272727,,,,,,,,,,,,,
SS,5.318182,10.636364,2,3.363636,4.727273,2.727273,7.636364,9.727273,17.272727,3.909091,4.227273,4.863636,4.863636,6.136364,2.590909,1.545455,1.5,1.409091,6.090909,7.454545,5.181818,0.727273,0.909091,1.681818,7.681818,57.909091,61.590909,96,73.272727,47.136364,47.818182,14.545455,25.636364,24,7.227273,2,2.5,3.727273,8.636364,5,8.772727,22.136364,13.772727,0.772727,0.681818,1.227273,0.363636,0.318182,1.090909,9.590909,659.909091,,,,,,,,,,,,,
SB,12.681818,9.772727,2.181818,1.727273,5.636364,6.136364,8.454545,5.909091,10.045455,2.363636,7.5,9.090909,3.863636,6,6.090909,2.681818,1.090909,2,9.227273,7.454545,5,3.136364,1.045455,3.318182,8,47.545455,55.045455,92.863636,68.727273,52,49.727273,26.5,40.136364,44,16.545455,3.727273,2.045455,1.227273,9.090909,8.363636,6.045455,23.727273,9.772727,0.954545,2.136364,0.5,0.227273,0.227273,2.954545,5.227273,709.727273,,,,,,,,,,,,,
