Exit stations,Entry stations->,,WEEKDAY,,,Mar 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,13.086957,61.173913,50.869565,28.304348,195,50.565217,73.26087,52.043478,59.26087,16.521739,48.434783,34.217391,20.304348,10.565217,20.347826,10.652174,8.608696,7.391304,10.695652,5.869565,11.521739,5.478261,3.782609,10.608696,17.391304,152.913043,124.782609,206.913043,137.130435,104.391304,101.130435,26.130435,30.130435,34.086957,11.391304,3.347826,6.608696,2.521739,5.391304,6.217391,11.913043,21.913043,6.956522,2.913043,5.913043,11.086957,4.565217,6.043478,5.782609,7,1863.130435,,,,,,,,,,,,,
EN,66.956522,18.347826,52.347826,39.304348,342,50.217391,98.521739,108.913043,145.913043,36,58.695652,39.347826,25,20.391304,26.695652,9.26087,16.043478,17.652174,11.304348,5.826087,15.086957,6.565217,7.391304,15.347826,18.434783,343.086957,269.73913,355,273.217391,113.043478,93.956522,33,40,57.521739,13.043478,3.782609,10.173913,4.347826,8.043478,11.130435,16.26087,47.478261,18.782609,1.782609,15.391304,15.434783,8.391304,13.130435,3.695652,7.26087,3028.26087,,,,,,,,,,,,,
EP,51.695652,43.304348,10.217391,27.956522,258.652174,34.478261,55.26087,58.826087,79.347826,21.478261,30.956522,12,18.826087,7.043478,9.652174,5.608696,6.130435,6.26087,8.217391,3.565217,8.695652,4.782609,2.913043,15.73913,6.26087,173.73913,137.304348,122.782609,123.086957,43.130435,34.434783,13.565217,8.73913,23.217391,1.652174,2.956522,3.173913,1.086957,4.347826,3.869565,1.652174,27.608696,7.043478,3.478261,11.391304,7.304348,4.521739,8,2.043478,2.956522,1560.956522,,,,,,,,,,,,,
NB,33.782609,33.217391,27.173913,8.73913,71.521739,20.434783,33.869565,60.478261,52.26087,16.608696,38.173913,14.608696,16.869565,6.434783,8.73913,3.913043,5.304348,9.26087,5.73913,6.869565,7.478261,2.521739,4.043478,6,7.043478,159.304348,126.391304,98.913043,133.695652,50.130435,31.391304,11.869565,14.26087,12.695652,2.608696,3.173913,5.173913,1.826087,5.304348,2.652174,2.695652,35.391304,5,0.869565,15.391304,5.826087,3.478261,5.478261,0.565217,4.130435,1239.304348,,,,,,,,,,,,,
BK,216.73913,353.826087,277.73913,76,37,120.173913,143.130435,174.173913,177.608696,69.434783,126.695652,67.478261,73.043478,44.304348,50.347826,31.695652,56.043478,54.391304,34.869565,37.434783,38.347826,20.304348,15.26087,13.434783,40.521739,268.173913,189.782609,253.478261,219.782609,117.826087,96.043478,48.73913,35.782609,43.652174,19.26087,16.565217,34.434783,9.695652,23.130435,11.434783,12.73913,91.565217,34,9.73913,52.956522,26,34.521739,50.913043,9.173913,25,4084.391304,,,,,,,,,,,,,
AS,51.695652,51.695652,29.304348,21.043478,104.521739,12.086957,32.73913,70.043478,59.478261,24.434783,48.478261,23.869565,21.086957,15.608696,12.913043,8.086957,12.826087,11.782609,7.652174,7.173913,7.608696,3.347826,1.73913,4.565217,14.26087,143.130435,125.826087,110.043478,136,58.565217,34.826087,11.521739,15.304348,14.913043,3,1.347826,5.217391,1.173913,3.565217,3.347826,4.869565,25.347826,6.695652,2,11,6.304348,8.73913,10.347826,1.130435,5.608696,1407.869565,,,,,,,,,,,,,
MA,78,94.086957,50.347826,35.173913,137.304348,33.434783,16.217391,56.608696,73.826087,27.869565,89.913043,55.043478,54.217391,36.434783,34.73913,22.043478,24.478261,28.478261,45.826087,42.913043,41.782609,16.695652,15.347826,27.304348,28.695652,315.304348,248.043478,248.173913,263.086957,149.73913,96.130435,27.565217,35,28.086957,10.782609,4.26087,21.434783,10.521739,44.782609,10.782609,5.391304,47.826087,13.826087,7.434783,12.304348,9.73913,10.652174,17.782609,23.173913,57.304348,2885.913043,,,,,,,,,,,,,
19,53.043478,107.521739,58.695652,64.521739,171.652174,72.304348,55.73913,20.391304,14.173913,11.913043,59.652174,56.086957,56.434783,50.565217,45.478261,31.608696,32.391304,29.782609,56.217391,58.391304,67.217391,33.130435,24.521739,51.869565,25.956522,351.826087,284.782609,271.73913,266.565217,151.086957,105.73913,37,43.73913,38.173913,12.391304,9.956522,21.217391,12.043478,41.869565,10.695652,13.956522,42.173913,15.652174,8.782609,11.782609,21,17.478261,22.130435,13.913043,39.695652,3174.652174,,,,,,,,,,,,,
12,63.217391,139.434783,77.173913,50.217391,159.347826,57.26087,77.347826,11.869565,21.391304,9.869565,54.086957,59.73913,98.869565,72.869565,65.173913,35.913043,52.652174,42.652174,65.913043,73.521739,71.826087,32.217391,25.608696,49.304348,30.086957,347.652174,250.217391,313.347826,245.913043,114.086957,96.521739,43.478261,48.652174,59.565217,21,12.434783,32.782609,18.826087,56.130435,21.26087,21.956522,52.869565,25.782609,11.565217,17.043478,23.521739,17.478261,24.521739,18.869565,62.695652,3455.73913,,,,,,,,,,,,,
LM,18.782609,31.826087,20.086957,14,90,25.826087,28.608696,10.913043,11.652174,9.956522,71.565217,78.956522,122.434783,97.565217,60.695652,43.608696,41.652174,40.304348,10.347826,7.173913,8.521739,2.73913,1.695652,6.782609,14,298.565217,231.956522,235.869565,230.869565,101.434783,70.086957,32.869565,36.565217,35.391304,3.652174,53.173913,76.652174,3.913043,7.217391,4.782609,4.304348,14.956522,5.086957,30.521739,12.826087,23.652174,16.869565,18.782609,4,13.347826,2437.043478,,,,,,,,,,,,,
