Exit stations,Entry stations->,,WEEKDAY,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
CL,59.47619,83.380952,27,24.428571,122.095238,53.761905,120,149.380952,231.761905,146.809524,183.095238,18.047619,83.428571,104.380952,103.190476,60.714286,47.809524,40.952381,34.428571,21.142857,18.238095,4.761905,5.047619,22.952381,67.952381,450.52381,440.52381,359.047619,360,156.52381,94.380952,42.714286,55.333333,56,9.571429,27,81.380952,8.904762,27.428571,12.857143,15.619048,32.238095,9,32.380952,16.952381,49.47619,0,0,20.619048,33.285714,4226,,,,,,,,,,,,,,
SL,35.714286,55.619048,25.571429,31.714286,166.619048,52.047619,114.52381,229.571429,341.095238,284.809524,223.761905,88.047619,14.047619,98.904762,145.666667,64.714286,73.904762,97.285714,24.619048,20.380952,20.285714,6.52381,8.428571,19.095238,38.095238,756.285714,803.809524,565.047619,553.904762,169.285714,97.857143,39.142857,64.47619,67.47619,8.095238,51.333333,103.666667,7.714286,14.285714,14.333333,11.142857,52.380952,11.857143,50.142857,7.190476,73.571429,0,0,6.333333,16.333333,5826.714286,,,,,,,,,,,,,,
BF,21.47619,31.666667,13.952381,16.809524,109.904762,30.238095,87.47619,224.666667,308.857143,221.952381,180.714286,104.571429,94.095238,16.857143,85.190476,59.380952,77,136.047619,15.333333,7.714286,10.047619,2.809524,3.809524,13.238095,35.571429,694.761905,682.904762,542.333333,495.190476,166.190476,78.238095,34.857143,47.380952,44.047619,10.571429,36.666667,121.095238,5.619048,6.666667,10.190476,10.857143,30.285714,9.857143,60.952381,5.047619,68.809524,0,0,3.190476,7.333333,5082.428571,,,,,,,,,,,,,,
HY,30.285714,57.095238,21.761905,25.142857,115.809524,37.142857,91.238095,201.190476,266.142857,136.52381,181,109.095238,149,86.571429,16.47619,82.619048,158.857143,191.666667,24.571429,12.619048,17.571429,5.952381,4.333333,15.095238,27.666667,480.333333,506.809524,321.428571,295.428571,118.380952,54.428571,29.380952,34.428571,38.761905,4.809524,50.619048,64.380952,7.380952,16.238095,11.333333,12.238095,23.666667,6.52381,29.952381,8.047619,116.904762,0,0,8.761905,18.952381,4324.619048,,,,,,,,,,,,,,
SH,17.761905,20,6.333333,8.857143,62.333333,16.380952,45.333333,138.285714,170.428571,71.238095,70.714286,54.238095,61.666667,57.52381,70.52381,11.619048,61.619048,83.142857,10.47619,6.52381,8.238095,2.047619,1.714286,5.714286,12.666667,418.619048,380.52381,234,269.285714,88.904762,46.238095,18.142857,17.952381,28.190476,4.761905,14.047619,33.47619,1.285714,6.714286,6,5.857143,18.52381,3.904762,18.904762,5.428571,97.52381,0,0,2.47619,4.047619,2800.190476,,,,,,,,,,,,,,
UC,18.952381,25.857143,16.285714,18.761905,122.333333,36.142857,73.952381,206.285714,226.857143,108.619048,80.095238,52.333333,74.809524,83.238095,156.47619,62,17.952381,98.142857,15.428571,13.47619,16.238095,3.714286,3,9.333333,11.333333,814.952381,746.904762,321.571429,337,99.714286,44.380952,11.952381,19,33.952381,4.714286,12.619048,53.761905,1.142857,6.904762,5.619048,3.809524,22,3.047619,24.333333,11.428571,100.095238,0,0,2.380952,10.952381,4243.857143,,,,,,,,,,,,,,
FM,21.428571,32.761905,24.619048,18.285714,113.285714,31.190476,75.952381,246,267.380952,94.333333,91.380952,48.714286,96.190476,110.428571,196.380952,97.47619,232.952381,30.190476,16.857143,11.666667,8.380952,3.904762,5.47619,13.285714,12.52381,1238.714286,1025.571429,347.428571,352.238095,120.952381,32.333333,14.571429,18.285714,30.666667,4.619048,22.190476,45.047619,3.333333,9.285714,3.571429,7.47619,31.095238,3.952381,21.095238,12.190476,93.285714,0,0,5.238095,8.952381,5353.142857,,,,,,,,,,,,,,
CN,22.238095,28.285714,14.380952,19.190476,97,21.238095,136.238095,295.380952,305.809524,30,35.714286,35.904762,23.857143,16.619048,28.571429,10.428571,16.857143,16.714286,28.619048,94.333333,195.952381,76.095238,33.142857,73.571429,20.142857,781.666667,805.619048,464,485.190476,147.047619,82.047619,52.952381,49.952381,58.47619,22.809524,3.52381,9.190476,47.47619,142.333333,18.666667,23.047619,126.47619,25.380952,3.857143,23.571429,14.571429,0,0,85.952381,107.380952,5257.47619,,,,,,,,,,,,,,
PH,16.238095,20,19.714286,20.52381,134.095238,25.809524,166.333333,383.380952,461.761905,24.238095,18.238095,21.047619,19.666667,11.333333,14.619048,5.857143,11.571429,13,90.047619,29.380952,107.809524,37.142857,32.714286,118.047619,14.52381,1624.809524,1693.142857,634.714286,655.904762,206.857143,79.952381,94.666667,51.666667,59.095238,10.809524,2.333333,4.095238,39.714286,74.619048,23.238095,27,162.380952,24.333333,3.571429,35.190476,14.428571,0,0,35.238095,58.095238,7432.952381,,,,,,,,,,,,,,
WC,21.142857,26.142857,24.095238,19.428571,105.142857,20.714286,155.809524,326.52381,343.619048,25.52381,37.47619,20.571429,22.333333,10.238095,17.619048,8.190476,14.666667,9.809524,219.142857,117.380952,28.380952,54.47619,36.52381,137.666667,14.714286,1343.285714,1333.285714,480.714286,471.238095,143.857143,63.571429,49.047619,43.238095,48.238095,12.761905,3.571429,5.190476,43.666667,111.142857,22.333333,22.571429,143.857143,22.761905,1.904762,28.619048,11.761905,0,0,48.52381,95.904762,6368.380952,,,,,,,,,,,,,,
LF,5.095238,9.952381,5.571429,7.714286,58.142857,7.47619,60.904762,169.761905,163.47619,9.809524,13.666667,6.095238,5.952381,3.952381,4.952381,1.904762,3.714286,4.190476,96.095238,39.142857,53.190476,17.333333,11.619048,67.666667,4.380952,858.428571,856.428571,253.952381,275.190476,78.142857,33.571429,20.47619,12.952381,14.571429,3.904762,0.857143,0.952381,8.47619,30.571429,6.714286,9.285714,82.190476,12.142857,0.619048,16.285714,4.666667,0,0,12.952381,15,3440.095238,,,,,,,,,,,,,,
OR,7.190476,8.47619,6.857143,8.714286,43.952381,6.571429,40.285714,112.571429,123.47619,6.47619,20.095238,4.142857,8.571429,3.809524,3.571429,1.714286,2.47619,5.380952,28.809524,26.571429,34.571429,12.666667,19.285714,48.285714,2.571429,769.952381,700.52381,208.095238,229.428571,65.714286,34.952381,30.142857,8.761905,12.380952,1.333333,2.52381,1.571429,4.142857,10.52381,4.809524,6.761905,59.52381,12,0.761905,9.904762,4.857143,0,0,8.47619,10.047619,2784.285714,,,,,,,,,,,,,,
RR,24.428571,30.809524,29.047619,15.285714,48.333333,12.238095,67.857143,206.857143,225.380952,27.857143,50.190476,20.809524,20.666667,9.714286,14,5.571429,10,13.857143,69.190476,110.47619,136.857143,60.761905,51.571429,21.428571,20,1056.333333,1042.380952,511.142857,616.095238,216.238095,101.428571,47.142857,43.47619,28.333333,3.285714,4.619048,7.190476,19.904762,35.333333,11.285714,12.52381,131.380952,26.190476,5,14.952381,11.666667,0,0,17.333333,33.428571,5299.857143,,,,,,,,,,,,,,
OW,17.761905,26.380952,10.571429,13.857143,64.333333,22.619048,43.333333,60.619048,99.428571,28.857143,83.333333,65.761905,36.380952,31.190476,25.52381,12.095238,12.952381,9.714286,18.571429,11.47619,14.666667,3.761905,1.666667,20.52381,27.142857,1715.285714,1512.190476,925.904762,856.047619,352.571429,190.047619,56.190476,59.047619,40.619048,13.809524,5.619048,26.190476,5.666667,11.857143,16.904762,25.619048,96.666667,37.571429,5.761905,5.714286,11.809524,0,0,8.142857,18.095238,6759.857143,,,,,,,,,,,,,,
EM,509.238095,988.52381,668.761905,675.095238,935.428571,860.809524,1405.619048,2079.285714,1742,1239.047619,1107.095238,589.428571,990.619048,878.714286,620.571429,538.904762,969.809524,1417.52381,1020.809524,1998.714286,1603.428571,1025.333333,909.238095,1198.333333,2216.285714,194.285714,113.904762,417,599.047619,1160.333333,1911.619048,1275.190476,1593.52381,1376.428571,911.142857,633.333333,2346,374.857143,598.952381,653.380952,586.428571,329.714286,1066.714286,944.142857,119.428571,861.952381,0,0,152.47619,469.190476,46877.666667,,,,,,,,,,,,,,
