Exit stations,Entry stations->,,WEEKDAY,,,Sep 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,8.47619,26.52381,22.809524,21.809524,81.904762,24.619048,38.47619,28.952381,37.857143,12.761905,35.095238,30.666667,14.619048,7.285714,10.809524,8.52381,3.380952,5,7.238095,2.714286,6.142857,1.857143,2.428571,5.142857,9.47619,89.47619,84.095238,132.095238,99.047619,67,68.047619,19.619048,22.761905,12.333333,7.190476,1.190476,4.52381,0.761905,5.285714,4.952381,11.238095,10.095238,6.666667,1.428571,3.666667,1.666667,1.952381,1.904762,7.238095,2.47619,1121.285714,,,,,,,,,,,,,
EN,31.714286,7.47619,16.095238,17.190476,99.761905,28.047619,52.190476,43.904762,60.857143,18.809524,37.571429,29.761905,18.952381,11.571429,13.190476,9.571429,9.142857,10.380952,9.47619,4.47619,7.52381,3.333333,2.666667,5.952381,13.619048,138.619048,125.666667,202.380952,171.095238,75.571429,66.904762,21.952381,23,16.52381,9.380952,1.904762,7.904762,1.619048,7.190476,8.857143,12,19.190476,10.714286,2.47619,5.714286,8.380952,4.238095,5.380952,2.904762,4.619048,1517.428571,,,,,,,,,,,,,
EP,27.428571,17.761905,2.857143,10.952381,65.666667,17.285714,23.761905,20.190476,33,7.238095,17.190476,7.47619,9.095238,3,3.904762,4.333333,5.666667,2.571429,4.571429,1.619048,2.857143,1.952381,1.47619,2.428571,4.809524,45.857143,47.714286,56.47619,39.333333,19.047619,14,2.666667,6.47619,2.857143,1.380952,1.285714,1.190476,1,2.47619,1.666667,1.666667,6.571429,3.809524,0.714286,1.285714,1.47619,1.047619,1.142857,1.047619,1.285714,562.571429,,,,,,,,,,,,,
NB,21.761905,18,11.333333,3.285714,13.047619,9.380952,13.809524,11.333333,13.619048,5.333333,19.761905,9.142857,8.238095,4.285714,6.666667,1.380952,1.238095,3.190476,2.095238,3.238095,3.666667,0.47619,0.904762,0.714286,1.857143,24.52381,25.666667,24.285714,28.714286,12.619048,13.666667,3.238095,3.285714,4.761905,0.666667,1.190476,1.52381,0.761905,2.952381,0.380952,0.571429,3.952381,0.571429,0.285714,1.571429,2.666667,0.904762,0.47619,1.095238,0.952381,349.047619,,,,,,,,,,,,,
BK,94.571429,111.285714,69.333333,13.714286,6.761905,35.238095,43.714286,36.761905,51.857143,18.285714,50.47619,29.047619,23.571429,18.095238,15.571429,10.52381,14,7.666667,7.809524,5.904762,9.380952,2.428571,1.904762,2.047619,9.428571,50.142857,34.952381,53.619048,53.714286,27.428571,24.904762,5.380952,9.857143,9.761905,4.761905,4.714286,6.238095,2.714286,8.809524,4.47619,2.333333,7.285714,6.904762,3.52381,3.761905,1.571429,2.190476,7.952381,1.190476,4.333333,1031.904762,,,,,,,,,,,,,
AS,23.047619,31.761905,17.428571,9.047619,26.428571,2.809524,16.380952,18.047619,24.714286,5.952381,30.428571,18,13.619048,7.619048,4.380952,4.333333,7,1.809524,4.666667,2.619048,2.285714,0.904762,1.333333,1.571429,7.904762,31.952381,29.047619,41.095238,39.142857,23.238095,12.190476,4.047619,8.190476,2.47619,1.190476,1.47619,3.571429,0.238095,2.809524,2.333333,3.52381,2.52381,2.666667,0.142857,1.666667,3.904762,1.761905,2.238095,0.571429,2.857143,508.952381,,,,,,,,,,,,,
MA,47.428571,54.714286,22.571429,12.904762,37.904762,15.952381,7.142857,18.571429,25,6.52381,42.809524,32.333333,24.333333,19.333333,14.380952,14.190476,10.571429,10.52381,23.428571,20,20.333333,5.571429,6.047619,6.952381,15.952381,77.904762,64.52381,96.095238,100.904762,55,30.285714,10.952381,14.142857,12.52381,7.142857,2.619048,9.619048,6.380952,29,2.619048,3.666667,11.52381,4.761905,2.666667,2.380952,6.142857,5.190476,4.52381,19.619048,25.047619,1120.714286,,,,,,,,,,,,,
19,28.380952,44.857143,17.619048,11.666667,32.47619,15.238095,16.380952,4.904762,4.761905,3.047619,28.52381,25.809524,24,32.619048,24.952381,15.571429,16.142857,7.714286,23.857143,22.238095,15,7.809524,5.904762,8.619048,10.571429,74.857143,69.095238,90.571429,82.190476,42.904762,22.142857,13.619048,10.666667,12.904762,5.761905,2.857143,7.809524,11,26.904762,5.095238,5.809524,7.619048,5.52381,3.761905,3.619048,6.952381,4,8.047619,7.047619,22.761905,1002.190476,,,,,,,,,,,,,
12,38.904762,64.52381,33.238095,12.380952,41.095238,19.952381,22.857143,4.714286,9.952381,4.380952,29.142857,38.761905,46.714286,37.809524,34.52381,16.904762,19.761905,16.952381,33.333333,25.952381,25.190476,6.857143,7.809524,9.095238,14.285714,71.904762,81.52381,124.714286,91.047619,46.47619,34.761905,14.666667,24.333333,24.190476,15.047619,2.761905,6.619048,8.047619,25.714286,10.095238,8.809524,11.761905,10.095238,1.666667,2.428571,5.095238,3,7,7.190476,23.285714,1277.333333,,,,,,,,,,,,,
LM,12,17.761905,7.809524,5.142857,12.047619,8.190476,8.904762,2.666667,6.333333,4.761905,38.380952,46.952381,68.52381,58.47619,38.047619,23.619048,19.333333,19.142857,5.190476,4,4.095238,0.714286,0.857143,4.285714,8.666667,76.952381,71.714286,113.952381,86.428571,36.285714,26.333333,11.380952,15.571429,12.52381,0.904762,20.952381,34.095238,2.047619,4.761905,2.333333,1.619048,3.952381,1.190476,16.047619,4.238095,12.047619,6.52381,6.47619,2.238095,6.047619,1002.52381,,,,,,,,,,,,,
