Exit stations,Entry stations->,,WEEKDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CL,28.789474,22.421053,6.684211,10,32.789474,17.157895,37.421053,27.315789,40.526316,37.157895,65.157895,11.736842,43.421053,50.842105,41.157895,20.842105,16.315789,16.368421,13.052632,6.631579,6.578947,2.105263,1.473684,5.105263,23.473684,67.789474,67.578947,110.631579,85.210526,42.210526,36.842105,18.578947,14.263158,18.105263,2.210526,8.368421,25.947368,1.052632,7.631579,2.894737,5.947368,6.526316,4.157895,9.842105,5.631579,11.315789,4.736842,6.210526,5,12.684211,1165.894737,,,,,,,,,,,,,
SL,12.421053,16.263158,7.052632,5,19.368421,15.105263,28.842105,21.578947,43.789474,67.684211,88.631579,50.526316,5.526316,35.315789,44.947368,29.736842,21.315789,17,3.842105,4.210526,4.736842,2.421053,1.789474,6.789474,16.157895,92.894737,104.210526,126.526316,83.526316,41.263158,33.684211,11,11.789474,11.789474,2.894737,14.684211,30.315789,0.789474,4.105263,3.736842,2.947368,7.894737,2.842105,17.263158,2.894737,16.473684,5,7.210526,5.263158,6.736842,1217.789474,,,,,,,,,,,,,
BF,8.578947,11.894737,3.421053,5.368421,18.526316,6.736842,25.210526,24.105263,39.736842,56.578947,88.631579,51.473684,37.631579,6.789474,31.526316,24.210526,20.315789,30.210526,6.421053,2.526316,3.842105,0.947368,3.105263,2.210526,18.263158,77.947368,88.842105,111.684211,88.105263,40.315789,23.421053,6.842105,14.578947,8.736842,2.631579,11.052632,42.684211,2.421053,2.631579,3.473684,5,5.473684,2.421053,19.789474,1.368421,17.052632,5.684211,4.842105,1.684211,1.578947,1118.526316,,,,,,,,,,,,,
HY,8.052632,12.421053,3.315789,4.684211,12.842105,4.947368,15.947368,22.736842,30.157895,28.947368,62.421053,38.947368,45.894737,30.947368,7.421053,24.421053,39.157895,39.526316,6.789474,2.789474,3.631579,2.315789,1.368421,3.736842,12.157895,55.052632,41.789474,65.473684,49.315789,21.736842,14.526316,9.421053,9.578947,8.631579,1.631579,3.421053,18.894737,1.684211,3.736842,3.473684,3.842105,4.210526,4.105263,8.421053,1.736842,25.157895,16,10.421053,2.052632,3.789474,853.684211,,,,,,,,,,,,,
SH,7.526316,5.894737,3.526316,1.421053,9.684211,3.210526,11.526316,10.473684,15.894737,20.263158,34.105263,20.526316,31.105263,23.157895,23.526316,3.631579,16.894737,24.315789,2.315789,1.315789,1.842105,0.526316,0.315789,2.736842,7.157895,41.368421,40.631579,49,35.631579,18.473684,15.368421,4.789474,3.631579,3.052632,1.736842,4.315789,6.210526,0.842105,3.684211,2.578947,1.842105,3.157895,1.736842,8.578947,0.947368,16.315789,9.789474,9.368421,1.947368,4.736842,572.631579,,,,,,,,,,,,,
UC,4,7.315789,4.315789,1.526316,11.684211,5.263158,13.105263,13.789474,20.473684,16.789474,31.894737,18.947368,23.105263,21.210526,34.105263,17.105263,4.157895,25.578947,2.947368,0.473684,1.578947,0.578947,0.210526,1.421053,3.052632,33.263158,31.947368,31,36.947368,12.473684,7.842105,2.947368,2.631579,2.631579,0.789474,2.947368,10.736842,0.631579,2.736842,1.473684,0.578947,2.210526,0.421053,6.684211,1.736842,22.052632,11.947368,8.473684,2.368421,3.263158,525.368421,,,,,,,,,,,,,
FM,4.368421,10.789474,3.684211,1.315789,8.105263,3,12,7.157895,17.368421,18.947368,35.315789,18.157895,22,28.473684,42.315789,25.315789,28.736842,5,2.736842,4.526316,0.789474,0.210526,0.789474,1.157895,2.368421,26.842105,24.842105,26.789474,25.421053,11.210526,7.631579,2.421053,5.421053,4.631579,1.578947,5.368421,9.052632,0.157895,2.052632,0.842105,2.263158,2.526316,0.473684,1.894737,2.052632,12.789474,16.894737,14.105263,0.842105,3.052632,515.789474,,,,,,,,,,,,,
CN,9.526316,6.052632,4.105263,2.578947,8.842105,4.894737,21.736842,23,28.736842,3.789474,9.368421,9.947368,5.263158,4.894737,6,2.263158,2.526316,2.052632,7.842105,20.473684,45.684211,31.105263,9.736842,16.052632,6.210526,70,66.105263,110.894737,99.052632,32.526316,26.157895,15.842105,11.736842,6.473684,2.578947,0.526316,3.052632,11.684211,45.736842,5.368421,8.421053,18.105263,4.842105,0.789474,4.421053,2.789474,2.526316,3.157895,32.578947,32.947368,911,,,,,,,,,,,,,
PH,2.684211,4.631579,2.052632,2.631579,7.157895,4.736842,24.210526,22,29.473684,5.842105,3.263158,5.526316,4.315789,2.368421,3.684211,0.684211,0.315789,4.421053,25.052632,4.894737,21.947368,10.157895,5.842105,14.526316,3.526316,72.052632,66.894737,85.578947,66.368421,25,13.789474,7.473684,3.157895,5.421053,1.631579,0.736842,1.947368,4.421053,20.368421,2.368421,4.842105,11.315789,1.684211,0.789474,2.578947,1.631579,0.421053,1.052632,14.105263,10.526316,642.105263,,,,,,,,,,,,,
WC,7.421053,9.210526,3.210526,3.578947,8.947368,2.210526,26,17.368421,25.526316,5.894737,10.894737,5,4.789474,4.368421,3.473684,1.736842,1.421053,0.684211,52.157895,20.947368,4.789474,12.684211,9.052632,16.105263,4.473684,46,51.421053,56.684211,43.842105,17.315789,11.263158,3.631579,4.105263,7.947368,2.947368,0.473684,1.473684,9.736842,34.473684,3.052632,3,9.842105,1.842105,0.263158,3.473684,1.105263,0.842105,0.684211,13.631579,21.736842,612.736842,,,,,,,,,,,,,
