Exit stations,Entry stations->,,WEEKDAY,,,Feb 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,11.85,56.75,47.9,29.7,192.75,38.3,61.8,47.15,52.05,15.3,48.15,31.8,17.5,10.6,18.4,9.15,8.3,6.25,11.3,4.9,11.4,4.9,3.8,10.85,16.7,137.95,111.55,190.6,115.45,104.2,94.7,20.8,30.5,31.8,9.55,2.4,7.25,2.1,5.3,5.35,10.5,19.3,9.1,2.5,5.35,9.6,3.75,6.45,6.4,7.85,1717.85,,,,,,,,,,,,,
EN,63.45,14.05,42.15,35.5,326.3,45.1,89.85,96.7,130.15,29.45,61.15,42.85,20.1,20.1,29.9,10.2,14.75,15.75,12.85,5.9,14.35,4.6,5.8,11.8,20.45,298.4,232.85,332.55,242.3,104.65,97.3,29.7,40.25,51.3,11.45,3.6,10.55,4.25,7.75,11.1,15.3,41.6,19.5,1.65,16.65,12.3,5.9,11.4,3.95,5.8,2775.3,,,,,,,,,,,,,
EP,46.15,38.7,5.55,24.8,262.7,30,46.8,55.7,68.65,22.6,26.55,12.7,17.65,6.25,10.45,5.45,6.2,7.05,7.65,3.7,7.15,4.5,2.65,14.8,5.6,123.45,111.65,107.95,106,39.9,31.65,13.65,9.55,21.7,1.7,1.7,3,1.45,4.25,3.7,2.8,18.8,6.35,2.7,7.45,5.1,3.9,8.05,2.2,2.75,1381.4,,,,,,,,,,,,,
NB,34.5,31.25,26.55,4.65,75.15,22.15,31.1,47.6,39.25,15.8,38.05,14.45,16.25,6.05,7.3,2.5,4.25,5.95,6.4,6.8,6.55,1.4,4.2,5.45,7.4,103.2,97.7,90.75,113.75,44.65,31.2,10.6,13.4,12.65,2.8,2.7,4.5,1.3,4.4,2.65,2.6,25.7,5.45,0.7,9.15,3.8,2.4,3.75,0.5,3.4,1054.7,,,,,,,,,,,,,
BK,210.6,341.6,268.35,76.65,22.15,122.9,138.85,163.55,171.7,72.65,118.55,73.7,70.6,44.75,46.4,34.1,51.15,49.6,33.5,33.2,33.4,19.45,14.35,12.7,43.6,213,149.6,213.8,192.35,112.2,93,45.8,40.8,40.8,11.55,14,32.3,8.2,22.2,12.15,10.95,49.35,37.8,7.5,30.15,26,30.65,46.25,9.85,24.65,3742.95,,,,,,,,,,,,,
AS,42.05,43.55,25.15,18.45,107.05,6.7,29.55,57.7,49.25,22.3,45.05,23.9,18.4,12.85,10.6,7.95,8,10.05,7.25,6.1,7.45,3.4,1.15,3.35,12.35,120.95,93.5,103.9,110.85,50.8,30.5,11.25,14.25,11.9,3.05,1.3,4.5,1.7,3.25,1.9,5.6,16.9,7.7,2.05,7.85,7.15,6.35,7.35,1.45,3.65,1209.25,,,,,,,,,,,,,
MA,70.5,90.7,45.9,30.9,135.55,32.15,13.9,48.95,68.1,28.7,86.1,56.5,48.5,29.4,29.85,17.1,19.3,24.65,39.05,36.7,35.95,15.15,9.4,23.1,25.15,226.45,194.6,214.65,208.75,123.8,86.05,24.35,31.7,20.15,8.95,5.35,16.75,9.75,40.9,9.95,4.1,37.4,13.05,5.9,11.05,8.1,8.8,11.55,19.25,49.3,2451.9,,,,,,,,,,,,,
19,49.3,94.7,53.5,53.25,155.4,56.4,50.3,12.35,12.9,9.9,51.6,47.25,46.6,40.5,38.3,25.75,22.5,21.6,44.65,45.85,51.1,22.2,16.25,39.1,24.4,262.4,212.35,230.6,221.15,138.2,83.85,29.5,35.6,31.95,9.65,9.6,14.15,9.3,29.95,8.3,10.1,31.15,14.5,6.25,11.5,17.35,13.3,14.55,13.4,30.25,2574.55,,,,,,,,,,,,,
12,57.3,127.4,66.55,39.4,154.9,48.95,64.9,11.95,13,9.15,48.6,55.35,82.75,61.9,53.45,27.55,43.2,31.15,51.85,55.5,51.65,21.7,20.15,39.7,30.1,253,190.55,273.85,202.15,99.8,76.7,30.9,41.05,54.75,16.15,7,21.35,14.1,45,17.55,15.65,39.3,24.25,6.05,11.95,18.5,11.75,17.35,12.8,49,2818.6,,,,,,,,,,,,,
LM,16.75,26.95,21.1,14.5,93.15,21.7,29.2,10.2,10.5,7.7,65.8,72.3,107.05,85.55,55.4,41.05,38.5,32.8,9.9,6.45,7.95,3.3,1.1,5.4,14.35,218.5,175.75,206.4,179,86.65,58.3,27.05,32.85,26.85,3.05,47,61.15,3.2,7.35,5.1,3.35,10.55,4.1,23.2,10.05,20.9,13.05,15.05,4.3,12.05,2053.45,,,,,,,,,,,,,
