Exit stations,Entry stations->,,WEEKDAY,,,Jul 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM,11.380952,51.619048,46.095238,32.571429,191.190476,38,57.952381,44.809524,54.619048,18.380952,41.428571,35.809524,19.190476,9.428571,13.809524,9.714286,7.190476,7.190476,7.047619,6.047619,10.52381,5.761905,4.666667,9.238095,17.52381,185.571429,130.47619,215,131.47619,90.47619,104.52381,21.761905,22.047619,17.095238,9.238095,3.095238,5.761905,1.761905,4.619048,6.809524,10.47619,31.238095,11.095238,4.142857,8.238095,12,3.52381,5.857143,4.904762,5.047619,1797.428571,,,,,,,,,,,,,
EN,59.333333,15.761905,43.428571,37.47619,281.52381,50.857143,92.952381,97.761905,154.285714,33.428571,58.333333,56.857143,25.761905,18,18.095238,6.571429,10.142857,16.47619,13.52381,7.666667,13.285714,6.047619,5,12.52381,19.333333,364.857143,285.952381,374.52381,259.47619,114.714286,95.428571,30.666667,30.571429,24.142857,10.809524,3.047619,8.619048,3.333333,7.095238,11.238095,17.571429,63.714286,22.761905,3.809524,23.142857,15.285714,11.190476,11.952381,3.095238,7.571429,2959,,,,,,,,,,,,,
EP,52,41.52381,7.571429,23.666667,224.714286,33.428571,47.904762,57.571429,81.047619,22.142857,24.238095,20.809524,18.095238,7.285714,7.47619,3.619048,6.238095,4.952381,9,6.47619,10.333333,3.857143,2.047619,12.761905,7.380952,189.095238,154.142857,124.666667,113.190476,47.47619,32.761905,13.761905,8.47619,10.047619,3.333333,3.142857,3.666667,1.52381,4,3.619048,3.857143,40,8.428571,3.47619,15.285714,6.47619,4.428571,6.619048,1.809524,2.952381,1542.380952,,,,,,,,,,,,,
NB,36.571429,34.47619,27.619048,6.809524,46.428571,18.809524,32.619048,50.380952,61.857143,18.952381,36.142857,24.47619,13.857143,5.428571,6.952381,3.666667,5.333333,8.190476,4.428571,4.809524,7.333333,2.619048,2.333333,4.857143,8.285714,191.428571,136.333333,103.428571,119.190476,56.571429,37.619048,12.142857,9,9.190476,2.47619,1.285714,5.666667,3.095238,3.904762,2.666667,2.904762,54.714286,10.095238,0.761905,16.857143,6.095238,5,6.571429,0.809524,4.095238,1275.142857,,,,,,,,,,,,,
BK,219.904762,298.904762,236.428571,54.380952,36.190476,105.857143,123.666667,148.857143,176.52381,62,111.285714,73.857143,81.142857,50.857143,44.47619,29.52381,70.380952,65.571429,30.666667,36,44.47619,24.571429,15.428571,11.714286,32.571429,432.761905,257.380952,280.428571,231.285714,122.761905,96.047619,55.333333,35.809524,33,13.428571,18.714286,61.857143,8,23.52381,12.761905,12.761905,88.285714,52.619048,17.571429,41.952381,54.666667,45.380952,57.52381,9.571429,24.190476,4272.857143,,,,,,,,,,,,,
AS,42,48.619048,32.142857,19.428571,94.904762,7.619048,36.809524,60.571429,59.571429,23,47.285714,35.238095,19.761905,14.285714,14.857143,8.904762,10.809524,7.52381,6.142857,6.095238,9.333333,4.095238,1.619048,3.333333,15.761905,196.095238,144.142857,115.380952,141.47619,71.095238,36.809524,13.571429,10.666667,7.142857,2.52381,2.285714,6.809524,1.380952,3.904762,3.190476,6.619048,32.666667,7.714286,1.952381,12.761905,10.380952,10.857143,9.428571,1.619048,4.333333,1484.52381,,,,,,,,,,,,,
MA,73.52381,91.238095,45.619048,32.904762,119.238095,39.095238,23.666667,54.47619,79.809524,25.666667,73.52381,64.333333,50.952381,27.142857,29.857143,20.714286,23.47619,23.142857,41.142857,41,43,17.380952,16,24.52381,25.142857,354.380952,251,262,226.904762,145.47619,73.666667,24.761905,23.52381,18.857143,9.619048,4.904762,19.095238,8.333333,35,6.952381,4.904762,55.857143,17.047619,6.761905,16.285714,13.666667,14.285714,21.047619,18.761905,50,2789.666667,,,,,,,,,,,,,
19,48.238095,98.666667,52.428571,57.238095,143.142857,63.095238,57.428571,20.428571,13.285714,10.238095,48.47619,61.571429,54.619048,46.380952,44,28.285714,37.714286,41.857143,50.904762,54.619048,65.238095,27.285714,27.333333,37.47619,29.095238,403.285714,305.238095,277.047619,255.52381,142.285714,95.904762,35.333333,30.380952,29.333333,13.095238,9.52381,25.428571,14.333333,34,13.047619,12.714286,54,26,9.714286,17.238095,21.666667,19.714286,21.952381,12.047619,37.809524,3135.666667,,,,,,,,,,,,,
12,62.047619,157.761905,76.666667,59.285714,168.095238,55.904762,81.047619,13.142857,24.761905,12.142857,54.904762,73.047619,95.952381,77.761905,68.714286,39.714286,60,43.285714,64.047619,79.619048,83.428571,33.190476,27.52381,53.619048,33.666667,407.380952,288.52381,336.952381,262.380952,119.428571,87.428571,45.380952,53.619048,54.47619,23.095238,12.809524,32.095238,18.571429,51.714286,24.857143,21.285714,73.142857,28.761905,11.47619,20.428571,23.190476,21.857143,31.571429,24.190476,64.142857,3738.095238,,,,,,,,,,,,,
LM,18.285714,31.857143,19.285714,16.285714,55.666667,23.761905,25.952381,9.142857,12.238095,13.047619,63.952381,94.380952,134.619048,97,53.52381,50.047619,38.428571,36.428571,8.52381,9,7.095238,2.047619,2.238095,6.666667,13.809524,299.285714,248.095238,235.714286,203.190476,95.952381,65.095238,25.52381,22.095238,18.809524,3.333333,60.809524,82.904762,5.047619,6.190476,6.333333,6.380952,15.238095,4.52381,38.47619,17.142857,28.904762,18.666667,20.428571,2.142857,10.571429,2384.142857,,,,,,,,,,,,,
