,16,24,BP,CC,EM,GP,MT,PL
16,26.13,70.3,185.26,181.13,217.7,110.04,232.04,431.48
24,66.39,25.52,145.57,303.0,296.74,100.61,329.0,639.87
BP,160.04,149.22,13.39,280.78,250.74,27.43,283.96,661.22
CC,164.43,274.48,321.39,46.52,93.83,192.04,67.0,80.35
EM,231.3,330.74,308.04,99.91,64.83,205.35,19.0,101.78
GP,111.13,100.35,32.04,183.78,186.09,10.61,233.78,379.09
MT,254.13,400.48,502.78,76.17,26.13,281.04,51.83,34.09
PL,414.22,566.0,552.65,93.74,135.57,339.83,46.3,95.87
Sum,1427.77,1917.0900000000001,2061.12,1265.03,1271.63,1266.9499999999998,1262.9099999999999,2423.75
