,16,24,BP,CC,EM,GP,MT,PL
16,41.1,197.1,547.67,644.0,1219.19,307.52,1514.76,1437.14
24,212.43,43.43,432.62,1010.43,1650.76,254.67,2057.9,1899.81
BP,479.9,423.38,40.81,1105.0,1377.57,106.29,1724.48,2266.0
CC,590.52,965.33,1293.05,85.48,701.71,783.86,631.48,336.38
EM,1149.9,1860.9,1652.62,686.19,210.76,1307.71,132.48,535.9
GP,304.95,253.81,109.14,686.38,1153.86,27.57,1352.57,1215.95
MT,1428.33,2407.76,2557.57,611.1,151.1,1669.67,179.52,208.48
PL,1226.24,1598.9,1901.14,367.52,803.1,1082.95,325.05,145.9
Sum,5433.37,7750.610000000001,8534.619999999999,5196.1,7268.049999999999,5540.24,7918.24,8045.5599999999995
