,16,24,BP,CC,EM,GP,MT,PL
16,38.05,192.89,570.74,625.26,1061.47,302.95,1417.58,1446.0
24,195.16,47.53,467.58,943.0,1429.37,238.37,1884.79,1913.26
BP,507.84,443.05,37.21,1028.79,1167.32,111.11,1538.42,2293.95
CC,535.0,893.37,1201.37,90.47,574.16,722.11,547.63,336.47
EM,1063.95,1722.0,1479.47,577.11,195.53,1195.05,130.16,552.89
GP,298.53,243.37,103.79,640.37,1013.47,25.11,1238.74,1261.16
MT,1320.32,2214.37,2372.84,554.16,145.21,1533.16,167.63,210.47
PL,1278.95,1614.32,1911.79,381.58,884.32,1073.0,369.79,153.95
Sum,5237.8,7370.9,8144.79,4840.74,6470.849999999999,5200.86,7294.74,8168.150000000001
