,EM,MT,PL,CC,16,24,GP,BP
16,180.76,187.48,324.62,158.86,17.57,58.48,106.67,188.05
24,250.62,289.14,499.38,278.81,60.81,18.81,99.76,153.29
BP,239.71,267.81,571.48,270.24,157.43,170.0,33.57,12.9
CC,67.67,48.57,49.86,33.24,143.38,245.62,171.19,290.48
EM,43.43,12.81,57.14,68.29,184.05,283.33,174.62,275.62
GP,166.76,217.19,294.71,164.86,108.0,97.81,8.81,42.76
MT,16.76,37.14,25.71,60.19,211.38,355.38,254.19,473.95
PL,77.14,25.48,48.71,52.71,305.52,434.71,253.43,460.95
