,EM,MT,PL,CC,16,24,GP,BP
16,393.83,382.26,480.22,225.78,30.09,81.43,150.35,250.52
24,520.61,546.0,669.43,350.22,76.39,22.78,126.39,196.52
BP,407.87,427.04,798.87,365.96,209.65,197.74,40.78,17.43
CC,152.74,113.17,73.04,51.48,191.04,296.0,251.43,407.96
EM,126.65,25.0,128.39,158.74,387.17,571.35,382.39,485.04
GP,351.87,379.65,419.83,243.52,152.35,128.0,10.91,46.65
MT,31.3,69.3,41.22,122.13,383.43,646.26,438.61,687.13
PL,165.39,47.13,80.22,78.09,410.04,567.17,362.09,671.48
