,16,24,BP,CC,EM,GP,MT,PL
16,37.84,203.11,621.47,665.79,1253.37,301.95,1651.26,1380.32
24,222.53,42.47,539.11,1022.68,1698.84,231.05,2190.84,1842.21
BP,553.63,509.95,41.26,1135.32,1372.84,124.26,1811.26,2211.58
CC,580.05,968.89,1276.89,78.47,660.37,759.74,645.37,328.47
EM,1207.16,1960.53,1655.42,674.58,189.63,1299.05,146.58,503.26
GP,303.32,231.68,127.26,677.95,1132.05,24.16,1446.11,1146.74
MT,1534.42,2518.79,2645.95,676.84,176.95,1749.26,173.21,194.42
PL,1165.32,1551.32,1933.74,351.05,752.16,1024.16,346.21,125.53
Sum,5604.269999999999,7986.74,8841.1,5282.68,7236.21,5513.63,8410.84,7732.53
