,16,24,BP,CC,EM,GP,MT,PL
16,52.86,200.41,664.68,664.14,1208.73,343.68,1575.05,1391.95
24,202.82,50.09,576.5,1031.14,1630.55,267.91,2046.55,1770.64
BP,600.0,533.23,37.36,1214.0,1340.91,129.91,1734.59,2253.95
CC,586.09,997.23,1417.45,120.36,638.95,791.18,604.64,296.36
EM,1232.77,1984.91,1676.14,661.68,271.95,1295.45,130.18,454.86
GP,346.95,272.73,129.23,718.82,1118.86,28.0,1398.82,1138.18
MT,1506.41,2521.59,2612.91,633.59,135.36,1710.95,265.68,162.91
PL,1210.68,1513.41,1907.23,304.64,663.64,1000.82,268.14,169.0
Sum,5738.580000000001,8073.6,9021.5,5348.370000000001,7008.949999999999,5567.9,8023.65,7637.849999999999
