,16,24,BP,CC,EM,GP,MT,PL
16,37.23,190.86,634.64,640.68,1160.64,329.0,1508.82,1398.14
24,209.95,52.23,604.64,1034.09,1617.45,267.0,2078.64,1855.77
BP,568.18,587.77,57.32,1253.5,1376.32,129.09,1832.5,2399.32
CC,586.95,959.64,1395.91,88.95,624.05,797.73,615.41,323.73
EM,1130.23,1859.95,1644.18,628.41,195.73,1293.36,122.59,488.68
GP,319.64,261.23,133.23,702.0,1123.18,29.73,1410.59,1194.09
MT,1439.36,2473.68,2731.77,605.86,136.45,1720.14,178.0,169.36
PL,1169.45,1567.14,2023.23,328.41,711.5,1064.86,305.91,135.23
Sum,5460.99,7952.5,9224.92,5281.9,6945.32,5630.91,8052.46,7964.32
