,16,24,BP,CC,EM,GP,MT,PL
16,36.68,187.84,654.63,631.58,1167.68,324.53,1531.95,1417.21
24,207.74,52.11,650.26,1033.53,1606.32,276.11,2102.58,1920.32
BP,584.11,619.84,50.05,1313.79,1427.89,141.21,1879.0,2477.05
CC,566.58,966.58,1448.84,84.74,660.32,772.32,645.42,336.42
EM,1130.79,1831.05,1664.05,642.05,183.89,1321.11,136.42,525.47
GP,319.79,260.37,145.95,712.74,1165.0,25.21,1430.84,1231.32
MT,1458.53,2464.68,2812.58,639.0,146.89,1727.74,172.58,187.84
PL,1198.68,1615.84,2109.42,348.63,767.21,1100.63,310.95,131.95
Sum,5502.9,7998.3099999999995,9535.779999999999,5406.06,7125.2,5688.86,8209.74,8227.58
