,EM,MT,PL,CC,16,24,GP,BP
16,1296.8,1627.55,1468.85,674.95,42.25,190.5,315.35,558.25
24,1702.35,2053.0,1863.8,990.35,202.8,49.0,256.0,434.25
BP,1342.55,1743.9,2163.75,1073.7,502.95,397.0,107.7,38.25
CC,706.75,628.75,315.25,109.7,602.5,939.85,797.65,1270.45
EM,258.45,141.45,533.1,734.85,1281.05,2010.25,1321.5,1672.95
GP,1137.25,1395.75,1171.5,693.1,311.45,255.9,25.7,111.8
MT,137.75,222.35,181.35,649.35,1499.15,2430.05,1729.6,2602.9
PL,741.55,299.35,152.05,327.65,1227.55,1554.85,1036.05,1834.7
