,EM,MT,PL,CC,16,24,GP,BP
16,29.64,46.14,85.36,83.23,5.41,15.82,34.0,72.64
24,50.36,65.0,103.73,108.41,18.73,6.5,27.18,59.5
BP,68.36,87.45,137.09,121.27,67.5,59.41,11.09,4.0
CC,20.0,18.32,17.64,11.91,76.41,86.95,56.91,123.36
EM,6.14,4.91,15.82,22.91,38.86,61.73,36.55,77.36
GP,34.86,52.36,65.27,55.5,28.91,24.55,5.23,14.18
MT,5.18,5.73,9.5,18.05,55.59,78.09,60.73,142.82
PL,16.55,9.59,8.82,17.55,79.64,94.09,56.5,110.55
