,16,24,BP,CC,EM,GP,MT,PL
16,11.5,33.35,137.0,106.7,110.3,78.7,140.4,239.25
24,34.7,14.3,118.6,169.95,140.75,71.5,198.9,348.6
BP,122.2,113.7,7.45,223.5,160.55,21.8,215.4,475.15
CC,92.3,146.7,232.4,21.1,58.95,113.85,37.7,32.8
EM,116.95,173.05,210.1,60.15,30.45,106.65,13.7,47.85
GP,73.85,71.15,19.95,103.45,97.75,7.6,148.4,206.95
MT,147.5,240.2,374.2,41.65,13.1,176.8,21.25,20.3
PL,210.35,305.45,380.55,39.4,57.65,198.3,18.0,28.5
Sum,809.3500000000001,1097.9,1480.25,765.9,669.5,775.2,793.7500000000001,1399.3999999999999
