,EM,MT,PL,CC,16,24,GP,BP
16,69.05,81.89,163.68,90.95,6.95,27.26,51.84,114.89
24,88.89,127.95,256.63,141.84,30.26,13.26,44.68,90.32
BP,130.32,168.47,399.53,193.21,96.47,84.47,14.95,7.47
CC,37.63,29.32,24.95,15.89,71.84,113.21,80.42,201.74
EM,15.11,9.84,35.32,38.47,68.32,106.68,66.42,158.58
GP,66.74,105.16,156.95,77.11,49.95,42.58,6.84,16.32
MT,9.42,11.63,17.37,34.32,88.16,152.32,120.68,290.53
PL,42.89,14.37,16.89,28.63,148.63,209.74,154.32,323.37
