,16,24,BP,CC,EM,GP,MT,PL
16,27.95,80.27,245.45,245.82,359.73,153.55,371.23,496.91
24,83.55,21.77,202.27,366.73,501.23,137.36,520.0,693.36
BP,220.82,196.14,15.86,362.68,386.73,38.59,409.95,832.73
CC,215.73,330.82,412.32,53.82,154.32,273.32,118.95,83.18
EM,369.32,564.77,456.05,157.45,102.95,355.23,27.64,134.23
GP,155.45,140.14,47.91,258.55,332.23,13.36,378.05,436.14
MT,390.0,623.64,655.05,123.18,38.5,446.41,70.23,42.05
PL,440.95,597.09,685.27,87.45,180.05,384.14,58.14,92.14
Sum,1903.77,2554.64,2720.1800000000003,1655.6799999999998,2055.74,1801.9599999999998,1954.19,2810.7400000000002
