,EM,MT,PL,CC,16,24,GP,BP
16,110.3,140.4,239.25,106.7,11.5,33.35,78.7,137.0
24,140.75,198.9,348.6,169.95,34.7,14.3,71.5,118.6
BP,160.55,215.4,475.15,223.5,122.2,113.7,21.8,7.45
CC,58.95,37.7,32.8,21.1,92.3,146.7,113.85,232.4
EM,30.45,13.7,47.85,60.15,116.95,173.05,106.65,210.1
GP,97.75,148.4,206.95,103.45,73.85,71.15,7.6,19.95
MT,13.1,21.25,20.3,41.65,147.5,240.2,176.8,374.2
PL,57.65,18.0,28.5,39.4,210.35,305.45,198.3,380.55
