,EM,MT,PL,CC,16,24,GP,BP
16,72.71,87.29,164.48,90.19,7.95,27.24,49.71,112.1
24,91.71,122.48,244.67,146.19,25.29,9.29,46.19,84.14
BP,122.0,175.86,385.57,199.05,96.1,84.67,16.24,7.86
CC,35.81,30.62,21.1,14.9,79.67,122.76,83.86,216.0
EM,12.19,8.48,32.38,37.1,73.71,106.62,69.1,148.86
GP,63.33,100.9,148.95,80.67,46.67,49.62,6.57,17.67
MT,10.48,11.14,15.0,37.0,99.62,147.57,114.57,302.76
PL,36.52,14.33,18.38,27.05,136.81,216.0,144.76,325.81
