,EM,MT,PL,CC,16,24,GP,BP
16,56.82,82.77,133.41,100.73,7.0,24.0,52.09,125.95
24,86.82,104.73,179.82,156.36,25.77,7.41,39.82,85.0
BP,109.77,145.14,270.73,185.64,108.5,86.64,13.73,5.59
CC,34.55,25.91,20.0,13.0,84.73,121.73,80.82,192.18
EM,11.09,7.68,23.0,36.64,66.86,95.09,67.59,120.64
GP,56.55,83.5,117.5,82.14,49.59,41.55,4.45,16.73
MT,7.09,8.27,10.32,29.45,87.64,123.77,96.5,231.86
PL,24.23,11.27,13.59,23.09,117.27,163.27,100.41,240.05
