,16,24,BP,CC,EM,GP,MT,PL
16,8.0,23.09,114.27,90.45,58.91,49.32,87.55,153.86
24,27.0,7.86,84.27,139.41,93.32,41.68,112.59,220.32
BP,101.32,82.77,7.73,182.14,119.86,16.5,159.05,354.68
CC,79.0,118.5,203.32,12.91,38.18,83.77,30.73,19.5
EM,69.23,100.18,136.5,40.45,10.14,71.32,6.77,28.36
GP,45.0,38.68,17.09,81.23,62.18,5.41,94.59,140.27
MT,94.14,135.41,266.82,35.5,7.36,105.45,10.0,14.23
PL,132.77,197.36,298.36,27.32,30.27,129.27,12.82,18.05
Sum,556.46,703.8499999999999,1128.3600000000001,609.41,420.21999999999997,502.72,514.0999999999999,949.27
