,EM,MT,PL,CC,16,24,GP,BP
16,1226.45,1547.95,1388.32,660.64,35.68,193.23,316.95,588.95
24,1650.05,2042.91,1851.32,1005.09,210.14,47.27,256.82,493.55
BP,1338.64,1756.73,2241.73,1129.36,524.68,480.64,119.18,35.86
CC,632.45,580.23,308.32,103.77,588.41,940.0,774.14,1274.68
EM,191.95,117.14,503.64,648.0,1213.68,1947.64,1292.36,1634.23
GP,1120.64,1373.05,1162.95,697.41,305.82,253.73,22.18,122.09
MT,143.59,183.91,177.91,610.23,1457.59,2430.77,1674.05,2628.27
PL,751.45,305.14,140.41,333.36,1182.64,1557.27,1008.95,1929.77
