,EM,MT,PL,CC,16,24,GP,BP
16,173.77,207.36,334.73,155.95,13.95,51.45,104.59,173.14
24,258.14,312.36,478.77,260.55,47.32,15.5,91.27,147.05
BP,233.5,300.23,588.64,273.36,144.18,144.59,30.95,11.36
CC,90.5,58.36,49.23,29.95,136.18,230.77,175.0,296.27
EM,50.23,15.36,67.68,93.59,185.55,294.41,184.5,281.18
GP,164.36,207.64,268.59,163.5,100.18,89.55,8.36,34.59
MT,15.55,34.45,22.32,69.36,224.23,364.91,234.91,492.09
PL,82.64,27.05,46.36,59.32,301.55,407.82,251.18,468.59
