,EM,MT,PL,CC,16,24,GP,BP
16,1196.94,1610.94,1423.17,657.28,41.89,195.5,333.89,643.78
24,1602.61,2101.39,1827.61,1004.89,205.56,49.44,263.78,543.17
BP,1274.44,1722.89,2300.17,1165.78,576.17,509.72,126.11,39.39
CC,640.17,605.44,314.22,101.11,561.28,977.17,756.56,1354.06
EM,227.94,139.61,482.22,647.11,1166.67,1899.83,1265.0,1586.5
GP,1083.06,1407.39,1174.22,692.61,329.17,271.5,23.72,121.28
MT,147.67,196.11,181.78,618.33,1482.61,2483.28,1692.67,2559.61
PL,723.83,308.61,157.11,337.28,1220.22,1556.83,1028.72,1953.94
