,EM,MT,PL,CC,16,24,GP,BP
16,1152.65,1463.22,1376.83,612.17,34.26,194.04,322.3,613.83
24,1605.0,1981.0,1842.52,968.57,207.04,38.78,261.57,500.57
BP,1528.26,1943.0,2513.57,1249.39,526.17,480.35,109.7,44.65
CC,637.09,593.65,312.04,80.0,554.65,916.35,773.0,1445.48
EM,185.13,126.65,509.22,628.13,1129.35,1819.22,1392.35,1833.74
GP,1213.26,1429.0,1240.83,695.26,314.09,255.7,27.43,115.13
MT,140.91,171.87,183.13,600.43,1401.26,2339.74,1746.74,2928.65
PL,739.3,302.52,122.26,338.3,1157.96,1529.96,1117.3,2116.91
