,EM,MT,PL,CC,16,24,GP,BP
16," 1,124 "," 1,525 "," 1,390 ", 621 , 26 , 196 , 308 , 578 
24," 1,535 "," 2,088 "," 1,850 ", 973 , 216 , 29 , 245 , 500 
BP," 1,287 "," 1,702 "," 2,129 "," 1,083 ", 520 , 479 , 117 , 39 
CC, 572 , 530 , 296 , 68 , 558 , 945 , 715 ," 1,227 "
EM, 156 , 132 , 471 , 578 ," 1,094 "," 1,769 "," 1,250 "," 1,507 "
GP," 1,116 "," 1,364 "," 1,156 ", 653 , 302 , 250 , 23 , 116 
MT, 151 , 147 , 177 , 546 ," 1,450 "," 2,427 "," 1,641 "," 2,497 "
PL, 712 , 294 , 106 , 321 ," 1,177 "," 1,570 "," 1,035 "," 1,850 "
