,16,24,BP,CC,EM,GP,MT,PL
16,18.5,45.05,148.18,143.91,182.73,95.32,208.5,318.36
24,42.73,21.41,114.64,222.45,244.05,82.23,300.5,449.95
BP,125.36,101.68,9.95,234.86,213.68,21.5,276.77,542.05
CC,115.36,198.82,258.95,32.36,75.41,140.91,59.55,38.36
EM,185.18,295.32,273.09,80.05,62.18,169.05,16.45,63.64
GP,87.55,79.14,20.27,133.91,150.59,8.45,193.5,257.5
MT,219.73,363.73,468.86,64.18,16.5,238.45,41.5,20.91
PL,279.18,393.27,442.55,50.41,75.59,236.23,23.05,44.77
Sum,1073.59,1498.42,1736.49,962.13,1020.73,992.14,1119.82,1735.5399999999997
