,16,24,BP,CC,EM,GP,MT,PL
16,21.41,89.59,320.0,321.23,427.82,148.82,573.77,546.0
24,93.68,21.77,289.18,475.0,606.64,126.32,791.59,710.77
BP,284.91,280.86,23.82,587.91,573.41,59.09,747.0,973.73
CC,279.55,436.55,657.68,40.09,208.68,327.0,182.91,100.14
EM,438.91,711.32,696.14,214.73,71.36,475.73,35.27,132.14
GP,156.18,124.36,56.45,303.41,429.5,15.68,547.23,469.09
MT,573.64,940.18,1155.73,202.14,41.82,659.73,58.77,53.95
PL,459.68,611.0,800.5,108.14,190.0,400.5,89.5,49.41
Sum,2307.96,3215.6299999999997,3999.5,2252.65,2549.23,2212.87,3026.04,3035.2300000000005
