,EM,MT,PL,CC,16,24,GP,BP
16,78.5,101.28,179.89,99.67,7.39,26.33,51.06,119.22
24,105.22,143.33,285.39,160.11,29.39,8.56,44.39,94.28
BP,137.17,188.06,435.11,203.89,97.83,93.56,12.78,8.11
CC,43.22,32.61,28.11,11.89,85.72,128.0,91.78,222.83
EM,10.56,8.06,36.89,43.39,80.89,124.83,75.89,167.44
GP,68.11,118.72,174.72,86.0,48.22,44.83,4.22,12.28
MT,8.67,13.72,19.72,38.17,112.78,168.0,129.39,321.06
PL,46.11,18.61,19.06,36.67,161.72,240.22,167.11,372.61
